"","Statistic","Year","Type.of.Cattle","value"
"1","Cattle Price per Head (Euro)","1976","Bullocks 200-249kg",NA
"2","Cattle Price per 100 Kg (Euro)","1976","Bullocks 200-249kg",NA
"3","Cattle Price per Head (Euro)","1977","Bullocks 200-249kg",NA
"4","Cattle Price per 100 Kg (Euro)","1977","Bullocks 200-249kg",NA
"5","Cattle Price per Head (Euro)","1978","Bullocks 200-249kg",246.19
"6","Cattle Price per 100 Kg (Euro)","1978","Bullocks 200-249kg",108.94
"7","Cattle Price per Head (Euro)","1979","Bullocks 200-249kg",277.69
"8","Cattle Price per 100 Kg (Euro)","1979","Bullocks 200-249kg",126.58
"9","Cattle Price per Head (Euro)","1980","Bullocks 200-249kg",245.82
"10","Cattle Price per 100 Kg (Euro)","1980","Bullocks 200-249kg",108.77
"11","Cattle Price per Head (Euro)","1981","Bullocks 200-249kg",307.77
"12","Cattle Price per 100 Kg (Euro)","1981","Bullocks 200-249kg",136.6
"13","Cattle Price per Head (Euro)","1982","Bullocks 200-249kg",367.7
"14","Cattle Price per 100 Kg (Euro)","1982","Bullocks 200-249kg",163.05
"15","Cattle Price per Head (Euro)","1983","Bullocks 200-249kg",399.59
"16","Cattle Price per 100 Kg (Euro)","1983","Bullocks 200-249kg",177.12
"17","Cattle Price per Head (Euro)","1984","Bullocks 200-249kg",425.63
"18","Cattle Price per 100 Kg (Euro)","1984","Bullocks 200-249kg",187.97
"19","Cattle Price per Head (Euro)","1985","Bullocks 200-249kg",441.35
"20","Cattle Price per 100 Kg (Euro)","1985","Bullocks 200-249kg",194.93
"21","Cattle Price per Head (Euro)","1986","Bullocks 200-249kg",390.44
"22","Cattle Price per 100 Kg (Euro)","1986","Bullocks 200-249kg",172.05
"23","Cattle Price per Head (Euro)","1987","Bullocks 200-249kg",417.62
"24","Cattle Price per 100 Kg (Euro)","1987","Bullocks 200-249kg",183.83
"25","Cattle Price per Head (Euro)","1988","Bullocks 200-249kg",546.99
"26","Cattle Price per 100 Kg (Euro)","1988","Bullocks 200-249kg",240.64
"27","Cattle Price per Head (Euro)","1989","Bullocks 200-249kg",557.03
