"","Statistic","Year","Liveweight","value"
"1","Pig Price per Head (Euro)","1976","Pigs 15-24 kg",21.34
"2","Pig Price per Kg (Euro)","1976","Pigs 15-24 kg",0.93
"3","Pig Price per Head (Euro)","1977","Pigs 15-24 kg",26.42
"4","Pig Price per Kg (Euro)","1977","Pigs 15-24 kg",1.17
"5","Pig Price per Head (Euro)","1978","Pigs 15-24 kg",26.37
"6","Pig Price per Kg (Euro)","1978","Pigs 15-24 kg",1.19
"7","Pig Price per Head (Euro)","1979","Pigs 15-24 kg",24.2
"8","Pig Price per Kg (Euro)","1979","Pigs 15-24 kg",1.1
"9","Pig Price per Head (Euro)","1980","Pigs 15-24 kg",23.48
"10","Pig Price per Kg (Euro)","1980","Pigs 15-24 kg",1.09
"11","Pig Price per Head (Euro)","1981","Pigs 15-24 kg",30.4
"12","Pig Price per Kg (Euro)","1981","Pigs 15-24 kg",1.41
"13","Pig Price per Head (Euro)","1982","Pigs 15-24 kg",32.51
"14","Pig Price per Kg (Euro)","1982","Pigs 15-24 kg",1.5
"15","Pig Price per Head (Euro)","1983","Pigs 15-24 kg",29.38
"16","Pig Price per Kg (Euro)","1983","Pigs 15-24 kg",1.33
"17","Pig Price per Head (Euro)","1984","Pigs 15-24 kg",33.05
"18","Pig Price per Kg (Euro)","1984","Pigs 15-24 kg",1.51
"19","Pig Price per Head (Euro)","1985","Pigs 15-24 kg",31.71
"20","Pig Price per Kg (Euro)","1985","Pigs 15-24 kg",1.46
"21","Pig Price per Head (Euro)","1986","Pigs 15-24 kg",27.35
"22","Pig Price per Kg (Euro)","1986","Pigs 15-24 kg",1.24
"23","Pig Price per Head (Euro)","1987","Pigs 15-24 kg",30.38
"24","Pig Price per Kg (Euro)","1987","Pigs 15-24 kg",1.42
"25","Pig Price per Head (Euro)","1988","Pigs 15-24 kg",27.59
"26","Pig Price per Kg (Euro)","1988","Pigs 15-24 kg",1.32
"27","Pig Price per Head (Euro)","1989","Pigs 15-24 kg",32.61
"28","Pig Price per Kg (Euro)","1989","Pigs 15-24 kg",1.55
"29","Pig Price per Head (Euro)","1990","Pigs 15-24 kg",29.67
"30","Pig Price per Kg (Euro)","1990","Pigs 15-24 kg",1.42
"31","Pig Price per Head (Euro)","1991","Pigs 15-24 kg",29.69
"32","Pig Price per Kg (Euro)","1991","Pigs 15-24 kg",1.38
"33","Pig Price per Head (Euro)","1992","Pigs 15-24 kg",31.91
"34","Pig Price per Kg (Euro)","1992","Pigs 15-24 kg",1.49
"35","Pig Price per Head (Euro)","1993","Pigs 15-24 kg",23.34
"36","Pig Price per Kg (Euro)","1993","Pigs 15-24 kg",1.09
"37","Pig Price per Head (Euro)","1994","Pigs 15-24 kg",26.09
"38","Pig Price per Kg (Euro)","1994","Pigs 15-24 kg",1.22
"39","Pig Price per Head (Euro)","1995","Pigs 15-24 kg",32.31
"40","Pig Price per Kg (Euro)","1995","Pigs 15-24 kg",1.5
"41","Pig Price per Head (Euro)","1996","Pigs 15-24 kg",37.34
"42","Pig Price per Kg (Euro)","1996","Pigs 15-24 kg",1.73
"43","Pig Price per Head (Euro)","1997","Pigs 15-24 kg",28.53
"44","Pig Price per Kg (Euro)","1997","Pigs 15-24 kg",1.33
"45","Pig Price per Head (Euro)","1998","Pigs 15-24 kg",19.51
"46","Pig Price per Kg (Euro)","1998","Pigs 15-24 kg",0.9
"47","Pig Price per Head (Euro)","1999","Pigs 15-24 kg",19.23
"48","Pig Price per Kg (Euro)","1999","Pigs 15-24 kg",0.85
"49","Pig Price per Head (Euro)","2000","Pigs 15-24 kg",26.41
"50","Pig Price per Kg (Euro)","2000","Pigs 15-24 kg",1.24
"51","Pig Price per Head (Euro)","2001","Pigs 15-24 kg",27.95
"52","Pig Price per Kg (Euro)","2001","Pigs 15-24 kg",1.23
"53","Pig Price per Head (Euro)","2002","Pigs 15-24 kg",NA
"54","Pig Price per Kg (Euro)","2002","Pigs 15-24 kg",NA
"55","Pig Price per Head (Euro)","2003","Pigs 15-24 kg",NA
"56","Pig Price per Kg (Euro)","2003","Pigs 15-24 kg",NA
"57","Pig Price per Head (Euro)","2004","Pigs 15-24 kg",NA
"58","Pig Price per Kg (Euro)","2004","Pigs 15-24 kg",NA
"59","Pig Price per Head (Euro)","2005","Pigs 15-24 kg",NA
"60","Pig Price per Kg (Euro)","2005","Pigs 15-24 kg",NA
"61","Pig Price per Head (Euro)","2006","Pigs 15-24 kg",NA
"62","Pig Price per Kg (Euro)","2006","Pigs 15-24 kg",NA
"63","Pig Price per Head (Euro)","2007","Pigs 15-24 kg",NA
"64","Pig Price per Kg (Euro)","2007","Pigs 15-24 kg",NA
"65","Pig Price per Head (Euro)","2008","Pigs 15-24 kg",NA
"66","Pig Price per Kg (Euro)","2008","Pigs 15-24 kg",NA
"67","Pig Price per Head (Euro)","2009","Pigs 15-24 kg",NA
"68","Pig Price per Kg (Euro)","2009","Pigs 15-24 kg",NA
"69","Pig Price per Head (Euro)","2010","Pigs 15-24 kg",NA
"70","Pig Price per Kg (Euro)","2010","Pigs 15-24 kg",NA
"71","Pig Price per Head (Euro)","1976","Pigs 25-34 kg",26.85
"72","Pig Price per Kg (Euro)","1976","Pigs 25-34 kg",0.85
"73","Pig Price per Head (Euro)","1977","Pigs 25-34 kg",34.83
"74","Pig Price per Kg (Euro)","1977","Pigs 25-34 kg",1.12
"75","Pig Price per Head (Euro)","1978","Pigs 25-34 kg",35.37
"76","Pig Price per Kg (Euro)","1978","Pigs 25-34 kg",1.16
"77","Pig Price per Head (Euro)","1979","Pigs 25-34 kg",32.38
"78","Pig Price per Kg (Euro)","1979","Pigs 25-34 kg",1.05
"79","Pig Price per Head (Euro)","1980","Pigs 25-34 kg",31.77
"80","Pig Price per Kg (Euro)","1980","Pigs 25-34 kg",1.04
"81","Pig Price per Head (Euro)","1981","Pigs 25-34 kg",40.4
"82","Pig Price per Kg (Euro)","1981","Pigs 25-34 kg",1.33
"83","Pig Price per Head (Euro)","1982","Pigs 25-34 kg",42.96
"84","Pig Price per Kg (Euro)","1982","Pigs 25-34 kg",1.41
"85","Pig Price per Head (Euro)","1983","Pigs 25-34 kg",38.93
"86","Pig Price per Kg (Euro)","1983","Pigs 25-34 kg",1.28
"87","Pig Price per Head (Euro)","1984","Pigs 25-34 kg",42.36
"88","Pig Price per Kg (Euro)","1984","Pigs 25-34 kg",1.4
"89","Pig Price per Head (Euro)","1985","Pigs 25-34 kg",41.79
"90","Pig Price per Kg (Euro)","1985","Pigs 25-34 kg",1.37
"91","Pig Price per Head (Euro)","1986","Pigs 25-34 kg",36.02
"92","Pig Price per Kg (Euro)","1986","Pigs 25-34 kg",1.19
