"","Year","Type.of.Feedstuff","value"
"1","1976","Rolled barley",NA
"2","1977","Rolled barley",NA
"3","1978","Rolled barley",NA
"4","1979","Rolled barley",NA
"5","1980","Rolled barley",168
"6","1981","Rolled barley",178
"7","1982","Rolled barley",187
"8","1983","Rolled barley",214
"9","1984","Rolled barley",222
"10","1985","Rolled barley",210
"11","1986","Rolled barley",207
"12","1987","Rolled barley",205
"13","1988","Rolled barley",207
"14","1989","Rolled barley",213
"15","1990","Rolled barley",211
"16","1991","Rolled barley",207
"17","1992","Rolled barley",206
"18","1993","Rolled barley",206
"19","1994","Rolled barley",199
"20","1995","Rolled barley",198
"21","1996","Rolled barley",204
"22","1997","Rolled barley",190
"23","1998","Rolled barley",175
"24","1999","Rolled barley",185
"25","2000","Rolled barley",185
"26","2001","Rolled barley",187
"27","2002","Rolled barley",188
"28","2003","Rolled barley",190
"29","2004","Rolled barley",201
"30","2005","Rolled barley",187
"31","2006","Rolled barley",197
"32","2007","Rolled barley",254
"33","2008","Rolled barley",290
"34","2009","Rolled barley",235
"35","2010","Rolled barley",216
"36","2011","Rolled barley",271
"37","2012","Rolled barley",291
"38","2013","Rolled barley",305
"39","1976","Bran",112
"40","1977","Bran",149
"41","1978","Bran",156
"42","1979","Bran",183
"43","1980","Bran",211
"44","1981","Bran",225
"45","1982","Bran",247
"46","1983","Bran",290
"47","1984","Bran",327
"48","1985","Bran",330
"49","1986","Bran",335
"50","1987","Bran",338
"51","1988","Bran",335
"52","1989","Bran",344
"53","1990","Bran",341
"54","1991","Bran",353
"55","1992","Bran",353
"56","1993","Bran",361
"57","1994","Bran",378
"58","1995","Bran",363
"59","1996","Bran",379
"60","1997","Bran",380
"61","1998","Bran",377
"62","1999","Bran",375
"63","2000","Bran",383
"64","2001","Bran",384
"65","2002","Bran",385
"66","2003","Bran",393
"67","2004","Bran",416
"68","2005","Bran",428
"69","2006","Bran",439
"70","2007","Bran",506
"71","2008","Bran",618
"72","2009","Bran",638
"73","2010","Bran",NA
"74","2011","Bran",NA
"75","2012","Bran",NA
"76","2013","Bran",NA
"77","1976","Pollard",108
"78","1977","Pollard",139
"79","1978","Pollard",137
"80","1979","Pollard",153
"81","1980","Pollard",165
"82","1981","Pollard",179
"83","1982","Pollard",193
"84","1983","Pollard",218
"85","1984","Pollard",238
"86","1985","Pollard",225
"87","1986","Pollard",225
"88","1987","Pollard",228
"89","1988","Pollard",231
"90","1989","Pollard",239
"91","1990","Pollard",237
"92","1991","Pollard",239
"93","1992","Pollard",238
"94","1993","Pollard",253
"95","1994","Pollard",255
"96","1995","Pollard",266
"97","1996","Pollard",269
"98","1997","Pollard",267
"99","1998","Pollard",248
"100","1999","Pollard",242
"101","2000","Pollard",241
"102","2001","Pollard",250
"103","2002","Pollard",267
"104","2003","Pollard",270
"105","2004","Pollard",302
"106","2005","Pollard",309
"107","2006","Pollard",290
"108","2007","Pollard",299
"109","2008","Pollard",370
"110","2009","Pollard",311
"111","2010","Pollard",NA
"112","2011","Pollard",NA
"113","2012","Pollard",NA
"114","2013","Pollard",NA
"115","1976","Soya bean meal",NA
"116","1977","Soya bean meal",NA
"117","1978","Soya bean meal",NA
"118","1979","Soya bean meal",NA
"119","1980","Soya bean meal",218
"120","1981","Soya bean meal",269
"121","1982","Soya bean meal",278
"122","1983","Soya bean meal",321
"123","1984","Soya bean meal",344
"124","1985","Soya bean meal",299
"125","1986","Soya bean meal",273
"126","1987","Soya bean meal",266
"127","1988","Soya bean meal",321
"128","1989","Soya bean meal",345
"129","1990","Soya bean meal",290
"130","1991","Soya bean meal",249
"131","1992","Soya bean meal",246
"132","1993","Soya bean meal",267
"133","1994","Soya bean meal",278
"134","1995","Soya bean meal",253
"135","1996","Soya bean meal",290
"136","1997","Soya bean meal",324
"137","1998","Soya bean meal",283
"138","1999","Soya bean meal",234
"139","2000","Soya bean meal",277
"140","2001","Soya bean meal",312
"141","2002","Soya bean meal",310
"142","2003","Soya bean meal",297
"143","2004","Soya bean meal",314
"144","2005","Soya bean meal",278
"145","2006","Soya bean meal",287
"146","2007","Soya bean meal",316
"147","2008","Soya bean meal",386
"148","2009","Soya bean meal",395
"149","2010","Soya bean meal",401
"150","2011","Soya bean meal",424
"151","2012","Soya bean meal",481
"152","2013","Soya bean meal",518
"153","1976","Barley meal",117
"154","1977","Barley meal",149
"155","1978","Barley meal",151
"156","1979","Barley meal",173
"157","1980","Barley meal",174
"158","1981","Barley meal",182
"159","1982","Barley meal",192
"160","1983","Barley meal",218
"161","1984","Barley meal",231
"162","1985","Barley meal",212
"163","1986","Barley meal",209
"164","1987","Barley meal",205
"165","1988","Barley meal",209
"166","1989","Barley meal",218
"167","1990","Barley meal",216
"168","1991","Barley meal",213
"169","1992","Barley meal",214
"170","1993","Barley meal",213
"171","1994","Barley meal",207
"172","1995","Barley meal",207
"173","1996","Barley meal",210
"174","1997","Barley meal",196
"175","1998","Barley meal",183
"176","1999","Barley meal",181
"177","2000","Barley meal",181
"178","2001","Barley meal",179
"179","2002","Barley meal",181
"180","2003","Barley meal",188
"181","2004","Barley meal",204
"182","2005","Barley meal",194
"183","2006","Barley meal",210
"184","2007","Barley meal",265
"185","2008","Barley meal",305
"186","2009","Barley meal",233
"187","2010","Barley meal",206
"188","2011","Barley meal",272
"189","2012","Barley meal",291
"190","2013","Barley meal",301
"191","1976","Maize meal",128
"192","1977","Maize meal",162
"193","1978","Maize meal",178
"194","1979","Maize meal",197
"195","1980","Maize meal",206
"196","1981","Maize meal",224
"197","1982","Maize meal",246
"198","1983","Maize meal",270
"199","1984","Maize meal",286
"200","1985","Maize meal",285
"201","1986","Maize meal",271
"202","1987","Maize meal",274
"203","1988","Maize meal",278
"204","1989","Maize meal",276
"205","1990","Maize meal",277
"206","1991","Maize meal",294
"207","1992","Maize meal",288
"208","1993","Maize meal",283
"209","1994","Maize meal",254
"210","1995","Maize meal",262
"211","1996","Maize meal",263
"212","1997","Maize meal",242
"213","1998","Maize meal",213
"214","1999","Maize meal",227
"215","2000","Maize meal",227
"216","2001","Maize meal",245
"217","2002","Maize meal",248
"218","2003","Maize meal",252
"219","2004","Maize meal",263
"220","2005","Maize meal",239
"221","2006","Maize meal",251
"222","2007","Maize meal",303
"223","2008","Maize meal",335
"224","2009","Maize meal",270
"225","2010","Maize meal",267
"226","2011","Maize meal",328
"227","2012","Maize meal",335
"228","2013","Maize meal",337
"229","1976","Flaked maize",147
"230","1977","Flaked maize",187
"231","1978","Flaked maize",206
"232","1979","Flaked maize",228
"233","1980","Flaked maize",239
"234","1981","Flaked maize",262
"235","1982","Flaked maize",291
"236","1983","Flaked maize",324
"237","1984","Flaked maize",346
"238","1985","Flaked maize",356
"239","1986","Flaked maize",362
"240","1987","Flaked maize",371
"241","1988","Flaked maize",368
"242","1989","Flaked maize",370
"243","1990","Flaked maize",368
"244","1991","Flaked maize",380
"245","1992","Flaked maize",377
"246","1993","Flaked maize",365
"247","1994","Flaked maize",351
"248","1995","Flaked maize",349
"249","1996","Flaked maize",360
"250","1997","Flaked maize",355
"251","1998","Flaked maize",344
"252","1999","Flaked maize",336
"253","2000","Flaked maize",336
"254","2001","Flaked maize",342
"255","2002","Flaked maize",342
"256","2003","Flaked maize",344
"257","2004","Flaked maize",355
"258","2005","Flaked maize",344
"259","2006","Flaked maize",346
"260","2007","Flaked maize",399
"261","2008","Flaked maize",458
"262","2009","Flaked maize",453
"263","2010","Flaked maize",452
"264","2011","Flaked maize",480
"265","2012","Flaked maize",503
"266","2013","Flaked maize",488
"267","1976","Pig creep (18-24% protein)",155
"268","1977","Pig creep (18-24% protein)",205
"269","1978","Pig creep (18-24% protein)",210
"270","1979","Pig creep (18-24% protein)",224
"271","1980","Pig creep (18-24% protein)",251
"272","1981","Pig creep (18-24% protein)",282
"273","1982","Pig creep (18-24% protein)",308
"274","1983","Pig creep (18-24% protein)",339
"275","1984","Pig creep (18-24% protein)",359
"276","1985","Pig creep (18-24% protein)",351
"277","1986","Pig creep (18-24% protein)",342
"278","1987","Pig creep (18-24% protein)",346
"279","1988","Pig creep (18-24% protein)",340
"280","1989","Pig creep (18-24% protein)",346
"281","1990","Pig creep (18-24% protein)",336
"282","1991","Pig creep (18-24% protein)",331
"283","1992","Pig creep (18-24% protein)",325
"284","1993","Pig creep (18-24% protein)",NA
"285","1994","Pig creep (18-24% protein)",322
"286","1995","Pig creep (18-24% protein)",312
"287","1996","Pig creep (18-24% protein)",327
"288","1997","Pig creep (18-24% protein)",305
"289","1998","Pig creep (18-24% protein)",276
"290","1999","Pig creep (18-24% protein)",266
"291","2000","Pig creep (18-24% protein)",273
"292","2001","Pig creep (18-24% protein)",290
"293","2002","Pig creep (18-24% protein)",283
"294","2003","Pig creep (18-24% protein)",278
"295","2004","Pig creep (18-24% protein)",291
"296","2005","Pig creep (18-24% protein)",258
"297","2006","Pig creep (18-24% protein)",273
"298","2007","Pig creep (18-24% protein)",298
"299","2008","Pig creep (18-24% protein)",319
"300","2009","Pig creep (18-24% protein)",295
"301","2010","Pig creep (18-24% protein)",NA
"302","2011","Pig creep (18-24% protein)",NA
"303","2012","Pig creep (18-24% protein)",NA
"304","2013","Pig creep (18-24% protein)",NA
"305","1976","Pig grower (16-18% protein)",NA
"306","1977","Pig grower (16-18% protein)",NA
"307","1978","Pig grower (16-18% protein)",NA
"308","1979","Pig grower (16-18% protein)",NA
"309","1980","Pig grower (16-18% protein)",197
"310","1981","Pig grower (16-18% protein)",220
"311","1982","Pig grower (16-18% protein)",239
"312","1983","Pig grower (16-18% protein)",260
"313","1984","Pig grower (16-18% protein)",275
"314","1985","Pig grower (16-18% protein)",256
"315","1986","Pig grower (16-18% protein)",253
"316","1987","Pig grower (16-18% protein)",251
"317","1988","Pig grower (16-18% protein)",263
"318","1989","Pig grower (16-18% protein)",279
"319","1990","Pig grower (16-18% protein)",270
"320","1991","Pig grower (16-18% protein)",254
"321","1992","Pig grower (16-18% protein)",254
"322","1993","Pig grower (16-18% protein)",251
"323","1994","Pig grower (16-18% protein)",253
"324","1995","Pig grower (16-18% protein)",244
"325","1996","Pig grower (16-18% protein)",262
"326","1997","Pig grower (16-18% protein)",257
"327","1998","Pig grower (16-18% protein)",238
"328","1999","Pig grower (16-18% protein)",228
"329","2000","Pig grower (16-18% protein)",231
"330","2001","Pig grower (16-18% protein)",244
"331","2002","Pig grower (16-18% protein)",249
"332","2003","Pig grower (16-18% protein)",248
"333","2004","Pig grower (16-18% protein)",259
"334","2005","Pig grower (16-18% protein)",253
"335","2006","Pig grower (16-18% protein)",255
"336","2007","Pig grower (16-18% protein)",306
"337","2008","Pig grower (16-18% protein)",337
"338","2009","Pig grower (16-18% protein)",315
"339","2010","Pig grower (16-18% protein)",NA
"340","2011","Pig grower (16-18% protein)",NA
"341","2012","Pig grower (16-18% protein)",NA
"342","2013","Pig grower (16-18% protein)",NA
"343","1976","Pig fattening meal (13-15% protein)",130
"344","1977","Pig fattening meal (13-15% protein)",169
"345","1978","Pig fattening meal (13-15% protein)",170
"346","1979","Pig fattening meal (13-15% protein)",185
"347","1980","Pig fattening meal (13-15% protein)",192
"348","1981","Pig fattening meal (13-15% protein)",211
"349","1982","Pig fattening meal (13-15% protein)",227
"350","1983","Pig fattening meal (13-15% protein)",250
"351","1984","Pig fattening meal (13-15% protein)",267
"352","1985","Pig fattening meal (13-15% protein)",248
"353","1986","Pig fattening meal (13-15% protein)",241
"354","1987","Pig fattening meal (13-15% protein)",240
"355","1988","Pig fattening meal (13-15% protein)",244
"356","1989","Pig fattening meal (13-15% protein)",254
"357","1990","Pig fattening meal (13-15% protein)",248
"358","1991","Pig fattening meal (13-15% protein)",247
"359","1992","Pig fattening meal (13-15% protein)",249
"360","1993","Pig fattening meal (13-15% protein)",249
"361","1994","Pig fattening meal (13-15% protein)",247
"362","1995","Pig fattening meal (13-15% protein)",248
"363","1996","Pig fattening meal (13-15% protein)",261
"364","1997","Pig fattening meal (13-15% protein)",248
"365","1998","Pig fattening meal (13-15% protein)",242
"366","1999","Pig fattening meal (13-15% protein)",239
"367","2000","Pig fattening meal (13-15% protein)",238
"368","2001","Pig fattening meal (13-15% protein)",255
"369","2002","Pig fattening meal (13-15% protein)",258
"370","2003","Pig fattening meal (13-15% protein)",255
"371","2004","Pig fattening meal (13-15% protein)",263
"372","2005","Pig fattening meal (13-15% protein)",253
"373","2006","Pig fattening meal (13-15% protein)",253
"374","2007","Pig fattening meal (13-15% protein)",284
"375","2008","Pig fattening meal (13-15% protein)",326
"376","2009","Pig fattening meal (13-15% protein)",290
"377","2010","Pig fattening meal (13-15% protein)",280
"378","2011","Pig fattening meal (13-15% protein)",325
"379","2012","Pig fattening meal (13-15% protein)",359
"380","2013","Pig fattening meal (13-15% protein)",397
"381","1976","Sow breeder (14-16% protein)",NA
"382","1977","Sow breeder (14-16% protein)",NA
"383","1978","Sow breeder (14-16% protein)",NA
"384","1979","Sow breeder (14-16% protein)",NA
"385","1980","Sow breeder (14-16% protein)",192
"386","1981","Sow breeder (14-16% protein)",212
"387","1982","Sow breeder (14-16% protein)",230
"388","1983","Sow breeder (14-16% protein)",253
"389","1984","Sow breeder (14-16% protein)",266
"390","1985","Sow breeder (14-16% protein)",248
"391","1986","Sow breeder (14-16% protein)",244
"392","1987","Sow breeder (14-16% protein)",244
"393","1988","Sow breeder (14-16% protein)",253
"394","1989","Sow breeder (14-16% protein)",264
"395","1990","Sow breeder (14-16% protein)",254
"396","1991","Sow breeder (14-16% protein)",246
"397","1992","Sow breeder (14-16% protein)",248
"398","1993","Sow breeder (14-16% protein)",246
"399","1994","Sow breeder (14-16% protein)",245
"400","1995","Sow breeder (14-16% protein)",241
"401","1996","Sow breeder (14-16% protein)",253
"402","1997","Sow breeder (14-16% protein)",251
"403","1998","Sow breeder (14-16% protein)",238
"404","1999","Sow breeder (14-16% protein)",230
"405","2000","Sow breeder (14-16% protein)",224
"406","2001","Sow breeder (14-16% protein)",238
"407","2002","Sow breeder (14-16% protein)",242
"408","2003","Sow breeder (14-16% protein)",247
"409","2004","Sow breeder (14-16% protein)",255
"410","2005","Sow breeder (14-16% protein)",241
"411","2006","Sow breeder (14-16% protein)",255
"412","2007","Sow breeder (14-16% protein)",296
"413","2008","Sow breeder (14-16% protein)",323
"414","2009","Sow breeder (14-16% protein)",288
"415","2010","Sow breeder (14-16% protein)",263
"416","2011","Sow breeder (14-16% protein)",305
"417","2012","Sow breeder (14-16% protein)",329
"418","2013","Sow breeder (14-16% protein)",361
"419","1976","Sow, weaner and 'bonham' meal (16-17.5% protein)",135
"420","1977","Sow, weaner and 'bonham' meal (16-17.5% protein)",176
"421","1978","Sow, weaner and 'bonham' meal (16-17.5% protein)",176
"422","1979","Sow, weaner and 'bonham' meal (16-17.5% protein)",191
"423","1980","Sow, weaner and 'bonham' meal (16-17.5% protein)",197
"424","1981","Sow, weaner and 'bonham' meal (16-17.5% protein)",216
"425","1982","Sow, weaner and 'bonham' meal (16-17.5% protein)",231
"426","1983","Sow, weaner and 'bonham' meal (16-17.5% protein)",257
"427","1984","Sow, weaner and 'bonham' meal (16-17.5% protein)",277
"428","1985","Sow, weaner and 'bonham' meal (16-17.5% protein)",264
"429","1986","Sow, weaner and 'bonham' meal (16-17.5% protein)",254
"430","1987","Sow, weaner and 'bonham' meal (16-17.5% protein)",248
"431","1988","Sow, weaner and 'bonham' meal (16-17.5% protein)",257
"432","1989","Sow, weaner and 'bonham' meal (16-17.5% protein)",269
"433","1990","Sow, weaner and 'bonham' meal (16-17.5% protein)",265
"434","1991","Sow, weaner and 'bonham' meal (16-17.5% protein)",257
"435","1992","Sow, weaner and 'bonham' meal (16-17.5% protein)",261
"436","1993","Sow, weaner and 'bonham' meal (16-17.5% protein)",258
"437","1994","Sow, weaner and 'bonham' meal (16-17.5% protein)",257
"438","1995","Sow, weaner and 'bonham' meal (16-17.5% protein)",252
"439","1996","Sow, weaner and 'bonham' meal (16-17.5% protein)",267
"440","1997","Sow, weaner and 'bonham' meal (16-17.5% protein)",259
"441","1998","Sow, weaner and 'bonham' meal (16-17.5% protein)",251
"442","1999","Sow, weaner and 'bonham' meal (16-17.5% protein)",241
"443","2000","Sow, weaner and 'bonham' meal (16-17.5% protein)",245
"444","2001","Sow, weaner and 'bonham' meal (16-17.5% protein)",264
"445","2002","Sow, weaner and 'bonham' meal (16-17.5% protein)",272
"446","2003","Sow, weaner and 'bonham' meal (16-17.5% protein)",273
"447","2004","Sow, weaner and 'bonham' meal (16-17.5% protein)",282
"448","2005","Sow, weaner and 'bonham' meal (16-17.5% protein)",283
"449","2006","Sow, weaner and 'bonham' meal (16-17.5% protein)",293
"450","2007","Sow, weaner and 'bonham' meal (16-17.5% protein)",338
