"","Year","Type.of.Fertiliser","value"
"1","1980","Calcium Ammonium Nitrate (27.5% N)",126
"2","1981","Calcium Ammonium Nitrate (27.5% N)",144
"3","1982","Calcium Ammonium Nitrate (27.5% N)",157
"4","1983","Calcium Ammonium Nitrate (27.5% N)",158
"5","1984","Calcium Ammonium Nitrate (27.5% N)",163
"6","1985","Calcium Ammonium Nitrate (27.5% N)",179
"7","1986","Calcium Ammonium Nitrate (27.5% N)",154
"8","1987","Calcium Ammonium Nitrate (27.5% N)",124
"9","1988","Calcium Ammonium Nitrate (27.5% N)",137
"10","1989","Calcium Ammonium Nitrate (27.5% N)",145
"11","1990","Calcium Ammonium Nitrate (27.5% N)",143
"12","1991","Calcium Ammonium Nitrate (27.5% N)",151
"13","1992","Calcium Ammonium Nitrate (27.5% N)",145
"14","1993","Calcium Ammonium Nitrate (27.5% N)",132
"15","1994","Calcium Ammonium Nitrate (27.5% N)",137
"16","1995","Calcium Ammonium Nitrate (27.5% N)",155
"17","1996","Calcium Ammonium Nitrate (27.5% N)",163
"18","1997","Calcium Ammonium Nitrate (27.5% N)",150
"19","1998","Calcium Ammonium Nitrate (27.5% N)",139
"20","1999","Calcium Ammonium Nitrate (27.5% N)",143
"21","2000","Calcium Ammonium Nitrate (27.5% N)",164
"22","2001","Calcium Ammonium Nitrate (27.5% N)",193
"23","2002","Calcium Ammonium Nitrate (27.5% N)",188
"24","2003","Calcium Ammonium Nitrate (27.5% N)",191
"25","2004","Calcium Ammonium Nitrate (27.5% N)",201
"26","2005","Calcium Ammonium Nitrate (27.5% N)",218
"27","2006","Calcium Ammonium Nitrate (27.5% N)",227
"28","2007","Calcium Ammonium Nitrate (27.5% N)",233
"29","2008","Calcium Ammonium Nitrate (27.5% N)",352
"30","2009","Calcium Ammonium Nitrate (27.5% N)",280
"31","2010","Calcium Ammonium Nitrate (27.5% N)",252
"32","2011","Calcium Ammonium Nitrate (27.5% N)",326
"33","2012","Calcium Ammonium Nitrate (27.5% N)",331
"34","2013","Calcium Ammonium Nitrate (27.5% N)",329
"35","1980","Urea (46% N)",159
"36","1981","Urea (46% N)",181
"37","1982","Urea (46% N)",197
"38","1983","Urea (46% N)",206
"39","1984","Urea (46% N)",213
"40","1985","Urea (46% N)",242
"41","1986","Urea (46% N)",195
"42","1987","Urea (46% N)",140
"43","1988","Urea (46% N)",165
"44","1989","Urea (46% N)",189
"45","1990","Urea (46% N)",178
"46","1991","Urea (46% N)",199
"47","1992","Urea (46% N)",196
"48","1993","Urea (46% N)",182
"49","1994","Urea (46% N)",186
"50","1995","Urea (46% N)",201
"51","1996","Urea (46% N)",217
"52","1997","Urea (46% N)",208
"53","1998","Urea (46% N)",193
"54","1999","Urea (46% N)",189
"55","2000","Urea (46% N)",201
"56","2001","Urea (46% N)",241
"57","2002","Urea (46% N)",235
"58","2003","Urea (46% N)",240
"59","2004","Urea (46% N)",261
"60","2005","Urea (46% N)",288
"61","2006","Urea (46% N)",310
"62","2007","Urea (46% N)",312
"63","2008","Urea (46% N)",419
"64","2009","Urea (46% N)",389
"65","2010","Urea (46% N)",330
"66","2011","Urea (46% N)",404
"67","2012","Urea (46% N)",436
"68","2013","Urea (46% N)",440
"69","1980","Granular Superphosphate (16% P)",170
"70","1981","Granular Superphosphate (16% P)",203
"71","1982","Granular Superphosphate (16% P)",232
"72","1983","Granular Superphosphate (16% P)",241
"73","1984","Granular Superphosphate (16% P)",263
"74","1985","Granular Superphosphate (16% P)",283
"75","1986","Granular Superphosphate (16% P)",NA
"76","1987","Granular Superphosphate (16% P)",219
"77","1988","Granular Superphosphate (16% P)",NA
"78","1989","Granular Superphosphate (16% P)",NA
"79","1990","Granular Superphosphate (16% P)",246
"80","1991","Granular Superphosphate (16% P)",242
"81","1992","Granular Superphosphate (16% P)",240
"82","1993","Granular Superphosphate (16% P)",233
"83","1994","Granular Superphosphate (16% P)",239
"84","1995","Granular Superphosphate (16% P)",249
"85","1996","Granular Superphosphate (16% P)",256
"86","1997","Granular Superphosphate (16% P)",253
"87","1998","Granular Superphosphate (16% P)",252
"88","1999","Granular Superphosphate (16% P)",261
"89","2000","Granular Superphosphate (16% P)",268
"90","2001","Granular Superphosphate (16% P)",272
"91","2002","Granular Superphosphate (16% P)",268
"92","2003","Granular Superphosphate (16% P)",268
"93","2004","Granular Superphosphate (16% P)",275
"94","2005","Granular Superphosphate (16% P)",278
"95","2006","Granular Superphosphate (16% P)",286
"96","2007","Granular Superphosphate (16% P)",293
"97","2008","Granular Superphosphate (16% P)",527
"98","2009","Granular Superphosphate (16% P)",555
"99","2010","Granular Superphosphate (16% P)",NA
"100","2011","Granular Superphosphate (16% P)",NA
"101","2012","Granular Superphosphate (16% P)",462
"102","2013","Granular Superphosphate (16% P)",458
"103","1980","Muriate of Potash (50% K)",114
