"","Product","Year","value"
"1","Milk (per litre), actual butterfat","1976",0.099
"2","Milk (per litre), 3.7% butterfat","1976",0.099
"3","Hens eggs (10 dozen)","1976",4.32
"4","Milk (per litre), actual butterfat","1977",0.13
"5","Milk (per litre), 3.7% butterfat","1977",0.133
"6","Hens eggs (10 dozen)","1977",4.95
"7","Milk (per litre), actual butterfat","1978",0.142
"8","Milk (per litre), 3.7% butterfat","1978",0.145
"9","Hens eggs (10 dozen)","1978",4.6
"10","Milk (per litre), actual butterfat","1979",0.146
"11","Milk (per litre), 3.7% butterfat","1979",0.151
"12","Hens eggs (10 dozen)","1979",5.6
"13","Milk (per litre), actual butterfat","1980",0.143
"14","Milk (per litre), 3.7% butterfat","1980",0.149
"15","Hens eggs (10 dozen)","1980",6.32
"16","Milk (per litre), actual butterfat","1981",0.165
"17","Milk (per litre), 3.7% butterfat","1981",0.17
"18","Hens eggs (10 dozen)","1981",7.5
"19","Milk (per litre), actual butterfat","1982",0.182
"20","Milk (per litre), 3.7% butterfat","1982",0.188
"21","Hens eggs (10 dozen)","1982",6.83
"22","Milk (per litre), actual butterfat","1983",0.198
"23","Milk (per litre), 3.7% butterfat","1983",0.204
"24","Hens eggs (10 dozen)","1983",6.83
"25","Milk (per litre), actual butterfat","1984",0.201
"26","Milk (per litre), 3.7% butterfat","1984",0.204
"27","Hens eggs (10 dozen)","1984",7.96
"28","Milk (per litre), actual butterfat","1985",0.21
"29","Milk (per litre), 3.7% butterfat","1985",0.215
"30","Hens eggs (10 dozen)","1985",7.14
"31","Milk (per litre), actual butterfat","1986",0.215
"32","Milk (per litre), 3.7% butterfat","1986",0.221
"33","Hens eggs (10 dozen)","1986",5.9
"34","Milk (per litre), actual butterfat","1987",0.223
"35","Milk (per litre), 3.7% butterfat","1987",0.23
"36","Hens eggs (10 dozen)","1987",6.49
"37","Milk (per litre), actual butterfat","1988",0.25
"38","Milk (per litre), 3.7% butterfat","1988",0.258
"39","Hens eggs (10 dozen)","1988",6.15
"40","Milk (per litre), actual butterfat","1989",0.284
"41","Milk (per litre), 3.7% butterfat","1989",0.292
"42","Hens eggs (10 dozen)","1989",7.16
"43","Milk (per litre), actual butterfat","1990",0.245
"44","Milk (per litre), 3.7% butterfat","1990",0.251
"45","Hens eggs (10 dozen)","1990",7.36
"46","Milk (per litre), actual butterfat","1991",0.236
"47","Milk (per litre), 3.7% butterfat","1991",0.243
"48","Hens eggs (10 dozen)","1991",6.84
"49","Milk (per litre), actual butterfat","1992",0.258
"50","Milk (per litre), 3.7% butterfat","1992",0.263
"51","Hens eggs (10 dozen)","1992",6.02
"52","Milk (per litre), actual butterfat","1993",0.278
"53","Milk (per litre), 3.7% butterfat","1993",0.286
"54","Hens eggs (10 dozen)","1993",6.01
"55","Milk (per litre), actual butterfat","1994",0.277
"56","Milk (per litre), 3.7% butterfat","1994",0.282
"57","Hens eggs (10 dozen)","1994",6.27
"58","Milk (per litre), actual butterfat","1995",0.295
"59","Milk (per litre), 3.7% butterfat","1995",0.301
"60","Hens eggs (10 dozen)","1995",6.03
"61","Milk (per litre), actual butterfat","1996",0.296
"62","Milk (per litre), 3.7% butterfat","1996",0.302
"63","Hens eggs (10 dozen)","1996",6.83
"64","Milk (per litre), actual butterfat","1997",0.274
"65","Milk (per litre), 3.7% butterfat","1997",0.278
"66","Hens eggs (10 dozen)","1997",6.6
"67","Milk (per litre), actual butterfat","1998",0.291
"68","Milk (per litre), 3.7% butterfat","1998",0.292
"69","Hens eggs (10 dozen)","1998",6.3
"70","Milk (per litre), actual butterfat","1999",0.284
"71","Milk (per litre), 3.7% butterfat","1999",0.284
"72","Hens eggs (10 dozen)","1999",6.16
"73","Milk (per litre), actual butterfat","2000",0.293
"74","Milk (per litre), 3.7% butterfat","2000",0.293
"75","Hens eggs (10 dozen)","2000",5.98
"76","Milk (per litre), actual butterfat","2001",0.307
"77","Milk (per litre), 3.7% butterfat","2001",0.305
"78","Hens eggs (10 dozen)","2001",6.13
"79","Milk (per litre), actual butterfat","2002",0.283
"80","Milk (per litre), 3.7% butterfat","2002",0.281
"81","Hens eggs (10 dozen)","2002",6.13
"82","Milk (per litre), actual butterfat","2003",0.279
"83","Milk (per litre), 3.7% butterfat","2003",0.278
"84","Hens eggs (10 dozen)","2003",6.15
"85","Milk (per litre), actual butterfat","2004",0.279
"86","Milk (per litre), 3.7% butterfat","2004",0.277
"87","Hens eggs (10 dozen)","2004",6.37
"88","Milk (per litre), actual butterfat","2005",0.274
"89","Milk (per litre), 3.7% butterfat","2005",0.273
"90","Hens eggs (10 dozen)","2005",6.24
"91","Milk (per litre), actual butterfat","2006",0.264
"92","Milk (per litre), 3.7% butterfat","2006",0.262
"93","Hens eggs (10 dozen)","2006",6.225
"94","Milk (per litre), actual butterfat","2007",0.338
"95","Milk (per litre), 3.7% butterfat","2007",0.335
"96","Hens eggs (10 dozen)","2007",7.23
"97","Milk (per litre), actual butterfat","2008",0.338
"98","Milk (per litre), 3.7% butterfat","2008",0.332
"99","Hens eggs (10 dozen)","2008",8.07
"100","Milk (per litre), actual butterfat","2009",0.233
"101","Milk (per litre), 3.7% butterfat","2009",0.229
"102","Hens eggs (10 dozen)","2009",7.14
"103","Milk (per litre), actual butterfat","2010",0.308
"104","Milk (per litre), 3.7% butterfat","2010",0.302
"105","Hens eggs (10 dozen)","2010",6.87
"106","Milk (per litre), actual butterfat","2011",0.355
"107","Milk (per litre), 3.7% butterfat","2011",0.348
"108","Hens eggs (10 dozen)","2011",NA
