"","Statistic","Month","Type.of.Cattle","value"
"1","Cattle Price per Head (Euro)","1976M01","Bullocks 200-249kg",NA
"2","Cattle Price per 100 Kg (Euro)","1976M01","Bullocks 200-249kg",NA
"3","Cattle Price per Head (Euro)","1976M02","Bullocks 200-249kg",NA
"4","Cattle Price per 100 Kg (Euro)","1976M02","Bullocks 200-249kg",NA
"5","Cattle Price per Head (Euro)","1976M03","Bullocks 200-249kg",NA
"6","Cattle Price per 100 Kg (Euro)","1976M03","Bullocks 200-249kg",NA
"7","Cattle Price per Head (Euro)","1976M04","Bullocks 200-249kg",NA
"8","Cattle Price per 100 Kg (Euro)","1976M04","Bullocks 200-249kg",NA
"9","Cattle Price per Head (Euro)","1976M05","Bullocks 200-249kg",NA
"10","Cattle Price per 100 Kg (Euro)","1976M05","Bullocks 200-249kg",NA
"11","Cattle Price per Head (Euro)","1976M06","Bullocks 200-249kg",NA
"12","Cattle Price per 100 Kg (Euro)","1976M06","Bullocks 200-249kg",NA
"13","Cattle Price per Head (Euro)","1976M07","Bullocks 200-249kg",NA
"14","Cattle Price per 100 Kg (Euro)","1976M07","Bullocks 200-249kg",NA
"15","Cattle Price per Head (Euro)","1976M08","Bullocks 200-249kg",NA
"16","Cattle Price per 100 Kg (Euro)","1976M08","Bullocks 200-249kg",NA
"17","Cattle Price per Head (Euro)","1976M09","Bullocks 200-249kg",NA
"18","Cattle Price per 100 Kg (Euro)","1976M09","Bullocks 200-249kg",NA
"19","Cattle Price per Head (Euro)","1976M10","Bullocks 200-249kg",NA
"20","Cattle Price per 100 Kg (Euro)","1976M10","Bullocks 200-249kg",NA
"21","Cattle Price per Head (Euro)","1976M11","Bullocks 200-249kg",NA
"22","Cattle Price per 100 Kg (Euro)","1976M11","Bullocks 200-249kg",NA
"23","Cattle Price per Head (Euro)","1976M12","Bullocks 200-249kg",NA
"24","Cattle Price per 100 Kg (Euro)","1976M12","Bullocks 200-249kg",NA
"25","Cattle Price per Head (Euro)","1977M01","Bullocks 200-249kg",NA
"26","Cattle Price per 100 Kg (Euro)","1977M01","Bullocks 200-249kg",NA
"27","Cattle Price per Head (Euro)","1977M02","Bullocks 200-249kg",NA
"28","Cattle Price per 100 Kg (Euro)","1977M02","Bullocks 200-249kg",NA
"29","Cattle Price per Head (Euro)","1977M03","Bullocks 200-249kg",NA
"30","Cattle Price per 100 Kg (Euro)","1977M03","Bullocks 200-249kg",NA
"31","Cattle Price per Head (Euro)","1977M04","Bullocks 200-249kg",NA
"32","Cattle Price per 100 Kg (Euro)","1977M04","Bullocks 200-249kg",NA
"33","Cattle Price per Head (Euro)","1977M05","Bullocks 200-249kg",NA
"34","Cattle Price per 100 Kg (Euro)","1977M05","Bullocks 200-249kg",NA
"35","Cattle Price per Head (Euro)","1977M06","Bullocks 200-249kg",NA
"36","Cattle Price per 100 Kg (Euro)","1977M06","Bullocks 200-249kg",NA
"37","Cattle Price per Head (Euro)","1977M07","Bullocks 200-249kg",NA
"38","Cattle Price per 100 Kg (Euro)","1977M07","Bullocks 200-249kg",NA
"39","Cattle Price per Head (Euro)","1977M08","Bullocks 200-249kg",NA
"40","Cattle Price per 100 Kg (Euro)","1977M08","Bullocks 200-249kg",NA
"41","Cattle Price per Head (Euro)","1977M09","Bullocks 200-249kg",NA
"42","Cattle Price per 100 Kg (Euro)","1977M09","Bullocks 200-249kg",NA
"43","Cattle Price per Head (Euro)","1977M10","Bullocks 200-249kg",NA
"44","Cattle Price per 100 Kg (Euro)","1977M10","Bullocks 200-249kg",NA
"45","Cattle Price per Head (Euro)","1977M11","Bullocks 200-249kg",NA
"46","Cattle Price per 100 Kg (Euro)","1977M11","Bullocks 200-249kg",NA
"47","Cattle Price per Head (Euro)","1977M12","Bullocks 200-249kg",NA
"48","Cattle Price per 100 Kg (Euro)","1977M12","Bullocks 200-249kg",NA
"49","Cattle Price per Head (Euro)","1978M01","Bullocks 200-249kg",211.04
"50","Cattle Price per 100 Kg (Euro)","1978M01","Bullocks 200-249kg",93.54
"51","Cattle Price per Head (Euro)","1978M02","Bullocks 200-249kg",229.72
"52","Cattle Price per 100 Kg (Euro)","1978M02","Bullocks 200-249kg",101.41
"53","Cattle Price per Head (Euro)","1978M03","Bullocks 200-249kg",238.28
"54","Cattle Price per 100 Kg (Euro)","1978M03","Bullocks 200-249kg",105.81
"55","Cattle Price per Head (Euro)","1978M04","Bullocks 200-249kg",257.44
"56","Cattle Price per 100 Kg (Euro)","1978M04","Bullocks 200-249kg",113.98
"57","Cattle Price per Head (Euro)","1978M05","Bullocks 200-249kg",251.5
"58","Cattle Price per 100 Kg (Euro)","1978M05","Bullocks 200-249kg",111.19
"59","Cattle Price per Head (Euro)","1978M06","Bullocks 200-249kg",253.96
"60","Cattle Price per 100 Kg (Euro)","1978M06","Bullocks 200-249kg",112.24
"61","Cattle Price per Head (Euro)","1978M07","Bullocks 200-249kg",235.33
"62","Cattle Price per 100 Kg (Euro)","1978M07","Bullocks 200-249kg",103.64
"63","Cattle Price per Head (Euro)","1978M08","Bullocks 200-249kg",233.91
"64","Cattle Price per 100 Kg (Euro)","1978M08","Bullocks 200-249kg",102.86
"65","Cattle Price per Head (Euro)","1978M09","Bullocks 200-249kg",243.45
"66","Cattle Price per 100 Kg (Euro)","1978M09","Bullocks 200-249kg",105.91
"67","Cattle Price per Head (Euro)","1978M10","Bullocks 200-249kg",243.36
"68","Cattle Price per 100 Kg (Euro)","1978M10","Bullocks 200-249kg",107.03
"69","Cattle Price per Head (Euro)","1978M11","Bullocks 200-249kg",248.31
