"","Statistic","Month","Liveweight","value"
"1","Sheep Price per Head (Euro)","1976M01","Mart Sheep 30-39kg",19.62
"2","Sheep Price per Kg (Euro)","1976M01","Mart Sheep 30-39kg",0.55
"3","Sheep Price per Head (Euro)","1976M02","Mart Sheep 30-39kg",20.95
"4","Sheep Price per Kg (Euro)","1976M02","Mart Sheep 30-39kg",0.58
"5","Sheep Price per Head (Euro)","1976M03","Mart Sheep 30-39kg",20.86
"6","Sheep Price per Kg (Euro)","1976M03","Mart Sheep 30-39kg",0.57
"7","Sheep Price per Head (Euro)","1976M04","Mart Sheep 30-39kg",26.04
"8","Sheep Price per Kg (Euro)","1976M04","Mart Sheep 30-39kg",0.71
"9","Sheep Price per Head (Euro)","1976M05","Mart Sheep 30-39kg",24.89
"10","Sheep Price per Kg (Euro)","1976M05","Mart Sheep 30-39kg",0.66
"11","Sheep Price per Head (Euro)","1976M06","Mart Sheep 30-39kg",23.73
"12","Sheep Price per Kg (Euro)","1976M06","Mart Sheep 30-39kg",0.63
"13","Sheep Price per Head (Euro)","1976M07","Mart Sheep 30-39kg",24.28
"14","Sheep Price per Kg (Euro)","1976M07","Mart Sheep 30-39kg",0.67
"15","Sheep Price per Head (Euro)","1976M08","Mart Sheep 30-39kg",25.42
"16","Sheep Price per Kg (Euro)","1976M08","Mart Sheep 30-39kg",0.69
"17","Sheep Price per Head (Euro)","1976M09","Mart Sheep 30-39kg",23.97
"18","Sheep Price per Kg (Euro)","1976M09","Mart Sheep 30-39kg",0.66
"19","Sheep Price per Head (Euro)","1976M10","Mart Sheep 30-39kg",29.56
"20","Sheep Price per Kg (Euro)","1976M10","Mart Sheep 30-39kg",0.81
"21","Sheep Price per Head (Euro)","1976M11","Mart Sheep 30-39kg",26.89
"22","Sheep Price per Kg (Euro)","1976M11","Mart Sheep 30-39kg",0.74
"23","Sheep Price per Head (Euro)","1976M12","Mart Sheep 30-39kg",25.33
"24","Sheep Price per Kg (Euro)","1976M12","Mart Sheep 30-39kg",0.7
"25","Sheep Price per Head (Euro)","1977M01","Mart Sheep 30-39kg",26.63
"26","Sheep Price per Kg (Euro)","1977M01","Mart Sheep 30-39kg",0.75
"27","Sheep Price per Head (Euro)","1977M02","Mart Sheep 30-39kg",23.83
