"","Statistic","Liveweight","Month","value"
"1","Pig Price per Head (Euro)","Pigs 15-24 kg","1976M01",23.24
"2","Pig Price per Kg (Euro)","Pigs 15-24 kg","1976M01",1.02
"3","Pig Price per Head (Euro)","Pigs 25-34 kg","1976M01",27.93
"4","Pig Price per Kg (Euro)","Pigs 25-34 kg","1976M01",0.88
"5","Pig Price per Head (Euro)","Pigs 35-44 kg","1976M01",31.87
"6","Pig Price per Kg (Euro)","Pigs 35-44 kg","1976M01",0.81
"7","Pig Price per Head (Euro)","Pigs 45-54 kg","1976M01",34.91
"8","Pig Price per Kg (Euro)","Pigs 45-54 kg","1976M01",0.71
"9","Pig Price per Head (Euro)","Pigs 15-24 kg","1976M02",22.2
"10","Pig Price per Kg (Euro)","Pigs 15-24 kg","1976M02",1
"11","Pig Price per Head (Euro)","Pigs 25-34 kg","1976M02",28.62
"12","Pig Price per Kg (Euro)","Pigs 25-34 kg","1976M02",0.9
"13","Pig Price per Head (Euro)","Pigs 35-44 kg","1976M02",33.46
"14","Pig Price per Kg (Euro)","Pigs 35-44 kg","1976M02",0.84
"15","Pig Price per Head (Euro)","Pigs 45-54 kg","1976M02",36.31
"16","Pig Price per Kg (Euro)","Pigs 45-54 kg","1976M02",0.75
"17","Pig Price per Head (Euro)","Pigs 15-24 kg","1976M03",23.38
"18","Pig Price per Kg (Euro)","Pigs 15-24 kg","1976M03",1
"19","Pig Price per Head (Euro)","Pigs 25-34 kg","1976M03",28.11
"20","Pig Price per Kg (Euro)","Pigs 25-34 kg","1976M03",0.89
"21","Pig Price per Head (Euro)","Pigs 35-44 kg","1976M03",33.13
"22","Pig Price per Kg (Euro)","Pigs 35-44 kg","1976M03",0.84
"23","Pig Price per Head (Euro)","Pigs 45-54 kg","1976M03",35.54
"24","Pig Price per Kg (Euro)","Pigs 45-54 kg","1976M03",0.74
"25","Pig Price per Head (Euro)","Pigs 15-24 kg","1976M04",21.84
"26","Pig Price per Kg (Euro)","Pigs 15-24 kg","1976M04",0.99
"27","Pig Price per Head (Euro)","Pigs 25-34 kg","1976M04",27.5
"28","Pig Price per Kg (Euro)","Pigs 25-34 kg","1976M04",0.88
"29","Pig Price per Head (Euro)","Pigs 35-44 kg","1976M04",32.12
"30","Pig Price per Kg (Euro)","Pigs 35-44 kg","1976M04",0.81
"31","Pig Price per Head (Euro)","Pigs 45-54 kg","1976M04",35.79
"32","Pig Price per Kg (Euro)","Pigs 45-54 kg","1976M04",0.74
"33","Pig Price per Head (Euro)","Pigs 15-24 kg","1976M05",22.23
"34","Pig Price per Kg (Euro)","Pigs 15-24 kg","1976M05",0.93
"35","Pig Price per Head (Euro)","Pigs 25-34 kg","1976M05",27.9
"36","Pig Price per Kg (Euro)","Pigs 25-34 kg","1976M05",0.89
"37","Pig Price per Head (Euro)","Pigs 35-44 kg","1976M05",32.31
"38","Pig Price per Kg (Euro)","Pigs 35-44 kg","1976M05",0.81
"39","Pig Price per Head (Euro)","Pigs 45-54 kg","1976M05",36.04
"40","Pig Price per Kg (Euro)","Pigs 45-54 kg","1976M05",0.76
"41","Pig Price per Head (Euro)","Pigs 15-24 kg","1976M06",20.58
"42","Pig Price per Kg (Euro)","Pigs 15-24 kg","1976M06",0.89
"43","Pig Price per Head (Euro)","Pigs 25-34 kg","1976M06",26.26
"44","Pig Price per Kg (Euro)","Pigs 25-34 kg","1976M06",0.83
"45","Pig Price per Head (Euro)","Pigs 35-44 kg","1976M06",31.13
"46","Pig Price per Kg (Euro)","Pigs 35-44 kg","1976M06",0.8
"47","Pig Price per Head (Euro)","Pigs 45-54 kg","1976M06",33.7
"48","Pig Price per Kg (Euro)","Pigs 45-54 kg","1976M06",0.71
"49","Pig Price per Head (Euro)","Pigs 15-24 kg","1976M07",18.58
"50","Pig Price per Kg (Euro)","Pigs 15-24 kg","1976M07",0.81
"51","Pig Price per Head (Euro)","Pigs 25-34 kg","1976M07",24.99
"52","Pig Price per Kg (Euro)","Pigs 25-34 kg","1976M07",0.8
"53","Pig Price per Head (Euro)","Pigs 35-44 kg","1976M07",31.48
"54","Pig Price per Kg (Euro)","Pigs 35-44 kg","1976M07",0.79
"55","Pig Price per Head (Euro)","Pigs 45-54 kg","1976M07",34.75
"56","Pig Price per Kg (Euro)","Pigs 45-54 kg","1976M07",0.72
"57","Pig Price per Head (Euro)","Pigs 15-24 kg","1976M08",20.75
"58","Pig Price per Kg (Euro)","Pigs 15-24 kg","1976M08",0.88
"59","Pig Price per Head (Euro)","Pigs 25-34 kg","1976M08",25.95
"60","Pig Price per Kg (Euro)","Pigs 25-34 kg","1976M08",0.83
"61","Pig Price per Head (Euro)","Pigs 35-44 kg","1976M08",31.48
"62","Pig Price per Kg (Euro)","Pigs 35-44 kg","1976M08",0.8
"63","Pig Price per Head (Euro)","Pigs 45-54 kg","1976M08",35.76
"64","Pig Price per Kg (Euro)","Pigs 45-54 kg","1976M08",0.74
"65","Pig Price per Head (Euro)","Pigs 15-24 kg","1976M09",20.16
"66","Pig Price per Kg (Euro)","Pigs 15-24 kg","1976M09",0.89
"67","Pig Price per Head (Euro)","Pigs 25-34 kg","1976M09",25.86
"68","Pig Price per Kg (Euro)","Pigs 25-34 kg","1976M09",0.81
"69","Pig Price per Head (Euro)","Pigs 35-44 kg","1976M09",31.05
"70","Pig Price per Kg (Euro)","Pigs 35-44 kg","1976M09",0.79
"71","Pig Price per Head (Euro)","Pigs 45-54 kg","1976M09",34.41
"72","Pig Price per Kg (Euro)","Pigs 45-54 kg","1976M09",0.71
"73","Pig Price per Head (Euro)","Pigs 15-24 kg","1976M10",18.84
"74","Pig Price per Kg (Euro)","Pigs 15-24 kg","1976M10",0.88
"75","Pig Price per Head (Euro)","Pigs 25-34 kg","1976M10",25.34
"76","Pig Price per Kg (Euro)","Pigs 25-34 kg","1976M10",0.8
"77","Pig Price per Head (Euro)","Pigs 35-44 kg","1976M10",30.92
"78","Pig Price per Kg (Euro)","Pigs 35-44 kg","1976M10",0.77
"79","Pig Price per Head (Euro)","Pigs 45-54 kg","1976M10",34.07
"80","Pig Price per Kg (Euro)","Pigs 45-54 kg","1976M10",0.71
"81","Pig Price per Head (Euro)","Pigs 15-24 kg","1976M11",20.3
"82","Pig Price per Kg (Euro)","Pigs 15-24 kg","1976M11",0.86
"83","Pig Price per Head (Euro)","Pigs 25-34 kg","1976M11",27.38
"84","Pig Price per Kg (Euro)","Pigs 25-34 kg","1976M11",0.85
"85","Pig Price per Head (Euro)","Pigs 35-44 kg","1976M11",32.76
"86","Pig Price per Kg (Euro)","Pigs 35-44 kg","1976M11",0.83
"87","Pig Price per Head (Euro)","Pigs 45-54 kg","1976M11",34.54
"88","Pig Price per Kg (Euro)","Pigs 45-54 kg","1976M11",0.71
"89","Pig Price per Head (Euro)","Pigs 15-24 kg","1976M12",20.96
"90","Pig Price per Kg (Euro)","Pigs 15-24 kg","1976M12",0.9
"91","Pig Price per Head (Euro)","Pigs 25-34 kg","1976M12",28.38
"92","Pig Price per Kg (Euro)","Pigs 25-34 kg","1976M12",0.88
"93","Pig Price per Head (Euro)","Pigs 35-44 kg","1976M12",32.9
"94","Pig Price per Kg (Euro)","Pigs 35-44 kg","1976M12",0.83
"95","Pig Price per Head (Euro)","Pigs 45-54 kg","1976M12",36.82
"96","Pig Price per Kg (Euro)","Pigs 45-54 kg","1976M12",0.76
"97","Pig Price per Head (Euro)","Pigs 15-24 kg","1977M01",22.22
"98","Pig Price per Kg (Euro)","Pigs 15-24 kg","1977M01",0.91
"99","Pig Price per Head (Euro)","Pigs 25-34 kg","1977M01",28.04
"100","Pig Price per Kg (Euro)","Pigs 25-34 kg","1977M01",0.88
"101","Pig Price per Head (Euro)","Pigs 35-44 kg","1977M01",32.39
"102","Pig Price per Kg (Euro)","Pigs 35-44 kg","1977M01",0.83
"103","Pig Price per Head (Euro)","Pigs 45-54 kg","1977M01",36.42
"104","Pig Price per Kg (Euro)","Pigs 45-54 kg","1977M01",0.75
"105","Pig Price per Head (Euro)","Pigs 15-24 kg","1977M02",23.03
"106","Pig Price per Kg (Euro)","Pigs 15-24 kg","1977M02",0.98
"107","Pig Price per Head (Euro)","Pigs 25-34 kg","1977M02",30.49
"108","Pig Price per Kg (Euro)","Pigs 25-34 kg","1977M02",0.95
"109","Pig Price per Head (Euro)","Pigs 35-44 kg","1977M02",33.81
"110","Pig Price per Kg (Euro)","Pigs 35-44 kg","1977M02",0.85
"111","Pig Price per Head (Euro)","Pigs 45-54 kg","1977M02",37.46
"112","Pig Price per Kg (Euro)","Pigs 45-54 kg","1977M02",0.77
"113","Pig Price per Head (Euro)","Pigs 15-24 kg","1977M03",25.89
"114","Pig Price per Kg (Euro)","Pigs 15-24 kg","1977M03",1.09
"115","Pig Price per Head (Euro)","Pigs 25-34 kg","1977M03",32.52
"116","Pig Price per Kg (Euro)","Pigs 25-34 kg","1977M03",1.02
"117","Pig Price per Head (Euro)","Pigs 35-44 kg","1977M03",38.26
"118","Pig Price per Kg (Euro)","Pigs 35-44 kg","1977M03",0.95
"119","Pig Price per Head (Euro)","Pigs 45-54 kg","1977M03",40.78
"120","Pig Price per Kg (Euro)","Pigs 45-54 kg","1977M03",0.85
"121","Pig Price per Head (Euro)","Pigs 15-24 kg","1977M04",27.9
"122","Pig Price per Kg (Euro)","Pigs 15-24 kg","1977M04",1.17
"123","Pig Price per Head (Euro)","Pigs 25-34 kg","1977M04",34.45
"124","Pig Price per Kg (Euro)","Pigs 25-34 kg","1977M04",1.08
"125","Pig Price per Head (Euro)","Pigs 35-44 kg","1977M04",38.79
"126","Pig Price per Kg (Euro)","Pigs 35-44 kg","1977M04",0.98
"127","Pig Price per Head (Euro)","Pigs 45-54 kg","1977M04",42.35
"128","Pig Price per Kg (Euro)","Pigs 45-54 kg","1977M04",0.89
"129","Pig Price per Head (Euro)","Pigs 15-24 kg","1977M05",26.64
"130","Pig Price per Kg (Euro)","Pigs 15-24 kg","1977M05",1.22
"131","Pig Price per Head (Euro)","Pigs 25-34 kg","1977M05",34.36
"132","Pig Price per Kg (Euro)","Pigs 25-34 kg","1977M05",1.14
"133","Pig Price per Head (Euro)","Pigs 35-44 kg","1977M05",40.02
"134","Pig Price per Kg (Euro)","Pigs 35-44 kg","1977M05",1.04
"135","Pig Price per Head (Euro)","Pigs 45-54 kg","1977M05",43.98
"136","Pig Price per Kg (Euro)","Pigs 45-54 kg","1977M05",0.93
"137","Pig Price per Head (Euro)","Pigs 15-24 kg","1977M06",27.1
"138","Pig Price per Kg (Euro)","Pigs 15-24 kg","1977M06",1.24
"139","Pig Price per Head (Euro)","Pigs 25-34 kg","1977M06",37.61
"140","Pig Price per Kg (Euro)","Pigs 25-34 kg","1977M06",1.23
"141","Pig Price per Head (Euro)","Pigs 35-44 kg","1977M06",42.63
"142","Pig Price per Kg (Euro)","Pigs 35-44 kg","1977M06",1.1
"143","Pig Price per Head (Euro)","Pigs 45-54 kg","1977M06",45.9
"144","Pig Price per Kg (Euro)","Pigs 45-54 kg","1977M06",0.97
"145","Pig Price per Head (Euro)","Pigs 15-24 kg","1977M07",27.52
"146","Pig Price per Kg (Euro)","Pigs 15-24 kg","1977M07",1.26
"147","Pig Price per Head (Euro)","Pigs 25-34 kg","1977M07",36.52
"148","Pig Price per Kg (Euro)","Pigs 25-34 kg","1977M07",1.18
