"","Month","Type.of.Feedstuff","value"
"1","1976M01","Rolled barley",NA
"2","1976M02","Rolled barley",NA
"3","1976M03","Rolled barley",NA
"4","1976M04","Rolled barley",NA
"5","1976M05","Rolled barley",NA
"6","1976M06","Rolled barley",NA
"7","1976M07","Rolled barley",NA
"8","1976M08","Rolled barley",NA
"9","1976M09","Rolled barley",NA
"10","1976M10","Rolled barley",NA
"11","1976M11","Rolled barley",NA
"12","1976M12","Rolled barley",NA
"13","1977M01","Rolled barley",NA
"14","1977M02","Rolled barley",NA
"15","1977M03","Rolled barley",NA
"16","1977M04","Rolled barley",NA
"17","1977M05","Rolled barley",NA
"18","1977M06","Rolled barley",NA
"19","1977M07","Rolled barley",NA
"20","1977M08","Rolled barley",NA
"21","1977M09","Rolled barley",NA
"22","1977M10","Rolled barley",NA
"23","1977M11","Rolled barley",NA
"24","1977M12","Rolled barley",NA
"25","1978M01","Rolled barley",NA
"26","1978M02","Rolled barley",NA
"27","1978M03","Rolled barley",NA
"28","1978M04","Rolled barley",NA
"29","1978M05","Rolled barley",NA
"30","1978M06","Rolled barley",NA
"31","1978M07","Rolled barley",NA
"32","1978M08","Rolled barley",NA
"33","1978M09","Rolled barley",NA
"34","1978M10","Rolled barley",NA
"35","1978M11","Rolled barley",NA
"36","1978M12","Rolled barley",NA
"37","1979M01","Rolled barley",NA
"38","1979M02","Rolled barley",NA
"39","1979M03","Rolled barley",NA
"40","1979M04","Rolled barley",NA
"41","1979M05","Rolled barley",NA
"42","1979M06","Rolled barley",NA
"43","1979M07","Rolled barley",NA
"44","1979M08","Rolled barley",NA
"45","1979M09","Rolled barley",NA
"46","1979M10","Rolled barley",NA
"47","1979M11","Rolled barley",NA
"48","1979M12","Rolled barley",NA
"49","1980M01","Rolled barley",168
"50","1980M02","Rolled barley",171
"51","1980M03","Rolled barley",171
"52","1980M04","Rolled barley",170
"53","1980M05","Rolled barley",170
"54","1980M06","Rolled barley",170
"55","1980M07","Rolled barley",168
"56","1980M08","Rolled barley",167
"57","1980M09","Rolled barley",165
"58","1980M10","Rolled barley",167
"59","1980M11","Rolled barley",164
"60","1980M12","Rolled barley",164
"61","1981M01","Rolled barley",169
"62","1981M02","Rolled barley",172
"63","1981M03","Rolled barley",174
"64","1981M04","Rolled barley",177
"65","1981M05","Rolled barley",180
"66","1981M06","Rolled barley",183
"67","1981M07","Rolled barley",185
"68","1981M08","Rolled barley",184
"69","1981M09","Rolled barley",183
"70","1981M10","Rolled barley",178
"71","1981M11","Rolled barley",177
"72","1981M12","Rolled barley",177
"73","1982M01","Rolled barley",179
"74","1982M02","Rolled barley",183
"75","1982M03","Rolled barley",185
"76","1982M04","Rolled barley",185
"77","1982M05","Rolled barley",187
"78","1982M06","Rolled barley",191
"79","1982M07","Rolled barley",194
"80","1982M08","Rolled barley",193
"81","1982M09","Rolled barley",191
"82","1982M10","Rolled barley",188
"83","1982M11","Rolled barley",187
"84","1982M12","Rolled barley",187
"85","1983M01","Rolled barley",190
"86","1983M02","Rolled barley",193
"87","1983M03","Rolled barley",198
"88","1983M04","Rolled barley",210
"89","1983M05","Rolled barley",217
"90","1983M06","Rolled barley",221
"91","1983M07","Rolled barley",223
"92","1983M08","Rolled barley",220
"93","1983M09","Rolled barley",222
"94","1983M10","Rolled barley",224
"95","1983M11","Rolled barley",225
"96","1983M12","Rolled barley",227
"97","1984M01","Rolled barley",232
"98","1984M02","Rolled barley",234
"99","1984M03","Rolled barley",236
"100","1984M04","Rolled barley",237
"101","1984M05","Rolled barley",241
"102","1984M06","Rolled barley",236
"103","1984M07","Rolled barley",232
"104","1984M08","Rolled barley",215
"105","1984M09","Rolled barley",204
"106","1984M10","Rolled barley",200
"107","1984M11","Rolled barley",201
"108","1984M12","Rolled barley",202
"109","1985M01","Rolled barley",205
"110","1985M02","Rolled barley",205
"111","1985M03","Rolled barley",211
"112","1985M04","Rolled barley",216
"113","1985M05","Rolled barley",216
"114","1985M06","Rolled barley",217
"115","1985M07","Rolled barley",220
"116","1985M08","Rolled barley",214
"117","1985M09","Rolled barley",206
"118","1985M10","Rolled barley",203
"119","1985M11","Rolled barley",205
"120","1985M12","Rolled barley",205
"121","1986M01","Rolled barley",203
"122","1986M02","Rolled barley",205
"123","1986M03","Rolled barley",208
"124","1986M04","Rolled barley",211
"125","1986M05","Rolled barley",213
