"","Month","Type.of.Fertiliser","value"
"1","1980M01","Calcium Ammonium Nitrate (27.5% N)",121
"2","1980M02","Calcium Ammonium Nitrate (27.5% N)",124
"3","1980M03","Calcium Ammonium Nitrate (27.5% N)",127
"4","1980M04","Calcium Ammonium Nitrate (27.5% N)",128
"5","1980M05","Calcium Ammonium Nitrate (27.5% N)",129
"6","1980M06","Calcium Ammonium Nitrate (27.5% N)",130
"7","1980M07","Calcium Ammonium Nitrate (27.5% N)",130
"8","1980M08","Calcium Ammonium Nitrate (27.5% N)",130
"9","1980M09","Calcium Ammonium Nitrate (27.5% N)",124
"10","1980M10","Calcium Ammonium Nitrate (27.5% N)",124
"11","1980M11","Calcium Ammonium Nitrate (27.5% N)",124
"12","1980M12","Calcium Ammonium Nitrate (27.5% N)",124
"13","1981M01","Calcium Ammonium Nitrate (27.5% N)",127
"14","1981M02","Calcium Ammonium Nitrate (27.5% N)",134
"15","1981M03","Calcium Ammonium Nitrate (27.5% N)",140
"16","1981M04","Calcium Ammonium Nitrate (27.5% N)",143
"17","1981M05","Calcium Ammonium Nitrate (27.5% N)",145
"18","1981M06","Calcium Ammonium Nitrate (27.5% N)",146
"19","1981M07","Calcium Ammonium Nitrate (27.5% N)",146
"20","1981M08","Calcium Ammonium Nitrate (27.5% N)",147
"21","1981M09","Calcium Ammonium Nitrate (27.5% N)",147
"22","1981M10","Calcium Ammonium Nitrate (27.5% N)",147
"23","1981M11","Calcium Ammonium Nitrate (27.5% N)",146
"24","1981M12","Calcium Ammonium Nitrate (27.5% N)",147
"25","1982M01","Calcium Ammonium Nitrate (27.5% N)",148
"26","1982M02","Calcium Ammonium Nitrate (27.5% N)",151
"27","1982M03","Calcium Ammonium Nitrate (27.5% N)",157
"28","1982M04","Calcium Ammonium Nitrate (27.5% N)",160
"29","1982M05","Calcium Ammonium Nitrate (27.5% N)",162
"30","1982M06","Calcium Ammonium Nitrate (27.5% N)",162
"31","1982M07","Calcium Ammonium Nitrate (27.5% N)",163
"32","1982M08","Calcium Ammonium Nitrate (27.5% N)",163
"33","1982M09","Calcium Ammonium Nitrate (27.5% N)",158
"34","1982M10","Calcium Ammonium Nitrate (27.5% N)",155
"35","1982M11","Calcium Ammonium Nitrate (27.5% N)",154
"36","1982M12","Calcium Ammonium Nitrate (27.5% N)",155
"37","1983M01","Calcium Ammonium Nitrate (27.5% N)",156
"38","1983M02","Calcium Ammonium Nitrate (27.5% N)",159
"39","1983M03","Calcium Ammonium Nitrate (27.5% N)",161
"40","1983M04","Calcium Ammonium Nitrate (27.5% N)",165
"41","1983M05","Calcium Ammonium Nitrate (27.5% N)",166
"42","1983M06","Calcium Ammonium Nitrate (27.5% N)",166
"43","1983M07","Calcium Ammonium Nitrate (27.5% N)",162
