"","Product","Month","value"
"1","Milk (per litre), actual butterfat","2005M01",0.308
"2","Milk (per litre), 3.7% butterfat","2005M01",0.301
"3","Milk (per litre), actual butterfat","2005M02",0.288
"4","Milk (per litre), 3.7% butterfat","2005M02",0.281
"5","Milk (per litre), actual butterfat","2005M03",0.272
"6","Milk (per litre), 3.7% butterfat","2005M03",0.269
"7","Milk (per litre), actual butterfat","2005M04",0.267
"8","Milk (per litre), 3.7% butterfat","2005M04",0.268
"9","Milk (per litre), actual butterfat","2005M05",0.265
"10","Milk (per litre), 3.7% butterfat","2005M05",0.268
"11","Milk (per litre), actual butterfat","2005M06",0.262
"12","Milk (per litre), 3.7% butterfat","2005M06",0.266
"13","Milk (per litre), actual butterfat","2005M07",0.262
"14","Milk (per litre), 3.7% butterfat","2005M07",0.264
"15","Milk (per litre), actual butterfat","2005M08",0.269
"16","Milk (per litre), 3.7% butterfat","2005M08",0.267
"17","Milk (per litre), actual butterfat","2005M09",0.286
"18","Milk (per litre), 3.7% butterfat","2005M09",0.276
"19","Milk (per litre), actual butterfat","2005M10",0.305
"20","Milk (per litre), 3.7% butterfat","2005M10",0.285
"21","Milk (per litre), actual butterfat","2005M11",0.311
"22","Milk (per litre), 3.7% butterfat","2005M11",0.29
"23","Milk (per litre), actual butterfat","2005M12",0.309
"24","Milk (per litre), 3.7% butterfat","2005M12",0.297
"25","Milk (per litre), actual butterfat","2006M01",0.294
"26","Milk (per litre), 3.7% butterfat","2006M01",0.289
"27","Milk (per litre), actual butterfat","2006M02",0.282
"28","Milk (per litre), 3.7% butterfat","2006M02",0.277
"29","Milk (per litre), actual butterfat","2006M03",0.264
"30","Milk (per litre), 3.7% butterfat","2006M03",0.261
"31","Milk (per litre), actual butterfat","2006M04",0.258
"32","Milk (per litre), 3.7% butterfat","2006M04",0.261
"33","Milk (per litre), actual butterfat","2006M05",0.259
"34","Milk (per litre), 3.7% butterfat","2006M05",0.263
"35","Milk (per litre), actual butterfat","2006M06",0.252
"36","Milk (per litre), 3.7% butterfat","2006M06",0.257
"37","Milk (per litre), actual butterfat","2006M07",0.249
"38","Milk (per litre), 3.7% butterfat","2006M07",0.253
"39","Milk (per litre), actual butterfat","2006M08",0.256
"40","Milk (per litre), 3.7% butterfat","2006M08",0.256
"41","Milk (per litre), actual butterfat","2006M09",0.27
"42","Milk (per litre), 3.7% butterfat","2006M09",0.262
"43","Milk (per litre), actual butterfat","2006M10",0.287
"44","Milk (per litre), 3.7% butterfat","2006M10",0.27
"45","Milk (per litre), actual butterfat","2006M11",0.296
"46","Milk (per litre), 3.7% butterfat","2006M11",0.277
"47","Milk (per litre), actual butterfat","2006M12",0.288
"48","Milk (per litre), 3.7% butterfat","2006M12",0.277
"49","Milk (per litre), actual butterfat","2007M01",0.282
"50","Milk (per litre), 3.7% butterfat","2007M01",0.276
"51","Milk (per litre), actual butterfat","2007M02",0.269
"52","Milk (per litre), 3.7% butterfat","2007M02",0.263
"53","Milk (per litre), actual butterfat","2007M03",0.251
"54","Milk (per litre), 3.7% butterfat","2007M03",0.247
"55","Milk (per litre), actual butterfat","2007M04",0.272
"56","Milk (per litre), 3.7% butterfat","2007M04",0.276
"57","Milk (per litre), actual butterfat","2007M05",0.292
"58","Milk (per litre), 3.7% butterfat","2007M05",0.295
"59","Milk (per litre), actual butterfat","2007M06",0.318
"60","Milk (per litre), 3.7% butterfat","2007M06",0.319
"61","Milk (per litre), actual butterfat","2007M07",0.34
"62","Milk (per litre), 3.7% butterfat","2007M07",0.34
"63","Milk (per litre), actual butterfat","2007M08",0.375
"64","Milk (per litre), 3.7% butterfat","2007M08",0.37
"65","Milk (per litre), actual butterfat","2007M09",0.412
"66","Milk (per litre), 3.7% butterfat","2007M09",0.401
"67","Milk (per litre), actual butterfat","2007M10",0.438
"68","Milk (per litre), 3.7% butterfat","2007M10",0.413
"69","Milk (per litre), actual butterfat","2007M11",0.451
"70","Milk (per litre), 3.7% butterfat","2007M11",0.424
"71","Milk (per litre), actual butterfat","2007M12",0.431
"72","Milk (per litre), 3.7% butterfat","2007M12",0.417
"73","Milk (per litre), actual butterfat","2008M01",0.415
"74","Milk (per litre), 3.7% butterfat","2008M01",0.403
"75","Milk (per litre), actual butterfat","2008M02",0.405
"76","Milk (per litre), 3.7% butterfat","2008M02",0.397
"77","Milk (per litre), actual butterfat","2008M03",0.387
"78","Milk (per litre), 3.7% butterfat","2008M03",0.381
"79","Milk (per litre), actual butterfat","2008M04",0.345
"80","Milk (per litre), 3.7% butterfat","2008M04",0.347
"81","Milk (per litre), actual butterfat","2008M05",0.332
"82","Milk (per litre), 3.7% butterfat","2008M05",0.337
"83","Milk (per litre), actual butterfat","2008M06",0.32
"84","Milk (per litre), 3.7% butterfat","2008M06",0.322
"85","Milk (per litre), actual butterfat","2008M07",0.326
"86","Milk (per litre), 3.7% butterfat","2008M07",0.324
"87","Milk (per litre), actual butterfat","2008M08",0.324
"88","Milk (per litre), 3.7% butterfat","2008M08",0.317
"89","Milk (per litre), actual butterfat","2008M09",0.324
"90","Milk (per litre), 3.7% butterfat","2008M09",0.308
"91","Milk (per litre), actual butterfat","2008M10",0.336
"92","Milk (per litre), 3.7% butterfat","2008M10",0.309
"93","Milk (per litre), actual butterfat","2008M11",0.33
"94","Milk (per litre), 3.7% butterfat","2008M11",0.303
"95","Milk (per litre), actual butterfat","2008M12",0.319
"96","Milk (per litre), 3.7% butterfat","2008M12",0.304
"97","Milk (per litre), actual butterfat","2009M01",0.288
"98","Milk (per litre), 3.7% butterfat","2009M01",0.277
"99","Milk (per litre), actual butterfat","2009M02",0.264
"100","Milk (per litre), 3.7% butterfat","2009M02",0.257
"101","Milk (per litre), actual butterfat","2009M03",0.219
"102","Milk (per litre), 3.7% butterfat","2009M03",0.216
"103","Milk (per litre), actual butterfat","2009M04",0.218
"104","Milk (per litre), 3.7% butterfat","2009M04",0.219
"105","Milk (per litre), actual butterfat","2009M05",0.216
"106","Milk (per litre), 3.7% butterfat","2009M05",0.217
"107","Milk (per litre), actual butterfat","2009M06",0.212
"108","Milk (per litre), 3.7% butterfat","2009M06",0.214
"109","Milk (per litre), actual butterfat","2009M07",0.214
"110","Milk (per litre), 3.7% butterfat","2009M07",0.214
"111","Milk (per litre), actual butterfat","2009M08",0.221
"112","Milk (per litre), 3.7% butterfat","2009M08",0.217
"113","Milk (per litre), actual butterfat","2009M09",0.249
"114","Milk (per litre), 3.7% butterfat","2009M09",0.236
"115","Milk (per litre), actual butterfat","2009M10",0.279
"116","Milk (per litre), 3.7% butterfat","2009M10",0.261
"117","Milk (per litre), actual butterfat","2009M11",0.295
"118","Milk (per litre), 3.7% butterfat","2009M11",0.274
"119","Milk (per litre), actual butterfat","2009M12",0.285
"120","Milk (per litre), 3.7% butterfat","2009M12",0.269
"121","Milk (per litre), actual butterfat","2010M01",0.289
"122","Milk (per litre), 3.7% butterfat","2010M01",0.277
"123","Milk (per litre), actual butterfat","2010M02",0.274
"124","Milk (per litre), 3.7% butterfat","2010M02",0.263
"125","Milk (per litre), actual butterfat","2010M03",0.264
"126","Milk (per litre), 3.7% butterfat","2010M03",0.258
"127","Milk (per litre), actual butterfat","2010M04",0.272
"128","Milk (per litre), 3.7% butterfat","2010M04",0.272
"129","Milk (per litre), actual butterfat","2010M05",0.298
"130","Milk (per litre), 3.7% butterfat","2010M05",0.303
"131","Milk (per litre), actual butterfat","2010M06",0.301
"132","Milk (per litre), 3.7% butterfat","2010M06",0.303
"133","Milk (per litre), actual butterfat","2010M07",0.304
"134","Milk (per litre), 3.7% butterfat","2010M07",0.301
"135","Milk (per litre), actual butterfat","2010M08",0.311
"136","Milk (per litre), 3.7% butterfat","2010M08",0.306
"137","Milk (per litre), actual butterfat","2010M09",0.331
"138","Milk (per litre), 3.7% butterfat","2010M09",0.317
"139","Milk (per litre), actual butterfat","2010M10",0.353
"140","Milk (per litre), 3.7% butterfat","2010M10",0.33
"141","Milk (per litre), actual butterfat","2010M11",0.368
"142","Milk (per litre), 3.7% butterfat","2010M11",0.337
"143","Milk (per litre), actual butterfat","2010M12",0.351
"144","Milk (per litre), 3.7% butterfat","2010M12",0.327
"145","Milk (per litre), actual butterfat","2011M01",0.35
"146","Milk (per litre), 3.7% butterfat","2011M01",0.337
"147","Milk (per litre), actual butterfat","2011M02",0.354
"148","Milk (per litre), 3.7% butterfat","2011M02",0.341
"149","Milk (per litre), actual butterfat","2011M03",0.335
"150","Milk (per litre), 3.7% butterfat","2011M03",0.325
"151","Milk (per litre), actual butterfat","2011M04",0.331
"152","Milk (per litre), 3.7% butterfat","2011M04",0.33
"153","Milk (per litre), actual butterfat","2011M05",0.331
"154","Milk (per litre), 3.7% butterfat","2011M05",0.331
"155","Milk (per litre), actual butterfat","2011M06",0.345
"156","Milk (per litre), 3.7% butterfat","2011M06",0.344
"157","Milk (per litre), actual butterfat","2011M07",0.347
"158","Milk (per litre), 3.7% butterfat","2011M07",0.344
"159","Milk (per litre), actual butterfat","2011M08",0.356
"160","Milk (per litre), 3.7% butterfat","2011M08",0.347
"161","Milk (per litre), actual butterfat","2011M09",0.381
