"","Year","Agricultural.Product","value"
"1","2007","Agricultural output price index",102.1
"2","2008","Agricultural output price index",109.8
"3","2009","Agricultural output price index",90.9
"4","2010","Agricultural output price index",100
"5","2011","Agricultural output price index",115.2
"6","2012","Agricultural output price index",121.2
"7","2013","Agricultural output price index",131.7
"8","2007","Crop output",108
"9","2008","Crop output",117.7
"10","2009","Crop output",99.1
"11","2010","Crop output",100
"12","2011","Crop output",109.5
"13","2012","Crop output",129.3
"14","2013","Crop output",138
"15","2007","Cereals including seeds",121
"16","2008","Cereals including seeds",138.8
"17","2009","Cereals including seeds",98.4
"18","2010","Cereals including seeds",100
"19","2011","Cereals including seeds",131.5
"20","2012","Cereals including seeds",153.4
"21","2013","Cereals including seeds",156.6
"22","2007","Vegetables",94.1
"23","2008","Vegetables",98.9
"24","2009","Vegetables",99.6
"25","2010","Vegetables",100
"26","2011","Vegetables",101.4
"27","2012","Vegetables",105.6
"28","2013","Vegetables",106.9
"29","2007","Potatoes including seeds",104.6
"30","2008","Potatoes including seeds",104.1
"31","2009","Potatoes including seeds",99.8
"32","2010","Potatoes including seeds",100
"33","2011","Potatoes including seeds",69
"34","2012","Potatoes including seeds",119
"35","2013","Potatoes including seeds",158.4
"36","2007","Animal output",101.3
"37","2008","Animal output",108.7
"38","2009","Animal output",89.8
"39","2010","Animal output",100
"40","2011","Animal output",116
"41","2012","Animal output",120.1
"42","2013","Animal output",130.9
"43","2007","Animals",94.8
"44","2008","Animals",107.2
"45","2009","Animals",97.6
"46","2010","Animals",100
"47","2011","Animals",117
"48","2012","Animals",130.2
"49","2013","Animals",133.3
"50","2007","Cattle",95
"51","2008","Cattle",109.6
"52","2009","Cattle",98.2
"53","2010","Cattle",100
"54","2011","Cattle",120.2
"55","2012","Cattle",135.9
"56","2013","Cattle",138.8
"57","2007","Cattle excluding calves",94.8
"58","2008","Cattle excluding calves",109.6
"59","2009","Cattle excluding calves",98.1
"60","2010","Cattle excluding calves",100
"61","2011","Cattle excluding calves",119.9
"62","2012","Cattle excluding calves",135.2
"63","2013","Cattle excluding calves",139
"64","2007","Calves",106.2
"65","2008","Calves",116.2
"66","2009","Calves",106.2
"67","2010","Calves",100
"68","2011","Calves",148.2
"69","2012","Calves",188.1
"70","2013","Calves",123.1
"71","2007","Pigs",101.1
"72","2008","Pigs",110.3
"73","2009","Pigs",99.6
"74","2010","Pigs",100
"75","2011","Pigs",109.6
"76","2012","Pigs",121.4
"77","2013","Pigs",127.4
"78","2007","Sheep",81.2
"79","2008","Sheep",83.6
"80","2009","Sheep",85.3
"81","2010","Sheep",100
"82","2011","Sheep",107.9
"83","2012","Sheep",104.1
"84","2013","Sheep",104.8
"85","2007","Poultry",92.6
"86","2008","Poultry",100
"87","2009","Poultry",100
"88","2010","Poultry",100
"89","2011","Poultry",106.1
"90","2012","Poultry",114.2
"91","2013","Poultry",116.4
"92","2007","Animal products",111.3
"93","2008","Animal products",110.9
"94","2009","Animal products",78
"95","2010","Animal products",100
"96","2011","Animal products",114.4
"97","2012","Animal products",104.9
"98","2013","Animal products",127.2
"99","2007","Milk",111.5
"100","2008","Milk",110.9
"101","2009","Milk",77.4
"102","2010","Milk",100
"103","2011","Milk",114.3
"104","2012","Milk",104.4
"105","2013","Milk",127.2
"106","2007","Eggs",104.3
"107","2008","Eggs",116.2
"108","2009","Eggs",103.7
"109","2010","Eggs",100
"110","2011","Eggs",108.3
"111","2012","Eggs",118.4
"112","2013","Eggs",121.7
"113","2007","Wool",89.8
"114","2008","Wool",91.1
"115","2009","Wool",59.9
"116","2010","Wool",100
"117","2011","Wool",180.2
"118","2012","Wool",146
"119","2013","Wool",160.2
"120","2007","Agricultural input price index",95.1
"121","2008","Agricultural input price index",110.4
"122","2009","Agricultural input price index",101
"123","2010","Agricultural input price index",100
"124","2011","Agricultural input price index",111.1
"125","2012","Agricultural input price index",117
"126","2013","Agricultural input price index",120.2
"127","2007","Seeds",97.7
"128","2008","Seeds",107.3
"129","2009","Seeds",107.6
"130","2010","Seeds",100
"131","2011","Seeds",106
"132","2012","Seeds",121.2
"133","2013","Seeds",128.1
"134","2007","Energy",90.1
"135","2008","Energy",102
"136","2009","Energy",86.5
"137","2010","Energy",100
"138","2011","Energy",115.2
"139","2012","Energy",126.2
"140","2013","Energy",124.4
"141","2007","Electricity",99.9
"142","2008","Electricity",102.3
"143","2009","Electricity",103.6
"144","2010","Electricity",100
"145","2011","Electricity",106.6
"146","2012","Electricity",118.7
"147","2013","Electricity",125.3
"148","2007","Motor fuel",87.5
"149","2008","Motor fuel",102.2
"150","2009","Motor fuel",81.4
"151","2010","Motor fuel",100
"152","2011","Motor fuel",118
"153","2012","Motor fuel",129.3
"154","2013","Motor fuel",125.1
"155","2007","Lubricants",91.5
"156","2008","Lubricants",95.6
"157","2009","Lubricants",98.4
"158","2010","Lubricants",100
"159","2011","Lubricants",103
"160","2012","Lubricants",104.7
"161","2013","Lubricants",105.6
"162","2007","Fertilisers",85.8
"163","2008","Fertilisers",138.8
"164","2009","Fertilisers",111.5
"165","2010","Fertilisers",100
"166","2011","Fertilisers",123
"167","2012","Fertilisers",126.7
"168","2013","Fertilisers",126.1
"169","2007","Straight fertilisers",92.7
"170","2008","Straight fertilisers",145.5
"171","2009","Straight fertilisers",108.7
"172","2010","Straight fertilisers",100
"173","2011","Straight fertilisers",127.4
"174","2012","Straight fertilisers",131.1
"175","2013","Straight fertilisers",130.5
"176","2007","Compound fertilisers",78.8
"177","2008","Compound fertilisers",136
"178","2009","Compound fertilisers",114.7
"179","2010","Compound fertilisers",100
"180","2011","Compound fertilisers",121.1
"181","2012","Compound fertilisers",125.2
"182","2013","Compound fertilisers",124.6
"183","2007","PK fertilisers",62.7
"184","2008","PK fertilisers",126.2
"185","2009","PK fertilisers",132.1
"186","2010","PK fertilisers",100
"187","2011","PK fertilisers",110
"188","2012","PK fertilisers",115.8
"189","2013","PK fertilisers",114.9
"190","2007","NPK fertilisers",79.2
"191","2008","NPK fertilisers",136.2
"192","2009","NPK fertilisers",114.3
"193","2010","NPK fertilisers",100
"194","2011","NPK fertilisers",121.4
"195","2012","NPK fertilisers",125.4
"196","2013","NPK fertilisers",124.8
"197","2007","Other fertilisers",99.7
"198","2008","Other fertilisers",102
"199","2009","Other fertilisers",102.1
"200","2010","Other fertilisers",100
"201","2011","Other fertilisers",98.8
"202","2012","Other fertilisers",99.4
"203","2013","Other fertilisers",99.9
"204","2007","Plant protection products",95.5
"205","2008","Plant protection products",96.7
"206","2009","Plant protection products",99.8
"207","2010","Plant protection products",100
"208","2011","Plant protection products",97.8
"209","2012","Plant protection products",97.9
"210","2013","Plant protection products",99
"211","2007","Veterinary expenses",93.7
"212","2008","Veterinary expenses",97.6
"213","2009","Veterinary expenses",99.9
"214","2010","Veterinary expenses",100
"215","2011","Veterinary expenses",99.6
"216","2012","Veterinary expenses",100.3
"217","2013","Veterinary expenses",100.3
"218","2007","Feeding stuffs",101.4
"219","2008","Feeding stuffs",115.5
"220","2009","Feeding stuffs",101.8
"221","2010","Feeding stuffs",100
"222","2011","Feeding stuffs",116.3
"223","2012","Feeding stuffs",125.1
"224","2013","Feeding stuffs",135.2
"225","2007","Straight feeding stuffs",113.7
"226","2008","Straight feeding stuffs",129.2
"227","2009","Straight feeding stuffs",101.6
"228","2010","Straight feeding stuffs",100
"229","2011","Straight feeding stuffs",125
"230","2012","Straight feeding stuffs",134.5
"231","2013","Straight feeding stuffs",139.8
"232","2007","Compound feeding stuffs",100.1
"233","2008","Compound feeding stuffs",114.1
"234","2009","Compound feeding stuffs",101.9
"235","2010","Compound feeding stuffs",100
"236","2011","Compound feeding stuffs",115.3
"237","2012","Compound feeding stuffs",124.1
"238","2013","Compound feeding stuffs",134.7
"239","2007","Compound feeding stuffs for calves",99.6
"240","2008","Compound feeding stuffs for calves",112.3
"241","2009","Compound feeding stuffs for calves",100.8
"242","2010","Compound feeding stuffs for calves",100
"243","2011","Compound feeding stuffs for calves",114.4
"244","2012","Compound feeding stuffs for calves",124.1
"245","2013","Compound feeding stuffs for calves",132.6
"246","2007","Compound feeding stuffs for cattle excluding calves",101.1
"247","2008","Compound feeding stuffs for cattle excluding calves",116
