"","Statistic","Month","Agricultural.Product","value"
"1","Agricultural Input and Output Prices Indices (Base 2000=100)","1995M01","Total Index (Output)",108.3
"2","Agricultural Input and Output Prices Indices (Seasonally Adjusted) (Base 2000=100)","1995M01","Total Index (Output)",108.2
"3","Agricultural Input and Output Prices Indices (Base 2000=100)","1995M02","Total Index (Output)",110.3
"4","Agricultural Input and Output Prices Indices (Seasonally Adjusted) (Base 2000=100)","1995M02","Total Index (Output)",109.3
"5","Agricultural Input and Output Prices Indices (Base 2000=100)","1995M03","Total Index (Output)",110.8
"6","Agricultural Input and Output Prices Indices (Seasonally Adjusted) (Base 2000=100)","1995M03","Total Index (Output)",109.6
"7","Agricultural Input and Output Prices Indices (Base 2000=100)","1995M04","Total Index (Output)",112.5
"8","Agricultural Input and Output Prices Indices (Seasonally Adjusted) (Base 2000=100)","1995M04","Total Index (Output)",111.3
"9","Agricultural Input and Output Prices Indices (Base 2000=100)","1995M05","Total Index (Output)",111.7
"10","Agricultural Input and Output Prices Indices (Seasonally Adjusted) (Base 2000=100)","1995M05","Total Index (Output)",109.7
"11","Agricultural Input and Output Prices Indices (Base 2000=100)","1995M06","Total Index (Output)",110.8
"12","Agricultural Input and Output Prices Indices (Seasonally Adjusted) (Base 2000=100)","1995M06","Total Index (Output)",109.4
"13","Agricultural Input and Output Prices Indices (Base 2000=100)","1995M07","Total Index (Output)",108.6
"14","Agricultural Input and Output Prices Indices (Seasonally Adjusted) (Base 2000=100)","1995M07","Total Index (Output)",107.4
"15","Agricultural Input and Output Prices Indices (Base 2000=100)","1995M08","Total Index (Output)",107.8
"16","Agricultural Input and Output Prices Indices (Seasonally Adjusted) (Base 2000=100)","1995M08","Total Index (Output)",110
"17","Agricultural Input and Output Prices Indices (Base 2000=100)","1995M09","Total Index (Output)",108.2
"18","Agricultural Input and Output Prices Indices (Seasonally Adjusted) (Base 2000=100)","1995M09","Total Index (Output)",109.8
"19","Agricultural Input and Output Prices Indices (Base 2000=100)","1995M10","Total Index (Output)",109.1
"20","Agricultural Input and Output Prices Indices (Seasonally Adjusted) (Base 2000=100)","1995M10","Total Index (Output)",111.5
"21","Agricultural Input and Output Prices Indices (Base 2000=100)","1995M11","Total Index (Output)",110.1
"22","Agricultural Input and Output Prices Indices (Seasonally Adjusted) (Base 2000=100)","1995M11","Total Index (Output)",110.9
"23","Agricultural Input and Output Prices Indices (Base 2000=100)","1995M12","Total Index (Output)",110.2
"24","Agricultural Input and Output Prices Indices (Seasonally Adjusted) (Base 2000=100)","1995M12","Total Index (Output)",111.3
"25","Agricultural Input and Output Prices Indices (Base 2000=100)","1996M01","Total Index (Output)",110.6
"26","Agricultural Input and Output Prices Indices (Seasonally Adjusted) (Base 2000=100)","1996M01","Total Index (Output)",110.6
"27","Agricultural Input and Output Prices Indices (Base 2000=100)","1996M02","Total Index (Output)",112.2
"28","Agricultural Input and Output Prices Indices (Seasonally Adjusted) (Base 2000=100)","1996M02","Total Index (Output)",111.3
"29","Agricultural Input and Output Prices Indices (Base 2000=100)","1996M03","Total Index (Output)",112.8
"30","Agricultural Input and Output Prices Indices (Seasonally Adjusted) (Base 2000=100)","1996M03","Total Index (Output)",111.6
"31","Agricultural Input and Output Prices Indices (Base 2000=100)","1996M04","Total Index (Output)",109.5
"32","Agricultural Input and Output Prices Indices (Seasonally Adjusted) (Base 2000=100)","1996M04","Total Index (Output)",108.3
"33","Agricultural Input and Output Prices Indices (Base 2000=100)","1996M05","Total Index (Output)",108
"34","Agricultural Input and Output Prices Indices (Seasonally Adjusted) (Base 2000=100)","1996M05","Total Index (Output)",106
"35","Agricultural Input and Output Prices Indices (Base 2000=100)","1996M06","Total Index (Output)",106.3
"36","Agricultural Input and Output Prices Indices (Seasonally Adjusted) (Base 2000=100)","1996M06","Total Index (Output)",104.8
"37","Agricultural Input and Output Prices Indices (Base 2000=100)","1996M07","Total Index (Output)",104.6
"38","Agricultural Input and Output Prices Indices (Seasonally Adjusted) (Base 2000=100)","1996M07","Total Index (Output)",103.3
"39","Agricultural Input and Output Prices Indices (Base 2000=100)","1996M08","Total Index (Output)",100.4
"40","Agricultural Input and Output Prices Indices (Seasonally Adjusted) (Base 2000=100)","1996M08","Total Index (Output)",102.3
"41","Agricultural Input and Output Prices Indices (Base 2000=100)","1996M09","Total Index (Output)",100.8
"42","Agricultural Input and Output Prices Indices (Seasonally Adjusted) (Base 2000=100)","1996M09","Total Index (Output)",102.3
"43","Agricultural Input and Output Prices Indices (Base 2000=100)","1996M10","Total Index (Output)",98.9
"44","Agricultural Input and Output Prices Indices (Seasonally Adjusted) (Base 2000=100)","1996M10","Total Index (Output)",101.1
"45","Agricultural Input and Output Prices Indices (Base 2000=100)","1996M11","Total Index (Output)",101
"46","Agricultural Input and Output Prices Indices (Seasonally Adjusted) (Base 2000=100)","1996M11","Total Index (Output)",102
"47","Agricultural Input and Output Prices Indices (Base 2000=100)","1996M12","Total Index (Output)",105.1
"48","Agricultural Input and Output Prices Indices (Seasonally Adjusted) (Base 2000=100)","1996M12","Total Index (Output)",106.3
"49","Agricultural Input and Output Prices Indices (Base 2000=100)","1997M01","Total Index (Output)",101.2
"50","Agricultural Input and Output Prices Indices (Seasonally Adjusted) (Base 2000=100)","1997M01","Total Index (Output)",101.3
"51","Agricultural Input and Output Prices Indices (Base 2000=100)","1997M02","Total Index (Output)",100.2
"52","Agricultural Input and Output Prices Indices (Seasonally Adjusted) (Base 2000=100)","1997M02","Total Index (Output)",99.6
"53","Agricultural Input and Output Prices Indices (Base 2000=100)","1997M03","Total Index (Output)",100.2
"54","Agricultural Input and Output Prices Indices (Seasonally Adjusted) (Base 2000=100)","1997M03","Total Index (Output)",99.1
"55","Agricultural Input and Output Prices Indices (Base 2000=100)","1997M04","Total Index (Output)",99.2
"56","Agricultural Input and Output Prices Indices (Seasonally Adjusted) (Base 2000=100)","1997M04","Total Index (Output)",98.1
"57","Agricultural Input and Output Prices Indices (Base 2000=100)","1997M05","Total Index (Output)",100.8
"58","Agricultural Input and Output Prices Indices (Seasonally Adjusted) (Base 2000=100)","1997M05","Total Index (Output)",98.8
"59","Agricultural Input and Output Prices Indices (Base 2000=100)","1997M06","Total Index (Output)",100.3
"60","Agricultural Input and Output Prices Indices (Seasonally Adjusted) (Base 2000=100)","1997M06","Total Index (Output)",98.7
"61","Agricultural Input and Output Prices Indices (Base 2000=100)","1997M07","Total Index (Output)",100.2
"62","Agricultural Input and Output Prices Indices (Seasonally Adjusted) (Base 2000=100)","1997M07","Total Index (Output)",99
"63","Agricultural Input and Output Prices Indices (Base 2000=100)","1997M08","Total Index (Output)",98
"64","Agricultural Input and Output Prices Indices (Seasonally Adjusted) (Base 2000=100)","1997M08","Total Index (Output)",99.7
"65","Agricultural Input and Output Prices Indices (Base 2000=100)","1997M09","Total Index (Output)",98.4
"66","Agricultural Input and Output Prices Indices (Seasonally Adjusted) (Base 2000=100)","1997M09","Total Index (Output)",99.5
