"","Statistic","Agricultural.Product","Month","value"
"1","Agricultural Input and Output Price Indices (Base 2005=100)","Agricultural output price index","2000M01",93.234
"2","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Agricultural output price index","2000M01",91.325
"3","Agricultural Input and Output Price Indices (Base 2005=100)","Crop output","2000M01",85.419
"4","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Crop output","2000M01",NA
"5","Agricultural Input and Output Price Indices (Base 2005=100)","Cereals including seeds","2000M01",108.355
"6","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Cereals including seeds","2000M01",NA
"7","Agricultural Input and Output Price Indices (Base 2005=100)","Vegetables","2000M01",83.016
"8","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Vegetables","2000M01",84.692
"9","Agricultural Input and Output Price Indices (Base 2005=100)","Potatoes including seeds","2000M01",47.434
"10","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Potatoes including seeds","2000M01",47.138
"11","Agricultural Input and Output Price Indices (Base 2005=100)","Animal output","2000M01",94.676
"12","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Animal output","2000M01",NA
"13","Agricultural Input and Output Price Indices (Base 2005=100)","Animals","2000M01",87.246
"14","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Animals","2000M01",NA
"15","Agricultural Input and Output Price Indices (Base 2005=100)","Cattle","2000M01",87.476
"16","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Cattle","2000M01",84.975
"17","Agricultural Input and Output Price Indices (Base 2005=100)","Cattle excluding calves","2000M01",87.371
"18","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Cattle excluding calves","2000M01",NA
"19","Agricultural Input and Output Price Indices (Base 2005=100)","Calves","2000M01",95.684
"20","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Calves","2000M01",NA
"21","Agricultural Input and Output Price Indices (Base 2005=100)","Pigs","2000M01",83.121
"22","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Pigs","2000M01",86.129
"23","Agricultural Input and Output Price Indices (Base 2005=100)","Sheep","2000M01",86.831
"24","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Sheep","2000M01",84.515
"25","Agricultural Input and Output Price Indices (Base 2005=100)","Poultry","2000M01",94.002
"26","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Poultry","2000M01",NA
"27","Agricultural Input and Output Price Indices (Base 2005=100)","Animal products","2000M01",106.501
"28","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Animal products","2000M01",NA
"29","Agricultural Input and Output Price Indices (Base 2005=100)","Milk","2000M01",106.757
"30","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Milk","2000M01",103.649
"31","Agricultural Input and Output Price Indices (Base 2005=100)","Eggs","2000M01",92.118
