"","Year","Statistic","value"
"1","1990","Livestock - Cattle (000 Head)",1888
"2","1991","Livestock - Cattle (000 Head)",1894
"3","1992","Livestock - Cattle (000 Head)",1977
"4","1993","Livestock - Cattle (000 Head)",1997
"5","1994","Livestock - Cattle (000 Head)",1908
"6","1995","Livestock - Cattle (000 Head)",1983
"7","1996","Livestock - Cattle (000 Head)",2051
"8","1997","Livestock - Cattle (000 Head)",2058
"9","1998","Livestock - Cattle (000 Head)",2157
"10","1999","Livestock - Cattle (000 Head)",2132
"11","2000","Livestock - Cattle (000 Head)",2061
"12","2001","Livestock - Cattle (000 Head)",2072
"13","2002","Livestock - Cattle (000 Head)",1830
"14","2003","Livestock - Cattle (000 Head)",1956
"15","2004","Livestock - Cattle (000 Head)",1911
"16","2005","Livestock - Cattle (000 Head)",1845
"17","2006","Livestock - Cattle (000 Head)",1823
"18","2007","Livestock - Cattle (000 Head)",1877
"19","2008","Livestock - Cattle (000 Head)",1866
"20","2009","Livestock - Cattle (000 Head)",1783
"21","2010","Livestock - Cattle (000 Head)",1741
"22","2011","Livestock - Cattle (000 Head)",1861
"23","2012","Livestock - Cattle (000 Head)",1969
"24","2013","Livestock - Cattle (000 Head)",1799
"25","1990","Livestock - Pigs (000 Head)",2533
"26","1991","Livestock - Pigs (000 Head)",2645
"27","1992","Livestock - Pigs (000 Head)",2822
"28","1993","Livestock - Pigs (000 Head)",2975
"29","1994","Livestock - Pigs (000 Head)",2994
"30","1995","Livestock - Pigs (000 Head)",3020
"31","1996","Livestock - Pigs (000 Head)",3255
"32","1997","Livestock - Pigs (000 Head)",3478
"33","1998","Livestock - Pigs (000 Head)",3645
"34","1999","Livestock - Pigs (000 Head)",3510
"35","2000","Livestock - Pigs (000 Head)",3280
"36","2001","Livestock - Pigs (000 Head)",3366
"37","2002","Livestock - Pigs (000 Head)",3381
"38","2003","Livestock - Pigs (000 Head)",3215
"39","2004","Livestock - Pigs (000 Head)",3177
"40","2005","Livestock - Pigs (000 Head)",3016
"41","2006","Livestock - Pigs (000 Head)",3038
"42","2007","Livestock - Pigs (000 Head)",2918
"43","2008","Livestock - Pigs (000 Head)",3100
"44","2009","Livestock - Pigs (000 Head)",3027
"45","2010","Livestock - Pigs (000 Head)",3395
"46","2011","Livestock - Pigs (000 Head)",3693
"47","2012","Livestock - Pigs (000 Head)",3608
"48","2013","Livestock - Pigs (000 Head)",3571
"49","1990","Livestock - Sheep (000 Head)",4096
"50","1991","Livestock - Sheep (000 Head)",4344
"51","1992","Livestock - Sheep (000 Head)",4600
"52","1993","Livestock - Sheep (000 Head)",4778
"53","1994","Livestock - Sheep (000 Head)",4397
"54","1995","Livestock - Sheep (000 Head)",3906
"55","1996","Livestock - Sheep (000 Head)",3968
"56","1997","Livestock - Sheep (000 Head)",3786
"57","1998","Livestock - Sheep (000 Head)",4042
"58","1999","Livestock - Sheep (000 Head)",4018
"59","2000","Livestock - Sheep (000 Head)",3614
"60","2001","Livestock - Sheep (000 Head)",3457
"61","2002","Livestock - Sheep (000 Head)",3089
"62","2003","Livestock - Sheep (000 Head)",2944
"63","2004","Livestock - Sheep (000 Head)",3022
"64","2005","Livestock - Sheep (000 Head)",3137
"65","2006","Livestock - Sheep (000 Head)",2960
"66","2007","Livestock - Sheep (000 Head)",2811
"67","2008","Livestock - Sheep (000 Head)",2590
"68","2009","Livestock - Sheep (000 Head)",2236
"69","2010","Livestock - Sheep (000 Head)",1983
"70","2011","Livestock - Sheep (000 Head)",2174
"71","2012","Livestock - Sheep (000 Head)",2466
"72","2013","Livestock - Sheep (000 Head)",2393
"73","1990","Livestock - Poultry (000 Head)",50917
"74","1991","Livestock - Poultry (000 Head)",50210
"75","1992","Livestock - Poultry (000 Head)",52991
"76","1993","Livestock - Poultry (000 Head)",49861
"77","1994","Livestock - Poultry (000 Head)",56692
"78","1995","Livestock - Poultry (000 Head)",50982
"79","1996","Livestock - Poultry (000 Head)",49387
"80","1997","Livestock - Poultry (000 Head)",57600
"81","1998","Livestock - Poultry (000 Head)",60367
"82","1999","Livestock - Poultry (000 Head)",61592
"83","2000","Livestock - Poultry (000 Head)",59462
"84","2001","Livestock - Poultry (000 Head)",60845
"85","2002","Livestock - Poultry (000 Head)",60141
"86","2003","Livestock - Poultry (000 Head)",63319
"87","2004","Livestock - Poultry (000 Head)",64417
"88","2005","Livestock - Poultry (000 Head)",64768
"89","2006","Livestock - Poultry (000 Head)",68262
"90","2007","Livestock - Poultry (000 Head)",74667
"91","2008","Livestock - Poultry (000 Head)",70960
"92","2009","Livestock - Poultry (000 Head)",73059
"93","2010","Livestock - Poultry (000 Head)",66031
"94","2011","Livestock - Poultry (000 Head)",73608
"95","2012","Livestock - Poultry (000 Head)",90880
"96","2013","Livestock - Poultry (000 Head)",79131
"97","1990","Livestock Products - Milk (Million Litres)",5179
"98","1991","Livestock Products - Milk (Million Litres)",5123
"99","1992","Livestock Products - Milk (Million Litres)",5167
"100","1993","Livestock Products - Milk (Million Litres)",5109
"101","1994","Livestock Products - Milk (Million Litres)",5176
"102","1995","Livestock Products - Milk (Million Litres)",5187
"103","1996","Livestock Products - Milk (Million Litres)",5194
"104","1997","Livestock Products - Milk (Million Litres)",5151
"105","1998","Livestock Products - Milk (Million Litres)",4990
"106","1999","Livestock Products - Milk (Million Litres)",5018
"107","2000","Livestock Products - Milk (Million Litres)",5048
"108","2001","Livestock Products - Milk (Million Litres)",5210
"109","2002","Livestock Products - Milk (Million Litres)",5063
"110","2003","Livestock Products - Milk (Million Litres)",5186
"111","2004","Livestock Products - Milk (Million Litres)",5142
"112","2005","Livestock Products - Milk (Million Litres)",4939
"113","2006","Livestock Products - Milk (Million Litres)",5097
"114","2007","Livestock Products - Milk (Million Litres)",5097
"115","2008","Livestock Products - Milk (Million Litres)",4963
"116","2009","Livestock Products - Milk (Million Litres)",4804
"117","2010","Livestock Products - Milk (Million Litres)",5182
"118","2011","Livestock Products - Milk (Million Litres)",5395
"119","2012","Livestock Products - Milk (Million Litres)",5242
"120","2013","Livestock Products - Milk (Million Litres)",5438
"121","1990","Livestock Products - Eggs (Million)",576
"122","1991","Livestock Products - Eggs (Million)",655
"123","1992","Livestock Products - Eggs (Million)",618
"124","1993","Livestock Products - Eggs (Million)",619
"125","1994","Livestock Products - Eggs (Million)",563
"126","1995","Livestock Products - Eggs (Million)",572
"127","1996","Livestock Products - Eggs (Million)",482
"128","1997","Livestock Products - Eggs (Million)",477
