"","Year","State","Statistic","value"
"1","2005","State","Gross Output at Producer Prices (Base 2010 = 100)",103.4
"2","2006","State","Gross Output at Producer Prices (Base 2010 = 100)",103.7
"3","2007","State","Gross Output at Producer Prices (Base 2010 = 100)",102.3
"4","2008","State","Gross Output at Producer Prices (Base 2010 = 100)",102
"5","2009","State","Gross Output at Producer Prices (Base 2010 = 100)",96.9
"6","2010","State","Gross Output at Producer Prices (Base 2010 = 100)",100
"7","2011","State","Gross Output at Producer Prices (Base 2010 = 100)",104.1
"8","2012","State","Gross Output at Producer Prices (Base 2010 = 100)",103.8
"9","2013","State","Gross Output at Producer Prices (Base 2010 = 100)",106.1
"10","2005","State","All Livestock (Base 2010 = 100)",104.6
"11","2006","State","All Livestock (Base 2010 = 100)",102.6
"12","2007","State","All Livestock (Base 2010 = 100)",105.1
"13","2008","State","All Livestock (Base 2010 = 100)",103.2
"14","2009","State","All Livestock (Base 2010 = 100)",98.7
"15","2010","State","All Livestock (Base 2010 = 100)",100
"16","2011","State","All Livestock (Base 2010 = 100)",101.1
"17","2012","State","All Livestock (Base 2010 = 100)",105.9
"18","2013","State","All Livestock (Base 2010 = 100)",105.6
"19","2005","State","Livestock - Cattle (Base 2010 = 100)",105.4
"20","2006","State","Livestock - Cattle (Base 2010 = 100)",103.1
"21","2007","State","Livestock - Cattle (Base 2010 = 100)",107.1
"22","2008","State","Livestock - Cattle (Base 2010 = 100)",103.4
"23","2009","State","Livestock - Cattle (Base 2010 = 100)",99.5
"24","2010","State","Livestock - Cattle (Base 2010 = 100)",100
"25","2011","State","Livestock - Cattle (Base 2010 = 100)",100.6
"26","2012","State","Livestock - Cattle (Base 2010 = 100)",104.5
"27","2013","State","Livestock - Cattle (Base 2010 = 100)",104.1
"28","2005","State","Livestock - Pigs (Base 2010 = 100)",87.3
"29","2006","State","Livestock - Pigs (Base 2010 = 100)",89.4
"30","2007","State","Livestock - Pigs (Base 2010 = 100)",85.6
"31","2008","State","Livestock - Pigs (Base 2010 = 100)",89.9
"32","2009","State","Livestock - Pigs (Base 2010 = 100)",90.3
"33","2010","State","Livestock - Pigs (Base 2010 = 100)",100
