"","Statistic","Year","Product","value"
"1","Estimated Value of Agricultural Output (Euro Million)","1990","Goods Output at Producer Prices",4523.4
"2","Estimated Quantity of Agricultural Output (Thousand)","1990","Goods Output at Producer Prices",NA
"3","Value Index of Agricultural Output (Base 1995=100)","1990","Goods Output at Producer Prices",97.2
"4","Value of Changes in Livestock and Crops (Euro Million)","1990","Goods Output at Producer Prices",NA
"5","Quanity of Changes in Livestock and  Crops (Thousand)","1990","Goods Output at Producer Prices",NA
"6","Estimated Value of Agricultural Output (Euro Million)","1991","Goods Output at Producer Prices",4441.2
"7","Estimated Quantity of Agricultural Output (Thousand)","1991","Goods Output at Producer Prices",NA
"8","Value Index of Agricultural Output (Base 1995=100)","1991","Goods Output at Producer Prices",97.9
"9","Value of Changes in Livestock and Crops (Euro Million)","1991","Goods Output at Producer Prices",NA
"10","Quanity of Changes in Livestock and  Crops (Thousand)","1991","Goods Output at Producer Prices",NA
"11","Estimated Value of Agricultural Output (Euro Million)","1992","Goods Output at Producer Prices",4735
"12","Estimated Quantity of Agricultural Output (Thousand)","1992","Goods Output at Producer Prices",NA
"13","Value Index of Agricultural Output (Base 1995=100)","1992","Goods Output at Producer Prices",102.7
"14","Value of Changes in Livestock and Crops (Euro Million)","1992","Goods Output at Producer Prices",NA
"15","Quanity of Changes in Livestock and  Crops (Thousand)","1992","Goods Output at Producer Prices",NA
"16","Estimated Value of Agricultural Output (Euro Million)","1993","Goods Output at Producer Prices",4907.4
"17","Estimated Quantity of Agricultural Output (Thousand)","1993","Goods Output at Producer Prices",NA
"18","Value Index of Agricultural Output (Base 1995=100)","1993","Goods Output at Producer Prices",99.7
"19","Value of Changes in Livestock and Crops (Euro Million)","1993","Goods Output at Producer Prices",NA
"20","Quanity of Changes in Livestock and  Crops (Thousand)","1993","Goods Output at Producer Prices",NA
"21","Estimated Value of Agricultural Output (Euro Million)","1994","Goods Output at Producer Prices",4812.8
"22","Estimated Quantity of Agricultural Output (Thousand)","1994","Goods Output at Producer Prices",NA
"23","Value Index of Agricultural Output (Base 1995=100)","1994","Goods Output at Producer Prices",97.3
"24","Value of Changes in Livestock and Crops (Euro Million)","1994","Goods Output at Producer Prices",NA
"25","Quanity of Changes in Livestock and  Crops (Thousand)","1994","Goods Output at Producer Prices",NA
"26","Estimated Value of Agricultural Output (Euro Million)","1995","Goods Output at Producer Prices",5026.7
"27","Estimated Quantity of Agricultural Output (Thousand)","1995","Goods Output at Producer Prices",NA
"28","Value Index of Agricultural Output (Base 1995=100)","1995","Goods Output at Producer Prices",100
"29","Value of Changes in Livestock and Crops (Euro Million)","1995","Goods Output at Producer Prices",NA
"30","Quanity of Changes in Livestock and  Crops (Thousand)","1995","Goods Output at Producer Prices",NA
"31","Estimated Value of Agricultural Output (Euro Million)","1996","Goods Output at Producer Prices",4986.5
"32","Estimated Quantity of Agricultural Output (Thousand)","1996","Goods Output at Producer Prices",NA
"33","Value Index of Agricultural Output (Base 1995=100)","1996","Goods Output at Producer Prices",104.3
"34","Value of Changes in Livestock and Crops (Euro Million)","1996","Goods Output at Producer Prices",NA
"35","Quanity of Changes in Livestock and  Crops (Thousand)","1996","Goods Output at Producer Prices",NA
"36","Estimated Value of Agricultural Output (Euro Million)","1997","Goods Output at Producer Prices",4633.9
"37","Estimated Quantity of Agricultural Output (Thousand)","1997","Goods Output at Producer Prices",NA
"38","Value Index of Agricultural Output (Base 1995=100)","1997","Goods Output at Producer Prices",102.1
"39","Value of Changes in Livestock and Crops (Euro Million)","1997","Goods Output at Producer Prices",NA
"40","Quanity of Changes in Livestock and  Crops (Thousand)","1997","Goods Output at Producer Prices",NA
"41","Estimated Value of Agricultural Output (Euro Million)","1998","Goods Output at Producer Prices",4662
"42","Estimated Quantity of Agricultural Output (Thousand)","1998","Goods Output at Producer Prices",NA
"43","Value Index of Agricultural Output (Base 1995=100)","1998","Goods Output at Producer Prices",102.7
"44","Value of Changes in Livestock and Crops (Euro Million)","1998","Goods Output at Producer Prices",NA
"45","Quanity of Changes in Livestock and  Crops (Thousand)","1998","Goods Output at Producer Prices",NA
"46","Estimated Value of Agricultural Output (Euro Million)","1999","Goods Output at Producer Prices",4602.5
"47","Estimated Quantity of Agricultural Output (Thousand)","1999","Goods Output at Producer Prices",NA
"48","Value Index of Agricultural Output (Base 1995=100)","1999","Goods Output at Producer Prices",103.5
"49","Value of Changes in Livestock and Crops (Euro Million)","1999","Goods Output at Producer Prices",NA
"50","Quanity of Changes in Livestock and  Crops (Thousand)","1999","Goods Output at Producer Prices",NA
"51","Estimated Value of Agricultural Output (Euro Million)","2000","Goods Output at Producer Prices",4764
"52","Estimated Quantity of Agricultural Output (Thousand)","2000","Goods Output at Producer Prices",NA
"53","Value Index of Agricultural Output (Base 1995=100)","2000","Goods Output at Producer Prices",101.6
"54","Value of Changes in Livestock and Crops (Euro Million)","2000","Goods Output at Producer Prices",NA
"55","Quanity of Changes in Livestock and  Crops (Thousand)","2000","Goods Output at Producer Prices",NA
"56","Estimated Value of Agricultural Output (Euro Million)","2001","Goods Output at Producer Prices",4963
"57","Estimated Quantity of Agricultural Output (Thousand)","2001","Goods Output at Producer Prices",NA
"58","Value Index of Agricultural Output (Base 1995=100)","2001","Goods Output at Producer Prices",104
"59","Value of Changes in Livestock and Crops (Euro Million)","2001","Goods Output at Producer Prices",NA
"60","Quanity of Changes in Livestock and  Crops (Thousand)","2001","Goods Output at Producer Prices",NA
"61","Estimated Value of Agricultural Output (Euro Million)","2002","Goods Output at Producer Prices",4581.7
"62","Estimated Quantity of Agricultural Output (Thousand)","2002","Goods Output at Producer Prices",NA
"63","Value Index of Agricultural Output (Base 1995=100)","2002","Goods Output at Producer Prices",98.9
"64","Value of Changes in Livestock and Crops (Euro Million)","2002","Goods Output at Producer Prices",NA
"65","Quanity of Changes in Livestock and  Crops (Thousand)","2002","Goods Output at Producer Prices",NA
"66","Estimated Value of Agricultural Output (Euro Million)","2003","Goods Output at Producer Prices",4730.6
"67","Estimated Quantity of Agricultural Output (Thousand)","2003","Goods Output at Producer Prices",NA
"68","Value Index of Agricultural Output (Base 1995=100)","2003","Goods Output at Producer Prices",NA
"69","Value of Changes in Livestock and Crops (Euro Million)","2003","Goods Output at Producer Prices",NA
"70","Quanity of Changes in Livestock and  Crops (Thousand)","2003","Goods Output at Producer Prices",NA
"71","Estimated Value of Agricultural Output (Euro Million)","1990","Value of Livestock and Crop Stock Changes",101.9
"72","Estimated Quantity of Agricultural Output (Thousand)","1990","Value of Livestock and Crop Stock Changes",NA
"73","Value Index of Agricultural Output (Base 1995=100)","1990","Value of Livestock and Crop Stock Changes",NA
"74","Value of Changes in Livestock and Crops (Euro Million)","1990","Value of Livestock and Crop Stock Changes",101.9
"75","Quanity of Changes in Livestock and  Crops (Thousand)","1990","Value of Livestock and Crop Stock Changes",NA
"76","Estimated Value of Agricultural Output (Euro Million)","1991","Value of Livestock and Crop Stock Changes",35.3
"77","Estimated Quantity of Agricultural Output (Thousand)","1991","Value of Livestock and Crop Stock Changes",NA
"78","Value Index of Agricultural Output (Base 1995=100)","1991","Value of Livestock and Crop Stock Changes",NA
"79","Value of Changes in Livestock and Crops (Euro Million)","1991","Value of Livestock and Crop Stock Changes",35.3
"80","Quanity of Changes in Livestock and  Crops (Thousand)","1991","Value of Livestock and Crop Stock Changes",NA
"81","Estimated Value of Agricultural Output (Euro Million)","1992","Value of Livestock and Crop Stock Changes",113.8
"82","Estimated Quantity of Agricultural Output (Thousand)","1992","Value of Livestock and Crop Stock Changes",NA
"83","Value Index of Agricultural Output (Base 1995=100)","1992","Value of Livestock and Crop Stock Changes",NA
