"","Statistic","Year","Production.Cost","value"
"1","Agricultural Input Value (Euro Million)","1990","Total Intermediate Consumption",2275.8
"2","Agricultural Input Value Index (Base 1995=100)","1990","Total Intermediate Consumption",97.2
"3","Agricultural Input Value (Euro Million)","1991","Total Intermediate Consumption",2306.5
"4","Agricultural Input Value Index (Base 1995=100)","1991","Total Intermediate Consumption",97.9
"5","Agricultural Input Value (Euro Million)","1992","Total Intermediate Consumption",2366.9
"6","Agricultural Input Value Index (Base 1995=100)","1992","Total Intermediate Consumption",102.7
"7","Agricultural Input Value (Euro Million)","1993","Total Intermediate Consumption",2466.9
"8","Agricultural Input Value Index (Base 1995=100)","1993","Total Intermediate Consumption",99.7
"9","Agricultural Input Value (Euro Million)","1994","Total Intermediate Consumption",2592.8
"10","Agricultural Input Value Index (Base 1995=100)","1994","Total Intermediate Consumption",97.3
"11","Agricultural Input Value (Euro Million)","1995","Total Intermediate Consumption",2745.6
"12","Agricultural Input Value Index (Base 1995=100)","1995","Total Intermediate Consumption",100
"13","Agricultural Input Value (Euro Million)","1996","Total Intermediate Consumption",2787.5
"14","Agricultural Input Value Index (Base 1995=100)","1996","Total Intermediate Consumption",104.3
"15","Agricultural Input Value (Euro Million)","1997","Total Intermediate Consumption",2672
"16","Agricultural Input Value Index (Base 1995=100)","1997","Total Intermediate Consumption",102.1
"17","Agricultural Input Value (Euro Million)","1998","Total Intermediate Consumption",2806.6
"18","Agricultural Input Value Index (Base 1995=100)","1998","Total Intermediate Consumption",102.7
"19","Agricultural Input Value (Euro Million)","1999","Total Intermediate Consumption",2880.6
"20","Agricultural Input Value Index (Base 1995=100)","1999","Total Intermediate Consumption",103.5
"21","Agricultural Input Value (Euro Million)","2000","Total Intermediate Consumption",2963.4
"22","Agricultural Input Value Index (Base 1995=100)","2000","Total Intermediate Consumption",101.6
"23","Agricultural Input Value (Euro Million)","2001","Total Intermediate Consumption",3109.3
"24","Agricultural Input Value Index (Base 1995=100)","2001","Total Intermediate Consumption",104
"25","Agricultural Input Value (Euro Million)","2002","Total Intermediate Consumption",3124.6
"26","Agricultural Input Value Index (Base 1995=100)","2002","Total Intermediate Consumption",98.9
"27","Agricultural Input Value (Euro Million)","2003","Total Intermediate Consumption",3148.7
"28","Agricultural Input Value Index (Base 1995=100)","2003","Total Intermediate Consumption",NA
"29","Agricultural Input Value (Euro Million)","1990","Feeding Stuffs",642.2
"30","Agricultural Input Value Index (Base 1995=100)","1990","Feeding Stuffs",75.7
"31","Agricultural Input Value (Euro Million)","1991","Feeding Stuffs",646.5
"32","Agricultural Input Value Index (Base 1995=100)","1991","Feeding Stuffs",79.2
"33","Agricultural Input Value (Euro Million)","1992","Feeding Stuffs",668.5
"34","Agricultural Input Value Index (Base 1995=100)","1992","Feeding Stuffs",81.4
"35","Agricultural Input Value (Euro Million)","1993","Feeding Stuffs",733.4
"36","Agricultural Input Value Index (Base 1995=100)","1993","Feeding Stuffs",89.2
"37","Agricultural Input Value (Euro Million)","1994","Feeding Stuffs",818.6
"38","Agricultural Input Value Index (Base 1995=100)","1994","Feeding Stuffs",99.4
"39","Agricultural Input Value (Euro Million)","1995","Feeding Stuffs",809.5
"40","Agricultural Input Value Index (Base 1995=100)","1995","Feeding Stuffs",100
"41","Agricultural Input Value (Euro Million)","1996","Feeding Stuffs",808.8
"42","Agricultural Input Value Index (Base 1995=100)","1996","Feeding Stuffs",95
"43","Agricultural Input Value (Euro Million)","1997","Feeding Stuffs",749.7
"44","Agricultural Input Value Index (Base 1995=100)","1997","Feeding Stuffs",91.4
"45","Agricultural Input Value (Euro Million)","1998","Feeding Stuffs",831.2
"46","Agricultural Input Value Index (Base 1995=100)","1998","Feeding Stuffs",106.9
"47","Agricultural Input Value (Euro Million)","1999","Feeding Stuffs",860.9
"48","Agricultural Input Value Index (Base 1995=100)","1999","Feeding Stuffs",113.9
"49","Agricultural Input Value (Euro Million)","2000","Feeding Stuffs",831.2
"50","Agricultural Input Value Index (Base 1995=100)","2000","Feeding Stuffs",107.9
"51","Agricultural Input Value (Euro Million)","2001","Feeding Stuffs",882.5
"52","Agricultural Input Value Index (Base 1995=100)","2001","Feeding Stuffs",109.6
"53","Agricultural Input Value (Euro Million)","2002","Feeding Stuffs",952.7
"54","Agricultural Input Value Index (Base 1995=100)","2002","Feeding Stuffs",114.7
"55","Agricultural Input Value (Euro Million)","2003","Feeding Stuffs",906.8
"56","Agricultural Input Value Index (Base 1995=100)","2003","Feeding Stuffs",NA
"57","Agricultural Input Value (Euro Million)","1990","Fertilisers",326
"58","Agricultural Input Value Index (Base 1995=100)","1990","Fertilisers",92.4
"59","Agricultural Input Value (Euro Million)","1991","Fertilisers",319.3
"60","Agricultural Input Value Index (Base 1995=100)","1991","Fertilisers",87.3
"61","Agricultural Input Value (Euro Million)","1992","Fertilisers",305.4
"62","Agricultural Input Value Index (Base 1995=100)","1992","Fertilisers",84.3
"63","Agricultural Input Value (Euro Million)","1993","Fertilisers",301.1
"64","Agricultural Input Value Index (Base 1995=100)","1993","Fertilisers",89.8
"65","Agricultural Input Value (Euro Million)","1994","Fertilisers",316.3
"66","Agricultural Input Value Index (Base 1995=100)","1994","Fertilisers",92.7
"67","Agricultural Input Value (Euro Million)","1995","Fertilisers",368.7
"68","Agricultural Input Value Index (Base 1995=100)","1995","Fertilisers",100
"69","Agricultural Input Value (Euro Million)","1996","Fertilisers",383.9
"70","Agricultural Input Value Index (Base 1995=100)","1996","Fertilisers",98.1
"71","Agricultural Input Value (Euro Million)","1997","Fertilisers",327.3
"72","Agricultural Input Value Index (Base 1995=100)","1997","Fertilisers",87.7
"73","Agricultural Input Value (Euro Million)","1998","Fertilisers",328.7
"74","Agricultural Input Value Index (Base 1995=100)","1998","Fertilisers",92.5
"75","Agricultural Input Value (Euro Million)","1999","Fertilisers",338.3
"76","Agricultural Input Value Index (Base 1995=100)","1999","Fertilisers",94.6
"77","Agricultural Input Value (Euro Million)","2000","Fertilisers",337.1
"78","Agricultural Input Value Index (Base 1995=100)","2000","Fertilisers",89.1
"79","Agricultural Input Value (Euro Million)","2001","Fertilisers",351.3
"80","Agricultural Input Value Index (Base 1995=100)","2001","Fertilisers",79.7
"81","Agricultural Input Value (Euro Million)","2002","Fertilisers",343.7
"82","Agricultural Input Value Index (Base 1995=100)","2002","Fertilisers",78.6
"83","Agricultural Input Value (Euro Million)","2003","Fertilisers",371.4
"84","Agricultural Input Value Index (Base 1995=100)","2003","Fertilisers",NA
"85","Agricultural Input Value (Euro Million)","1990","Seeds",42.7
"86","Agricultural Input Value Index (Base 1995=100)","1990","Seeds",103.3
"87","Agricultural Input Value (Euro Million)","1991","Seeds",44.5
"88","Agricultural Input Value Index (Base 1995=100)","1991","Seeds",108.4
"89","Agricultural Input Value (Euro Million)","1992","Seeds",47
"90","Agricultural Input Value Index (Base 1995=100)","1992","Seeds",112.9
"91","Agricultural Input Value (Euro Million)","1993","Seeds",47.3
"92","Agricultural Input Value Index (Base 1995=100)","1993","Seeds",94.4
"93","Agricultural Input Value (Euro Million)","1994","Seeds",50.6
"94","Agricultural Input Value Index (Base 1995=100)","1994","Seeds",96.6
"95","Agricultural Input Value (Euro Million)","1995","Seeds",61.7
"96","Agricultural Input Value Index (Base 1995=100)","1995","Seeds",100
"97","Agricultural Input Value (Euro Million)","1996","Seeds",66.1
"98","Agricultural Input Value Index (Base 1995=100)","1996","Seeds",108.2
"99","Agricultural Input Value (Euro Million)","1997","Seeds",63.6
"100","Agricultural Input Value Index (Base 1995=100)","1997","Seeds",107.4
"101","Agricultural Input Value (Euro Million)","1998","Seeds",63.3
"102","Agricultural Input Value Index (Base 1995=100)","1998","Seeds",106.3
"103","Agricultural Input Value (Euro Million)","1999","Seeds",52.6
"104","Agricultural Input Value Index (Base 1995=100)","1999","Seeds",83
"105","Agricultural Input Value (Euro Million)","2000","Seeds",57.4
"106","Agricultural Input Value Index (Base 1995=100)","2000","Seeds",84.1
"107","Agricultural Input Value (Euro Million)","2001","Seeds",67.9
"108","Agricultural Input Value Index (Base 1995=100)","2001","Seeds",101.6
"109","Agricultural Input Value (Euro Million)","2002","Seeds",71.7
"110","Agricultural Input Value Index (Base 1995=100)","2002","Seeds",102.4
"111","Agricultural Input Value (Euro Million)","2003","Seeds",NA
"112","Agricultural Input Value Index (Base 1995=100)","2003","Seeds",NA
"113","Agricultural Input Value (Euro Million)","1990","Energy and Lubricants",198
"114","Agricultural Input Value Index (Base 1995=100)","1990","Energy and Lubricants",93.2
"115","Agricultural Input Value (Euro Million)","1991","Energy and Lubricants",203.8
"116","Agricultural Input Value Index (Base 1995=100)","1991","Energy and Lubricants",94.8
"117","Agricultural Input Value (Euro Million)","1992","Energy and Lubricants",200.8
"118","Agricultural Input Value Index (Base 1995=100)","1992","Energy and Lubricants",99.2
"119","Agricultural Input Value (Euro Million)","1993","Energy and Lubricants",202.8
"120","Agricultural Input Value Index (Base 1995=100)","1993","Energy and Lubricants",97.8
"121","Agricultural Input Value (Euro Million)","1994","Energy and Lubricants",197.2
"122","Agricultural Input Value Index (Base 1995=100)","1994","Energy and Lubricants",97.2
"123","Agricultural Input Value (Euro Million)","1995","Energy and Lubricants",204.4
"124","Agricultural Input Value Index (Base 1995=100)","1995","Energy and Lubricants",100
"125","Agricultural Input Value (Euro Million)","1996","Energy and Lubricants",227.3
"126","Agricultural Input Value Index (Base 1995=100)","1996","Energy and Lubricants",104.3
"127","Agricultural Input Value (Euro Million)","1997","Energy and Lubricants",230.7
"128","Agricultural Input Value Index (Base 1995=100)","1997","Energy and Lubricants",103.7
"129","Agricultural Input Value (Euro Million)","1998","Energy and Lubricants",227.2
"130","Agricultural Input Value Index (Base 1995=100)","1998","Energy and Lubricants",105
"131","Agricultural Input Value (Euro Million)","1999","Energy and Lubricants",243.5
"132","Agricultural Input Value Index (Base 1995=100)","1999","Energy and Lubricants",107
"133","Agricultural Input Value (Euro Million)","2000","Energy and Lubricants",298.8
"134","Agricultural Input Value Index (Base 1995=100)","2000","Energy and Lubricants",107.6
"135","Agricultural Input Value (Euro Million)","2001","Energy and Lubricants",298.4
"136","Agricultural Input Value Index (Base 1995=100)","2001","Energy and Lubricants",110.4
"137","Agricultural Input Value (Euro Million)","2002","Energy and Lubricants",300.8
"138","Agricultural Input Value Index (Base 1995=100)","2002","Energy and Lubricants",111.6
"139","Agricultural Input Value (Euro Million)","2003","Energy and Lubricants",317.4
"140","Agricultural Input Value Index (Base 1995=100)","2003","Energy and Lubricants",NA
"141","Agricultural Input Value (Euro Million)","1990","Maintenance and Repairs",132.7
"142","Agricultural Input Value Index (Base 1995=100)","1990","Maintenance and Repairs",84.9
"143","Agricultural Input Value (Euro Million)","1991","Maintenance and Repairs",135.2
"144","Agricultural Input Value Index (Base 1995=100)","1991","Maintenance and Repairs",82.4
"145","Agricultural Input Value (Euro Million)","1992","Maintenance and Repairs",147.2
"146","Agricultural Input Value Index (Base 1995=100)","1992","Maintenance and Repairs",86
"147","Agricultural Input Value (Euro Million)","1993","Maintenance and Repairs",150.9
"148","Agricultural Input Value Index (Base 1995=100)","1993","Maintenance and Repairs",86
"149","Agricultural Input Value (Euro Million)","1994","Maintenance and Repairs",161.5
"150","Agricultural Input Value Index (Base 1995=100)","1994","Maintenance and Repairs",90.9
"151","Agricultural Input Value (Euro Million)","1995","Maintenance and Repairs",183.2
"152","Agricultural Input Value Index (Base 1995=100)","1995","Maintenance and Repairs",100
"153","Agricultural Input Value (Euro Million)","1996","Maintenance and Repairs",186.6
"154","Agricultural Input Value Index (Base 1995=100)","1996","Maintenance and Repairs",99.4
"155","Agricultural Input Value (Euro Million)","1997","Maintenance and Repairs",186.2
"156","Agricultural Input Value Index (Base 1995=100)","1997","Maintenance and Repairs",97.3
"157","Agricultural Input Value (Euro Million)","1998","Maintenance and Repairs",199.3
"158","Agricultural Input Value Index (Base 1995=100)","1998","Maintenance and Repairs",101.8
"159","Agricultural Input Value (Euro Million)","1999","Maintenance and Repairs",203.5
"160","Agricultural Input Value Index (Base 1995=100)","1999","Maintenance and Repairs",99.7
"161","Agricultural Input Value (Euro Million)","2000","Maintenance and Repairs",206
"162","Agricultural Input Value Index (Base 1995=100)","2000","Maintenance and Repairs",95.4
"163","Agricultural Input Value (Euro Million)","2001","Maintenance and Repairs",216.9
"164","Agricultural Input Value Index (Base 1995=100)","2001","Maintenance and Repairs",93.2
"165","Agricultural Input Value (Euro Million)","2002","Maintenance and Repairs",221.9
"166","Agricultural Input Value Index (Base 1995=100)","2002","Maintenance and Repairs",91.5
"167","Agricultural Input Value (Euro Million)","2003","Maintenance and Repairs",NA
"168","Agricultural Input Value Index (Base 1995=100)","2003","Maintenance and Repairs",NA
"169","Agricultural Input Value (Euro Million)","1990","Services",123
"170","Agricultural Input Value Index (Base 1995=100)","1990","Services",104.7
"171","Agricultural Input Value (Euro Million)","1991","Services",116.2
"172","Agricultural Input Value Index (Base 1995=100)","1991","Services",100.9
"173","Agricultural Input Value (Euro Million)","1992","Services",122.3
"174","Agricultural Input Value Index (Base 1995=100)","1992","Services",102.3
"175","Agricultural Input Value (Euro Million)","1993","Services",121
"176","Agricultural Input Value Index (Base 1995=100)","1993","Services",101.3
"177","Agricultural Input Value (Euro Million)","1994","Services",123.9
"178","Agricultural Input Value Index (Base 1995=100)","1994","Services",99.7
"179","Agricultural Input Value (Euro Million)","1995","Services",128.2
"180","Agricultural Input Value Index (Base 1995=100)","1995","Services",100
"181","Agricultural Input Value (Euro Million)","1996","Services",135.4
"182","Agricultural Input Value Index (Base 1995=100)","1996","Services",101.1
"183","Agricultural Input Value (Euro Million)","1997","Services",136.7
"184","Agricultural Input Value Index (Base 1995=100)","1997","Services",98.3
"185","Agricultural Input Value (Euro Million)","1998","Services",136.6
"186","Agricultural Input Value Index (Base 1995=100)","1998","Services",96.8
"187","Agricultural Input Value (Euro Million)","1999","Services",130.3
"188","Agricultural Input Value Index (Base 1995=100)","1999","Services",92
"189","Agricultural Input Value (Euro Million)","2000","Services",131.1
"190","Agricultural Input Value Index (Base 1995=100)","2000","Services",89.3
"191","Agricultural Input Value (Euro Million)","2001","Services",136.8
"192","Agricultural Input Value Index (Base 1995=100)","2001","Services",87.7
"193","Agricultural Input Value (Euro Million)","2002","Services",140.2
"194","Agricultural Input Value Index (Base 1995=100)","2002","Services",84.3
"195","Agricultural Input Value (Euro Million)","2003","Services",NA
"196","Agricultural Input Value Index (Base 1995=100)","2003","Services",NA
"197","Agricultural Input Value (Euro Million)","1990","Crop Protection Products",47.4
"198","Agricultural Input Value Index (Base 1995=100)","1990","Crop Protection Products",88.9
"199","Agricultural Input Value (Euro Million)","1991","Crop Protection Products",50.4
"200","Agricultural Input Value Index (Base 1995=100)","1991","Crop Protection Products",91.8
"201","Agricultural Input Value (Euro Million)","1992","Crop Protection Products",55.2
"202","Agricultural Input Value Index (Base 1995=100)","1992","Crop Protection Products",99.6
"203","Agricultural Input Value (Euro Million)","1993","Crop Protection Products",57
