"","Year","Product","value"
"1","1990","All Products",NA
"2","1991","All Products",NA
"3","1992","All Products",NA
"4","1993","All Products",NA
"5","1994","All Products",NA
"6","1995","All Products",NA
"7","1996","All Products",NA
"8","1997","All Products",NA
"9","1998","All Products",NA
"10","1999","All Products",NA
"11","2000","All Products",NA
"12","2001","All Products",NA
"13","2002","All Products",NA
"14","2003","All Products",NA
"15","1990","Goods Output at Producer Prices",4523.4
"16","1991","Goods Output at Producer Prices",4441.2
"17","1992","Goods Output at Producer Prices",4735
"18","1993","Goods Output at Producer Prices",4907.4
"19","1994","Goods Output at Producer Prices",4812.8
"20","1995","Goods Output at Producer Prices",5026.7
"21","1996","Goods Output at Producer Prices",4986.5
"22","1997","Goods Output at Producer Prices",4633.9
"23","1998","Goods Output at Producer Prices",4662
"24","1999","Goods Output at Producer Prices",4602.5
"25","2000","Goods Output at Producer Prices",4764
"26","2001","Goods Output at Producer Prices",4963
"27","2002","Goods Output at Producer Prices",4581.7
"28","2003","Goods Output at Producer Prices",4730.6
"29","1990","Value of Livestock and Crop Stock Changes",101.9
"30","1991","Value of Livestock and Crop Stock Changes",35.3
"31","1992","Value of Livestock and Crop Stock Changes",113.8
"32","1993","Value of Livestock and Crop Stock Changes",-1
"33","1994","Value of Livestock and Crop Stock Changes",76.9
"34","1995","Value of Livestock and Crop Stock Changes",91
"35","1996","Value of Livestock and Crop Stock Changes",134
"36","1997","Value of Livestock and Crop Stock Changes",126.8
"37","1998","Value of Livestock and Crop Stock Changes",43.3
"38","1999","Value of Livestock and Crop Stock Changes",-178.5
"39","2000","Value of Livestock and Crop Stock Changes",-150.8
"40","2001","Value of Livestock and Crop Stock Changes",-12.9
"41","2002","Value of Livestock and Crop Stock Changes",-39.8
"42","2003","Value of Livestock and Crop Stock Changes",NA
"43","1990","Contract Work",197.6
"44","1991","Contract Work",192.4
"45","1992","Contract Work",200.4
"46","1993","Contract Work",221.6
"47","1994","Contract Work",227.7
"48","1995","Contract Work",234.8
"49","1996","Contract Work",245.4
"50","1997","Contract Work",250.4
"51","1998","Contract Work",250.6
"52","1999","Contract Work",272.9
"53","2000","Contract Work",288.4
"54","2001","Contract Work",312.1
"55","2002","Contract Work",287.2
"56","2003","Contract Work",303.6
"57","1990","Subsidies on Products",408.9
"58","1991","Subsidies on Products",357.3
"59","1992","Subsidies on Products",446
"60","1993","Subsidies on Products",466.4
"61","1994","Subsidies on Products",666
"62","1995","Subsidies on Products",735.5
"63","1996","Subsidies on Products",806
"64","1997","Subsidies on Products",808.7
"65","1998","Subsidies on Products",899.6
"66","1999","Subsidies on Products",743.7
"67","2000","Subsidies on Products",876.7
"68","2001","Subsidies on Products",710.8
"69","2002","Subsidies on Products",904.1
"70","2003","Subsidies on Products",NA
"71","1990","Taxes on Products",75
"72","1991","Taxes on Products",78.2
"73","1992","Taxes on Products",79.5
"74","1993","Taxes on Products",68
"75","1994","Taxes on Products",53.7
"76","1995","Taxes on Products",59.6
"77","1996","Taxes on Products",52.9
"78","1997","Taxes on Products",39.8
"79","1998","Taxes on Products",39.4
"80","1999","Taxes on Products",27.9
"81","2000","Taxes on Products",32.9
"82","2001","Taxes on Products",25
"83","2002","Taxes on Products",27.4
"84","2003","Taxes on Products",NA
"85","1990","Agricultural Output at Basic Prices",5054.9
"86","1991","Agricultural Output at Basic Prices",4912.7
"87","1992","Agricultural Output at Basic Prices",5302
"88","1993","Agricultural Output at Basic Prices",5527.4
"89","1994","Agricultural Output at Basic Prices",5652.8
"90","1995","Agricultural Output at Basic Prices",5937.4
"91","1996","Agricultural Output at Basic Prices",5985
"92","1997","Agricultural Output at Basic Prices",5653.2
"93","1998","Agricultural Output at Basic Prices",5772.7
"94","1999","Agricultural Output at Basic Prices",5591.2
"95","2000","Agricultural Output at Basic Prices",5896.2
"96","2001","Agricultural Output at Basic Prices",5960.8
"97","2002","Agricultural Output at Basic Prices",5745.6
"98","2003","Agricultural Output at Basic Prices",5923.8
"99","1990","Total Livestock (Incl. Stock Changes)",2208
"100","1991","Total Livestock (Incl. Stock Changes)",2128.2
"101","1992","Total Livestock (Incl. Stock Changes)",2286.3
"102","1993","Total Livestock (Incl. Stock Changes)",2470.2
"103","1994","Total Livestock (Incl. Stock Changes)",2347.8
"104","1995","Total Livestock (Incl. Stock Changes)",2357.3
"105","1996","Total Livestock (Incl. Stock Changes)",2338.4
"106","1997","Total Livestock (Incl. Stock Changes)",2227.3
"107","1998","Total Livestock (Incl. Stock Changes)",2166.7
"108","1999","Total Livestock (Incl. Stock Changes)",2081.8
"109","2000","Total Livestock (Incl. Stock Changes)",2184.4
"110","2001","Total Livestock (Incl. Stock Changes)",2189.9
"111","2002","Total Livestock (Incl. Stock Changes)",2019.7
"112","2003","Total Livestock (Incl. Stock Changes)",2069.8
"113","1990","Total Cattle",1576.4
"114","1991","Total Cattle",1484.4
"115","1992","Total Cattle",1616
"116","1993","Total Cattle",1772.9
"117","1994","Total Cattle",1632.9
"118","1995","Total Cattle",1656.7
"119","1996","Total Cattle",1491.5
"120","1997","Total Cattle",1389.9
"121","1998","Total Cattle",1385
"122","1999","Total Cattle",1330.7
"123","2000","Total Cattle",1378
"124","2001","Total Cattle",1257.9
"125","2002","Total Cattle",1168.1
"126","2003","Total Cattle",1229.5
"127","1990","Total Pigs",237.2
"128","1991","Total Pigs",242.1
"129","1992","Total Pigs",280.4
"130","1993","Total Pigs",257.9
"131","1994","Total Pigs",264.5
"132","1995","Total Pigs",296.6
"133","1996","Total Pigs",358.1
"134","1997","Total Pigs",338.4
"135","1998","Total Pigs",284.4
"136","1999","Total Pigs",253.3
"137","2000","Total Pigs",299.3
"138","2001","Total Pigs",347.5
"139","2002","Total Pigs",300.1
"140","2003","Total Pigs",282.7
"141","1990","Total Sheep",188.8
"142","1991","Total Sheep",201.4
"143","1992","Total Sheep",195.3
"144","1993","Total Sheep",234.7
"145","1994","Total Sheep",232.7
"146","1995","Total Sheep",192
"147","1996","Total Sheep",243.1
"148","1997","Total Sheep",231.1
"149","1998","Total Sheep",214
"150","1999","Total Sheep",198
"151","2000","Total Sheep",203.4
"152","2001","Total Sheep",285.8
"153","2002","Total Sheep",202.2
"154","2003","Total Sheep",193.3
"155","1990","Total Horses",83.2
"156","1991","Total Horses",70.2
"157","1992","Total Horses",61.4
"158","1993","Total Horses",84.5
"159","1994","Total Horses",75.9
"160","1995","Total Horses",70.1
"161","1996","Total Horses",96.8
"162","1997","Total Horses",106.9
"163","1998","Total Horses",128.7
"164","1999","Total Horses",150
"165","2000","Total Horses",164.3
"166","2001","Total Horses",146.5
"167","2002","Total Horses",198.7
"168","2003","Total Horses",NA
"169","1990","Total Poultry",122.4
"170","1991","Total Poultry",130.2
"171","1992","Total Poultry",133.2
"172","1993","Total Poultry",120.2
"173","1994","Total Poultry",141.7
"174","1995","Total Poultry",141.8
"175","1996","Total Poultry",148.9
"176","1997","Total Poultry",161.1
"177","1998","Total Poultry",154.6
"178","1999","Total Poultry",149.8
"179","2000","Total Poultry",139.4
"180","2001","Total Poultry",152.2
"181","2002","Total Poultry",150.6
"182","2003","Total Poultry",NA
"183","1990","Ordinary Fowl",NA
"184","1991","Ordinary Fowl",NA
"185","1992","Ordinary Fowl",NA
"186","1993","Ordinary Fowl",NA
"187","1994","Ordinary Fowl",NA
"188","1995","Ordinary Fowl",NA
"189","1996","Ordinary Fowl",NA
"190","1997","Ordinary Fowl",NA
"191","1998","Ordinary Fowl",NA
