"","Year","Farm.Land.Utilisation","Rural.District","value"
"1","1926","Total Area","Ireland",6889563
"2","1933","Total Area","Ireland",6889563
"3","1955","Total Area","Ireland",6889406
"4","1960","Total Area","Ireland",6889234
"5","1965","Total Area","Ireland",6889246
"6","1970","Total Area","Ireland",6889246
"7","1975","Total Area","Ireland",6889246
"8","1980","Total Area","Ireland",6889230
"9","1926","Crops, hay, pasture and rough grazing","Ireland",NA
"10","1933","Crops, hay, pasture and rough grazing","Ireland",NA
"11","1955","Crops, hay, pasture and rough grazing","Ireland",NA
"12","1960","Crops, hay, pasture and rough grazing","Ireland",NA
"13","1965","Crops, hay, pasture and rough grazing","Ireland",NA
"14","1970","Crops, hay, pasture and rough grazing","Ireland",NA
"15","1975","Crops, hay, pasture and rough grazing","Ireland",5715944
"16","1980","Crops, hay, pasture and rough grazing","Ireland",5704381
"17","1926","Crops, hay and pasture","Ireland",4959720
"18","1933","Crops, hay and pasture","Ireland",4735996
"19","1955","Crops, hay and pasture","Ireland",4704550
"20","1960","Crops, hay and pasture","Ireland",4545906
"21","1965","Crops, hay and pasture","Ireland",4709080
"22","1970","Crops, hay and pasture","Ireland",4794652
"23","1975","Crops, hay and pasture","Ireland",4689958
"24","1980","Crops, hay and pasture","Ireland",4695652
"25","1926","Crops including fruit and horticultural","Ireland",627848
"26","1933","Crops including fruit and horticultural","Ireland",588913
"27","1955","Crops including fruit and horticultural","Ireland",699173
"28","1960","Crops including fruit and horticultural","Ireland",677696
"29","1965","Crops including fruit and horticultural","Ireland",564461
"30","1970","Crops including fruit and horticultural","Ireland",532073
"31","1975","Crops including fruit and horticultural","Ireland",459599
"32","1980","Crops including fruit and horticultural","Ireland",553880
"33","1926","Corn crops","Ireland",333901
"34","1933","Corn crops","Ireland",326135
"35","1955","Corn crops","Ireland",453760
"36","1960","Corn crops","Ireland",456267
"37","1965","Corn crops","Ireland",380056
"38","1970","Corn crops","Ireland",381366
"39","1975","Corn crops","Ireland",342374
"40","1980","Corn crops","Ireland",446479
"41","1926","Wheat","Ireland",11892
"42","1933","Wheat","Ireland",20433
"43","1955","Wheat","Ireland",144880
"44","1960","Wheat","Ireland",148221
"45","1965","Wheat","Ireland",73722
"46","1970","Wheat","Ireland",94558
"47","1975","Wheat","Ireland",44575
"48","1980","Wheat","Ireland",52988
"49","1926","Spring wheat","Ireland",NA
"50","1933","Spring wheat","Ireland",NA
"51","1955","Spring wheat","Ireland",NA
"52","1960","Spring wheat","Ireland",NA
"53","1965","Spring wheat","Ireland",NA
"54","1970","Spring wheat","Ireland",NA
"55","1975","Spring wheat","Ireland",NA
"56","1980","Spring wheat","Ireland",33982
"57","1926","Winter wheat","Ireland",NA
"58","1933","Winter wheat","Ireland",NA
"59","1955","Winter wheat","Ireland",NA
"60","1960","Winter wheat","Ireland",NA
"61","1965","Winter wheat","Ireland",NA
"62","1970","Winter wheat","Ireland",NA
"63","1975","Winter wheat","Ireland",NA
"64","1980","Winter wheat","Ireland",19006
"65","1926","Oats","Ireland",261996
