"","Year","Type.of.Land.Use","Region","value"
"1","1991","Area farmed (AAU)","State",4441.8
"2","1992","Area farmed (AAU)","State",4413.2
"3","1993","Area farmed (AAU)","State",4404.3
"4","1994","Area farmed (AAU)","State",4390.7
"5","1995","Area farmed (AAU)","State",4388.5
"6","1996","Area farmed (AAU)","State",4341.4
"7","1997","Area farmed (AAU)","State",4431.6
"8","1998","Area farmed (AAU)","State",4414.8
"9","1999","Area farmed (AAU)","State",4418.4
"10","2000","Area farmed (AAU)","State",4443.1
"11","2001","Area farmed (AAU)","State",4409.9
"12","2002","Area farmed (AAU)","State",4372
"13","2003","Area farmed (AAU)","State",4370.2
"14","2004","Area farmed (AAU)","State",4305
"15","2005","Area farmed (AAU)","State",4302
"16","2006","Area farmed (AAU)","State",4260.5
"17","2007","Area farmed (AAU)","State",4275.9
"18","1991","Crops and pasture","State",3799.8
"19","1992","Crops and pasture","State",3817.3
"20","1993","Crops and pasture","State",3904.7
"21","1994","Crops and pasture","State",3929.1
"22","1995","Crops and pasture","State",3929
"23","1996","Crops and pasture","State",3912.4
"24","1997","Crops and pasture","State",3957.6
"25","1998","Crops and pasture","State",3968.4
"26","1999","Crops and pasture","State",3953.9
"27","2000","Crops and pasture","State",3936.6
"28","2001","Crops and pasture","State",3946.8
"29","2002","Crops and pasture","State",3900.6
"30","2003","Crops and pasture","State",3902.2
"31","2004","Crops and pasture","State",3851.4
"32","2005","Crops and pasture","State",3830.5
"33","2006","Crops and pasture","State",3789.5
"34","2007","Crops and pasture","State",3821.1
"35","1991","Pasture","State",2249.4
"36","1992","Pasture","State",2195.6
"37","1993","Pasture","State",2202.5
"38","1994","Pasture","State",2201.3
"39","1995","Pasture","State",2238.9
"40","1996","Pasture","State",2178.4
"41","1997","Pasture","State",2273
"42","1998","Pasture","State",2327.3
"43","1999","Pasture","State",2325.1
"44","2000","Pasture","State",2218.1
"45","2001","Pasture","State",2214
"46","2002","Pasture","State",2262.4
"47","2003","Pasture","State",2282.5
"48","2004","Pasture","State",2218.1
"49","2005","Pasture","State",1988.7
"50","2006","Pasture","State",1932.7
"51","2007","Pasture","State",2158.5
"52","1991","Hay","State",394.1
"53","1992","Hay","State",415.1
"54","1993","Hay","State",425.9
"55","1994","Hay","State",410.1
"56","1995","Hay","State",357.2
"57","1996","Hay","State",371.5
"58","1997","Hay","State",338.8
"59","1998","Hay","State",282.7
"60","1999","Hay","State",250.4
"61","2000","Hay","State",242.6
"62","2001","Hay","State",251.5
"63","2002","Hay","State",199.4
"64","2003","Hay","State",184
"65","2004","Hay","State",189
"66","2005","Hay","State",242.3
"67","2006","Hay","State",264.6
"68","2007","Hay","State",243.3
"69","1991","Grass silage","State",764.7
"70","1992","Grass silage","State",813.7
"71","1993","Grass silage","State",872.3
"72","1994","Grass silage","State",917.4
"73","1995","Grass silage","State",933.6
"74","1996","Grass silage","State",956.1
"75","1997","Grass silage","State",931.5
"76","1998","Grass silage","State",950.4
"77","1999","Grass silage","State",977.4
"78","2000","Grass silage","State",1074.7
"79","2001","Grass silage","State",1065.9
"80","2002","Grass silage","State",1015.1
"81","2003","Grass silage","State",999.3
"82","2004","Grass silage","State",1020.4
"83","2005","Grass silage","State",1198.3
"84","2006","Grass silage","State",1211.2
"85","2007","Grass silage","State",1039.9
"86","1991","Total crops, fruit and horticulture","State",391.7
"87","1992","Total crops, fruit and horticulture","State",392.9
"88","1993","Total crops, fruit and horticulture","State",403.9
"89","1994","Total crops, fruit and horticulture","State",400.3
"90","1995","Total crops, fruit and horticulture","State",399.4
"91","1996","Total crops, fruit and horticulture","State",406.3
"92","1997","Total crops, fruit and horticulture","State",414.3
"93","1998","Total crops, fruit and horticulture","State",408.1
"94","1999","Total crops, fruit and horticulture","State",401
"95","2000","Total crops, fruit and horticulture","State",401.1
"96","2001","Total crops, fruit and horticulture","State",415.5
"97","2002","Total crops, fruit and horticulture","State",423.7
"98","2003","Total crops, fruit and horticulture","State",436.4
"99","2004","Total crops, fruit and horticulture","State",423.9
"100","2005","Total crops, fruit and horticulture","State",401.1
"101","2006","Total crops, fruit and horticulture","State",381
"102","2007","Total crops, fruit and horticulture","State",379.4
"103","1991","Beans and peas","State",2.8
