"","Region","Year","Type.of.Land.Use","value"
"1","State","1980","Total wheat",53
"2","Midlands and East","1980","Total wheat",24.1
"3","North West","1980","Total wheat",0.5
"4","West","1980","Total wheat",0.4
"5","South-East (IRL)","1980","Total wheat",22.8
"6","South-West (IRL)","1980","Total wheat",5.2
"7","State","1981","Total wheat",49.3
"8","Midlands and East","1981","Total wheat",24.8
"9","North West","1981","Total wheat",0.5
"10","West","1981","Total wheat",0.4
"11","South-East (IRL)","1981","Total wheat",18.8
"12","South-West (IRL)","1981","Total wheat",4.8
"13","State","1982","Total wheat",57.1
"14","Midlands and East","1982","Total wheat",28.4
"15","North West","1982","Total wheat",0.5
"16","West","1982","Total wheat",0.5
"17","South-East (IRL)","1982","Total wheat",22.1
"18","South-West (IRL)","1982","Total wheat",5.6
"19","State","1983","Total wheat",59.5
"20","Midlands and East","1983","Total wheat",28.6
"21","North West","1983","Total wheat",0.6
"22","West","1983","Total wheat",0.5
"23","South-East (IRL)","1983","Total wheat",22.7
"24","South-West (IRL)","1983","Total wheat",7
"25","State","1984","Total wheat",77.2
"26","Midlands and East","1984","Total wheat",37.6
"27","North West","1984","Total wheat",0.8
"28","West","1984","Total wheat",0.5
"29","South-East (IRL)","1984","Total wheat",28.7
"30","South-West (IRL)","1984","Total wheat",9.6
"31","State","1985","Total wheat",77.7
"32","Midlands and East","1985","Total wheat",37.7
"33","North West","1985","Total wheat",0.8
"34","West","1985","Total wheat",0.5
"35","South-East (IRL)","1985","Total wheat",28.6
"36","South-West (IRL)","1985","Total wheat",10.1
"37","State","1986","Total wheat",74.6
"38","Midlands and East","1986","Total wheat",35.9
"39","North West","1986","Total wheat",0.8
"40","West","1986","Total wheat",0.5
"41","South-East (IRL)","1986","Total wheat",27.6
"42","South-West (IRL)","1986","Total wheat",9.9
"43","State","1987","Total wheat",56.1
"44","Midlands and East","1987","Total wheat",27.4
"45","North West","1987","Total wheat",0.7
"46","West","1987","Total wheat",0.4
"47","South-East (IRL)","1987","Total wheat",21.5
"48","South-West (IRL)","1987","Total wheat",6.1
"49","State","1988","Total wheat",58.6
"50","Midlands and East","1988","Total wheat",28.3
