"","Statistic","Year","Type.of.Crop","value"
"1","Area under Crops (000 Hectares)","1985","Total wheat",77.7
"2","Crop Yield per Hectare (Tonnes)","1985","Total wheat",6.4
"3","Crop Yield (000 Tonnes)","1985","Total wheat",495
"4","Area under Crops (000 Hectares)","1986","Total wheat",74.6
"5","Crop Yield per Hectare (Tonnes)","1986","Total wheat",5.5
"6","Crop Yield (000 Tonnes)","1986","Total wheat",412
"7","Area under Crops (000 Hectares)","1987","Total wheat",56.1
"8","Crop Yield per Hectare (Tonnes)","1987","Total wheat",6.9
"9","Crop Yield (000 Tonnes)","1987","Total wheat",387
"10","Area under Crops (000 Hectares)","1988","Total wheat",58.6
"11","Crop Yield per Hectare (Tonnes)","1988","Total wheat",7.8
"12","Crop Yield (000 Tonnes)","1988","Total wheat",455
"13","Area under Crops (000 Hectares)","1989","Total wheat",60.7
"14","Crop Yield per Hectare (Tonnes)","1989","Total wheat",7.6
"15","Crop Yield (000 Tonnes)","1989","Total wheat",459
"16","Area under Crops (000 Hectares)","1990","Total wheat",70.1
"17","Crop Yield per Hectare (Tonnes)","1990","Total wheat",8.5
"18","Crop Yield (000 Tonnes)","1990","Total wheat",598
"19","Area under Crops (000 Hectares)","1991","Total wheat",85.7
"20","Crop Yield per Hectare (Tonnes)","1991","Total wheat",7.9
"21","Crop Yield (000 Tonnes)","1991","Total wheat",673.6
"22","Area under Crops (000 Hectares)","1992","Total wheat",90.6
"23","Crop Yield per Hectare (Tonnes)","1992","Total wheat",7.9
"24","Crop Yield (000 Tonnes)","1992","Total wheat",714
"25","Area under Crops (000 Hectares)","1993","Total wheat",79.2
"26","Crop Yield per Hectare (Tonnes)","1993","Total wheat",6.8
"27","Crop Yield (000 Tonnes)","1993","Total wheat",539
"28","Area under Crops (000 Hectares)","1994","Total wheat",74.1
"29","Crop Yield per Hectare (Tonnes)","1994","Total wheat",7.7
"30","Crop Yield (000 Tonnes)","1994","Total wheat",572
"31","Area under Crops (000 Hectares)","1995","Total wheat",70.7
"32","Crop Yield per Hectare (Tonnes)","1995","Total wheat",8.2
"33","Crop Yield (000 Tonnes)","1995","Total wheat",583
"34","Area under Crops (000 Hectares)","1996","Total wheat",85.7
"35","Crop Yield per Hectare (Tonnes)","1996","Total wheat",9
"36","Crop Yield (000 Tonnes)","1996","Total wheat",771.2
"37","Area under Crops (000 Hectares)","1997","Total wheat",93.9
"38","Crop Yield per Hectare (Tonnes)","1997","Total wheat",7.7
"39","Crop Yield (000 Tonnes)","1997","Total wheat",724.5
"40","Area under Crops (000 Hectares)","1998","Total wheat",83.8
"41","Crop Yield per Hectare (Tonnes)","1998","Total wheat",8
"42","Crop Yield (000 Tonnes)","1998","Total wheat",673
"43","Area under Crops (000 Hectares)","1999","Total wheat",68.1
"44","Crop Yield per Hectare (Tonnes)","1999","Total wheat",8.8
"45","Crop Yield (000 Tonnes)","1999","Total wheat",597.4
"46","Area under Crops (000 Hectares)","2000","Total wheat",78
"47","Crop Yield per Hectare (Tonnes)","2000","Total wheat",9.5
"48","Crop Yield (000 Tonnes)","2000","Total wheat",737.4
"49","Area under Crops (000 Hectares)","2001","Total wheat",84.9
"50","Crop Yield per Hectare (Tonnes)","2001","Total wheat",9.1
"51","Crop Yield (000 Tonnes)","2001","Total wheat",769.2
"52","Area under Crops (000 Hectares)","2002","Total wheat",102.7
"53","Crop Yield per Hectare (Tonnes)","2002","Total wheat",8.4
"54","Crop Yield (000 Tonnes)","2002","Total wheat",867.2
"55","Area under Crops (000 Hectares)","2003","Total wheat",95.7
"56","Crop Yield per Hectare (Tonnes)","2003","Total wheat",8.3
"57","Crop Yield (000 Tonnes)","2003","Total wheat",794.1
"58","Area under Crops (000 Hectares)","2004","Total wheat",102.7
"59","Crop Yield per Hectare (Tonnes)","2004","Total wheat",9.9
"60","Crop Yield (000 Tonnes)","2004","Total wheat",1019.2
"61","Area under Crops (000 Hectares)","2005","Total wheat",95.2
"62","Crop Yield per Hectare (Tonnes)","2005","Total wheat",8.4
"63","Crop Yield (000 Tonnes)","2005","Total wheat",802.7
"64","Area under Crops (000 Hectares)","2006","Total wheat",87.5
"65","Crop Yield per Hectare (Tonnes)","2006","Total wheat",9.2
"66","Crop Yield (000 Tonnes)","2006","Total wheat",801
"67","Area under Crops (000 Hectares)","2007","Total wheat",84.3
"68","Crop Yield per Hectare (Tonnes)","2007","Total wheat",8.5
"69","Crop Yield (000 Tonnes)","2007","Total wheat",713.4
"70","Area under Crops (000 Hectares)","1985","Winter wheat",60.3
"71","Crop Yield per Hectare (Tonnes)","1985","Winter wheat",6.5
"72","Crop Yield (000 Tonnes)","1985","Winter wheat",395
"73","Area under Crops (000 Hectares)","1986","Winter wheat",57
"74","Crop Yield per Hectare (Tonnes)","1986","Winter wheat",5.6
"75","Crop Yield (000 Tonnes)","1986","Winter wheat",317
"76","Area under Crops (000 Hectares)","1987","Winter wheat",38.3
"77","Crop Yield per Hectare (Tonnes)","1987","Winter wheat",7.3
"78","Crop Yield (000 Tonnes)","1987","Winter wheat",278
"79","Area under Crops (000 Hectares)","1988","Winter wheat",37.2
"80","Crop Yield per Hectare (Tonnes)","1988","Winter wheat",8.2
"81","Crop Yield (000 Tonnes)","1988","Winter wheat",305
"82","Area under Crops (000 Hectares)","1989","Winter wheat",43
"83","Crop Yield per Hectare (Tonnes)","1989","Winter wheat",8.1
"84","Crop Yield (000 Tonnes)","1989","Winter wheat",350
"85","Area under Crops (000 Hectares)","1990","Winter wheat",56.5
"86","Crop Yield per Hectare (Tonnes)","1990","Winter wheat",9
"87","Crop Yield (000 Tonnes)","1990","Winter wheat",506
"88","Area under Crops (000 Hectares)","1991","Winter wheat",66.9
"89","Crop Yield per Hectare (Tonnes)","1991","Winter wheat",8.2
"90","Crop Yield (000 Tonnes)","1991","Winter wheat",548
"91","Area under Crops (000 Hectares)","1992","Winter wheat",73.3
"92","Crop Yield per Hectare (Tonnes)","1992","Winter wheat",8
"93","Crop Yield (000 Tonnes)","1992","Winter wheat",587
"94","Area under Crops (000 Hectares)","1993","Winter wheat",57.2
"95","Crop Yield per Hectare (Tonnes)","1993","Winter wheat",6.7
"96","Crop Yield (000 Tonnes)","1993","Winter wheat",383
"97","Area under Crops (000 Hectares)","1994","Winter wheat",56.2
"98","Crop Yield per Hectare (Tonnes)","1994","Winter wheat",8.1
"99","Crop Yield (000 Tonnes)","1994","Winter wheat",458
"100","Area under Crops (000 Hectares)","1995","Winter wheat",51.8
