"","Statistic","Type.of.Crop","Year","value"
"1","Area under Crops (000 Hectares)","Total wheat, oats and barley","2011",296.2
"2","Crop Yield per Hectare (Tonnes)","Total wheat, oats and barley","2011",8.5
"3","Crop Production (000 Tonnes)","Total wheat, oats and barley","2011",2509.4
"4","Area under Crops (000 Hectares)","Total wheat","2011",94.2
"5","Crop Yield per Hectare (Tonnes)","Total wheat","2011",9.9
"6","Crop Production (000 Tonnes)","Total wheat","2011",929.2
"7","Area under Crops (000 Hectares)","Winter wheat","2011",77.7
"8","Crop Yield per Hectare (Tonnes)","Winter wheat","2011",10.2
"9","Crop Production (000 Tonnes)","Winter wheat","2011",792.9
"10","Area under Crops (000 Hectares)","Spring wheat","2011",16.4
"11","Crop Yield per Hectare (Tonnes)","Spring wheat","2011",8.3
"12","Crop Production (000 Tonnes)","Spring wheat","2011",136.4
"13","Area under Crops (000 Hectares)","Total oats","2011",21.4
"14","Crop Yield per Hectare (Tonnes)","Total oats","2011",7.9
"15","Crop Production (000 Tonnes)","Total oats","2011",168.1
"16","Area under Crops (000 Hectares)","Winter oats","2011",9
"17","Crop Yield per Hectare (Tonnes)","Winter oats","2011",7.8
"18","Crop Production (000 Tonnes)","Winter oats","2011",70.5
"19","Area under Crops (000 Hectares)","Spring oats","2011",12.4
"20","Crop Yield per Hectare (Tonnes)","Spring oats","2011",7.9
"21","Crop Production (000 Tonnes)","Spring oats","2011",97.6
"22","Area under Crops (000 Hectares)","Total barley","2011",180.6
"23","Crop Yield per Hectare (Tonnes)","Total barley","2011",7.8
"24","Crop Production (000 Tonnes)","Total barley","2011",1412
"25","Area under Crops (000 Hectares)","Winter barley","2011",35.9
"26","Crop Yield per Hectare (Tonnes)","Winter barley","2011",9.1
"27","Crop Production (000 Tonnes)","Winter barley","2011",326.3
"28","Area under Crops (000 Hectares)","Spring barley","2011",144.8
"29","Crop Yield per Hectare (Tonnes)","Spring barley","2011",7.5
"30","Crop Production (000 Tonnes)","Spring barley","2011",1085.8
"31","Area under Crops (000 Hectares)","Beans and peas","2011",2.9
"32","Crop Yield per Hectare (Tonnes)","Beans and peas","2011",5.7
"33","Crop Production (000 Tonnes)","Beans and peas","2011",16.5
"34","Area under Crops (000 Hectares)","Oilseed rape","2011",12.4
"35","Crop Yield per Hectare (Tonnes)","Oilseed rape","2011",4.5
"36","Crop Production (000 Tonnes)","Oilseed rape","2011",55.9
"37","Area under Crops (000 Hectares)","Potatoes","2011",10.4
"38","Crop Yield per Hectare (Tonnes)","Potatoes","2011",34.4
"39","Crop Production (000 Tonnes)","Potatoes","2011",356.1
"40","Area under Crops (000 Hectares)","Total wheat, oats and barley","2012",314.5
"41","Crop Yield per Hectare (Tonnes)","Total wheat, oats and barley","2012",6.8
"42","Crop Production (000 Tonnes)","Total wheat, oats and barley","2012",2125.1
"43","Area under Crops (000 Hectares)","Total wheat","2012",98
"44","Crop Yield per Hectare (Tonnes)","Total wheat","2012",7.2
"45","Crop Production (000 Tonnes)","Total wheat","2012",707.9
"46","Area under Crops (000 Hectares)","Winter wheat","2012",84.6
"47","Crop Yield per Hectare (Tonnes)","Winter wheat","2012",7.4
"48","Crop Production (000 Tonnes)","Winter wheat","2012",625.7
"49","Area under Crops (000 Hectares)","Spring wheat","2012",13.5
"50","Crop Yield per Hectare (Tonnes)","Spring wheat","2012",6.1
"51","Crop Production (000 Tonnes)","Spring wheat","2012",82.2
"52","Area under Crops (000 Hectares)","Total oats","2012",23.7
"53","Crop Yield per Hectare (Tonnes)","Total oats","2012",6.6
"54","Crop Production (000 Tonnes)","Total oats","2012",156.5
"55","Area under Crops (000 Hectares)","Winter oats","2012",9.9
"56","Crop Yield per Hectare (Tonnes)","Winter oats","2012",6.9
"57","Crop Production (000 Tonnes)","Winter oats","2012",68.2
"58","Area under Crops (000 Hectares)","Spring oats","2012",13.8
"59","Crop Yield per Hectare (Tonnes)","Spring oats","2012",6.4
"60","Crop Production (000 Tonnes)","Spring oats","2012",88.4
"61","Area under Crops (000 Hectares)","Total barley","2012",192.8
"62","Crop Yield per Hectare (Tonnes)","Total barley","2012",6.5
"63","Crop Production (000 Tonnes)","Total barley","2012",1260.7
"64","Area under Crops (000 Hectares)","Winter barley","2012",41
"65","Crop Yield per Hectare (Tonnes)","Winter barley","2012",7.8
"66","Crop Production (000 Tonnes)","Winter barley","2012",319.8
"67","Area under Crops (000 Hectares)","Spring barley","2012",151.8
"68","Crop Yield per Hectare (Tonnes)","Spring barley","2012",6.2
"69","Crop Production (000 Tonnes)","Spring barley","2012",940.9
"70","Area under Crops (000 Hectares)","Beans and peas","2012",4.1
"71","Crop Yield per Hectare (Tonnes)","Beans and peas","2012",4.8
"72","Crop Production (000 Tonnes)","Beans and peas","2012",19.7
"73","Area under Crops (000 Hectares)","Oilseed rape","2012",17.5
"74","Crop Yield per Hectare (Tonnes)","Oilseed rape","2012",3.2
"75","Crop Production (000 Tonnes)","Oilseed rape","2012",58.7
"76","Area under Crops (000 Hectares)","Potatoes","2012",9
"77","Crop Yield per Hectare (Tonnes)","Potatoes","2012",25.8
"78","Crop Production (000 Tonnes)","Potatoes","2012",232
"79","Area under Crops (000 Hectares)","Total wheat, oats and barley","2013",306.7
"80","Crop Yield per Hectare (Tonnes)","Total wheat, oats and barley","2013",7.8
"81","Crop Production (000 Tonnes)","Total wheat, oats and barley","2013",2400.6
"82","Area under Crops (000 Hectares)","Total wheat","2013",60.6
"83","Crop Yield per Hectare (Tonnes)","Total wheat","2013",9
"84","Crop Production (000 Tonnes)","Total wheat","2013",545.3
"85","Area under Crops (000 Hectares)","Winter wheat","2013",45.4
"86","Crop Yield per Hectare (Tonnes)","Winter wheat","2013",9.3
"87","Crop Production (000 Tonnes)","Winter wheat","2013",422.1
"88","Area under Crops (000 Hectares)","Spring wheat","2013",15.2
"89","Crop Yield per Hectare (Tonnes)","Spring wheat","2013",8.1
"90","Crop Production (000 Tonnes)","Spring wheat","2013",123.3
"91","Area under Crops (000 Hectares)","Total oats","2013",26.7
"92","Crop Yield per Hectare (Tonnes)","Total oats","2013",7.2
"93","Crop Production (000 Tonnes)","Total oats","2013",192.5
"94","Area under Crops (000 Hectares)","Winter oats","2013",5.4
