"","Year","Region","Type.of.Land.Use","value"
"1","2008","State","Area farmed (AAU)",4629
"2","2009","State","Area farmed (AAU)",4593.9
"3","2010","State","Area farmed (AAU)",4568.9
"4","2011","State","Area farmed (AAU)",4555.5
"5","2012","State","Area farmed (AAU)",4532.7
"6","2013","State","Area farmed (AAU)",4477.8
"7","2008","Dublin plus Mid East","Area farmed (AAU)",441.6
"8","2009","Dublin plus Mid East","Area farmed (AAU)",446.6
"9","2010","Dublin plus Mid East","Area farmed (AAU)",444.9
"10","2011","Dublin plus Mid East","Area farmed (AAU)",445.6
"11","2012","Dublin plus Mid East","Area farmed (AAU)",448.6
"12","2013","Dublin plus Mid East","Area farmed (AAU)",443.1
"13","2008","Border","Area farmed (AAU)",767.2
"14","2009","Border","Area farmed (AAU)",756.4
"15","2010","Border","Area farmed (AAU)",772
"16","2011","Border","Area farmed (AAU)",778.2
"17","2012","Border","Area farmed (AAU)",776.2
"18","2013","Border","Area farmed (AAU)",774.9
"19","2008","Midland","Area farmed (AAU)",461.5
"20","2009","Midland","Area farmed (AAU)",460.6
"21","2010","Midland","Area farmed (AAU)",449.9
"22","2011","Midland","Area farmed (AAU)",444.8
"23","2012","Midland","Area farmed (AAU)",433.2
"24","2013","Midland","Area farmed (AAU)",427.4
"25","2008","West","Area farmed (AAU)",795.5
"26","2009","West","Area farmed (AAU)",785.8
"27","2010","West","Area farmed (AAU)",797.4
"28","2011","West","Area farmed (AAU)",809.7
"29","2012","West","Area farmed (AAU)",821.5
"30","2013","West","Area farmed (AAU)",787.3
"31","2008","Mid-West","Area farmed (AAU)",587.5
"32","2009","Mid-West","Area farmed (AAU)",585.1
"33","2010","Mid-West","Area farmed (AAU)",571.1
"34","2011","Mid-West","Area farmed (AAU)",550.6
"35","2012","Mid-West","Area farmed (AAU)",540.6
"36","2013","Mid-West","Area farmed (AAU)",546.1
"37","2008","South-East","Area farmed (AAU)",724.9
"38","2009","South-East","Area farmed (AAU)",718.5
"39","2010","South-East","Area farmed (AAU)",705.8
"40","2011","South-East","Area farmed (AAU)",703.1
"41","2012","South-East","Area farmed (AAU)",693.8
"42","2013","South-East","Area farmed (AAU)",697.3
"43","2008","South-West","Area farmed (AAU)",850.8
"44","2009","South-West","Area farmed (AAU)",840.9
"45","2010","South-West","Area farmed (AAU)",827.7
"46","2011","South-West","Area farmed (AAU)",823.5
"47","2012","South-West","Area farmed (AAU)",818.9
"48","2013","South-West","Area farmed (AAU)",801.8
"49","2008","State","Crops and pasture",4128.6
"50","2009","State","Crops and pasture",4101.9
"51","2010","State","Crops and pasture",4131.7
"52","2011","State","Crops and pasture",4108.2
"53","2012","State","Crops and pasture",4051.5
"54","2013","State","Crops and pasture",4004.3
"55","2008","Dublin plus Mid East","Crops and pasture",424.8
"56","2009","Dublin plus Mid East","Crops and pasture",431.5
"57","2010","Dublin plus Mid East","Crops and pasture",426.8
"58","2011","Dublin plus Mid East","Crops and pasture",428.1
"59","2012","Dublin plus Mid East","Crops and pasture",424.5
"60","2013","Dublin plus Mid East","Crops and pasture",416.5
"61","2008","Border","Crops and pasture",637.1
"62","2009","Border","Crops and pasture",625.5
"63","2010","Border","Crops and pasture",657.1
"64","2011","Border","Crops and pasture",658.7
"65","2012","Border","Crops and pasture",649
"66","2013","Border","Crops and pasture",651.4
"67","2008","Midland","Crops and pasture",443.9
"68","2009","Midland","Crops and pasture",445.9
"69","2010","Midland","Crops and pasture",432.2
"70","2011","Midland","Crops and pasture",429.6
"71","2012","Midland","Crops and pasture",416.2
"72","2013","Midland","Crops and pasture",409.2
"73","2008","West","Crops and pasture",674.3
"74","2009","West","Crops and pasture",667.6
"75","2010","West","Crops and pasture",696
"76","2011","West","Crops and pasture",700
"77","2012","West","Crops and pasture",702.4
"78","2013","West","Crops and pasture",679.8
"79","2008","Mid-West","Crops and pasture",538.7
"80","2009","Mid-West","Crops and pasture",536.3
"81","2010","Mid-West","Crops and pasture",528.7
