"","Year","County","Size.of.Holding","value"
"1","1855","State","Over 1 Acre",419535
"2","1860","State","Over 1 Acre",428861
"3","1865","State","Over 1 Acre",419374
"4","1870","State","Over 1 Acre",415369
"5","1875","State","Over 1 Acre",410045
"6","1880","State","Over 1 Acre",402943
"7","1885","State","Over 1 Acre",396854
"8","1890","State","Over 1 Acre",395782
"9","1895","State","Over 1 Acre",397787
"10","1900","State","Over 1 Acre",398276
"11","1905","State","Over 1 Acre",399940
"12","1910","State","Over 1 Acre",404043
"13","1915","State","Over 1 Acre",359654
"14","1930","State","Over 1 Acre",337982
"15","1940","State","Over 1 Acre",326697
"16","1945","State","Over 1 Acre",321834
"17","1950","State","Over 1 Acre",317850
"18","1955","State","Over 1 Acre",313287
"19","1960","State","Over 1 Acre",290308
"20","1965","State","Over 1 Acre",283468
"21","1970","State","Over 1 Acre",279450
"22","1975","State","Over 1 Acre",269827
"23","1980","State","Over 1 Acre",263558
"24","1855","Leinster","Over 1 Acre",117813
"25","1860","Leinster","Over 1 Acre",116683
"26","1865","Leinster","Over 1 Acre",114018
"27","1870","Leinster","Over 1 Acre",111868
"28","1875","Leinster","Over 1 Acre",109593
"29","1880","Leinster","Over 1 Acre",106897
"30","1885","Leinster","Over 1 Acre",105102
"31","1890","Leinster","Over 1 Acre",104559
"32","1895","Leinster","Over 1 Acre",104756
"33","1900","Leinster","Over 1 Acre",104024
"34","1905","Leinster","Over 1 Acre",104024
"35","1910","Leinster","Over 1 Acre",104646
"36","1915","Leinster","Over 1 Acre",87933
"37","1930","Leinster","Over 1 Acre",83584
"38","1940","Leinster","Over 1 Acre",81086
"39","1945","Leinster","Over 1 Acre",79437
"40","1950","Leinster","Over 1 Acre",78473
"41","1955","Leinster","Over 1 Acre",77460
"42","1960","Leinster","Over 1 Acre",71824
"43","1965","Leinster","Over 1 Acre",71333
"44","1970","Leinster","Over 1 Acre",70407
"45","1975","Leinster","Over 1 Acre",68132
"46","1980","Leinster","Over 1 Acre",66645
"47","1855","Carlow","Over 1 Acre",5102
"48","1860","Carlow","Over 1 Acre",5004
"49","1865","Carlow","Over 1 Acre",4985
"50","1870","Carlow","Over 1 Acre",4964
"51","1875","Carlow","Over 1 Acre",4835
"52","1880","Carlow","Over 1 Acre",4669
"53","1885","Carlow","Over 1 Acre",4561
"54","1890","Carlow","Over 1 Acre",4592
"55","1895","Carlow","Over 1 Acre",4627
"56","1900","Carlow","Over 1 Acre",4574
"57","1905","Carlow","Over 1 Acre",4592
"58","1910","Carlow","Over 1 Acre",4643
"59","1915","Carlow","Over 1 Acre",3909
"60","1930","Carlow","Over 1 Acre",3858
"61","1940","Carlow","Over 1 Acre",3653
"62","1945","Carlow","Over 1 Acre",3532
"63","1950","Carlow","Over 1 Acre",3488
"64","1955","Carlow","Over 1 Acre",3320
"65","1960","Carlow","Over 1 Acre",3045
