"","Farm.Size","Year","value"
"1","Total","1991",170.6
"2","Less than 5 Hectares","1991",19.2
"3","5-10 Hectares","1991",24.1
"4","10-20 Hectares","1991",48.3
"5","20-30 Hectares","1991",31
"6","30-50 Hectares","1991",28.4
"7","50-100 Hectares","1991",15.7
"8","100 Hectares and Over","1991",3.9
"9","Average Size","1991",26
"10","Total","1992",161.7
"11","Less than 5 Hectares","1992",16.6
"12","5-10 Hectares","1992",22.2
"13","10-20 Hectares","1992",46.1
"14","20-30 Hectares","1992",29.9
"15","30-50 Hectares","1992",27.6
"16","50-100 Hectares","1992",15.4
"17","100 Hectares and Over","1992",3.9
"18","Average Size","1992",27.2
"19","Total","1993",159.5
"20","Less than 5 Hectares","1993",16.6
"21","5-10 Hectares","1993",22.2
"22","10-20 Hectares","1993",44.9
"23","20-30 Hectares","1993",29.4
"24","30-50 Hectares","1993",27.4
"25","50-100 Hectares","1993",15.2
"26","100 Hectares and Over","1993",3.7
"27","Average Size","1993",26.8
"28","Total","1994",153.4
"29","Less than 5 Hectares","1994",15.2
"30","5-10 Hectares","1994",20.9
"31","10-20 Hectares","1994",42.4
"32","20-30 Hectares","1994",28.7
"33","30-50 Hectares","1994",26.8
"34","50-100 Hectares","1994",15.5
"35","100 Hectares and Over","1994",3.9
"36","Average Size","1994",27.7
"37","Total","1995",153.4
"38","Less than 5 Hectares","1995",14.8
"39","5-10 Hectares","1995",20.5
"40","10-20 Hectares","1995",40.6
"41","20-30 Hectares","1995",29.1
"42","30-50 Hectares","1995",28.1
"43","50-100 Hectares","1995",16.1
"44","100 Hectares and Over","1995",4.1
"45","Average Size","1995",28.2
"46","Total","1996",149.5
"47","Less than 5 Hectares","1996",11.8
"48","5-10 Hectares","1996",19.1
"49","10-20 Hectares","1996",40.6
"50","20-30 Hectares","1996",29.2
"51","30-50 Hectares","1996",28.3
"52","50-100 Hectares","1996",16.3
"53","100 Hectares and Over","1996",4.2
"54","Average Size","1996",29.2
"55","Total","1997",147.8
"56","Less than 5 Hectares","1997",11.1
"57","5-10 Hectares","1997",18.4
"58","10-20 Hectares","1997",40.1
"59","20-30 Hectares","1997",29.1
"60","30-50 Hectares","1997",28.2
"61","50-100 Hectares","1997",16.6
"62","100 Hectares and Over","1997",4.2
"63","Average Size","1997",29.4
"64","Total","1998",146.3
"65","Less than 5 Hectares","1998",11
"66","5-10 Hectares","1998",18
"67","10-20 Hectares","1998",39.5
"68","20-30 Hectares","1998",28.8
"69","30-50 Hectares","1998",28.2
"70","50-100 Hectares","1998",16.7
"71","100 Hectares and Over","1998",4.1
"72","Average Size","1998",29.5
"73","Total","1999",143.9
"74","Less than 5 Hectares","1999",11.3
"75","5-10 Hectares","1999",17.3
"76","10-20 Hectares","1999",38.7
"77","20-30 Hectares","1999",28.5
"78","30-50 Hectares","1999",27.9
"79","50-100 Hectares","1999",16.3
"80","100 Hectares and Over","1999",4
"81","Average Size","1999",29.3
"82","Total","2000",141.5
"83","Less than 5 Hectares","2000",11.7
"84","5-10 Hectares","2000",16.7
"85","10-20 Hectares","2000",34.3
"86","20-30 Hectares","2000",25
"87","30-50 Hectares","2000",29.6
"88","50-100 Hectares","2000",19.5
"89","100 Hectares and Over","2000",4.6
"90","Average Size","2000",31.4
"91","Total","2001",139.6
"92","Less than 5 Hectares","2001",10.9
"93","5-10 Hectares","2001",16.3
"94","10-20 Hectares","2001",33.7
"95","20-30 Hectares","2001",24.8
"96","30-50 Hectares","2001",29.6
"97","50-100 Hectares","2001",19.6
"98","100 Hectares and Over","2001",4.7
"99","Average Size","2001",31.6
"100","Total","2002",136.5
"101","Less than 5 Hectares","2002",10.4
"102","5-10 Hectares","2002",15.8
"103","10-20 Hectares","2002",32.8
"104","20-30 Hectares","2002",24.4
"105","30-50 Hectares","2002",29.1
"106","50-100 Hectares","2002",19.3
"107","100 Hectares and Over","2002",4.6
"108","Average Size","2002",32
