"","Year","Statistic","Sex","value"
"1","1991","Family Farm Owners (Thousand)","Male",153.5
"2","1992","Family Farm Owners (Thousand)","Male",145.9
"3","1993","Family Farm Owners (Thousand)","Male",144.1
"4","1994","Family Farm Owners (Thousand)","Male",139.3
"5","1995","Family Farm Owners (Thousand)","Male",139
"6","1996","Family Farm Owners (Thousand)","Male",135.7
"7","1997","Family Farm Owners (Thousand)","Male",134.5
"8","1998","Family Farm Owners (Thousand)","Male",132.3
"9","1999","Family Farm Owners (Thousand)","Male",130.7
"10","2000","Family Farm Owners (Thousand)","Male",126.2
"11","2001","Family Farm Owners (Thousand)","Male",124.5
"12","2002","Family Farm Owners (Thousand)","Male",121.7
"13","1991","Number of Farm Workers on Family Farms (Thousand)","Male",219.4
"14","1992","Number of Farm Workers on Family Farms (Thousand)","Male",221.8
"15","1993","Number of Farm Workers on Family Farms (Thousand)","Male",220.7
"16","1994","Number of Farm Workers on Family Farms (Thousand)","Male",215.7
"17","1995","Number of Farm Workers on Family Farms (Thousand)","Male",206.6
"18","1996","Number of Farm Workers on Family Farms (Thousand)","Male",207.2
"19","1997","Number of Farm Workers on Family Farms (Thousand)","Male",201
"20","1998","Number of Farm Workers on Family Farms (Thousand)","Male",197.1
"21","1999","Number of Farm Workers on Family Farms (Thousand)","Male",193.6
"22","2000","Number of Farm Workers on Family Farms (Thousand)","Male",187.7
"23","2001","Number of Farm Workers on Family Farms (Thousand)","Male",183.8
"24","2002","Number of Farm Workers on Family Farms (Thousand)","Male",177.5
"25","1991","Annual Farm Work Units (Thousand)","Male",179.6
"26","1992","Annual Farm Work Units (Thousand)","Male",173.7
"27","1993","Annual Farm Work Units (Thousand)","Male",170.5
"28","1994","Annual Farm Work Units (Thousand)","Male",166.1
"29","1995","Annual Farm Work Units (Thousand)","Male",158.4
"30","1996","Annual Farm Work Units (Thousand)","Male",156.6
"31","1997","Annual Farm Work Units (Thousand)","Male",149.8
"32","1998","Annual Farm Work Units (Thousand)","Male",146.3
"33","1999","Annual Farm Work Units (Thousand)","Male",140.3
"34","2000","Annual Farm Work Units (Thousand)","Male",127.3
"35","2001","Annual Farm Work Units (Thousand)","Male",124.4
"36","2002","Annual Farm Work Units (Thousand)","Male",119
"37","1991","Family Farm Owners (Thousand)","Female",16.4
"38","1992","Family Farm Owners (Thousand)","Female",15.3
