"","Year","Statistic","Time.Worked.by.Farm.Holder","value"
"1","1991","Number of Family Farms (Thousand)","Total",NA
"2","1992","Number of Family Farms (Thousand)","Total",NA
"3","1993","Number of Family Farms (Thousand)","Total",NA
"4","1994","Number of Family Farms (Thousand)","Total",NA
"5","1995","Number of Family Farms (Thousand)","Total",NA
"6","1996","Number of Family Farms (Thousand)","Total",NA
"7","1997","Number of Family Farms (Thousand)","Total",NA
"8","1998","Number of Family Farms (Thousand)","Total",NA
"9","1999","Number of Family Farms (Thousand)","Total",NA
"10","2000","Number of Family Farms (Thousand)","Total",NA
"11","2001","Number of Family Farms (Thousand)","Total",NA
"12","2002","Number of Family Farms (Thousand)","Total",NA
"13","1991","Number of Farm Workers on Family Farms (Thousand)","Total",169.89
"14","1992","Number of Farm Workers on Family Farms (Thousand)","Total",161.1
"15","1993","Number of Farm Workers on Family Farms (Thousand)","Total",158.9
"16","1994","Number of Farm Workers on Family Farms (Thousand)","Total",153
"17","1995","Number of Farm Workers on Family Farms (Thousand)","Total",153
"18","1996","Number of Farm Workers on Family Farms (Thousand)","Total",149.3
"19","1997","Number of Farm Workers on Family Farms (Thousand)","Total",147.6
"20","1998","Number of Farm Workers on Family Farms (Thousand)","Total",146.2
"21","1999","Number of Farm Workers on Family Farms (Thousand)","Total",143.7
"22","2000","Number of Farm Workers on Family Farms (Thousand)","Total",141.3
"23","2001","Number of Farm Workers on Family Farms (Thousand)","Total",139.4
"24","2002","Number of Farm Workers on Family Farms (Thousand)","Total",136.3
"25","1991","Number of Family Farms (Thousand)","Less Than 0.25 AWU",11.3
"26","1992","Number of Family Farms (Thousand)","Less Than 0.25 AWU",12.4
"27","1993","Number of Family Farms (Thousand)","Less Than 0.25 AWU",11.8
"28","1994","Number of Family Farms (Thousand)","Less Than 0.25 AWU",11
"29","1995","Number of Family Farms (Thousand)","Less Than 0.25 AWU",10.3
"30","1996","Number of Family Farms (Thousand)","Less Than 0.25 AWU",11
"31","1997","Number of Family Farms (Thousand)","Less Than 0.25 AWU",11.1
"32","1998","Number of Family Farms (Thousand)","Less Than 0.25 AWU",10.8
"33","1999","Number of Family Farms (Thousand)","Less Than 0.25 AWU",11.9
"34","2000","Number of Family Farms (Thousand)","Less Than 0.25 AWU",18.7
"35","2001","Number of Family Farms (Thousand)","Less Than 0.25 AWU",18.2
"36","2002","Number of Family Farms (Thousand)","Less Than 0.25 AWU",18.6
"37","1991","Number of Farm Workers on Family Farms (Thousand)","Less Than 0.25 AWU",3.7
"38","1992","Number of Farm Workers on Family Farms (Thousand)","Less Than 0.25 AWU",46
"39","1993","Number of Farm Workers on Family Farms (Thousand)","Less Than 0.25 AWU",46.4
"40","1994","Number of Farm Workers on Family Farms (Thousand)","Less Than 0.25 AWU",46
"41","1995","Number of Farm Workers on Family Farms (Thousand)","Less Than 0.25 AWU",43.9
"42","1996","Number of Farm Workers on Family Farms (Thousand)","Less Than 0.25 AWU",47.4
"43","1997","Number of Farm Workers on Family Farms (Thousand)","Less Than 0.25 AWU",49.1
"44","1998","Number of Farm Workers on Family Farms (Thousand)","Less Than 0.25 AWU",48.5
"45","1999","Number of Farm Workers on Family Farms (Thousand)","Less Than 0.25 AWU",51.5
"46","2000","Number of Farm Workers on Family Farms (Thousand)","Less Than 0.25 AWU",59
"47","2001","Number of Farm Workers on Family Farms (Thousand)","Less Than 0.25 AWU",59.6
"48","2002","Number of Farm Workers on Family Farms (Thousand)","Less Than 0.25 AWU",55.7
"49","1991","Number of Family Farms (Thousand)","0.25 -< 0.50 AWU",13.9
"50","1992","Number of Family Farms (Thousand)","0.25 -< 0.50 AWU",13.3
"51","1993","Number of Family Farms (Thousand)","0.25 -< 0.50 AWU",14.4
"52","1994","Number of Family Farms (Thousand)","0.25 -< 0.50 AWU",13.8
"53","1995","Number of Family Farms (Thousand)","0.25 -< 0.50 AWU",14
"54","1996","Number of Family Farms (Thousand)","0.25 -< 0.50 AWU",14.3
"55","1997","Number of Family Farms (Thousand)","0.25 -< 0.50 AWU",13.6
"56","1998","Number of Family Farms (Thousand)","0.25 -< 0.50 AWU",14.2
"57","1999","Number of Family Farms (Thousand)","0.25 -< 0.50 AWU",14.3
"58","2000","Number of Family Farms (Thousand)","0.25 -< 0.50 AWU",17.2
"59","2001","Number of Family Farms (Thousand)","0.25 -< 0.50 AWU",16.9
"60","2002","Number of Family Farms (Thousand)","0.25 -< 0.50 AWU",17.5
"61","1991","Number of Farm Workers on Family Farms (Thousand)","0.25 -< 0.50 AWU",12.5
"62","1992","Number of Farm Workers on Family Farms (Thousand)","0.25 -< 0.50 AWU",40.3
"63","1993","Number of Farm Workers on Family Farms (Thousand)","0.25 -< 0.50 AWU",41.7
"64","1994","Number of Farm Workers on Family Farms (Thousand)","0.25 -< 0.50 AWU",39.9
"65","1995","Number of Farm Workers on Family Farms (Thousand)","0.25 -< 0.50 AWU",39.4
"66","1996","Number of Farm Workers on Family Farms (Thousand)","0.25 -< 0.50 AWU",41.1
"67","1997","Number of Farm Workers on Family Farms (Thousand)","0.25 -< 0.50 AWU",38.1
"68","1998","Number of Farm Workers on Family Farms (Thousand)","0.25 -< 0.50 AWU",37.4
"69","1999","Number of Farm Workers on Family Farms (Thousand)","0.25 -< 0.50 AWU",37.6
"70","2000","Number of Farm Workers on Family Farms (Thousand)","0.25 -< 0.50 AWU",39.3
"71","2001","Number of Farm Workers on Family Farms (Thousand)","0.25 -< 0.50 AWU",37.8
"72","2002","Number of Farm Workers on Family Farms (Thousand)","0.25 -< 0.50 AWU",37.4
"73","1991","Number of Family Farms (Thousand)","0.50 -< 0.75 AWU",16
"74","1992","Number of Family Farms (Thousand)","0.50 -< 0.75 AWU",12.2
"75","1993","Number of Family Farms (Thousand)","0.50 -< 0.75 AWU",13.9
"76","1994","Number of Family Farms (Thousand)","0.50 -< 0.75 AWU",13.1
"77","1995","Number of Family Farms (Thousand)","0.50 -< 0.75 AWU",14
"78","1996","Number of Family Farms (Thousand)","0.50 -< 0.75 AWU",13.9
"79","1997","Number of Family Farms (Thousand)","0.50 -< 0.75 AWU",14
"80","1998","Number of Family Farms (Thousand)","0.50 -< 0.75 AWU",14.4
"81","1999","Number of Family Farms (Thousand)","0.50 -< 0.75 AWU",15
"82","2000","Number of Family Farms (Thousand)","0.50 -< 0.75 AWU",16.2
"83","2001","Number of Family Farms (Thousand)","0.50 -< 0.75 AWU",16.2
"84","2002","Number of Family Farms (Thousand)","0.50 -< 0.75 AWU",16
"85","1991","Number of Farm Workers on Family Farms (Thousand)","0.50 -< 0.75 AWU",23.6
"86","1992","Number of Farm Workers on Family Farms (Thousand)","0.50 -< 0.75 AWU",35
"87","1993","Number of Farm Workers on Family Farms (Thousand)","0.50 -< 0.75 AWU",36.8
"88","1994","Number of Farm Workers on Family Farms (Thousand)","0.50 -< 0.75 AWU",35.8
"89","1995","Number of Farm Workers on Family Farms (Thousand)","0.50 -< 0.75 AWU",34.1
"90","1996","Number of Farm Workers on Family Farms (Thousand)","0.50 -< 0.75 AWU",35.9
"91","1997","Number of Farm Workers on Family Farms (Thousand)","0.50 -< 0.75 AWU",33
"92","1998","Number of Farm Workers on Family Farms (Thousand)","0.50 -< 0.75 AWU",32.9
"93","1999","Number of Farm Workers on Family Farms (Thousand)","0.50 -< 0.75 AWU",32.5
"94","2000","Number of Farm Workers on Family Farms (Thousand)","0.50 -< 0.75 AWU",32.3
"95","2001","Number of Farm Workers on Family Farms (Thousand)","0.50 -< 0.75 AWU",31.1
"96","2002","Number of Farm Workers on Family Farms (Thousand)","0.50 -< 0.75 AWU",28.9
"97","1991","Number of Family Farms (Thousand)","0.75 < 1.00 AWU",12
"98","1992","Number of Family Farms (Thousand)","0.75 < 1.00 AWU",9.1
"99","1993","Number of Family Farms (Thousand)","0.75 < 1.00 AWU",10.6
"100","1994","Number of Family Farms (Thousand)","0.75 < 1.00 AWU",10.2
"101","1995","Number of Family Farms (Thousand)","0.75 < 1.00 AWU",10.7
"102","1996","Number of Family Farms (Thousand)","0.75 < 1.00 AWU",10.8
"103","1997","Number of Family Farms (Thousand)","0.75 < 1.00 AWU",11.1
"104","1998","Number of Family Farms (Thousand)","0.75 < 1.00 AWU",11.2
"105","1999","Number of Family Farms (Thousand)","0.75 < 1.00 AWU",11.2
"106","2000","Number of Family Farms (Thousand)","0.75 < 1.00 AWU",11.1
