"","Year","Statistic","Age.of.Farm.Holder","value"
"1","1991","Number of Family Farms (Thousand)","All Ages",NA
"2","1992","Number of Family Farms (Thousand)","All Ages",NA
"3","1993","Number of Family Farms (Thousand)","All Ages",NA
"4","1994","Number of Family Farms (Thousand)","All Ages",NA
"5","1995","Number of Family Farms (Thousand)","All Ages",NA
"6","1996","Number of Family Farms (Thousand)","All Ages",NA
"7","1997","Number of Family Farms (Thousand)","All Ages",NA
"8","1998","Number of Family Farms (Thousand)","All Ages",NA
"9","1999","Number of Family Farms (Thousand)","All Ages",NA
"10","2000","Number of Family Farms (Thousand)","All Ages",NA
"11","2001","Number of Family Farms (Thousand)","All Ages",NA
"12","2002","Number of Family Farms (Thousand)","All Ages",NA
"13","1991","Number of Farm Workers on Family Farms (Thousand)","All Ages",312.7
"14","1992","Number of Farm Workers on Family Farms (Thousand)","All Ages",324.3
"15","1993","Number of Farm Workers on Family Farms (Thousand)","All Ages",320.3
"16","1994","Number of Farm Workers on Family Farms (Thousand)","All Ages",310.2
"17","1995","Number of Farm Workers on Family Farms (Thousand)","All Ages",293.3
"18","1996","Number of Farm Workers on Family Farms (Thousand)","All Ages",301
"19","1997","Number of Farm Workers on Family Farms (Thousand)","All Ages",281.9
"20","1998","Number of Farm Workers on Family Farms (Thousand)","All Ages",275.1
"21","1999","Number of Farm Workers on Family Farms (Thousand)","All Ages",270
"22","2000","Number of Farm Workers on Family Farms (Thousand)","All Ages",257.9
"23","2001","Number of Farm Workers on Family Farms (Thousand)","All Ages",252.6
"24","2002","Number of Farm Workers on Family Farms (Thousand)","All Ages",240.1
"25","1991","Number of Family Farms (Thousand)","Under 35 Years",22.4
"26","1992","Number of Family Farms (Thousand)","Under 35 Years",20.2
"27","1993","Number of Family Farms (Thousand)","Under 35 Years",23.6
"28","1994","Number of Family Farms (Thousand)","Under 35 Years",21.6
"29","1995","Number of Family Farms (Thousand)","Under 35 Years",20.9
"30","1996","Number of Family Farms (Thousand)","Under 35 Years",18
"31","1997","Number of Family Farms (Thousand)","Under 35 Years",17.7
"32","1998","Number of Family Farms (Thousand)","Under 35 Years",17.1
"33","1999","Number of Family Farms (Thousand)","Under 35 Years",15.8
"34","2000","Number of Family Farms (Thousand)","Under 35 Years",18.4
"35","2001","Number of Family Farms (Thousand)","Under 35 Years",17.4
"36","2002","Number of Family Farms (Thousand)","Under 35 Years",17.8
"37","1991","Number of Farm Workers on Family Farms (Thousand)","Under 35 Years",80.1
"38","1992","Number of Farm Workers on Family Farms (Thousand)","Under 35 Years",95.8
"39","1993","Number of Farm Workers on Family Farms (Thousand)","Under 35 Years",100.7
"40","1994","Number of Farm Workers on Family Farms (Thousand)","Under 35 Years",98.5
"41","1995","Number of Farm Workers on Family Farms (Thousand)","Under 35 Years",88.3
"42","1996","Number of Farm Workers on Family Farms (Thousand)","Under 35 Years",85.4
"43","1997","Number of Farm Workers on Family Farms (Thousand)","Under 35 Years",83.2
"44","1998","Number of Farm Workers on Family Farms (Thousand)","Under 35 Years",79
"45","1999","Number of Farm Workers on Family Farms (Thousand)","Under 35 Years",75.3
"46","2000","Number of Farm Workers on Family Farms (Thousand)","Under 35 Years",74.2
"47","2001","Number of Farm Workers on Family Farms (Thousand)","Under 35 Years",71.1
"48","2002","Number of Farm Workers on Family Farms (Thousand)","Under 35 Years",66.5
"49","1991","Number of Family Farms (Thousand)","35-44 Years",33.8
"50","1992","Number of Family Farms (Thousand)","35-44 Years",29.3
"51","1993","Number of Family Farms (Thousand)","35-44 Years",31.6
"52","1994","Number of Family Farms (Thousand)","35-44 Years",29.8
"53","1995","Number of Family Farms (Thousand)","35-44 Years",29.8
"54","1996","Number of Family Farms (Thousand)","35-44 Years",28.5
"55","1997","Number of Family Farms (Thousand)","35-44 Years",28.7
"56","1998","Number of Family Farms (Thousand)","35-44 Years",27.9
"57","1999","Number of Family Farms (Thousand)","35-44 Years",27.5
"58","2000","Number of Family Farms (Thousand)","35-44 Years",30.8
