"","Year","Statistic","Type.of.Work","Receiving.Benefits.or.Not","value"
"1","1975","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","All Livestock Workers","Total",40.76
"2","1977","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","All Livestock Workers","Total",58.01
"3","1978","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","All Livestock Workers","Total",66.76
"4","1979","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","All Livestock Workers","Total",78.79
"5","1980","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","All Livestock Workers","Total",92.3
"6","1982","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","All Livestock Workers","Total",119.14
"7","1984","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","All Livestock Workers","Total",142.4
"8","1986","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","All Livestock Workers","Total",160.56
"9","1988","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","All Livestock Workers","Total",175.38
"10","1992","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","All Livestock Workers","Total",223.74
"11","1994","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","All Livestock Workers","Total",241
"12","1997","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","All Livestock Workers","Total",274.78
"13","2001","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","All Livestock Workers","Total",378.7
"14","1975","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","All Livestock Workers","Total",44.1
"15","1977","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","All Livestock Workers","Total",44.2
"16","1978","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","All Livestock Workers","Total",43.9
"17","1979","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","All Livestock Workers","Total",42.9
"18","1980","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","All Livestock Workers","Total",43.2
"19","1982","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","All Livestock Workers","Total",43.4
"20","1984","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","All Livestock Workers","Total",43.79
"21","1986","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","All Livestock Workers","Total",43.4
"22","1988","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","All Livestock Workers","Total",43.1
"23","1992","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","All Livestock Workers","Total",42.7
"24","1994","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","All Livestock Workers","Total",42.5
"25","1997","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","All Livestock Workers","Total",43.2
"26","2001","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","All Livestock Workers","Total",41.6
"27","1975","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","Livestock Managers","Total",50.28
"28","1977","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","Livestock Managers","Total",66.13
"29","1978","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","Livestock Managers","Total",79.85
"30","1979","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","Livestock Managers","Total",94.2
"31","1980","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","Livestock Managers","Total",110.71
"32","1982","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","Livestock Managers","Total",142.26
"33","1984","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","Livestock Managers","Total",176.75
"34","1986","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","Livestock Managers","Total",201.99
"35","1988","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","Livestock Managers","Total",226.8
