"","Year","Statistic","Age.Group","Receiving.Benefits.or.Not","value"
"1","1975","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","Under 21","Total",34.92
"2","1977","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","Under 21","Total",47.48
"3","1978","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","Under 21","Total",56.92
"4","1979","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","Under 21","Total",67.99
"5","1980","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","Under 21","Total",78.18
"6","1982","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","Under 21","Total",100.55
"7","1984","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","Under 21","Total",111.53
"8","1986","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","Under 21","Total",126.19
"9","1988","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","Under 21","Total",134.3
"10","1992","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","Under 21","Total",160.29
"11","1994","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","Under 21","Total",165.36
"12","1997","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","Under 21","Total",221.9
"13","2001","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","Under 21","Total",269.35
"14","1975","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","Under 21","Total",43.9
"15","1977","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","Under 21","Total",43.2
"16","1978","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","Under 21","Total",42.9
"17","1979","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","Under 21","Total",42.1
"18","1980","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","Under 21","Total",42.7
"19","1982","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","Under 21","Total",43.1
"20","1984","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","Under 21","Total",42.88
"21","1986","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","Under 21","Total",43.1
"22","1988","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","Under 21","Total",42.4
"23","1992","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","Under 21","Total",41.1
"24","1994","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","Under 21","Total",40.9
"25","1997","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","Under 21","Total",42.9
"26","2001","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","Under 21","Total",40
"27","1975","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","From 21 to 29","Total",41.77
"28","1977","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","From 21 to 29","Total",55.89
"29","1978","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","From 21 to 29","Total",65.99
"30","1979","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","From 21 to 29","Total",77.21
"31","1980","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","From 21 to 29","Total",92.84
"32","1982","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","From 21 to 29","Total",114.78
"33","1984","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","From 21 to 29","Total",138.34
"34","1986","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","From 21 to 29","Total",154.82
"35","1988","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","From 21 to 29","Total",164.34
"36","1992","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","From 21 to 29","Total",199.03
"37","1994","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","From 21 to 29","Total",219.25
"38","1997","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","From 21 to 29","Total",259.41
"39","2001","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","From 21 to 29","Total",332.7
"40","1975","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","From 21 to 29","Total",44.4
"41","1977","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","From 21 to 29","Total",43.9
"42","1978","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","From 21 to 29","Total",43.4
"43","1979","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","From 21 to 29","Total",42.7
"44","1980","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","From 21 to 29","Total",43.2
"45","1982","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","From 21 to 29","Total",42.9
"46","1984","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","From 21 to 29","Total",43.03
"47","1986","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","From 21 to 29","Total",43.3
"48","1988","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","From 21 to 29","Total",42.7
"49","1992","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","From 21 to 29","Total",42.3
"50","1994","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","From 21 to 29","Total",42.4
"51","1997","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","From 21 to 29","Total",43
"52","2001","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","From 21 to 29","Total",43
