"","Year","Statistic","Receiving.Benefits.or.Not","Size.of.Farm.Workforce","value"
"1","1975","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","Total","1 to 2 Workers",37.2
"2","1977","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","Total","1 to 2 Workers",50.59
"3","1978","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","Total","1 to 2 Workers",59.03
"4","1979","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","Total","1 to 2 Workers",69.7
"5","1980","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","Total","1 to 2 Workers",81.94
"6","1982","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","Total","1 to 2 Workers",103.98
"7","1984","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","Total","1 to 2 Workers",125.96
"8","1986","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","Total","1 to 2 Workers",145.12
"9","1988","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","Total","1 to 2 Workers",153.09
"10","1992","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","Total","1 to 2 Workers",182.79
"11","1994","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","Total","1 to 2 Workers",209.79
"12","1997","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","Total","1 to 2 Workers",243.59
"13","2001","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","Total","1 to 2 Workers",309.89
"14","1975","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","Total","1 to 2 Workers",43.6
"15","1977","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","Total","1 to 2 Workers",43.4
"16","1978","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","Total","1 to 2 Workers",43.2
"17","1979","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","Total","1 to 2 Workers",42.2
"18","1980","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","Total","1 to 2 Workers",42.1
"19","1982","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","Total","1 to 2 Workers",42
"20","1984","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","Total","1 to 2 Workers",42.61
"21","1986","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","Total","1 to 2 Workers",42.7
"22","1988","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","Total","1 to 2 Workers",41.8
"23","1992","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","Total","1 to 2 Workers",42
"24","1994","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","Total","1 to 2 Workers",41.3
"25","1997","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","Total","1 to 2 Workers",42.6
"26","2001","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","Total","1 to 2 Workers",40.2
"27","1975","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","Receiving Benefits","1 to 2 Workers",34.28
"28","1977","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","Receiving Benefits","1 to 2 Workers",47.46
"29","1978","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","Receiving Benefits","1 to 2 Workers",56.41
"30","1979","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","Receiving Benefits","1 to 2 Workers",66.27
"31","1980","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","Receiving Benefits","1 to 2 Workers",78.5
"32","1982","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","Receiving Benefits","1 to 2 Workers",99.83
"33","1984","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","Receiving Benefits","1 to 2 Workers",121.5
"34","1986","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","Receiving Benefits","1 to 2 Workers",141.04
"35","1988","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","Receiving Benefits","1 to 2 Workers",147.9
"36","1992","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","Receiving Benefits","1 to 2 Workers",177.7
"37","1994","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","Receiving Benefits","1 to 2 Workers",207.18
"38","1997","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","Receiving Benefits","1 to 2 Workers",252.51
"39","2001","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","Receiving Benefits","1 to 2 Workers",291.6
"40","1975","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","Receiving Benefits","1 to 2 Workers",43.6
"41","1977","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","Receiving Benefits","1 to 2 Workers",43.7
"42","1978","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","Receiving Benefits","1 to 2 Workers",43.6
"43","1979","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","Receiving Benefits","1 to 2 Workers",42.6
"44","1980","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","Receiving Benefits","1 to 2 Workers",42.6
"45","1982","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","Receiving Benefits","1 to 2 Workers",42.5
"46","1984","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","Receiving Benefits","1 to 2 Workers",43.53
"47","1986","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","Receiving Benefits","1 to 2 Workers",43.5
"48","1988","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","Receiving Benefits","1 to 2 Workers",42.3
"49","1992","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","Receiving Benefits","1 to 2 Workers",42.8
"50","1994","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","Receiving Benefits","1 to 2 Workers",42.7
"51","1997","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","Receiving Benefits","1 to 2 Workers",43.7
"52","2001","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","Receiving Benefits","1 to 2 Workers",39.7
"53","1975","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","Not Receiving Benefits","1 to 2 Workers",39.36
"54","1977","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","Not Receiving Benefits","1 to 2 Workers",53.72
