"","Statistic","Year","Fish.and.Fish.Product","value"
"1","Weight of External Trade of Fish (Exports) (Tonnes)","1996","Total Fish and Fish Products",293036
"2","Value of External Trade of Fish (Exports) (Euro Thousand)","1996","Total Fish and Fish Products",319965
"3","Weight of External Trade of Fish (Exports) (Tonnes)","1997","Total Fish and Fish Products",250027
"4","Value of External Trade of Fish (Exports) (Euro Thousand)","1997","Total Fish and Fish Products",290402
"5","Weight of External Trade of Fish (Exports) (Tonnes)","1998","Total Fish and Fish Products",248148
"6","Value of External Trade of Fish (Exports) (Euro Thousand)","1998","Total Fish and Fish Products",304331
"7","Weight of External Trade of Fish (Exports) (Tonnes)","1999","Total Fish and Fish Products",208402
"8","Value of External Trade of Fish (Exports) (Euro Thousand)","1999","Total Fish and Fish Products",306040
"9","Weight of External Trade of Fish (Exports) (Tonnes)","2000","Total Fish and Fish Products",216898
"10","Value of External Trade of Fish (Exports) (Euro Thousand)","2000","Total Fish and Fish Products",333153
"11","Weight of External Trade of Fish (Exports) (Tonnes)","2001","Total Fish and Fish Products",314371
"12","Value of External Trade of Fish (Exports) (Euro Thousand)","2001","Total Fish and Fish Products",447026
"13","Weight of External Trade of Fish (Exports) (Tonnes)","2002","Total Fish and Fish Products",308119
"14","Value of External Trade of Fish (Exports) (Euro Thousand)","2002","Total Fish and Fish Products",427819
"15","Weight of External Trade of Fish (Exports) (Tonnes)","2003","Total Fish and Fish Products",260542
"16","Value of External Trade of Fish (Exports) (Euro Thousand)","2003","Total Fish and Fish Products",383953
"17","Weight of External Trade of Fish (Exports) (Tonnes)","2004","Total Fish and Fish Products",264581
"18","Value of External Trade of Fish (Exports) (Euro Thousand)","2004","Total Fish and Fish Products",391238
"19","Weight of External Trade of Fish (Exports) (Tonnes)","1996","Cod",999
"20","Value of External Trade of Fish (Exports) (Euro Thousand)","1996","Cod",1413
"21","Weight of External Trade of Fish (Exports) (Tonnes)","1997","Cod",1763
"22","Value of External Trade of Fish (Exports) (Euro Thousand)","1997","Cod",1246
"23","Weight of External Trade of Fish (Exports) (Tonnes)","1998","Cod",816
"24","Value of External Trade of Fish (Exports) (Euro Thousand)","1998","Cod",1460
"25","Weight of External Trade of Fish (Exports) (Tonnes)","1999","Cod",469
"26","Value of External Trade of Fish (Exports) (Euro Thousand)","1999","Cod",971
"27","Weight of External Trade of Fish (Exports) (Tonnes)","2000","Cod",1435
"28","Value of External Trade of Fish (Exports) (Euro Thousand)","2000","Cod",1545
"29","Weight of External Trade of Fish (Exports) (Tonnes)","2001","Cod",1636
"30","Value of External Trade of Fish (Exports) (Euro Thousand)","2001","Cod",4043
"31","Weight of External Trade of Fish (Exports) (Tonnes)","2002","Cod",473
