"","Statistic","Flow","Year","Type.of.Product","Degree.of.Processing","value"
"1","Weight of External Trade of Fish (Tonnes)","Exports","1994","Whole Fish","Total",199262
"2","Value of External Trade of Fish (Euro Thousand)","Exports","1994","Whole Fish","Total",159969
"3","Weight of External Trade of Fish (Tonnes)","Imports","1994","Whole Fish","Total",60102
"4","Value of External Trade of Fish (Euro Thousand)","Imports","1994","Whole Fish","Total",47402
"5","Weight of External Trade of Fish (Tonnes)","Exports","1995","Whole Fish","Total",246407
"6","Value of External Trade of Fish (Euro Thousand)","Exports","1995","Whole Fish","Total",185989
"7","Weight of External Trade of Fish (Tonnes)","Imports","1995","Whole Fish","Total",59232
"8","Value of External Trade of Fish (Euro Thousand)","Imports","1995","Whole Fish","Total",52402
"9","Weight of External Trade of Fish (Tonnes)","Exports","1996","Whole Fish","Total",227475
"10","Value of External Trade of Fish (Euro Thousand)","Exports","1996","Whole Fish","Total",209398
"11","Weight of External Trade of Fish (Tonnes)","Imports","1996","Whole Fish","Total",47568
"12","Value of External Trade of Fish (Euro Thousand)","Imports","1996","Whole Fish","Total",58534
"13","Weight of External Trade of Fish (Tonnes)","Exports","1997","Whole Fish","Total",190818
"14","Value of External Trade of Fish (Euro Thousand)","Exports","1997","Whole Fish","Total",177702
"15","Weight of External Trade of Fish (Tonnes)","Imports","1997","Whole Fish","Total",52148
"16","Value of External Trade of Fish (Euro Thousand)","Imports","1997","Whole Fish","Total",62604
"17","Weight of External Trade of Fish (Tonnes)","Exports","1998","Whole Fish","Total",186569
"18","Value of External Trade of Fish (Euro Thousand)","Exports","1998","Whole Fish","Total",180278
"19","Weight of External Trade of Fish (Tonnes)","Imports","1998","Whole Fish","Total",42855
"20","Value of External Trade of Fish (Euro Thousand)","Imports","1998","Whole Fish","Total",62874
"21","Weight of External Trade of Fish (Tonnes)","Exports","1999","Whole Fish","Total",153864
"22","Value of External Trade of Fish (Euro Thousand)","Exports","1999","Whole Fish","Total",174017
"23","Weight of External Trade of Fish (Tonnes)","Imports","1999","Whole Fish","Total",47840
"24","Value of External Trade of Fish (Euro Thousand)","Imports","1999","Whole Fish","Total",72067
"25","Weight of External Trade of Fish (Tonnes)","Exports","2000","Whole Fish","Total",162131
"26","Value of External Trade of Fish (Euro Thousand)","Exports","2000","Whole Fish","Total",201074
"27","Weight of External Trade of Fish (Tonnes)","Imports","2000","Whole Fish","Total",61166
"28","Value of External Trade of Fish (Euro Thousand)","Imports","2000","Whole Fish","Total",85894
"29","Weight of External Trade of Fish (Tonnes)","Exports","2001","Whole Fish","Total",243026
"30","Value of External Trade of Fish (Euro Thousand)","Exports","2001","Whole Fish","Total",278074
"31","Weight of External Trade of Fish (Tonnes)","Imports","2001","Whole Fish","Total",103470
"32","Value of External Trade of Fish (Euro Thousand)","Imports","2001","Whole Fish","Total",119130
"33","Weight of External Trade of Fish (Tonnes)","Exports","2002","Whole Fish","Total",241394
