"","Statistic","Year","Country","value"
"1","Weight of External Trade of Fish (Imports) (Tonnes)","1994","All countries",66697
"2","Value of External Trade of Fish (Imports) (Euro Thousand)","1994","All countries",67141
"3","Weight of External Trade of Fish (Imports) (Tonnes)","1995","All countries",66880
"4","Value of External Trade of Fish (Imports) (Euro Thousand)","1995","All countries",74753
"5","Weight of External Trade of Fish (Imports) (Tonnes)","1996","All countries",56886
"6","Value of External Trade of Fish (Imports) (Euro Thousand)","1996","All countries",85218
"7","Weight of External Trade of Fish (Imports) (Tonnes)","1997","All countries",61106
"8","Value of External Trade of Fish (Imports) (Euro Thousand)","1997","All countries",92531
"9","Weight of External Trade of Fish (Imports) (Tonnes)","1998","All countries",51967
"10","Value of External Trade of Fish (Imports) (Euro Thousand)","1998","All countries",100895
"11","Weight of External Trade of Fish (Imports) (Tonnes)","1999","All countries",57221
"12","Value of External Trade of Fish (Imports) (Euro Thousand)","1999","All countries",113923
"13","Weight of External Trade of Fish (Imports) (Tonnes)","2000","All countries",70435
"14","Value of External Trade of Fish (Imports) (Euro Thousand)","2000","All countries",127948
"15","Weight of External Trade of Fish (Imports) (Tonnes)","2001","All countries",114458
"16","Value of External Trade of Fish (Imports) (Euro Thousand)","2001","All countries",165461
"17","Weight of External Trade of Fish (Imports) (Tonnes)","2002","All countries",94866
"18","Value of External Trade of Fish (Imports) (Euro Thousand)","2002","All countries",143799
"19","Weight of External Trade of Fish (Imports) (Tonnes)","2003","All countries",69240
"20","Value of External Trade of Fish (Imports) (Euro Thousand)","2003","All countries",113566
"21","Weight of External Trade of Fish (Imports) (Tonnes)","2004","All countries",60924
"22","Value of External Trade of Fish (Imports) (Euro Thousand)","2004","All countries",116906
"23","Weight of External Trade of Fish (Imports) (Tonnes)","1994","EU25",NA
"24","Value of External Trade of Fish (Imports) (Euro Thousand)","1994","EU25",NA
"25","Weight of External Trade of Fish (Imports) (Tonnes)","1995","EU25",NA
"26","Value of External Trade of Fish (Imports) (Euro Thousand)","1995","EU25",NA
"27","Weight of External Trade of Fish (Imports) (Tonnes)","1996","EU25",NA
"28","Value of External Trade of Fish (Imports) (Euro Thousand)","1996","EU25",NA
"29","Weight of External Trade of Fish (Imports) (Tonnes)","1997","EU25",NA
"30","Value of External Trade of Fish (Imports) (Euro Thousand)","1997","EU25",NA
"31","Weight of External Trade of Fish (Imports) (Tonnes)","1998","EU25",NA
"32","Value of External Trade of Fish (Imports) (Euro Thousand)","1998","EU25",NA
"33","Weight of External Trade of Fish (Imports) (Tonnes)","1999","EU25",NA
"34","Value of External Trade of Fish (Imports) (Euro Thousand)","1999","EU25",NA
"35","Weight of External Trade of Fish (Imports) (Tonnes)","2000","EU25",NA
"36","Value of External Trade of Fish (Imports) (Euro Thousand)","2000","EU25",NA
"37","Weight of External Trade of Fish (Imports) (Tonnes)","2001","EU25",NA
"38","Value of External Trade of Fish (Imports) (Euro Thousand)","2001","EU25",NA
"39","Weight of External Trade of Fish (Imports) (Tonnes)","2002","EU25",NA
"40","Value of External Trade of Fish (Imports) (Euro Thousand)","2002","EU25",NA
"41","Weight of External Trade of Fish (Imports) (Tonnes)","2003","EU25",NA
"42","Value of External Trade of Fish (Imports) (Euro Thousand)","2003","EU25",NA
"43","Weight of External Trade of Fish (Imports) (Tonnes)","2004","EU25",37397
"44","Value of External Trade of Fish (Imports) (Euro Thousand)","2004","EU25",101467
"45","Weight of External Trade of Fish (Imports) (Tonnes)","1994","EU15",35781
"46","Value of External Trade of Fish (Imports) (Euro Thousand)","1994","EU15",47922
"47","Weight of External Trade of Fish (Imports) (Tonnes)","1995","EU15",42266
"48","Value of External Trade of Fish (Imports) (Euro Thousand)","1995","EU15",55872
"49","Weight of External Trade of Fish (Imports) (Tonnes)","1996","EU15",38682
"50","Value of External Trade of Fish (Imports) (Euro Thousand)","1996","EU15",65272
"51","Weight of External Trade of Fish (Imports) (Tonnes)","1997","EU15",37620
"52","Value of External Trade of Fish (Imports) (Euro Thousand)","1997","EU15",69844
"53","Weight of External Trade of Fish (Imports) (Tonnes)","1998","EU15",33403
"54","Value of External Trade of Fish (Imports) (Euro Thousand)","1998","EU15",80291
"55","Weight of External Trade of Fish (Imports) (Tonnes)","1999","EU15",39233
"56","Value of External Trade of Fish (Imports) (Euro Thousand)","1999","EU15",101208
"57","Weight of External Trade of Fish (Imports) (Tonnes)","2000","EU15",43695
"58","Value of External Trade of Fish (Imports) (Euro Thousand)","2000","EU15",112201
"59","Weight of External Trade of Fish (Imports) (Tonnes)","2001","EU15",98929
"60","Value of External Trade of Fish (Imports) (Euro Thousand)","2001","EU15",148042
"61","Weight of External Trade of Fish (Imports) (Tonnes)","2002","EU15",55627
"62","Value of External Trade of Fish (Imports) (Euro Thousand)","2002","EU15",115459
"63","Weight of External Trade of Fish (Imports) (Tonnes)","2003","EU15",38934
"64","Value of External Trade of Fish (Imports) (Euro Thousand)","2003","EU15",97985
"65","Weight of External Trade of Fish (Imports) (Tonnes)","2004","EU15",37331
"66","Value of External Trade of Fish (Imports) (Euro Thousand)","2004","EU15",101272
"67","Weight of External Trade of Fish (Imports) (Tonnes)","1994","Austria",1
"68","Value of External Trade of Fish (Imports) (Euro Thousand)","1994","Austria",5
"69","Weight of External Trade of Fish (Imports) (Tonnes)","1995","Austria",0
"70","Value of External Trade of Fish (Imports) (Euro Thousand)","1995","Austria",0
"71","Weight of External Trade of Fish (Imports) (Tonnes)","1996","Austria",0
"72","Value of External Trade of Fish (Imports) (Euro Thousand)","1996","Austria",0
"73","Weight of External Trade of Fish (Imports) (Tonnes)","1997","Austria",0
"74","Value of External Trade of Fish (Imports) (Euro Thousand)","1997","Austria",0
"75","Weight of External Trade of Fish (Imports) (Tonnes)","1998","Austria",0
"76","Value of External Trade of Fish (Imports) (Euro Thousand)","1998","Austria",0
"77","Weight of External Trade of Fish (Imports) (Tonnes)","1999","Austria",NA
"78","Value of External Trade of Fish (Imports) (Euro Thousand)","1999","Austria",NA
"79","Weight of External Trade of Fish (Imports) (Tonnes)","2000","Austria",0
"80","Value of External Trade of Fish (Imports) (Euro Thousand)","2000","Austria",0
"81","Weight of External Trade of Fish (Imports) (Tonnes)","2001","Austria",0
