"","Statistic","Year","Port","value"
"1","Live Weight of Sea Fish Landings (Tonnes)","1994","All Ports",288924
"2","Value of Sea Fish Landings (Euro Thousand)","1994","All Ports",132239
"3","Live Weight of Sea Fish Landings (Tonnes)","1995","All Ports",383999
"4","Value of Sea Fish Landings (Euro Thousand)","1995","All Ports",153439
"5","Live Weight of Sea Fish Landings (Tonnes)","1996","All Ports",332392
"6","Value of Sea Fish Landings (Euro Thousand)","1996","All Ports",168798
"7","Live Weight of Sea Fish Landings (Tonnes)","1997","All Ports",291133
"8","Value of Sea Fish Landings (Euro Thousand)","1997","All Ports",167870
"9","Live Weight of Sea Fish Landings (Tonnes)","1998","All Ports",320163
"10","Value of Sea Fish Landings (Euro Thousand)","1998","All Ports",192342
"11","Live Weight of Sea Fish Landings (Tonnes)","1999","All Ports",279230
"12","Value of Sea Fish Landings (Euro Thousand)","1999","All Ports",189467
"13","Live Weight of Sea Fish Landings (Tonnes)","2000","All Ports",272875
"14","Value of Sea Fish Landings (Euro Thousand)","2000","All Ports",189031
"15","Live Weight of Sea Fish Landings (Tonnes)","2001","All Ports",298521
"16","Value of Sea Fish Landings (Euro Thousand)","2001","All Ports",253612
"17","Live Weight of Sea Fish Landings (Tonnes)","2002","All Ports",245165
"18","Value of Sea Fish Landings (Euro Thousand)","2002","All Ports",209883
"19","Live Weight of Sea Fish Landings (Tonnes)","2003","All Ports",264381
"20","Value of Sea Fish Landings (Euro Thousand)","2003","All Ports",180330
"21","Live Weight of Sea Fish Landings (Tonnes)","2004","All Ports",309332
"22","Value of Sea Fish Landings (Euro Thousand)","2004","All Ports",180907
"23","Live Weight of Sea Fish Landings (Tonnes)","1994","Irish Ports",NA
"24","Value of Sea Fish Landings (Euro Thousand)","1994","Irish Ports",NA
"25","Live Weight of Sea Fish Landings (Tonnes)","1995","Irish Ports",NA
"26","Value of Sea Fish Landings (Euro Thousand)","1995","Irish Ports",NA
"27","Live Weight of Sea Fish Landings (Tonnes)","1996","Irish Ports",NA
"28","Value of Sea Fish Landings (Euro Thousand)","1996","Irish Ports",NA
"29","Live Weight of Sea Fish Landings (Tonnes)","1997","Irish Ports",NA
"30","Value of Sea Fish Landings (Euro Thousand)","1997","Irish Ports",NA
"31","Live Weight of Sea Fish Landings (Tonnes)","1998","Irish Ports",NA
"32","Value of Sea Fish Landings (Euro Thousand)","1998","Irish Ports",NA
"33","Live Weight of Sea Fish Landings (Tonnes)","1999","Irish Ports",NA
"34","Value of Sea Fish Landings (Euro Thousand)","1999","Irish Ports",NA
"35","Live Weight of Sea Fish Landings (Tonnes)","2000","Irish Ports",NA
"36","Value of Sea Fish Landings (Euro Thousand)","2000","Irish Ports",NA
"37","Live Weight of Sea Fish Landings (Tonnes)","2001","Irish Ports",NA
"38","Value of Sea Fish Landings (Euro Thousand)","2001","Irish Ports",NA
"39","Live Weight of Sea Fish Landings (Tonnes)","2002","Irish Ports",NA
"40","Value of Sea Fish Landings (Euro Thousand)","2002","Irish Ports",NA
"41","Live Weight of Sea Fish Landings (Tonnes)","2003","Irish Ports",NA
"42","Value of Sea Fish Landings (Euro Thousand)","2003","Irish Ports",NA
"43","Live Weight of Sea Fish Landings (Tonnes)","2004","Irish Ports",NA
"44","Value of Sea Fish Landings (Euro Thousand)","2004","Irish Ports",NA
"45","Live Weight of Sea Fish Landings (Tonnes)","1994","Achill",555
"46","Value of Sea Fish Landings (Euro Thousand)","1994","Achill",806
"47","Live Weight of Sea Fish Landings (Tonnes)","1995","Achill",697
"48","Value of Sea Fish Landings (Euro Thousand)","1995","Achill",649
"49","Live Weight of Sea Fish Landings (Tonnes)","1996","Achill",1321
"50","Value of Sea Fish Landings (Euro Thousand)","1996","Achill",865
"51","Live Weight of Sea Fish Landings (Tonnes)","1997","Achill",905
"52","Value of Sea Fish Landings (Euro Thousand)","1997","Achill",613
