"","Statistic","Year","Consumption.Category","value"
"1","Weight of Sea Fish Landed (Tonnes)","1994","Total Consumption",288924
"2","Value of Sea Fish Landed (Euro Thousand)","1994","Total Consumption",132239
"3","Weight of Sea Fish Landed (Tonnes)","1995","Total Consumption",383999
"4","Value of Sea Fish Landed (Euro Thousand)","1995","Total Consumption",153439
"5","Weight of Sea Fish Landed (Tonnes)","1996","Total Consumption",332392
"6","Value of Sea Fish Landed (Euro Thousand)","1996","Total Consumption",168798
"7","Weight of Sea Fish Landed (Tonnes)","1997","Total Consumption",291133
"8","Value of Sea Fish Landed (Euro Thousand)","1997","Total Consumption",167870
"9","Weight of Sea Fish Landed (Tonnes)","1998","Total Consumption",320163
"10","Value of Sea Fish Landed (Euro Thousand)","1998","Total Consumption",192342
"11","Weight of Sea Fish Landed (Tonnes)","1999","Total Consumption",279230
"12","Value of Sea Fish Landed (Euro Thousand)","1999","Total Consumption",189467
"13","Weight of Sea Fish Landed (Tonnes)","2000","Total Consumption",272875
"14","Value of Sea Fish Landed (Euro Thousand)","2000","Total Consumption",189031
"15","Weight of Sea Fish Landed (Tonnes)","2001","Total Consumption",298521
"16","Value of Sea Fish Landed (Euro Thousand)","2001","Total Consumption",253612
"17","Weight of Sea Fish Landed (Tonnes)","2002","Total Consumption",245165
"18","Value of Sea Fish Landed (Euro Thousand)","2002","Total Consumption",209883
"19","Weight of Sea Fish Landed (Tonnes)","1994","Human Consumption",189339
"20","Value of Sea Fish Landed (Euro Thousand)","1994","Human Consumption",112368
"21","Weight of Sea Fish Landed (Tonnes)","1995","Human Consumption",219461
"22","Value of Sea Fish Landed (Euro Thousand)","1995","Human Consumption",121819
"23","Weight of Sea Fish Landed (Tonnes)","1996","Human Consumption",217630
"24","Value of Sea Fish Landed (Euro Thousand)","1996","Human Consumption",136355
"25","Weight of Sea Fish Landed (Tonnes)","1997","Human Consumption",196445
"26","Value of Sea Fish Landed (Euro Thousand)","1997","Human Consumption",140664
"27","Weight of Sea Fish Landed (Tonnes)","1998","Human Consumption",189738
"28","Value of Sea Fish Landed (Euro Thousand)","1998","Human Consumption",146149
"29","Weight of Sea Fish Landed (Tonnes)","1999","Human Consumption",169014
"30","Value of Sea Fish Landed (Euro Thousand)","1999","Human Consumption",157876
"31","Weight of Sea Fish Landed (Tonnes)","2000","Human Consumption",172657
"32","Value of Sea Fish Landed (Euro Thousand)","2000","Human Consumption",153798
"33","Weight of Sea Fish Landed (Tonnes)","2001","Human Consumption",183544
"34","Value of Sea Fish Landed (Euro Thousand)","2001","Human Consumption",204639
"35","Weight of Sea Fish Landed (Tonnes)","2002","Human Consumption",161224
"36","Value of Sea Fish Landed (Euro Thousand)","2002","Human Consumption",172948
