"","Year","Type.of.Fishing.Licence","value"
"1","1991","Commercial and Rod",17108
"2","1992","Commercial and Rod",22366
"3","1993","Commercial and Rod",25749
"4","1994","Commercial and Rod",26927
"5","1995","Commercial and Rod",27235
"6","1996","Commercial and Rod",30358
"7","1997","Commercial and Rod",31964
"8","1998","Commercial and Rod",31962
"9","1999","Commercial and Rod",32973
"10","2000","Commercial and Rod",34105
"11","2001","Commercial and Rod",34685
"12","2002","Commercial and Rod",37127
"13","2003","Commercial and Rod",33394
"14","2004","Commercial and Rod",32279
"15","1991","Commercial",1930
"16","1992","Commercial",2103
"17","1993","Commercial",1874
"18","1994","Commercial",1939
"19","1995","Commercial",2111
"20","1996","Commercial",2097
"21","1997","Commercial",2083
"22","1998","Commercial",2114
"23","1999","Commercial",2015
"24","2000","Commercial",1942
"25","2001","Commercial",1960
"26","2002","Commercial",1987
"27","2003","Commercial",1585
"28","2004","Commercial",1472
"29","1991","Drift",703
"30","1992","Drift",691
"31","1993","Drift",673
"32","1994","Drift",732
"33","1995","Drift",768
"34","1996","Drift",778
"35","1997","Drift",852
"36","1998","Drift",871
"37","1999","Drift",872
"38","2000","Drift",871
"39","2001","Drift",880
"40","2002","Drift",876
"41","2003","Drift",877
"42","2004","Drift",848
"43","1991","Draft",504
"44","1992","Draft",465
"45","1993","Draft",457
"46","1994","Draft",494
"47","1995","Draft",468
"48","1996","Draft",497
"49","1997","Draft",492
"50","1998","Draft",494
"51","1999","Draft",461
"52","2000","Draft",445
"53","2001","Draft",504
"54","2002","Draft",520
"55","2003","Draft",549
"56","2004","Draft",473
"57","1991","Other",723
"58","1992","Other",947
"59","1993","Other",744
"60","1994","Other",713
"61","1995","Other",875
"62","1996","Other",822
"63","1997","Other",739
"64","1998","Other",749
"65","1999","Other",682
"66","2000","Other",626
"67","2001","Other",576
"68","2002","Other",591
"69","2003","Other",159
"70","2004","Other",151
"71","1991","Rod",15178
"72","1992","Rod",20263
"73","1993","Rod",23875
"74","1994","Rod",24988
"75","1995","Rod",25124
"76","1996","Rod",28261
"77","1997","Rod",29881
"78","1998","Rod",29848
"79","1999","Rod",30958
"80","2000","Rod",32163
"81","2001","Rod",32725
"82","2002","Rod",35140
"83","2003","Rod",31809
"84","2004","Rod",30807
