"","Year","Selected.Fish.Products","value"
"1","1991","Whiting fillets",5.81
"2","1992","Whiting fillets",5.54
"3","1993","Whiting fillets",5.11
"4","1994","Whiting fillets",5.2
"5","1995","Whiting fillets",5.16
"6","1996","Whiting fillets",5.53
"7","1997","Whiting fillets",5.43
"8","1998","Whiting fillets",6.21
"9","1999","Whiting fillets",6.98
"10","2000","Whiting fillets",7.45
"11","2001","Whiting fillets",8.15
"12","2002","Whiting fillets",8.69
"13","2003","Whiting fillets",9.04
"14","2004","Whiting fillets",9.06
"15","1991","Cod cutlets",8.12
"16","1992","Cod cutlets",7.89
"17","1993","Cod cutlets",7.94
"18","1994","Cod cutlets",8.24
"19","1995","Cod cutlets",7.82
"20","1996","Cod cutlets",8.43
"21","1997","Cod cutlets",8.68
"22","1998","Cod cutlets",9.69
"23","1999","Cod cutlets",10.88
"24","2000","Cod cutlets",12.61
"25","2001","Cod cutlets",12.66
"26","2002","Cod cutlets",14.44
"27","2003","Cod cutlets",15.16
"28","2004","Cod cutlets",15.24
"29","1991","Plaice fillets",8.78
"30","1992","Plaice fillets",8.91
"31","1993","Plaice fillets",9.09
"32","1994","Plaice fillets",9.48
"33","1995","Plaice fillets",9.6
"34","1996","Plaice fillets",10.28
"35","1997","Plaice fillets",10.65
"36","1998","Plaice fillets",11.2
"37","1999","Plaice fillets",12.41
"38","2000","Plaice fillets",14.08
"39","2001","Plaice fillets",14.08
"40","2002","Plaice fillets",16.22
"41","2003","Plaice fillets",16.46
"42","2004","Plaice fillets",16.57
"43","1991","Smoked kippers",3.95
"44","1992","Smoked kippers",3.98
"45","1993","Smoked kippers",3.97
"46","1994","Smoked kippers",4
"47","1995","Smoked kippers",4.14
"48","1996","Smoked kippers",4.16
"49","1997","Smoked kippers",4.76
"50","1998","Smoked kippers",5.51
"51","1999","Smoked kippers",5.85
"52","2000","Smoked kippers",6.32
"53","2001","Smoked kippers",6.52
"54","2002","Smoked kippers",NA
"55","2003","Smoked kippers",NA
"56","2004","Smoked kippers",NA
