"","Statistic","Year","Fish.Species","value"
"1","Live Weight of Sea Fish Landings (Tonnes)","1994","All fish species",286770
"2","Value of Sea Fish Landings (Euro Thousand)","1994","All fish species",132239
"3","Live Weight of Sea Fish Landings (Tonnes)","1995","All fish species",383999
"4","Value of Sea Fish Landings (Euro Thousand)","1995","All fish species",153439
"5","Live Weight of Sea Fish Landings (Tonnes)","1996","All fish species",332392
"6","Value of Sea Fish Landings (Euro Thousand)","1996","All fish species",168798
"7","Live Weight of Sea Fish Landings (Tonnes)","1997","All fish species",291133
"8","Value of Sea Fish Landings (Euro Thousand)","1997","All fish species",167870
"9","Live Weight of Sea Fish Landings (Tonnes)","1998","All fish species",320163
"10","Value of Sea Fish Landings (Euro Thousand)","1998","All fish species",192342
"11","Live Weight of Sea Fish Landings (Tonnes)","1999","All fish species",279230
"12","Value of Sea Fish Landings (Euro Thousand)","1999","All fish species",189467
"13","Live Weight of Sea Fish Landings (Tonnes)","2000","All fish species",272875
"14","Value of Sea Fish Landings (Euro Thousand)","2000","All fish species",189031
"15","Live Weight of Sea Fish Landings (Tonnes)","2001","All fish species",298521
"16","Value of Sea Fish Landings (Euro Thousand)","2001","All fish species",253612
"17","Live Weight of Sea Fish Landings (Tonnes)","2002","All fish species",245165
"18","Value of Sea Fish Landings (Euro Thousand)","2002","All fish species",209883
"19","Live Weight of Sea Fish Landings (Tonnes)","2003","All fish species",264381
"20","Value of Sea Fish Landings (Euro Thousand)","2003","All fish species",180330
"21","Live Weight of Sea Fish Landings (Tonnes)","2004","All fish species",309332
"22","Value of Sea Fish Landings (Euro Thousand)","2004","All fish species",180907
"23","Live Weight of Sea Fish Landings (Tonnes)","1994","Demersal",37777
"24","Value of Sea Fish Landings (Euro Thousand)","1994","Demersal",51330
"25","Live Weight of Sea Fish Landings (Tonnes)","1995","Demersal",46196
"26","Value of Sea Fish Landings (Euro Thousand)","1995","Demersal",61134
"27","Live Weight of Sea Fish Landings (Tonnes)","1996","Demersal",46912
"28","Value of Sea Fish Landings (Euro Thousand)","1996","Demersal",64729
"29","Live Weight of Sea Fish Landings (Tonnes)","1997","Demersal",45086
"30","Value of Sea Fish Landings (Euro Thousand)","1997","Demersal",65458
"31","Live Weight of Sea Fish Landings (Tonnes)","1998","Demersal",43663
"32","Value of Sea Fish Landings (Euro Thousand)","1998","Demersal",67645
"33","Live Weight of Sea Fish Landings (Tonnes)","1999","Demersal",39431
"34","Value of Sea Fish Landings (Euro Thousand)","1999","Demersal",65995
"35","Live Weight of Sea Fish Landings (Tonnes)","2000","Demersal",36772
"36","Value of Sea Fish Landings (Euro Thousand)","2000","Demersal",65330
"37","Live Weight of Sea Fish Landings (Tonnes)","2001","Demersal",43020
