"","Year","Main.Fish.Species","value"
"1","1973","Cod",805
"2","1974","Cod",842
"3","1975","Cod",947
"4","1976","Cod",1710
"5","1977","Cod",2039
"6","1978","Cod",2032
"7","1979","Cod",3137
"8","1980","Cod",3089
"9","1981","Cod",4545
"10","1982","Cod",5110
"11","1983","Cod",4997
"12","1984","Cod",4554
"13","1985","Cod",6557
"14","1986","Cod",6703
"15","1987","Cod",9008
"16","1988","Cod",10513
"17","1989","Cod",8652
"18","1990","Cod",6809
"19","1991","Cod",7851
"20","1992","Cod",7401
"21","1993","Cod",5730
"22","1994","Cod",7532
"23","1995","Cod",8503
"24","1996","Cod",11167
"25","1997","Cod",8175
"26","1998","Cod",8125
"27","1999","Cod",6154
"28","2000","Cod",6071
"29","2001","Cod",8004
"30","2002","Cod",5680
"31","2003","Cod",5126
"32","2004","Cod",3702
"33","1973","Crab",103
"34","1974","Crab",112
"35","1975","Crab",91
"36","1976","Crab",197
"37","1977","Crab",203
"38","1978","Crab",220
"39","1979","Crab",309
"40","1980","Crab",268
"41","1981","Crab",368
"42","1982","Crab",546
"43","1983","Crab",723
"44","1984","Crab",1453
"45","1985","Crab",1748
"46","1986","Crab",1664
"47","1987","Crab",2579
"48","1988","Crab",2971
"49","1989","Crab",3218
"50","1990","Crab",3666
"51","1991","Crab",3948
"52","1992","Crab",3797
"53","1993","Crab",4734
"54","1994","Crab",6477
"55","1995","Crab",6190
"56","1996","Crab",6848
"57","1997","Crab",7970
"58","1998","Crab",9241
"59","1999","Crab",10705
"60","2000","Crab",12699
"61","2001","Crab",19161
"62","2002","Crab",15444
"63","2003","Crab",12744
"64","2004","Crab",15409
"65","1973","Siki",NA
"66","1974","Siki",NA
"67","1975","Siki",NA
"68","1976","Siki",NA
"69","1977","Siki",NA
"70","1978","Siki",NA
"71","1979","Siki",NA
"72","1980","Siki",NA
"73","1981","Siki",NA
"74","1982","Siki",NA
"75","1983","Siki",NA
"76","1984","Siki",NA
"77","1985","Siki",NA
"78","1986","Siki",NA
"79","1987","Siki",NA
"80","1988","Siki",NA
"81","1989","Siki",NA
"82","1990","Siki",NA
"83","1991","Siki",NA
"84","1992","Siki",NA
"85","1993","Siki",NA
"86","1994","Siki",NA
"87","1995","Siki",NA
"88","1996","Siki",NA
"89","1997","Siki",NA
"90","1998","Siki",NA
"91","1999","Siki",NA
"92","2000","Siki",NA
"93","2001","Siki",NA
"94","2002","Siki",715
"95","2003","Siki",2109
"96","2004","Siki",1413
"97","1973","Dublin bay prawns",622
"98","1974","Dublin bay prawns",367
"99","1975","Dublin bay prawns",315
"100","1976","Dublin bay prawns",745
"101","1977","Dublin bay prawns",1345
"102","1978","Dublin bay prawns",2472
"103","1979","Dublin bay prawns",4754
"104","1980","Dublin bay prawns",2818
"105","1981","Dublin bay prawns",4147
"106","1982","Dublin bay prawns",6000
"107","1983","Dublin bay prawns",6978
"108","1984","Dublin bay prawns",5528
"109","1985","Dublin bay prawns",6349
"110","1986","Dublin bay prawns",9347
"111","1987","Dublin bay prawns",11533
"112","1988","Dublin bay prawns",9321
"113","1989","Dublin bay prawns",9918
"114","1990","Dublin bay prawns",11673
"115","1991","Dublin bay prawns",8814
"116","1992","Dublin bay prawns",7730
"117","1993","Dublin bay prawns",9456
"118","1994","Dublin bay prawns",10116
"119","1995","Dublin bay prawns",12779
"120","1996","Dublin bay prawns",8430
"121","1997","Dublin bay prawns",11652
"122","1998","Dublin bay prawns",12584
"123","1999","Dublin bay prawns",15522
"124","2000","Dublin bay prawns",16192
"125","2001","Dublin bay prawns",22289
"126","2002","Dublin bay prawns",23906
"127","2003","Dublin bay prawns",18768
"128","2004","Dublin bay prawns",19507
"129","1973","Herring",3558
"130","1974","Herring",5015
"131","1975","Herring",4104
"132","1976","Herring",4005
"133","1977","Herring",7662
"134","1978","Herring",10405
"135","1979","Herring",9999
"136","1980","Herring",11940
"137","1981","Herring",7001
"138","1982","Herring",7658
"139","1983","Herring",7473
"140","1984","Herring",6553
"141","1985","Herring",6196
"142","1986","Herring",7456
"143","1987","Herring",7223
"144","1988","Herring",7296
"145","1989","Herring",7237
"146","1990","Herring",9895
"147","1991","Herring",8846
"148","1992","Herring",9692
"149","1993","Herring",9067
"150","1994","Herring",11766
"151","1995","Herring",9955
"152","1996","Herring",15136
"153","1997","Herring",9561
"154","1998","Herring",10700
"155","1999","Herring",8849
"156","2000","Herring",9555
"157","2001","Herring",11227
"158","2002","Herring",6430
"159","2003","Herring",6036
"160","2004","Herring",7139
"161","1973","Horse mackerel",NA
"162","1974","Horse mackerel",NA
"163","1975","Horse mackerel",NA
"164","1976","Horse mackerel",NA
"165","1977","Horse mackerel",NA
"166","1978","Horse mackerel",NA
"167","1979","Horse mackerel",NA
"168","1980","Horse mackerel",NA
