"","Statistic","Year","Key.Fish.Species","value"
"1","Live Weight of Sea Fish Landings (Tonnes)","1973","All fish species",85297
"2","Value of Sea Fish Landings (Euro Thousand)","1973","All fish species",9347
"3","Live Weight of Sea Fish Landings (Tonnes)","1974","All fish species",84417
"4","Value of Sea Fish Landings (Euro Thousand)","1974","All fish species",10988
"5","Live Weight of Sea Fish Landings (Tonnes)","1975","All fish species",75764
"6","Value of Sea Fish Landings (Euro Thousand)","1975","All fish species",11285
"7","Live Weight of Sea Fish Landings (Tonnes)","1976","All fish species",86529
"8","Value of Sea Fish Landings (Euro Thousand)","1976","All fish species",15985
"9","Live Weight of Sea Fish Landings (Tonnes)","1977","All fish species",86374
"10","Value of Sea Fish Landings (Euro Thousand)","1977","All fish species",23081
"11","Live Weight of Sea Fish Landings (Tonnes)","1978","All fish species",104126
"12","Value of Sea Fish Landings (Euro Thousand)","1978","All fish species",28035
"13","Live Weight of Sea Fish Landings (Tonnes)","1979","All fish species",94013
"14","Value of Sea Fish Landings (Euro Thousand)","1979","All fish species",31557
"15","Live Weight of Sea Fish Landings (Tonnes)","1980","All fish species",142506
"16","Value of Sea Fish Landings (Euro Thousand)","1980","All fish species",36867
"17","Live Weight of Sea Fish Landings (Tonnes)","1981","All fish species",184980
"18","Value of Sea Fish Landings (Euro Thousand)","1981","All fish species",45364
"19","Live Weight of Sea Fish Landings (Tonnes)","1982","All fish species",209269
"20","Value of Sea Fish Landings (Euro Thousand)","1982","All fish species",55325
"21","Live Weight of Sea Fish Landings (Tonnes)","1983","All fish species",183983
"22","Value of Sea Fish Landings (Euro Thousand)","1983","All fish species",58889
"23","Live Weight of Sea Fish Landings (Tonnes)","1984","All fish species",178083
"24","Value of Sea Fish Landings (Euro Thousand)","1984","All fish species",57872
"25","Live Weight of Sea Fish Landings (Tonnes)","1985","All fish species",194311
"26","Value of Sea Fish Landings (Euro Thousand)","1985","All fish species",66229
