"","Statistic","Year","Selected.Fish.Products","value"
"1","Consumer Price Index (Base Nov 1996=100)","1991","All fish products",90.3
"2","Consumer Price Index (Base Dec 2001=100)","1991","All fish products",NA
"3","Consumer Price Index (Base Nov 1996=100)","1992","All fish products",91.8
"4","Consumer Price Index (Base Dec 2001=100)","1992","All fish products",NA
"5","Consumer Price Index (Base Nov 1996=100)","1993","All fish products",92.1
"6","Consumer Price Index (Base Dec 2001=100)","1993","All fish products",76.2
"7","Consumer Price Index (Base Nov 1996=100)","1994","All fish products",95.3
"8","Consumer Price Index (Base Dec 2001=100)","1994","All fish products",78.7
"9","Consumer Price Index (Base Nov 1996=100)","1995","All fish products",98.2
"10","Consumer Price Index (Base Dec 2001=100)","1995","All fish products",81
"11","Consumer Price Index (Base Nov 1996=100)","1996","All fish products",100.1
"12","Consumer Price Index (Base Dec 2001=100)","1996","All fish products",82.2
"13","Consumer Price Index (Base Nov 1996=100)","1997","All fish products",101.9
"14","Consumer Price Index (Base Dec 2001=100)","1997","All fish products",83.4
"15","Consumer Price Index (Base Nov 1996=100)","1998","All fish products",106
"16","Consumer Price Index (Base Dec 2001=100)","1998","All fish products",86.7
"17","Consumer Price Index (Base Nov 1996=100)","1999","All fish products",109.3
"18","Consumer Price Index (Base Dec 2001=100)","1999","All fish products",89.4
"19","Consumer Price Index (Base Nov 1996=100)","2000","All fish products",112.5
"20","Consumer Price Index (Base Dec 2001=100)","2000","All fish products",92.1
"21","Consumer Price Index (Base Nov 1996=100)","2001","All fish products",120
"22","Consumer Price Index (Base Dec 2001=100)","2001","All fish products",98.2
"23","Consumer Price Index (Base Nov 1996=100)","2002","All fish products",124.2
"24","Consumer Price Index (Base Dec 2001=100)","2002","All fish products",101.6
"25","Consumer Price Index (Base Nov 1996=100)","2003","All fish products",NA
"26","Consumer Price Index (Base Dec 2001=100)","2003","All fish products",103
"27","Consumer Price Index (Base Nov 1996=100)","2004","All fish products",NA
"28","Consumer Price Index (Base Dec 2001=100)","2004","All fish products",102.7
"29","Consumer Price Index (Base Nov 1996=100)","1991","Fresh fish",96.4
"30","Consumer Price Index (Base Dec 2001=100)","1991","Fresh fish",NA
"31","Consumer Price Index (Base Nov 1996=100)","1992","Fresh fish",97.6
"32","Consumer Price Index (Base Dec 2001=100)","1992","Fresh fish",NA
"33","Consumer Price Index (Base Nov 1996=100)","1993","Fresh fish",94.5
"34","Consumer Price Index (Base Dec 2001=100)","1993","Fresh fish",NA
"35","Consumer Price Index (Base Nov 1996=100)","1994","Fresh fish",97.5
"36","Consumer Price Index (Base Dec 2001=100)","1994","Fresh fish",NA
"37","Consumer Price Index (Base Nov 1996=100)","1995","Fresh fish",95.2
"38","Consumer Price Index (Base Dec 2001=100)","1995","Fresh fish",NA
"39","Consumer Price Index (Base Nov 1996=100)","1996","Fresh fish",96
"40","Consumer Price Index (Base Dec 2001=100)","1996","Fresh fish",NA
"41","Consumer Price Index (Base Nov 1996=100)","1997","Fresh fish",99.1
"42","Consumer Price Index (Base Dec 2001=100)","1997","Fresh fish",76.4
"43","Consumer Price Index (Base Nov 1996=100)","1998","Fresh fish",104.4
"44","Consumer Price Index (Base Dec 2001=100)","1998","Fresh fish",80.6
"45","Consumer Price Index (Base Nov 1996=100)","1999","Fresh fish",111.3
"46","Consumer Price Index (Base Dec 2001=100)","1999","Fresh fish",85.9
"47","Consumer Price Index (Base Nov 1996=100)","2000","Fresh fish",122.6
"48","Consumer Price Index (Base Dec 2001=100)","2000","Fresh fish",94.6
"49","Consumer Price Index (Base Nov 1996=100)","2001","Fresh fish",128.8
"50","Consumer Price Index (Base Dec 2001=100)","2001","Fresh fish",99.4
"51","Consumer Price Index (Base Nov 1996=100)","2002","Fresh fish",136
"52","Consumer Price Index (Base Dec 2001=100)","2002","Fresh fish",104.9
"53","Consumer Price Index (Base Nov 1996=100)","2003","Fresh fish",NA
"54","Consumer Price Index (Base Dec 2001=100)","2003","Fresh fish",108.5
"55","Consumer Price Index (Base Nov 1996=100)","2004","Fresh fish",NA
"56","Consumer Price Index (Base Dec 2001=100)","2004","Fresh fish",110.2
"57","Consumer Price Index (Base Nov 1996=100)","1991","Frozen fish",99.8
"58","Consumer Price Index (Base Dec 2001=100)","1991","Frozen fish",NA
"59","Consumer Price Index (Base Nov 1996=100)","1992","Frozen fish",102.5
"60","Consumer Price Index (Base Dec 2001=100)","1992","Frozen fish",NA
"61","Consumer Price Index (Base Nov 1996=100)","1993","Frozen fish",100.8
"62","Consumer Price Index (Base Dec 2001=100)","1993","Frozen fish",NA
"63","Consumer Price Index (Base Nov 1996=100)","1994","Frozen fish",102.5
"64","Consumer Price Index (Base Dec 2001=100)","1994","Frozen fish",NA
"65","Consumer Price Index (Base Nov 1996=100)","1995","Frozen fish",101.7
"66","Consumer Price Index (Base Dec 2001=100)","1995","Frozen fish",NA
"67","Consumer Price Index (Base Nov 1996=100)","1996","Frozen fish",101.1
"68","Consumer Price Index (Base Dec 2001=100)","1996","Frozen fish",NA
"69","Consumer Price Index (Base Nov 1996=100)","1997","Frozen fish",101
"70","Consumer Price Index (Base Dec 2001=100)","1997","Frozen fish",78.2
"71","Consumer Price Index (Base Nov 1996=100)","1998","Frozen fish",105.1
"72","Consumer Price Index (Base Dec 2001=100)","1998","Frozen fish",81.5
"73","Consumer Price Index (Base Nov 1996=100)","1999","Frozen fish",112.6
"74","Consumer Price Index (Base Dec 2001=100)","1999","Frozen fish",87.2
"75","Consumer Price Index (Base Nov 1996=100)","2000","Frozen fish",119.2
"76","Consumer Price Index (Base Dec 2001=100)","2000","Frozen fish",92.3
"77","Consumer Price Index (Base Nov 1996=100)","2001","Frozen fish",125.9
"78","Consumer Price Index (Base Dec 2001=100)","2001","Frozen fish",97.5
"79","Consumer Price Index (Base Nov 1996=100)","2002","Frozen fish",132.4
"80","Consumer Price Index (Base Dec 2001=100)","2002","Frozen fish",102.6
"81","Consumer Price Index (Base Nov 1996=100)","2003","Frozen fish",NA
"82","Consumer Price Index (Base Dec 2001=100)","2003","Frozen fish",104.4
"83","Consumer Price Index (Base Nov 1996=100)","2004","Frozen fish",NA
"84","Consumer Price Index (Base Dec 2001=100)","2004","Frozen fish",106.5
"85","Consumer Price Index (Base Nov 1996=100)","1991","Smoked fish",95.1
"86","Consumer Price Index (Base Dec 2001=100)","1991","Smoked fish",NA
"87","Consumer Price Index (Base Nov 1996=100)","1992","Smoked fish",98.5
"88","Consumer Price Index (Base Dec 2001=100)","1992","Smoked fish",NA
"89","Consumer Price Index (Base Nov 1996=100)","1993","Smoked fish",97
"90","Consumer Price Index (Base Dec 2001=100)","1993","Smoked fish",NA
"91","Consumer Price Index (Base Nov 1996=100)","1994","Smoked fish",97.8
"92","Consumer Price Index (Base Dec 2001=100)","1994","Smoked fish",NA
"93","Consumer Price Index (Base Nov 1996=100)","1995","Smoked fish",98.6
"94","Consumer Price Index (Base Dec 2001=100)","1995","Smoked fish",NA
"95","Consumer Price Index (Base Nov 1996=100)","1996","Smoked fish",98.6
"96","Consumer Price Index (Base Dec 2001=100)","1996","Smoked fish",NA
"97","Consumer Price Index (Base Nov 1996=100)","1997","Smoked fish",97.9
"98","Consumer Price Index (Base Dec 2001=100)","1997","Smoked fish",94.6
"99","Consumer Price Index (Base Nov 1996=100)","1998","Smoked fish",98.3
"100","Consumer Price Index (Base Dec 2001=100)","1998","Smoked fish",94.9
"101","Consumer Price Index (Base Nov 1996=100)","1999","Smoked fish",98.6
"102","Consumer Price Index (Base Dec 2001=100)","1999","Smoked fish",95.2
"103","Consumer Price Index (Base Nov 1996=100)","2000","Smoked fish",103.4
"104","Consumer Price Index (Base Dec 2001=100)","2000","Smoked fish",99.8
"105","Consumer Price Index (Base Nov 1996=100)","2001","Smoked fish",103.2
"106","Consumer Price Index (Base Dec 2001=100)","2001","Smoked fish",99.6
"107","Consumer Price Index (Base Nov 1996=100)","2002","Smoked fish",106.5
"108","Consumer Price Index (Base Dec 2001=100)","2002","Smoked fish",102.8
"109","Consumer Price Index (Base Nov 1996=100)","2003","Smoked fish",NA
"110","Consumer Price Index (Base Dec 2001=100)","2003","Smoked fish",105.2
"111","Consumer Price Index (Base Nov 1996=100)","2004","Smoked fish",NA
"112","Consumer Price Index (Base Dec 2001=100)","2004","Smoked fish",104.8
"113","Consumer Price Index (Base Nov 1996=100)","1991","Tinned fish",114.5
"114","Consumer Price Index (Base Dec 2001=100)","1991","Tinned fish",NA
