"","Year","Fish.Species","value"
"1","1991","Brill",3899
"2","1992","Brill",2588
"3","1993","Brill",3687
"4","1994","Brill",4042
"5","1995","Brill",4102
"6","1996","Brill",3923
"7","1997","Brill",4037
"8","1998","Brill",4568
"9","1999","Brill",5065
"10","2000","Brill",6082
"11","2001","Brill",9441
"12","2002","Brill",6717
"13","2003","Brill",4194
"14","2004","Brill",4160
"15","1991","Cod",1406
"16","1992","Cod",1549
"17","1993","Cod",1576
"18","1994","Cod",1511
"19","1995","Cod",1505
"20","1996","Cod",1396
"21","1997","Cod",1433
"22","1998","Cod",1535
"23","1999","Cod",1594
"24","2000","Cod",2073
"25","2001","Cod",3017
"26","2002","Cod",2269
"27","2003","Cod",3026
"28","2004","Cod",2970
"29","1991","Dogfish",660
"30","1992","Dogfish",590
"31","1993","Dogfish",630
"32","1994","Dogfish",543
"33","1995","Dogfish",520
"34","1996","Dogfish",567
"35","1997","Dogfish",605
"36","1998","Dogfish",509
"37","1999","Dogfish",550
"38","2000","Dogfish",617
"39","2001","Dogfish",836
"40","2002","Dogfish",1370
"41","2003","Dogfish",704
"42","2004","Dogfish",668
"43","1991","Dover sole",5588
"44","1992","Dover sole",7420
"45","1993","Dover sole",6383
"46","1994","Dover sole",7384
"47","1995","Dover sole",6891
"48","1996","Dover sole",7792
"49","1997","Dover sole",7815
"50","1998","Dover sole",8362
"51","1999","Dover sole",7848
"52","2000","Dover sole",8832
"53","2001","Dover sole",11936
"54","2002","Dover sole",11372
"55","2003","Dover sole",9508
"56","2004","Dover sole",11775
"57","1991","Haddock",1242
"58","1992","Haddock",1121
"59","1993","Haddock",900
"60","1994","Haddock",997
"61","1995","Haddock",1077
"62","1996","Haddock",1015
"63","1997","Haddock",983
"64","1998","Haddock",1063
"65","1999","Haddock",1080
"66","2000","Haddock",1166
"67","2001","Haddock",1564
"68","2002","Haddock",1344
"69","2003","Haddock",1871
"70","2004","Haddock",1940
"71","1991","Hake",3102
"72","1992","Hake",2903
"73","1993","Hake",3220
"74","1994","Hake",2953
"75","1995","Hake",3044
"76","1996","Hake",3180
"77","1997","Hake",3365
"78","1998","Hake",3401
"79","1999","Hake",3351
"80","2000","Hake",3214
"81","2001","Hake",4185
"82","2002","Hake",3440
"83","2003","Hake",3132
"84","2004","Hake",3131
"85","1991","John dory",2367
"86","1992","John dory",2484
"87","1993","John dory",3017
"88","1994","John dory",3513
"89","1995","John dory",3398
"90","1996","John dory",3265
"91","1997","John dory",3005
"92","1998","John dory",2991
"93","1999","John dory",3695
"94","2000","John dory",3453
"95","2001","John dory",5244
"96","2002","John dory",4253
"97","2003","John dory",2668
"98","2004","John dory",2962
"99","1991","Lemon sole",1486
"100","1992","Lemon sole",1633
"101","1993","Lemon sole",1423
"102","1994","Lemon sole",1373
"103","1995","Lemon sole",1493
"104","1996","Lemon sole",1720
"105","1997","Lemon sole",1677
"106","1998","Lemon sole",1685
"107","1999","Lemon sole",1816
"108","2000","Lemon sole",1706
"109","2001","Lemon sole",2920
"110","2002","Lemon sole",2483
"111","2003","Lemon sole",1516
"112","2004","Lemon sole",1461
"113","1991","Ling",842
"114","1992","Ling",818
"115","1993","Ling",842
"116","1994","Ling",877
"117","1995","Ling",895
"118","1996","Ling",862
"119","1997","Ling",826
"120","1998","Ling",1086
"121","1999","Ling",918
"122","2000","Ling",982
"123","2001","Ling",1334
"124","2002","Ling",1247
"125","2003","Ling",832
"126","2004","Ling",811
"127","1991","Megrim",2280
"128","1992","Megrim",2425
"129","1993","Megrim",2404
"130","1994","Megrim",2096
"131","1995","Megrim",1939
"132","1996","Megrim",2175
"133","1997","Megrim",2253
"134","1998","Megrim",2238
"135","1999","Megrim",2510
"136","2000","Megrim",2508
"137","2001","Megrim",2982
"138","2002","Megrim",2954
"139","2003","Megrim",3152
"140","2004","Megrim",3250
"141","1991","Monk/Angler",2439
"142","1992","Monk/Angler",2476
"143","1993","Monk/Angler",2311
"144","1994","Monk/Angler",2266
"145","1995","Monk/Angler",2213
"146","1996","Monk/Angler",2271
"147","1997","Monk/Angler",2306
"148","1998","Monk/Angler",2346
"149","1999","Monk/Angler",2635
"150","2000","Monk/Angler",3005
"151","2001","Monk/Angler",3780
"152","2002","Monk/Angler",3226
"153","2003","Monk/Angler",3030
"154","2004","Monk/Angler",3132
"155","1991","Plaice",1305
"156","1992","Plaice",1288
"157","1993","Plaice",1454
"158","1994","Plaice",1271
"159","1995","Plaice",1400
"160","1996","Plaice",1659
"161","1997","Plaice",1768
"162","1998","Plaice",1731
"163","1999","Plaice",2068
"164","2000","Plaice",2237
"165","2001","Plaice",3071
"166","2002","Plaice",2653
"167","2003","Plaice",1915
"168","2004","Plaice",1927
"169","1991","Ray/Skate",829
"170","1992","Ray/Skate",980
"171","1993","Ray/Skate",885
"172","1994","Ray/Skate",833
"173","1995","Ray/Skate",873
"174","1996","Ray/Skate",831
"175","1997","Ray/Skate",842
"176","1998","Ray/Skate",943
"177","1999","Ray/Skate",1068
"178","2000","Ray/Skate",1225
"179","2001","Ray/Skate",1945
"180","2002","Ray/Skate",1110
"181","2003","Ray/Skate",801
"182","2004","Ray/Skate",890
"183","1991","Saithe",664
"184","1992","Saithe",618
"185","1993","Saithe",592
"186","1994","Saithe",724
"187","1995","Saithe",729
"188","1996","Saithe",746
"189","1997","Saithe",713
"190","1998","Saithe",759
"191","1999","Saithe",923
"192","2000","Saithe",792
"193","2001","Saithe",984
"194","2002","Saithe",1308
"195","2003","Saithe",722
"196","2004","Saithe",685
"197","1991","Turbot",7643
"198","1992","Turbot",7987
"199","1993","Turbot",7461
"200","1994","Turbot",7611
"201","1995","Turbot",7693
"202","1996","Turbot",7804
"203","1997","Turbot",8202
"204","1998","Turbot",8723
"205","1999","Turbot",8126
"206","2000","Turbot",9429
"207","2001","Turbot",12151
"208","2002","Turbot",10599
"209","2003","Turbot",6729
"210","2004","Turbot",6724
"211","1991","White pollock",961
"212","1992","White pollock",1158
"213","1993","White pollock",1008
"214","1994","White pollock",1112
"215","1995","White pollock",1163
"216","1996","White pollock",1130
"217","1997","White pollock",1093
"218","1998","White pollock",1189
"219","1999","White pollock",1257
"220","2000","White pollock",1162
"221","2001","White pollock",1856
"222","2002","White pollock",1694
"223","2003","White pollock",965
"224","2004","White pollock",906
"225","1991","Whiting",804
"226","1992","Whiting",663
"227","1993","Whiting",632
"228","1994","Whiting",637
"229","1995","Whiting",688
"230","1996","Whiting",759
"231","1997","Whiting",784
"232","1998","Whiting",867
"233","1999","Whiting",892
"234","2000","Whiting",902
"235","2001","Whiting",1287
"236","2002","Whiting",819
"237","2003","Whiting",835
