"","Year","Statistic","State","value"
"1","1991","Number of Boats (Number)","State",2096
"2","1992","Number of Boats (Number)","State",2105
"3","1993","Number of Boats (Number)","State",2118
"4","1994","Number of Boats (Number)","State",2105
"5","1995","Number of Boats (Number)","State",2044
"6","1996","Number of Boats (Number)","State",1908
"7","1997","Number of Boats (Number)","State",1845
"8","1998","Number of Boats (Number)","State",1845
"9","1999","Number of Boats (Number)","State",1689
"10","2000","Number of Boats (Number)","State",1615
"11","2001","Number of Boats (Number)","State",1580
"12","2002","Number of Boats (Number)","State",1587
"13","2003","Number of Boats (Number)","State",1510
"14","2004","Number of Boats (Number)","State",1436
"15","1991","Total Tonnage of Fishing Fleet (Tons)","State",58231
"16","1992","Total Tonnage of Fishing Fleet (Tons)","State",60398
"17","1993","Total Tonnage of Fishing Fleet (Tons)","State",57547
"18","1994","Total Tonnage of Fishing Fleet (Tons)","State",59047
"19","1995","Total Tonnage of Fishing Fleet (Tons)","State",60717
"20","1996","Total Tonnage of Fishing Fleet (Tons)","State",59399
"21","1997","Total Tonnage of Fishing Fleet (Tons)","State",60431
"22","1998","Total Tonnage of Fishing Fleet (Tons)","State",60432
"23","1999","Total Tonnage of Fishing Fleet (Tons)","State",64836
"24","2000","Total Tonnage of Fishing Fleet (Tons)","State",68282
"25","2001","Total Tonnage of Fishing Fleet (Tons)","State",72330
"26","2002","Total Tonnage of Fishing Fleet (Tons)","State",82771
"27","2003","Total Tonnage of Fishing Fleet (Tons)","State",85444
"28","2004","Total Tonnage of Fishing Fleet (Tons)","State",86862
"29","1991","Total Kilowatts used by Fishing Fleet  (Kilowatt)","State",201437
"30","1992","Total Kilowatts used by Fishing Fleet  (Kilowatt)","State",211458
"31","1993","Total Kilowatts used by Fishing Fleet  (Kilowatt)","State",210985
"32","1994","Total Kilowatts used by Fishing Fleet  (Kilowatt)","State",215475
"33","1995","Total Kilowatts used by Fishing Fleet  (Kilowatt)","State",212680
"34","1996","Total Kilowatts used by Fishing Fleet  (Kilowatt)","State",205956
"35","1997","Total Kilowatts used by Fishing Fleet  (Kilowatt)","State",207549
"36","1998","Total Kilowatts used by Fishing Fleet  (Kilowatt)","State",207552
"37","1999","Total Kilowatts used by Fishing Fleet  (Kilowatt)","State",208245
"38","2000","Total Kilowatts used by Fishing Fleet  (Kilowatt)","State",211894
"39","2001","Total Kilowatts used by Fishing Fleet  (Kilowatt)","State",215567
"40","2002","Total Kilowatts used by Fishing Fleet  (Kilowatt)","State",229093
"41","2003","Total Kilowatts used by Fishing Fleet  (Kilowatt)","State",223890
"42","2004","Total Kilowatts used by Fishing Fleet  (Kilowatt)","State",213675
