"","Statistic","Quarter","value"
"1","Average Size of Agricultural Land Transactions (Hectares)","1991Q1",10.7
"2","Average Price per Hectare of Agricultural Land (Euro)","1991Q1",4835
"3","Average Price per Acre of Agricultural Land (Euro)","1991Q1",1957
"4","Number of Agricultural Land Transactions (Number)","1991Q1",666
"5","Agricultural Area of Agricultural Land Transactions (Hectares)","1991Q1",7093
"6","Aggregate Value of Agricultural Land Transactions (Euro Million)","1991Q1",34.3
"7","Average Size of Agricultural Land Transactions (Hectares)","1991Q2",10.7
"8","Average Price per Hectare of Agricultural Land (Euro)","1991Q2",4615
"9","Average Price per Acre of Agricultural Land (Euro)","1991Q2",1868
"10","Number of Agricultural Land Transactions (Number)","1991Q2",692
"11","Agricultural Area of Agricultural Land Transactions (Hectares)","1991Q2",7371
"12","Aggregate Value of Agricultural Land Transactions (Euro Million)","1991Q2",34
"13","Average Size of Agricultural Land Transactions (Hectares)","1991Q3",11.7
"14","Average Price per Hectare of Agricultural Land (Euro)","1991Q3",4744
"15","Average Price per Acre of Agricultural Land (Euro)","1991Q3",1920
"16","Number of Agricultural Land Transactions (Number)","1991Q3",593
"17","Agricultural Area of Agricultural Land Transactions (Hectares)","1991Q3",6935
"18","Aggregate Value of Agricultural Land Transactions (Euro Million)","1991Q3",32.9
"19","Average Size of Agricultural Land Transactions (Hectares)","1991Q4",12.7
"20","Average Price per Hectare of Agricultural Land (Euro)","1991Q4",4935
"21","Average Price per Acre of Agricultural Land (Euro)","1991Q4",1997
"22","Number of Agricultural Land Transactions (Number)","1991Q4",767
"23","Agricultural Area of Agricultural Land Transactions (Hectares)","1991Q4",9749
"24","Aggregate Value of Agricultural Land Transactions (Euro Million)","1991Q4",48.1
"25","Average Size of Agricultural Land Transactions (Hectares)","1992Q1",12.5
"26","Average Price per Hectare of Agricultural Land (Euro)","1992Q1",4598
"27","Average Price per Acre of Agricultural Land (Euro)","1992Q1",1860
"28","Number of Agricultural Land Transactions (Number)","1992Q1",592
"29","Agricultural Area of Agricultural Land Transactions (Hectares)","1992Q1",7399
"30","Aggregate Value of Agricultural Land Transactions (Euro Million)","1992Q1",34
"31","Average Size of Agricultural Land Transactions (Hectares)","1992Q2",11.6
"32","Average Price per Hectare of Agricultural Land (Euro)","1992Q2",4693
"33","Average Price per Acre of Agricultural Land (Euro)","1992Q2",1900
"34","Number of Agricultural Land Transactions (Number)","1992Q2",598
"35","Agricultural Area of Agricultural Land Transactions (Hectares)","1992Q2",6956
"36","Aggregate Value of Agricultural Land Transactions (Euro Million)","1992Q2",32.6
"37","Average Size of Agricultural Land Transactions (Hectares)","1992Q3",12.8
"38","Average Price per Hectare of Agricultural Land (Euro)","1992Q3",4547
"39","Average Price per Acre of Agricultural Land (Euro)","1992Q3",1840
"40","Number of Agricultural Land Transactions (Number)","1992Q3",325
"41","Agricultural Area of Agricultural Land Transactions (Hectares)","1992Q3",4153
"42","Aggregate Value of Agricultural Land Transactions (Euro Million)","1992Q3",18.9
"43","Average Size of Agricultural Land Transactions (Hectares)","1992Q4",20
"44","Average Price per Hectare of Agricultural Land (Euro)","1992Q4",5947
"45","Average Price per Acre of Agricultural Land (Euro)","1992Q4",2407
"46","Number of Agricultural Land Transactions (Number)","1992Q4",121
"47","Agricultural Area of Agricultural Land Transactions (Hectares)","1992Q4",2417
"48","Aggregate Value of Agricultural Land Transactions (Euro Million)","1992Q4",14.3
"49","Average Size of Agricultural Land Transactions (Hectares)","1993Q1",16.6
"50","Average Price per Hectare of Agricultural Land (Euro)","1993Q1",4970
"51","Average Price per Acre of Agricultural Land (Euro)","1993Q1",2011
"52","Number of Agricultural Land Transactions (Number)","1993Q1",168
"53","Agricultural Area of Agricultural Land Transactions (Hectares)","1993Q1",2784
"54","Aggregate Value of Agricultural Land Transactions (Euro Million)","1993Q1",13.8
"55","Average Size of Agricultural Land Transactions (Hectares)","1993Q2",15.6
"56","Average Price per Hectare of Agricultural Land (Euro)","1993Q2",4816
"57","Average Price per Acre of Agricultural Land (Euro)","1993Q2",1949
"58","Number of Agricultural Land Transactions (Number)","1993Q2",159
"59","Agricultural Area of Agricultural Land Transactions (Hectares)","1993Q2",2482
"60","Aggregate Value of Agricultural Land Transactions (Euro Million)","1993Q2",11.9
"61","Average Size of Agricultural Land Transactions (Hectares)","1993Q3",17.3
"62","Average Price per Hectare of Agricultural Land (Euro)","1993Q3",5069
"63","Average Price per Acre of Agricultural Land (Euro)","1993Q3",2052
"64","Number of Agricultural Land Transactions (Number)","1993Q3",212
"65","Agricultural Area of Agricultural Land Transactions (Hectares)","1993Q3",3664
"66","Aggregate Value of Agricultural Land Transactions (Euro Million)","1993Q3",18.5
"67","Average Size of Agricultural Land Transactions (Hectares)","1993Q4",17.6
"68","Average Price per Hectare of Agricultural Land (Euro)","1993Q4",4967
"69","Average Price per Acre of Agricultural Land (Euro)","1993Q4",2010
"70","Number of Agricultural Land Transactions (Number)","1993Q4",298
"71","Agricultural Area of Agricultural Land Transactions (Hectares)","1993Q4",5242
"72","Aggregate Value of Agricultural Land Transactions (Euro Million)","1993Q4",26
"73","Average Size of Agricultural Land Transactions (Hectares)","1994Q1",21
"74","Average Price per Hectare of Agricultural Land (Euro)","1994Q1",4791
"75","Average Price per Acre of Agricultural Land (Euro)","1994Q1",1939
"76","Number of Agricultural Land Transactions (Number)","1994Q1",206
"77","Agricultural Area of Agricultural Land Transactions (Hectares)","1994Q1",4320
"78","Aggregate Value of Agricultural Land Transactions (Euro Million)","1994Q1",20.7
"79","Average Size of Agricultural Land Transactions (Hectares)","1994Q2",17.3
"80","Average Price per Hectare of Agricultural Land (Euro)","1994Q2",5219
"81","Average Price per Acre of Agricultural Land (Euro)","1994Q2",2112
"82","Number of Agricultural Land Transactions (Number)","1994Q2",280
"83","Agricultural Area of Agricultural Land Transactions (Hectares)","1994Q2",4851
"84","Aggregate Value of Agricultural Land Transactions (Euro Million)","1994Q2",25.3
"85","Average Size of Agricultural Land Transactions (Hectares)","1994Q3",20.5
"86","Average Price per Hectare of Agricultural Land (Euro)","1994Q3",5403
"87","Average Price per Acre of Agricultural Land (Euro)","1994Q3",2186
"88","Number of Agricultural Land Transactions (Number)","1994Q3",227
"89","Agricultural Area of Agricultural Land Transactions (Hectares)","1994Q3",4648
"90","Aggregate Value of Agricultural Land Transactions (Euro Million)","1994Q3",25.1
"91","Average Size of Agricultural Land Transactions (Hectares)","1994Q4",15
"92","Average Price per Hectare of Agricultural Land (Euro)","1994Q4",5982
"93","Average Price per Acre of Agricultural Land (Euro)","1994Q4",2420
"94","Number of Agricultural Land Transactions (Number)","1994Q4",302
"95","Agricultural Area of Agricultural Land Transactions (Hectares)","1994Q4",4519
"96","Aggregate Value of Agricultural Land Transactions (Euro Million)","1994Q4",27
"97","Average Size of Agricultural Land Transactions (Hectares)","1995Q1",11.3
"98","Average Price per Hectare of Agricultural Land (Euro)","1995Q1",4970
"99","Average Price per Acre of Agricultural Land (Euro)","1995Q1",2011
"100","Number of Agricultural Land Transactions (Number)","1995Q1",486
"101","Agricultural Area of Agricultural Land Transactions (Hectares)","1995Q1",5478
"102","Aggregate Value of Agricultural Land Transactions (Euro Million)","1995Q1",27.2
"103","Average Size of Agricultural Land Transactions (Hectares)","1995Q2",11.3
"104","Average Price per Hectare of Agricultural Land (Euro)","1995Q2",5361
"105","Average Price per Acre of Agricultural Land (Euro)","1995Q2",2170
"106","Number of Agricultural Land Transactions (Number)","1995Q2",431
"107","Agricultural Area of Agricultural Land Transactions (Hectares)","1995Q2",4886
"108","Aggregate Value of Agricultural Land Transactions (Euro Million)","1995Q2",26.2
"109","Average Size of Agricultural Land Transactions (Hectares)","1995Q3",14.3
"110","Average Price per Hectare of Agricultural Land (Euro)","1995Q3",5622
"111","Average Price per Acre of Agricultural Land (Euro)","1995Q3",2275
"112","Number of Agricultural Land Transactions (Number)","1995Q3",360
"113","Agricultural Area of Agricultural Land Transactions (Hectares)","1995Q3",5134
"114","Aggregate Value of Agricultural Land Transactions (Euro Million)","1995Q3",28.8
"115","Average Size of Agricultural Land Transactions (Hectares)","1995Q4",15.9
"116","Average Price per Hectare of Agricultural Land (Euro)","1995Q4",6586
"117","Average Price per Acre of Agricultural Land (Euro)","1995Q4",2665
"118","Number of Agricultural Land Transactions (Number)","1995Q4",343
"119","Agricultural Area of Agricultural Land Transactions (Hectares)","1995Q4",5438
"120","Aggregate Value of Agricultural Land Transactions (Euro Million)","1995Q4",35.8
"121","Average Size of Agricultural Land Transactions (Hectares)","1996Q1",13.5
"122","Average Price per Hectare of Agricultural Land (Euro)","1996Q1",5822
"123","Average Price per Acre of Agricultural Land (Euro)","1996Q1",2355
"124","Number of Agricultural Land Transactions (Number)","1996Q1",478
"125","Agricultural Area of Agricultural Land Transactions (Hectares)","1996Q1",NA
"126","Aggregate Value of Agricultural Land Transactions (Euro Million)","1996Q1",NA
"127","Average Size of Agricultural Land Transactions (Hectares)","1996Q2",14
"128","Average Price per Hectare of Agricultural Land (Euro)","1996Q2",6066
"129","Average Price per Acre of Agricultural Land (Euro)","1996Q2",2454
"130","Number of Agricultural Land Transactions (Number)","1996Q2",392
"131","Agricultural Area of Agricultural Land Transactions (Hectares)","1996Q2",NA
"132","Aggregate Value of Agricultural Land Transactions (Euro Million)","1996Q2",NA
"133","Average Size of Agricultural Land Transactions (Hectares)","1996Q3",13.9
"134","Average Price per Hectare of Agricultural Land (Euro)","1996Q3",7424
"135","Average Price per Acre of Agricultural Land (Euro)","1996Q3",3004
"136","Number of Agricultural Land Transactions (Number)","1996Q3",208
"137","Agricultural Area of Agricultural Land Transactions (Hectares)","1996Q3",NA
"138","Aggregate Value of Agricultural Land Transactions (Euro Million)","1996Q3",NA
"139","Average Size of Agricultural Land Transactions (Hectares)","1996Q4",17.4
"140","Average Price per Hectare of Agricultural Land (Euro)","1996Q4",7763
"141","Average Price per Acre of Agricultural Land (Euro)","1996Q4",3141
"142","Number of Agricultural Land Transactions (Number)","1996Q4",226
"143","Agricultural Area of Agricultural Land Transactions (Hectares)","1996Q4",NA
"144","Aggregate Value of Agricultural Land Transactions (Euro Million)","1996Q4",NA
"145","Average Size of Agricultural Land Transactions (Hectares)","1997Q1",14.9
"146","Average Price per Hectare of Agricultural Land (Euro)","1997Q1",6038
"147","Average Price per Acre of Agricultural Land (Euro)","1997Q1",2443
"148","Number of Agricultural Land Transactions (Number)","1997Q1",211
"149","Agricultural Area of Agricultural Land Transactions (Hectares)","1997Q1",NA
"150","Aggregate Value of Agricultural Land Transactions (Euro Million)","1997Q1",NA
"151","Average Size of Agricultural Land Transactions (Hectares)","1997Q2",12.3
"152","Average Price per Hectare of Agricultural Land (Euro)","1997Q2",7213
"153","Average Price per Acre of Agricultural Land (Euro)","1997Q2",2919
"154","Number of Agricultural Land Transactions (Number)","1997Q2",220
"155","Agricultural Area of Agricultural Land Transactions (Hectares)","1997Q2",NA
"156","Aggregate Value of Agricultural Land Transactions (Euro Million)","1997Q2",NA
"157","Average Size of Agricultural Land Transactions (Hectares)","1997Q3",12.2
"158","Average Price per Hectare of Agricultural Land (Euro)","1997Q3",6537
