"","Statistic","Year","Type.of.Animal","value"
"1","Number of Animals Slaughtered (000 Head)","1980","Cattle without Calves",1667.4
"2","Weight of Animals Slaughtered (000 Tonnes)","1980","Cattle without Calves",NA
"3","Number of Animals Slaughtered (000 Head)","1981","Cattle without Calves",1185.3
"4","Weight of Animals Slaughtered (000 Tonnes)","1981","Cattle without Calves",NA
"5","Number of Animals Slaughtered (000 Head)","1982","Cattle without Calves",1235.6
"6","Weight of Animals Slaughtered (000 Tonnes)","1982","Cattle without Calves",NA
"7","Number of Animals Slaughtered (000 Head)","1983","Cattle without Calves",1259.9
"8","Weight of Animals Slaughtered (000 Tonnes)","1983","Cattle without Calves",NA
"9","Number of Animals Slaughtered (000 Head)","1984","Cattle without Calves",1396.3
"10","Weight of Animals Slaughtered (000 Tonnes)","1984","Cattle without Calves",NA
"11","Number of Animals Slaughtered (000 Head)","1985","Cattle without Calves",1518.5
"12","Weight of Animals Slaughtered (000 Tonnes)","1985","Cattle without Calves",NA
"13","Number of Animals Slaughtered (000 Head)","1986","Cattle without Calves",1696.3
"14","Weight of Animals Slaughtered (000 Tonnes)","1986","Cattle without Calves",NA
"15","Number of Animals Slaughtered (000 Head)","1987","Cattle without Calves",1588.3
"16","Weight of Animals Slaughtered (000 Tonnes)","1987","Cattle without Calves",NA
"17","Number of Animals Slaughtered (000 Head)","1988","Cattle without Calves",1454.2
"18","Weight of Animals Slaughtered (000 Tonnes)","1988","Cattle without Calves",NA
"19","Number of Animals Slaughtered (000 Head)","1989","Cattle without Calves",1369.7
"20","Weight of Animals Slaughtered (000 Tonnes)","1989","Cattle without Calves",NA
"21","Number of Animals Slaughtered (000 Head)","1990","Cattle without Calves",1578.5
"22","Weight of Animals Slaughtered (000 Tonnes)","1990","Cattle without Calves",NA
"23","Number of Animals Slaughtered (000 Head)","1991","Cattle without Calves",1710.6
"24","Weight of Animals Slaughtered (000 Tonnes)","1991","Cattle without Calves",554.3
"25","Number of Animals Slaughtered (000 Head)","1992","Cattle without Calves",1712.5
"26","Weight of Animals Slaughtered (000 Tonnes)","1992","Cattle without Calves",565.9
"27","Number of Animals Slaughtered (000 Head)","1993","Cattle without Calves",1600
"28","Weight of Animals Slaughtered (000 Tonnes)","1993","Cattle without Calves",526.3
"29","Number of Animals Slaughtered (000 Head)","1994","Cattle without Calves",1435.8
"30","Weight of Animals Slaughtered (000 Tonnes)","1994","Cattle without Calves",445.9
"31","Number of Animals Slaughtered (000 Head)","1995","Cattle without Calves",1514
"32","Weight of Animals Slaughtered (000 Tonnes)","1995","Cattle without Calves",488.2
"33","Number of Animals Slaughtered (000 Head)","1996","Cattle without Calves",1647.1
