"","Statistic","Month","Type.of.Animal","value"
"1","Number of Livestock Slaughtered (000 Head)","1975M01","Cattle without Calves",188.2
"2","Weight of Livestock Slaughtered (000 Tonnes)","1975M01","Cattle without Calves",0
"3","Number of Livestock Slaughtered (000 Head)","1975M02","Cattle without Calves",127.5
"4","Weight of Livestock Slaughtered (000 Tonnes)","1975M02","Cattle without Calves",0
"5","Number of Livestock Slaughtered (000 Head)","1975M03","Cattle without Calves",131.4
"6","Weight of Livestock Slaughtered (000 Tonnes)","1975M03","Cattle without Calves",0
"7","Number of Livestock Slaughtered (000 Head)","1975M04","Cattle without Calves",128
"8","Weight of Livestock Slaughtered (000 Tonnes)","1975M04","Cattle without Calves",0
"9","Number of Livestock Slaughtered (000 Head)","1975M05","Cattle without Calves",121
"10","Weight of Livestock Slaughtered (000 Tonnes)","1975M05","Cattle without Calves",0
"11","Number of Livestock Slaughtered (000 Head)","1975M06","Cattle without Calves",76.5
"12","Weight of Livestock Slaughtered (000 Tonnes)","1975M06","Cattle without Calves",0
"13","Number of Livestock Slaughtered (000 Head)","1975M07","Cattle without Calves",144
"14","Weight of Livestock Slaughtered (000 Tonnes)","1975M07","Cattle without Calves",0
"15","Number of Livestock Slaughtered (000 Head)","1975M08","Cattle without Calves",150.7
"16","Weight of Livestock Slaughtered (000 Tonnes)","1975M08","Cattle without Calves",0
"17","Number of Livestock Slaughtered (000 Head)","1975M09","Cattle without Calves",169.4
"18","Weight of Livestock Slaughtered (000 Tonnes)","1975M09","Cattle without Calves",0
"19","Number of Livestock Slaughtered (000 Head)","1975M10","Cattle without Calves",195.8
"20","Weight of Livestock Slaughtered (000 Tonnes)","1975M10","Cattle without Calves",0
"21","Number of Livestock Slaughtered (000 Head)","1975M11","Cattle without Calves",176.1
"22","Weight of Livestock Slaughtered (000 Tonnes)","1975M11","Cattle without Calves",0
"23","Number of Livestock Slaughtered (000 Head)","1975M12","Cattle without Calves",143.7
"24","Weight of Livestock Slaughtered (000 Tonnes)","1975M12","Cattle without Calves",0
"25","Number of Livestock Slaughtered (000 Head)","1976M01","Cattle without Calves",118.3
"26","Weight of Livestock Slaughtered (000 Tonnes)","1976M01","Cattle without Calves",0
"27","Number of Livestock Slaughtered (000 Head)","1976M02","Cattle without Calves",94.6
"28","Weight of Livestock Slaughtered (000 Tonnes)","1976M02","Cattle without Calves",0
"29","Number of Livestock Slaughtered (000 Head)","1976M03","Cattle without Calves",96.9
"30","Weight of Livestock Slaughtered (000 Tonnes)","1976M03","Cattle without Calves",0
"31","Number of Livestock Slaughtered (000 Head)","1976M04","Cattle without Calves",97.2
"32","Weight of Livestock Slaughtered (000 Tonnes)","1976M04","Cattle without Calves",0
"33","Number of Livestock Slaughtered (000 Head)","1976M05","Cattle without Calves",100.7
"34","Weight of Livestock Slaughtered (000 Tonnes)","1976M05","Cattle without Calves",0
"35","Number of Livestock Slaughtered (000 Head)","1976M06","Cattle without Calves",84.9
"36","Weight of Livestock Slaughtered (000 Tonnes)","1976M06","Cattle without Calves",0
"37","Number of Livestock Slaughtered (000 Head)","1976M07","Cattle without Calves",79.3
"38","Weight of Livestock Slaughtered (000 Tonnes)","1976M07","Cattle without Calves",0
"39","Number of Livestock Slaughtered (000 Head)","1976M08","Cattle without Calves",111
"40","Weight of Livestock Slaughtered (000 Tonnes)","1976M08","Cattle without Calves",0
"41","Number of Livestock Slaughtered (000 Head)","1976M09","Cattle without Calves",133.2
"42","Weight of Livestock Slaughtered (000 Tonnes)","1976M09","Cattle without Calves",0
"43","Number of Livestock Slaughtered (000 Head)","1976M10","Cattle without Calves",126.5
"44","Weight of Livestock Slaughtered (000 Tonnes)","1976M10","Cattle without Calves",0
"45","Number of Livestock Slaughtered (000 Head)","1976M11","Cattle without Calves",142.5
"46","Weight of Livestock Slaughtered (000 Tonnes)","1976M11","Cattle without Calves",0
"47","Number of Livestock Slaughtered (000 Head)","1976M12","Cattle without Calves",110.5
"48","Weight of Livestock Slaughtered (000 Tonnes)","1976M12","Cattle without Calves",0
