"","Statistic","Month","Meat.Usage","value"
"1","Pigs Slaughtered (Number)","1980M01","All Pigs",202056
"2","Weight of Pigs Slaughtered (Tonnes)","1980M01","All Pigs",NA
"3","Average Pig Carcass Weight (Kg)","1980M01","All Pigs",NA
"4","Pigs Slaughtered (Number)","1980M02","All Pigs",177575
"5","Weight of Pigs Slaughtered (Tonnes)","1980M02","All Pigs",NA
"6","Average Pig Carcass Weight (Kg)","1980M02","All Pigs",NA
"7","Pigs Slaughtered (Number)","1980M03","All Pigs",173086
"8","Weight of Pigs Slaughtered (Tonnes)","1980M03","All Pigs",NA
"9","Average Pig Carcass Weight (Kg)","1980M03","All Pigs",NA
"10","Pigs Slaughtered (Number)","1980M04","All Pigs",182571
"11","Weight of Pigs Slaughtered (Tonnes)","1980M04","All Pigs",NA
"12","Average Pig Carcass Weight (Kg)","1980M04","All Pigs",NA
"13","Pigs Slaughtered (Number)","1980M05","All Pigs",176455
"14","Weight of Pigs Slaughtered (Tonnes)","1980M05","All Pigs",NA
"15","Average Pig Carcass Weight (Kg)","1980M05","All Pigs",NA
"16","Pigs Slaughtered (Number)","1980M06","All Pigs",172304
"17","Weight of Pigs Slaughtered (Tonnes)","1980M06","All Pigs",NA
"18","Average Pig Carcass Weight (Kg)","1980M06","All Pigs",NA
"19","Pigs Slaughtered (Number)","1980M07","All Pigs",193855
"20","Weight of Pigs Slaughtered (Tonnes)","1980M07","All Pigs",NA
"21","Average Pig Carcass Weight (Kg)","1980M07","All Pigs",NA
"22","Pigs Slaughtered (Number)","1980M08","All Pigs",168904
"23","Weight of Pigs Slaughtered (Tonnes)","1980M08","All Pigs",NA
"24","Average Pig Carcass Weight (Kg)","1980M08","All Pigs",NA
"25","Pigs Slaughtered (Number)","1980M09","All Pigs",192447
"26","Weight of Pigs Slaughtered (Tonnes)","1980M09","All Pigs",NA
"27","Average Pig Carcass Weight (Kg)","1980M09","All Pigs",NA
"28","Pigs Slaughtered (Number)","1980M10","All Pigs",189662
"29","Weight of Pigs Slaughtered (Tonnes)","1980M10","All Pigs",NA
"30","Average Pig Carcass Weight (Kg)","1980M10","All Pigs",NA
"31","Pigs Slaughtered (Number)","1980M11","All Pigs",180055
"32","Weight of Pigs Slaughtered (Tonnes)","1980M11","All Pigs",NA
"33","Average Pig Carcass Weight (Kg)","1980M11","All Pigs",NA
"34","Pigs Slaughtered (Number)","1980M12","All Pigs",171121
"35","Weight of Pigs Slaughtered (Tonnes)","1980M12","All Pigs",NA
"36","Average Pig Carcass Weight (Kg)","1980M12","All Pigs",NA
"37","Pigs Slaughtered (Number)","1981M01","All Pigs",186064
"38","Weight of Pigs Slaughtered (Tonnes)","1981M01","All Pigs",NA
"39","Average Pig Carcass Weight (Kg)","1981M01","All Pigs",NA
"40","Pigs Slaughtered (Number)","1981M02","All Pigs",160953
"41","Weight of Pigs Slaughtered (Tonnes)","1981M02","All Pigs",NA
"42","Average Pig Carcass Weight (Kg)","1981M02","All Pigs",NA
"43","Pigs Slaughtered (Number)","1981M03","All Pigs",181261
"44","Weight of Pigs Slaughtered (Tonnes)","1981M03","All Pigs",NA
"45","Average Pig Carcass Weight (Kg)","1981M03","All Pigs",NA
"46","Pigs Slaughtered (Number)","1981M04","All Pigs",165639
"47","Weight of Pigs Slaughtered (Tonnes)","1981M04","All Pigs",NA
"48","Average Pig Carcass Weight (Kg)","1981M04","All Pigs",NA
"49","Pigs Slaughtered (Number)","1981M05","All Pigs",161771
"50","Weight of Pigs Slaughtered (Tonnes)","1981M05","All Pigs",NA
"51","Average Pig Carcass Weight (Kg)","1981M05","All Pigs",NA
"52","Pigs Slaughtered (Number)","1981M06","All Pigs",178102
"53","Weight of Pigs Slaughtered (Tonnes)","1981M06","All Pigs",NA
"54","Average Pig Carcass Weight (Kg)","1981M06","All Pigs",NA
"55","Pigs Slaughtered (Number)","1981M07","All Pigs",186025
"56","Weight of Pigs Slaughtered (Tonnes)","1981M07","All Pigs",NA
"57","Average Pig Carcass Weight (Kg)","1981M07","All Pigs",NA
"58","Pigs Slaughtered (Number)","1981M08","All Pigs",174426
"59","Weight of Pigs Slaughtered (Tonnes)","1981M08","All Pigs",NA
"60","Average Pig Carcass Weight (Kg)","1981M08","All Pigs",NA
"61","Pigs Slaughtered (Number)","1981M09","All Pigs",197387
"62","Weight of Pigs Slaughtered (Tonnes)","1981M09","All Pigs",NA
"63","Average Pig Carcass Weight (Kg)","1981M09","All Pigs",NA
"64","Pigs Slaughtered (Number)","1981M10","All Pigs",183032
"65","Weight of Pigs Slaughtered (Tonnes)","1981M10","All Pigs",NA
"66","Average Pig Carcass Weight (Kg)","1981M10","All Pigs",NA
"67","Pigs Slaughtered (Number)","1981M11","All Pigs",174408
"68","Weight of Pigs Slaughtered (Tonnes)","1981M11","All Pigs",NA
"69","Average Pig Carcass Weight (Kg)","1981M11","All Pigs",NA
"70","Pigs Slaughtered (Number)","1981M12","All Pigs",164850
"71","Weight of Pigs Slaughtered (Tonnes)","1981M12","All Pigs",NA
"72","Average Pig Carcass Weight (Kg)","1981M12","All Pigs",NA
"73","Pigs Slaughtered (Number)","1982M01","All Pigs",160805
"74","Weight of Pigs Slaughtered (Tonnes)","1982M01","All Pigs",NA
"75","Average Pig Carcass Weight (Kg)","1982M01","All Pigs",NA
"76","Pigs Slaughtered (Number)","1982M02","All Pigs",161094
"77","Weight of Pigs Slaughtered (Tonnes)","1982M02","All Pigs",NA
"78","Average Pig Carcass Weight (Kg)","1982M02","All Pigs",NA
"79","Pigs Slaughtered (Number)","1982M03","All Pigs",182517
"80","Weight of Pigs Slaughtered (Tonnes)","1982M03","All Pigs",NA
"81","Average Pig Carcass Weight (Kg)","1982M03","All Pigs",NA
"82","Pigs Slaughtered (Number)","1982M04","All Pigs",168156
"83","Weight of Pigs Slaughtered (Tonnes)","1982M04","All Pigs",NA
"84","Average Pig Carcass Weight (Kg)","1982M04","All Pigs",NA
"85","Pigs Slaughtered (Number)","1982M05","All Pigs",163641
"86","Weight of Pigs Slaughtered (Tonnes)","1982M05","All Pigs",NA
"87","Average Pig Carcass Weight (Kg)","1982M05","All Pigs",NA
"88","Pigs Slaughtered (Number)","1982M06","All Pigs",177438
"89","Weight of Pigs Slaughtered (Tonnes)","1982M06","All Pigs",NA
"90","Average Pig Carcass Weight (Kg)","1982M06","All Pigs",NA
"91","Pigs Slaughtered (Number)","1982M07","All Pigs",181465
"92","Weight of Pigs Slaughtered (Tonnes)","1982M07","All Pigs",NA
"93","Average Pig Carcass Weight (Kg)","1982M07","All Pigs",NA
"94","Pigs Slaughtered (Number)","1982M08","All Pigs",187753
"95","Weight of Pigs Slaughtered (Tonnes)","1982M08","All Pigs",NA
"96","Average Pig Carcass Weight (Kg)","1982M08","All Pigs",NA
"97","Pigs Slaughtered (Number)","1982M09","All Pigs",196513
"98","Weight of Pigs Slaughtered (Tonnes)","1982M09","All Pigs",NA
"99","Average Pig Carcass Weight (Kg)","1982M09","All Pigs",NA
"100","Pigs Slaughtered (Number)","1982M10","All Pigs",179040
"101","Weight of Pigs Slaughtered (Tonnes)","1982M10","All Pigs",NA
"102","Average Pig Carcass Weight (Kg)","1982M10","All Pigs",NA
"103","Pigs Slaughtered (Number)","1982M11","All Pigs",201594
"104","Weight of Pigs Slaughtered (Tonnes)","1982M11","All Pigs",NA
"105","Average Pig Carcass Weight (Kg)","1982M11","All Pigs",NA
"106","Pigs Slaughtered (Number)","1982M12","All Pigs",171767
"107","Weight of Pigs Slaughtered (Tonnes)","1982M12","All Pigs",NA
