"","Statistic","Meat.Characteristic","Month","Type.of.Animal","value"
"1","Number of Livestock Slaughtered (000 Head)","Animals Slaughtered in the State","1980M01","Cattle without Calves",150.3
"2","Weight of Livestock Slaughtered (000 Tonnes)","Animals Slaughtered in the State","1980M01","Cattle without Calves",41.2
"3","Number of Livestock Slaughtered (000 Head)","Imports of Animals Slaughtered","1980M01","Cattle without Calves",3.8
"4","Weight of Livestock Slaughtered (000 Tonnes)","Imports of Animals Slaughtered","1980M01","Cattle without Calves",0.8
"5","Number of Livestock Slaughtered (000 Head)","Imports of Animals Slaughtered from EU","1980M01","Cattle without Calves",3.8
"6","Weight of Livestock Slaughtered (000 Tonnes)","Imports of Animals Slaughtered from EU","1980M01","Cattle without Calves",0.8
"7","Number of Livestock Slaughtered (000 Head)","Exports of Animals Slaughtered","1980M01","Cattle without Calves",24.8
"8","Weight of Livestock Slaughtered (000 Tonnes)","Exports of Animals Slaughtered","1980M01","Cattle without Calves",6.9
"9","Number of Livestock Slaughtered (000 Head)","Animals Slaughtered in the State","1980M02","Cattle without Calves",140.9
"10","Weight of Livestock Slaughtered (000 Tonnes)","Animals Slaughtered in the State","1980M02","Cattle without Calves",38.3
"11","Number of Livestock Slaughtered (000 Head)","Imports of Animals Slaughtered","1980M02","Cattle without Calves",2.2
"12","Weight of Livestock Slaughtered (000 Tonnes)","Imports of Animals Slaughtered","1980M02","Cattle without Calves",0.5
"13","Number of Livestock Slaughtered (000 Head)","Imports of Animals Slaughtered from EU","1980M02","Cattle without Calves",2.2
"14","Weight of Livestock Slaughtered (000 Tonnes)","Imports of Animals Slaughtered from EU","1980M02","Cattle without Calves",0.5
"15","Number of Livestock Slaughtered (000 Head)","Exports of Animals Slaughtered","1980M02","Cattle without Calves",38
"16","Weight of Livestock Slaughtered (000 Tonnes)","Exports of Animals Slaughtered","1980M02","Cattle without Calves",9.5
"17","Number of Livestock Slaughtered (000 Head)","Animals Slaughtered in the State","1980M03","Cattle without Calves",108.3
"18","Weight of Livestock Slaughtered (000 Tonnes)","Animals Slaughtered in the State","1980M03","Cattle without Calves",29.1
"19","Number of Livestock Slaughtered (000 Head)","Imports of Animals Slaughtered","1980M03","Cattle without Calves",2.6
"20","Weight of Livestock Slaughtered (000 Tonnes)","Imports of Animals Slaughtered","1980M03","Cattle without Calves",0.6
"21","Number of Livestock Slaughtered (000 Head)","Imports of Animals Slaughtered from EU","1980M03","Cattle without Calves",2.6
"22","Weight of Livestock Slaughtered (000 Tonnes)","Imports of Animals Slaughtered from EU","1980M03","Cattle without Calves",0.6
"23","Number of Livestock Slaughtered (000 Head)","Exports of Animals Slaughtered","1980M03","Cattle without Calves",41
"24","Weight of Livestock Slaughtered (000 Tonnes)","Exports of Animals Slaughtered","1980M03","Cattle without Calves",10.1
"25","Number of Livestock Slaughtered (000 Head)","Animals Slaughtered in the State","1980M04","Cattle without Calves",100.1
"26","Weight of Livestock Slaughtered (000 Tonnes)","Animals Slaughtered in the State","1980M04","Cattle without Calves",26.9
"27","Number of Livestock Slaughtered (000 Head)","Imports of Animals Slaughtered","1980M04","Cattle without Calves",2.3
"28","Weight of Livestock Slaughtered (000 Tonnes)","Imports of Animals Slaughtered","1980M04","Cattle without Calves",0.5
"29","Number of Livestock Slaughtered (000 Head)","Imports of Animals Slaughtered from EU","1980M04","Cattle without Calves",2.3
"30","Weight of Livestock Slaughtered (000 Tonnes)","Imports of Animals Slaughtered from EU","1980M04","Cattle without Calves",0.5
"31","Number of Livestock Slaughtered (000 Head)","Exports of Animals Slaughtered","1980M04","Cattle without Calves",46.7
"32","Weight of Livestock Slaughtered (000 Tonnes)","Exports of Animals Slaughtered","1980M04","Cattle without Calves",11.4
"33","Number of Livestock Slaughtered (000 Head)","Animals Slaughtered in the State","1980M05","Cattle without Calves",105.5
