"","Region","Year","Type.of.Animal","value"
"1","State","1991","Total cattle",6912
"2","Dublin plus Mid East","1991","Total cattle",618.1
"3","Border","1991","Total cattle",916.5
"4","Midland","1991","Total cattle",731.5
"5","West","1991","Total cattle",997.8
"6","Mid-West","1991","Total cattle",999.9
"7","South-East","1991","Total cattle",1254.6
"8","South-West","1991","Total cattle",1393.4
"9","State","1992","Total cattle",6951.4
"10","Dublin plus Mid East","1992","Total cattle",618.1
"11","Border","1992","Total cattle",924.3
"12","Midland","1992","Total cattle",731.9
"13","West","1992","Total cattle",1006.6
"14","Mid-West","1992","Total cattle",1012
"15","South-East","1992","Total cattle",1251.6
"16","South-West","1992","Total cattle",1406.9
"17","State","1993","Total cattle",6981.8
"18","Dublin plus Mid East","1993","Total cattle",611.9
"19","Border","1993","Total cattle",928.4
"20","Midland","1993","Total cattle",741.3
"21","West","1993","Total cattle",1011.3
"22","Mid-West","1993","Total cattle",1012.8
"23","South-East","1993","Total cattle",1259.4
"24","South-West","1993","Total cattle",1416.7
"25","State","1994","Total cattle",6996.5
"26","Dublin plus Mid East","1994","Total cattle",618.5
"27","Border","1994","Total cattle",934
"28","Midland","1994","Total cattle",744.2
"29","West","1994","Total cattle",997.9
"30","Mid-West","1994","Total cattle",1010.4
"31","South-East","1994","Total cattle",1275.8
"32","South-West","1994","Total cattle",1415.8
"33","State","1995","Total cattle",7034
"34","Dublin plus Mid East","1995","Total cattle",625.9
"35","Border","1995","Total cattle",933.6
"36","Midland","1995","Total cattle",750.5
"37","West","1995","Total cattle",1015.9
"38","Mid-West","1995","Total cattle",1013.2
"39","South-East","1995","Total cattle",1267.5
"40","South-West","1995","Total cattle",1427.4
"41","State","1996","Total cattle",7313.5
"42","Dublin plus Mid East","1996","Total cattle",635
"43","Border","1996","Total cattle",973.8
"44","Midland","1996","Total cattle",775.8
"45","West","1996","Total cattle",1064.8
"46","Mid-West","1996","Total cattle",1071.6
"47","South-East","1996","Total cattle",1314.4
"48","South-West","1996","Total cattle",1478.2
"49","State","1997","Total cattle",7532.7
"50","Dublin plus Mid East","1997","Total cattle",643.4
"51","Border","1997","Total cattle",1014.6
"52","Midland","1997","Total cattle",802.5
"53","West","1997","Total cattle",1110
"54","Mid-West","1997","Total cattle",1098.7
"55","South-East","1997","Total cattle",1326.4
"56","South-West","1997","Total cattle",1537.2
"57","State","1998","Total cattle",7640
"58","Dublin plus Mid East","1998","Total cattle",656.5
"59","Border","1998","Total cattle",1033
"60","Midland","1998","Total cattle",826.1
"61","West","1998","Total cattle",1121.3
"62","Mid-West","1998","Total cattle",1122.9
"63","South-East","1998","Total cattle",1337.8
"64","South-West","1998","Total cattle",1542.3
"65","State","1999","Total cattle",7387
"66","Dublin plus Mid East","1999","Total cattle",650
"67","Border","1999","Total cattle",995.8
"68","Midland","1999","Total cattle",791.7
"69","West","1999","Total cattle",1062.8
"70","Mid-West","1999","Total cattle",1060
"71","South-East","1999","Total cattle",1323.8
"72","South-West","1999","Total cattle",1503.2
"73","State","2000","Total cattle",7037.4
