"","Statistic","Type.of.Pig","Year","value"
"1","Pig Population Estimated from December Survey (Thousand)","Total pigs","1975",880.2
"2","Pig Population Estimated from April Survey (Thousand)","Total pigs","1975",787.3
"3","Pig Population Estimated from August Survey (Thousand)","Total pigs","1975",833.9
"4","Pig Population Estimated from June Survey (Thousand)","Total pigs","1975",810.6
"5","Pig Population Estimated from December Survey (Thousand)","Breeding pigs","1975",112.8
"6","Pig Population Estimated from April Survey (Thousand)","Breeding pigs","1975",101.4
"7","Pig Population Estimated from August Survey (Thousand)","Breeding pigs","1975",110.7
"8","Pig Population Estimated from June Survey (Thousand)","Breeding pigs","1975",106
"9","Pig Population Estimated from December Survey (Thousand)","Gilts in pig","1975",14.8
"10","Pig Population Estimated from April Survey (Thousand)","Gilts in pig","1975",11.9
"11","Pig Population Estimated from August Survey (Thousand)","Gilts in pig","1975",13.7
"12","Pig Population Estimated from June Survey (Thousand)","Gilts in pig","1975",12.8
"13","Pig Population Estimated from December Survey (Thousand)","Gilts not yet served","1975",9.1
"14","Pig Population Estimated from April Survey (Thousand)","Gilts not yet served","1975",6.2
"15","Pig Population Estimated from August Survey (Thousand)","Gilts not yet served","1975",9
"16","Pig Population Estimated from June Survey (Thousand)","Gilts not yet served","1975",7.6
"17","Pig Population Estimated from December Survey (Thousand)","Sows in pig","1975",51.4
"18","Pig Population Estimated from April Survey (Thousand)","Sows in pig","1975",45.4
"19","Pig Population Estimated from August Survey (Thousand)","Sows in pig","1975",49.2
"20","Pig Population Estimated from June Survey (Thousand)","Sows in pig","1975",47.3
"21","Pig Population Estimated from December Survey (Thousand)","Other sows for breeding","1975",34.7
"22","Pig Population Estimated from April Survey (Thousand)","Other sows for breeding","1975",35.2
"23","Pig Population Estimated from August Survey (Thousand)","Other sows for breeding","1975",36.1
"24","Pig Population Estimated from June Survey (Thousand)","Other sows for breeding","1975",35.6
"25","Pig Population Estimated from December Survey (Thousand)","Boars","1975",2.7
"26","Pig Population Estimated from April Survey (Thousand)","Boars","1975",2.6
"27","Pig Population Estimated from August Survey (Thousand)","Boars","1975",2.7
"28","Pig Population Estimated from June Survey (Thousand)","Boars","1975",2.7
"29","Pig Population Estimated from December Survey (Thousand)","Other pigs","1975",767.4
"30","Pig Population Estimated from April Survey (Thousand)","Other pigs","1975",686
"31","Pig Population Estimated from August Survey (Thousand)","Other pigs","1975",723.3
"32","Pig Population Estimated from June Survey (Thousand)","Other pigs","1975",704.6
"33","Pig Population Estimated from December Survey (Thousand)","Other pigs: under 20kg","1975",222.7
"34","Pig Population Estimated from April Survey (Thousand)","Other pigs: under 20kg","1975",210.9
"35","Pig Population Estimated from August Survey (Thousand)","Other pigs: under 20kg","1975",211.3
"36","Pig Population Estimated from June Survey (Thousand)","Other pigs: under 20kg","1975",211.1
"37","Pig Population Estimated from December Survey (Thousand)","Other pigs: 20kg and under 50kg","1975",237.1
"38","Pig Population Estimated from April Survey (Thousand)","Other pigs: 20kg and under 50kg","1975",211.9
"39","Pig Population Estimated from August Survey (Thousand)","Other pigs: 20kg and under 50kg","1975",220.7
"40","Pig Population Estimated from June Survey (Thousand)","Other pigs: 20kg and under 50kg","1975",216.3
"41","Pig Population Estimated from December Survey (Thousand)","Other pigs: 50kg and under 80kg","1975",241.3
"42","Pig Population Estimated from April Survey (Thousand)","Other pigs: 50kg and under 80kg","1975",197.7
"43","Pig Population Estimated from August Survey (Thousand)","Other pigs: 50kg and under 80kg","1975",225.4
"44","Pig Population Estimated from June Survey (Thousand)","Other pigs: 50kg and under 80kg","1975",211.5
"45","Pig Population Estimated from December Survey (Thousand)","Other pigs: 80kg and under 110kg","1975",60.4
"46","Pig Population Estimated from April Survey (Thousand)","Other pigs: 80kg and under 110kg","1975",61.32
"47","Pig Population Estimated from August Survey (Thousand)","Other pigs: 80kg and under 110kg","1975",58.9
"48","Pig Population Estimated from June Survey (Thousand)","Other pigs: 80kg and under 110kg","1975",60.1
"49","Pig Population Estimated from December Survey (Thousand)","Other pigs: 110kg and over","1975",6
"50","Pig Population Estimated from April Survey (Thousand)","Other pigs: 110kg and over","1975",4.16
"51","Pig Population Estimated from August Survey (Thousand)","Other pigs: 110kg and over","1975",6.98
"52","Pig Population Estimated from June Survey (Thousand)","Other pigs: 110kg and over","1975",5.6
"53","Pig Population Estimated from December Survey (Thousand)","Total pigs","1976",972
"54","Pig Population Estimated from April Survey (Thousand)","Total pigs","1976",910.8
"55","Pig Population Estimated from August Survey (Thousand)","Total pigs","1976",973.9
"56","Pig Population Estimated from June Survey (Thousand)","Total pigs","1976",942.3
"57","Pig Population Estimated from December Survey (Thousand)","Breeding pigs","1976",117.3
"58","Pig Population Estimated from April Survey (Thousand)","Breeding pigs","1976",118.8
"59","Pig Population Estimated from August Survey (Thousand)","Breeding pigs","1976",116.6
"60","Pig Population Estimated from June Survey (Thousand)","Breeding pigs","1976",117.7
"61","Pig Population Estimated from December Survey (Thousand)","Gilts in pig","1976",13
"62","Pig Population Estimated from April Survey (Thousand)","Gilts in pig","1976",14.4
"63","Pig Population Estimated from August Survey (Thousand)","Gilts in pig","1976",14
"64","Pig Population Estimated from June Survey (Thousand)","Gilts in pig","1976",14.2
"65","Pig Population Estimated from December Survey (Thousand)","Gilts not yet served","1976",6.9
"66","Pig Population Estimated from April Survey (Thousand)","Gilts not yet served","1976",7.6
"67","Pig Population Estimated from August Survey (Thousand)","Gilts not yet served","1976",6.7
"68","Pig Population Estimated from June Survey (Thousand)","Gilts not yet served","1976",7.1
"69","Pig Population Estimated from December Survey (Thousand)","Sows in pig","1976",56.2
"70","Pig Population Estimated from April Survey (Thousand)","Sows in pig","1976",55.3
"71","Pig Population Estimated from August Survey (Thousand)","Sows in pig","1976",56.3
"72","Pig Population Estimated from June Survey (Thousand)","Sows in pig","1976",55.8
"73","Pig Population Estimated from December Survey (Thousand)","Other sows for breeding","1976",38
"74","Pig Population Estimated from April Survey (Thousand)","Other sows for breeding","1976",38.6
"75","Pig Population Estimated from August Survey (Thousand)","Other sows for breeding","1976",36.7
"76","Pig Population Estimated from June Survey (Thousand)","Other sows for breeding","1976",37.7
"77","Pig Population Estimated from December Survey (Thousand)","Boars","1976",3.1
"78","Pig Population Estimated from April Survey (Thousand)","Boars","1976",3
"79","Pig Population Estimated from August Survey (Thousand)","Boars","1976",3
"80","Pig Population Estimated from June Survey (Thousand)","Boars","1976",3.1
"81","Pig Population Estimated from December Survey (Thousand)","Other pigs","1976",854.7
"82","Pig Population Estimated from April Survey (Thousand)","Other pigs","1976",791.9
"83","Pig Population Estimated from August Survey (Thousand)","Other pigs","1976",857.3
"84","Pig Population Estimated from June Survey (Thousand)","Other pigs","1976",824.6
"85","Pig Population Estimated from December Survey (Thousand)","Other pigs: under 20kg","1976",237.6
"86","Pig Population Estimated from April Survey (Thousand)","Other pigs: under 20kg","1976",246.1
"87","Pig Population Estimated from August Survey (Thousand)","Other pigs: under 20kg","1976",248.5
"88","Pig Population Estimated from June Survey (Thousand)","Other pigs: under 20kg","1976",247.3
"89","Pig Population Estimated from December Survey (Thousand)","Other pigs: 20kg and under 50kg","1976",273.9
"90","Pig Population Estimated from April Survey (Thousand)","Other pigs: 20kg and under 50kg","1976",258.7
"91","Pig Population Estimated from August Survey (Thousand)","Other pigs: 20kg and under 50kg","1976",267.9
"92","Pig Population Estimated from June Survey (Thousand)","Other pigs: 20kg and under 50kg","1976",263.3
"93","Pig Population Estimated from December Survey (Thousand)","Other pigs: 50kg and under 80kg","1976",271.8
"94","Pig Population Estimated from April Survey (Thousand)","Other pigs: 50kg and under 80kg","1976",216.3
"95","Pig Population Estimated from August Survey (Thousand)","Other pigs: 50kg and under 80kg","1976",261.1
"96","Pig Population Estimated from June Survey (Thousand)","Other pigs: 50kg and under 80kg","1976",238.7
"97","Pig Population Estimated from December Survey (Thousand)","Other pigs: 80kg and under 110kg","1976",64.3
"98","Pig Population Estimated from April Survey (Thousand)","Other pigs: 80kg and under 110kg","1976",63.53
"99","Pig Population Estimated from August Survey (Thousand)","Other pigs: 80kg and under 110kg","1976",72.29
"100","Pig Population Estimated from June Survey (Thousand)","Other pigs: 80kg and under 110kg","1976",67.9
"101","Pig Population Estimated from December Survey (Thousand)","Other pigs: 110kg and over","1976",7.1
"102","Pig Population Estimated from April Survey (Thousand)","Other pigs: 110kg and over","1976",7.31
"103","Pig Population Estimated from August Survey (Thousand)","Other pigs: 110kg and over","1976",7.53
"104","Pig Population Estimated from June Survey (Thousand)","Other pigs: 110kg and over","1976",7.4
"105","Pig Population Estimated from December Survey (Thousand)","Total pigs","1977",968.6
