"","Statistic","Year","Type.of.Pig","value"
"1","Pig Population Estimated from June Survey (Thousand)","1975","Total pigs",810.6
"2","Pig Population Estimated from December Survey (Thousand)","1975","Total pigs",880.2
"3","Pig Population Estimated from June Survey (Thousand)","1976","Total pigs",942.3
"4","Pig Population Estimated from December Survey (Thousand)","1976","Total pigs",972
"5","Pig Population Estimated from June Survey (Thousand)","1977","Total pigs",945.3
"6","Pig Population Estimated from December Survey (Thousand)","1977","Total pigs",968.6
"7","Pig Population Estimated from June Survey (Thousand)","1978","Total pigs",1040.5
"8","Pig Population Estimated from December Survey (Thousand)","1978","Total pigs",1099.5
"9","Pig Population Estimated from June Survey (Thousand)","1979","Total pigs",1101.2
"10","Pig Population Estimated from December Survey (Thousand)","1979","Total pigs",1057
"11","Pig Population Estimated from June Survey (Thousand)","1980","Total pigs",1030.5
"12","Pig Population Estimated from December Survey (Thousand)","1980","Total pigs",1030.8
"13","Pig Population Estimated from June Survey (Thousand)","1981","Total pigs",1021.1
"14","Pig Population Estimated from December Survey (Thousand)","1981","Total pigs",1027
"15","Pig Population Estimated from June Survey (Thousand)","1982","Total pigs",1057.4
"16","Pig Population Estimated from December Survey (Thousand)","1982","Total pigs",1081.1
"17","Pig Population Estimated from June Survey (Thousand)","1983","Total pigs",1081.2
"18","Pig Population Estimated from December Survey (Thousand)","1983","Total pigs",1053.4
"19","Pig Population Estimated from June Survey (Thousand)","1984","Total pigs",1035.5
"20","Pig Population Estimated from December Survey (Thousand)","1984","Total pigs",1019.5
"21","Pig Population Estimated from June Survey (Thousand)","1985","Total pigs",1004
"22","Pig Population Estimated from December Survey (Thousand)","1985","Total pigs",994.1
"23","Pig Population Estimated from June Survey (Thousand)","1986","Total pigs",1002.9
"24","Pig Population Estimated from December Survey (Thousand)","1986","Total pigs",980
"25","Pig Population Estimated from June Survey (Thousand)","1987","Total pigs",999
"26","Pig Population Estimated from December Survey (Thousand)","1987","Total pigs",960.3
"27","Pig Population Estimated from June Survey (Thousand)","1988","Total pigs",1013.9
"28","Pig Population Estimated from December Survey (Thousand)","1988","Total pigs",1014.5
"29","Pig Population Estimated from June Survey (Thousand)","1989","Total pigs",1067.1
"30","Pig Population Estimated from December Survey (Thousand)","1989","Total pigs",1110.1
"31","Pig Population Estimated from June Survey (Thousand)","1990","Total pigs",1194.4
"32","Pig Population Estimated from December Survey (Thousand)","1990","Total pigs",1249.1
"33","Pig Population Estimated from June Survey (Thousand)","1991","Total pigs",1303.7
"34","Pig Population Estimated from December Survey (Thousand)","1991","Total pigs",1345.5
"35","Pig Population Estimated from June Survey (Thousand)","1992","Total pigs",1385.8
"36","Pig Population Estimated from December Survey (Thousand)","1992","Total pigs",1422.7
"37","Pig Population Estimated from June Survey (Thousand)","1993","Total pigs",1521.6
"38","Pig Population Estimated from December Survey (Thousand)","1993","Total pigs",1487.2
"39","Pig Population Estimated from June Survey (Thousand)","1994","Total pigs",1530.4
"40","Pig Population Estimated from December Survey (Thousand)","1994","Total pigs",1498.3
"41","Pig Population Estimated from June Survey (Thousand)","1995","Total pigs",1550.4
"42","Pig Population Estimated from December Survey (Thousand)","1995","Total pigs",1542.3
"43","Pig Population Estimated from June Survey (Thousand)","1996","Total pigs",1620.8
"44","Pig Population Estimated from December Survey (Thousand)","1996","Total pigs",1664.5
"45","Pig Population Estimated from June Survey (Thousand)","1997","Total pigs",1699.5
"46","Pig Population Estimated from December Survey (Thousand)","1997","Total pigs",1717
"47","Pig Population Estimated from June Survey (Thousand)","1998","Total pigs",1818.6
"48","Pig Population Estimated from December Survey (Thousand)","1998","Total pigs",1800.9
"49","Pig Population Estimated from June Survey (Thousand)","1999","Total pigs",1786.8
"50","Pig Population Estimated from December Survey (Thousand)","1999","Total pigs",1762.9
"51","Pig Population Estimated from June Survey (Thousand)","2000","Total pigs",1722.1
"52","Pig Population Estimated from December Survey (Thousand)","2000","Total pigs",1731.5
"53","Pig Population Estimated from June Survey (Thousand)","2001","Total pigs",1743
"54","Pig Population Estimated from December Survey (Thousand)","2001","Total pigs",1777.8
"55","Pig Population Estimated from June Survey (Thousand)","2002","Total pigs",1784.5
"56","Pig Population Estimated from December Survey (Thousand)","2002","Total pigs",1796.9
"57","Pig Population Estimated from June Survey (Thousand)","2003","Total pigs",1726.2
"58","Pig Population Estimated from December Survey (Thousand)","2003","Total pigs",1731
"59","Pig Population Estimated from June Survey (Thousand)","2004","Total pigs",1653.1
"60","Pig Population Estimated from December Survey (Thousand)","2004","Total pigs",1754.3
