"","Year","Type.of.Animal","value"
"1","2005","Total cattle",6390.2
"2","2006","Total cattle",6340.2
"3","2007","Total cattle",6247.6
"4","2008","Total cattle",6303.9
"5","2009","Total cattle",6231.7
"6","2010","Total cattle",5917.7
"7","2011","Total cattle",5925.3
"8","2012","Total cattle",6253.2
"9","2005","Cows",2109.5
"10","2006","Cows",2181.9
"11","2007","Cows",2180.2
"12","2008","Cows",2199.1
"13","2009","Cows",2157.3
"14","2010","Cows",2097.7
"15","2011","Cows",2118.6
"16","2012","Cows",2188.2
"17","2005","Dairy cows",995.8
"18","2006","Dairy cows",1022.8
"19","2007","Dairy cows",1017.3
"20","2008","Dairy cows",1024.1
"21","2009","Dairy cows",1022.4
"22","2010","Dairy cows",1006.9
"23","2011","Dairy cows",1035.6
"24","2012","Dairy cows",1060.3
"25","2005","Other cows",1113.7
"26","2006","Other cows",1159.1
"27","2007","Other cows",1163
"28","2008","Other cows",1175
"29","2009","Other cows",1134.9
"30","2010","Other cows",1090.8
"31","2011","Other cows",1083
"32","2012","Other cows",1127.9
"33","2005","Bulls",59.7
"34","2006","Bulls",56.2
"35","2007","Bulls",53.5
"36","2008","Bulls",50.2
"37","2009","Bulls",48.8
"38","2010","Bulls",42.5
"39","2011","Bulls",35
"40","2012","Bulls",38.8
"41","2005","Cattle: 2 years and over",516.6
"42","2006","Cattle: 2 years and over",538.9
"43","2007","Cattle: 2 years and over",524.7
"44","2008","Cattle: 2 years and over",502.1
"45","2009","Cattle: 2 years and over",581.3
"46","2010","Cattle: 2 years and over",562.7
"47","2011","Cattle: 2 years and over",462
"48","2012","Cattle: 2 years and over",422.8
"49","2005","Cattle male: 2 years and over",237
"50","2006","Cattle male: 2 years and over",252.2
"51","2007","Cattle male: 2 years and over",234.3
"52","2008","Cattle male: 2 years and over",224.8
"53","2009","Cattle male: 2 years and over",275.3
"54","2010","Cattle male: 2 years and over",248.9
"55","2011","Cattle male: 2 years and over",174.9
"56","2012","Cattle male: 2 years and over",160.2
"57","2005","Cattle female: 2 years and over",279.6
"58","2006","Cattle female: 2 years and over",286.7
"59","2007","Cattle female: 2 years and over",290.4
"60","2008","Cattle female: 2 years and over",277.3
"61","2009","Cattle female: 2 years and over",306
"62","2010","Cattle female: 2 years and over",313.8
"63","2011","Cattle female: 2 years and over",287.1
"64","2012","Cattle female: 2 years and over",262.6
"65","2005","Cattle: 1-2 years",1732.3
"66","2006","Cattle: 1-2 years",1674.6
"67","2007","Cattle: 1-2 years",1609.6
"68","2008","Cattle: 1-2 years",1632.3
"69","2009","Cattle: 1-2 years",1650.2
"70","2010","Cattle: 1-2 years",1520.2
"71","2011","Cattle: 1-2 years",1441.7
"72","2012","Cattle: 1-2 years",1616.9
"73","2005","Cattle male: 1-2 years",898.8
"74","2006","Cattle male: 1-2 years",843.2
"75","2007","Cattle male: 1-2 years",789.3
"76","2008","Cattle male: 1-2 years",803.6
"77","2009","Cattle male: 1-2 years",803.7
"78","2010","Cattle male: 1-2 years",691.4
"79","2011","Cattle male: 1-2 years",629.7
"80","2012","Cattle male: 1-2 years",736.9
"81","2005","Cattle female: 1-2 years",833.5
"82","2006","Cattle female: 1-2 years",831.4
"83","2007","Cattle female: 1-2 years",820.2
"84","2008","Cattle female: 1-2 years",828.7
"85","2009","Cattle female: 1-2 years",846.5
"86","2010","Cattle female: 1-2 years",828.8
"87","2011","Cattle female: 1-2 years",812
"88","2012","Cattle female: 1-2 years",880
"89","2005","Cattle: under 1 year",1972.1
"90","2006","Cattle: under 1 year",1888.5
"91","2007","Cattle: under 1 year",1879.5
"92","2008","Cattle: under 1 year",1920.3
"93","2009","Cattle: under 1 year",1794
"94","2010","Cattle: under 1 year",1694.6
"95","2011","Cattle: under 1 year",1868
"96","2012","Cattle: under 1 year",1986.6
"97","2005","Cattle male: under 1 year",980
"98","2006","Cattle male: under 1 year",920.9
"99","2007","Cattle male: under 1 year",920.3
"100","2008","Cattle male: under 1 year",952.2
"101","2009","Cattle male: under 1 year",857.9
"102","2010","Cattle male: under 1 year",786
"103","2011","Cattle male: under 1 year",902
"104","2012","Cattle male: under 1 year",987.6
"105","2005","Cattle female: under 1 year",992.1
"106","2006","Cattle female: under 1 year",967.6
"107","2007","Cattle female: under 1 year",959.2
"108","2008","Cattle female: under 1 year",968
"109","2009","Cattle female: under 1 year",936.1
"110","2010","Cattle female: under 1 year",908.6
"111","2011","Cattle female: under 1 year",966
"112","2012","Cattle female: under 1 year",999
"113","2005","Total cattle: male",2175.5
"114","2006","Total cattle: male",2072.6
"115","2007","Total cattle: male",1997.5
"116","2008","Total cattle: male",2030.8
"117","2009","Total cattle: male",1985.7
"118","2010","Total cattle: male",1768.8
"119","2011","Total cattle: male",1741.5
"120","2012","Total cattle: male",1923.4
"121","2005","Total cattle: female",4214.7
"122","2006","Total cattle: female",4267.6
"123","2007","Total cattle: female",4250.1
"124","2008","Total cattle: female",4273.1
"125","2009","Total cattle: female",4246
"126","2010","Total cattle: female",4148.9
"127","2011","Total cattle: female",4183.8
"128","2012","Total cattle: female",4329.9
"129","2005","Total sheep",4257
"130","2006","Total sheep",3826.3
"131","2007","Total sheep",3530.5
"132","2008","Total sheep",3422.9
"133","2009","Total sheep",3182.6
"134","2010","Total sheep",3122
"135","2011","Total sheep",3321.3
"136","2012","Total sheep",3430.3
"137","2005","Breeding sheep",3304.8
"138","2006","Breeding sheep",3021.2
"139","2007","Breeding sheep",2744.7
"140","2008","Breeding sheep",2603
"141","2009","Breeding sheep",2440
"142","2010","Breeding sheep",2419.1
"143","2011","Breeding sheep",2524.2
"144","2012","Breeding sheep",2576.3
"145","2005","Ewes",3208.6
"146","2006","Ewes",2931.5
"147","2007","Ewes",2662.9
"148","2008","Ewes",2527.3
"149","2009","Ewes",2369.4
"150","2010","Ewes",2350.4
"151","2011","Ewes",2450.8
"152","2012","Ewes",2500.9
"153","2005","Ewes: 2 years and over",2692.5
"154","2006","Ewes: 2 years and over",2471.8
"155","2007","Ewes: 2 years and over",2255.4
"156","2008","Ewes: 2 years and over",2117.8
"157","2009","Ewes: 2 years and over",1960.1
"158","2010","Ewes: 2 years and over",1893.1
"159","2011","Ewes: 2 years and over",1932
"160","2012","Ewes: 2 years and over",1989.1
"161","2005","Ewes: under 2 years",516.1
"162","2006","Ewes: under 2 years",459.7
"163","2007","Ewes: under 2 years",407.4
"164","2008","Ewes: under 2 years",409.5
"165","2009","Ewes: under 2 years",409.3
"166","2010","Ewes: under 2 years",457.3
"167","2011","Ewes: under 2 years",518.8
"168","2012","Ewes: under 2 years",511.8
"169","2005","Rams",96.2
"170","2006","Rams",89.7
"171","2007","Rams",81.9
"172","2008","Rams",75.6
"173","2009","Rams",70.6
"174","2010","Rams",68.7
"175","2011","Rams",73.4
"176","2012","Rams",75.4
"177","2005","Other sheep",952.3
"178","2006","Other sheep",805.1
"179","2007","Other sheep",785.8
"180","2008","Other sheep",820
"181","2009","Other sheep",742.6
"182","2010","Other sheep",702.8
"183","2011","Other sheep",797.1
"184","2012","Other sheep",854
"185","2005","Total pigs",1670.8
"186","2006","Total pigs",1620
"187","2007","Total pigs",1500.5
"188","2008","Total pigs",1510.7
"189","2009","Total pigs",1501.9
"190","2010","Total pigs",1500.4
"191","2011","Total pigs",1552.9
"192","2012","Total pigs",1493
"193","2005","Breeding pigs",177
"194","2006","Breeding pigs",168.9
"195","2007","Breeding pigs",160.2
"196","2008","Breeding pigs",152.1
"197","2009","Breeding pigs",159.8
"198","2010","Breeding pigs",150.9
"199","2011","Breeding pigs",147.7
"200","2012","Breeding pigs",145.1
"201","2005","Gilts in pig",21
"202","2006","Gilts in pig",21.7
"203","2007","Gilts in pig",22
"204","2008","Gilts in pig",18.4
"205","2009","Gilts in pig",21.9
"206","2010","Gilts in pig",19.1
"207","2011","Gilts in pig",18.2
"208","2012","Gilts in pig",20.7
"209","2005","Sows in pig",99.2
"210","2006","Sows in pig",95.5
"211","2007","Sows in pig",93.6
"212","2008","Sows in pig",90.8
"213","2009","Sows in pig",89.9
"214","2010","Sows in pig",89.4
"215","2011","Sows in pig",88.9
"216","2012","Sows in pig",82.6
"217","2005","Other sows for breeding",35.5
"218","2006","Other sows for breeding",31.4
"219","2007","Other sows for breeding",26.4
"220","2008","Other sows for breeding",25.6
"221","2009","Other sows for breeding",29.6
"222","2010","Other sows for breeding",25.9
"223","2011","Other sows for breeding",23.4
"224","2012","Other sows for breeding",25.7
"225","2005","Gilts not yet served",19
"226","2006","Gilts not yet served",18.3
"227","2007","Gilts not yet served",16.6
"228","2008","Gilts not yet served",16
"229","2009","Gilts not yet served",16.8
"230","2010","Gilts not yet served",15
"231","2011","Gilts not yet served",15.9
"232","2012","Gilts not yet served",15.2
"233","2005","Boars",2.3
"234","2006","Boars",2
"235","2007","Boars",1.6
