"","Year","Region","Type.of.Animal","value"
"1","2005","State","Total cattle",6991.8
"2","2006","State","Total cattle",6977.8
"3","2007","State","Total cattle",6890.9
"4","2008","State","Total cattle",6902.1
"5","2009","State","Total cattle",6890.7
"6","2010","State","Total cattle",6606.6
"7","2011","State","Total cattle",6493
"8","2012","State","Total cattle",6754.1
"9","2013","State","Total cattle",6902.6
"10","2005","Dublin plus Mid East","Total cattle",597.1
"11","2006","Dublin plus Mid East","Total cattle",592.6
"12","2007","Dublin plus Mid East","Total cattle",581.9
"13","2008","Dublin plus Mid East","Total cattle",574.5
"14","2009","Dublin plus Mid East","Total cattle",576.3
"15","2010","Dublin plus Mid East","Total cattle",563
"16","2011","Dublin plus Mid East","Total cattle",546.6
"17","2012","Dublin plus Mid East","Total cattle",560.6
"18","2013","Dublin plus Mid East","Total cattle",580.5
"19","2005","Border","Total cattle",933.5
"20","2006","Border","Total cattle",925.3
"21","2007","Border","Total cattle",921.1
"22","2008","Border","Total cattle",918.3
"23","2009","Border","Total cattle",908.7
"24","2010","Border","Total cattle",875.8
"25","2011","Border","Total cattle",856.1
"26","2012","Border","Total cattle",883.7
"27","2013","Border","Total cattle",893.7
"28","2005","Midland","Total cattle",801.6
"29","2006","Midland","Total cattle",814
"30","2007","Midland","Total cattle",801
"31","2008","Midland","Total cattle",799
"32","2009","Midland","Total cattle",798.9
"33","2010","Midland","Total cattle",768.1
"34","2011","Midland","Total cattle",747.7
"35","2012","Midland","Total cattle",783.2
"36","2013","Midland","Total cattle",801
"37","2005","West","Total cattle",978.7
"38","2006","West","Total cattle",979.4
"39","2007","West","Total cattle",981.2
"40","2008","West","Total cattle",985.2
"41","2009","West","Total cattle",968.2
"42","2010","West","Total cattle",908
"43","2011","West","Total cattle",885.7
"44","2012","West","Total cattle",914.6
"45","2013","West","Total cattle",928.4
"46","2005","Mid-West","Total cattle",1048.7
"47","2006","Mid-West","Total cattle",1041.5
"48","2007","Mid-West","Total cattle",1016.5
"49","2008","Mid-West","Total cattle",1024.9
"50","2009","Mid-West","Total cattle",1017
"51","2010","Mid-West","Total cattle",959.2
"52","2011","Mid-West","Total cattle",942.1
"53","2012","Mid-West","Total cattle",989.3
"54","2013","Mid-West","Total cattle",1009.1
"55","2005","South-East","Total cattle",1242.5
"56","2006","South-East","Total cattle",1253.1
"57","2007","South-East","Total cattle",1243.4
"58","2008","South-East","Total cattle",1241.5
"59","2009","South-East","Total cattle",1256.6
"60","2010","South-East","Total cattle",1217.9
"61","2011","South-East","Total cattle",1207.3
"62","2012","South-East","Total cattle",1265.1
"63","2013","South-East","Total cattle",1313.2
"64","2005","South-West","Total cattle",1389.7
"65","2006","South-West","Total cattle",1371.8
"66","2007","South-West","Total cattle",1345.8
"67","2008","South-West","Total cattle",1358.6
"68","2009","South-West","Total cattle",1365.1
"69","2010","South-West","Total cattle",1314.6
"70","2011","South-West","Total cattle",1307.5
"71","2012","South-West","Total cattle",1357.6
"72","2013","South-West","Total cattle",1376.8
"73","2005","State","Cows",2183.9
"74","2006","State","Cows",2267.2
"75","2007","State","Cows",2296.9
"76","2008","State","Cows",2315.3
"77","2009","State","Cows",2300.4
"78","2010","State","Cows",2229.2
"79","2011","State","Cows",2240.2
"80","2012","State","Cows",2289.4
"81","2013","State","Cows",2313.5
"82","2005","Dublin plus Mid East","Cows",165.9
"83","2006","Dublin plus Mid East","Cows",170.9
"84","2007","Dublin plus Mid East","Cows",172.3
"85","2008","Dublin plus Mid East","Cows",172.5
"86","2009","Dublin plus Mid East","Cows",172.6
"87","2010","Dublin plus Mid East","Cows",168.9
"88","2011","Dublin plus Mid East","Cows",167.4
"89","2012","Dublin plus Mid East","Cows",169.7
"90","2013","Dublin plus Mid East","Cows",172.6
"91","2005","Border","Cows",308.4
"92","2006","Border","Cows",317
"93","2007","Border","Cows",319.7
"94","2008","Border","Cows",322
"95","2009","Border","Cows",316
"96","2010","Border","Cows",302.9
"97","2011","Border","Cows",299.5
"98","2012","Border","Cows",306.2
"99","2013","Border","Cows",306
"100","2005","Midland","Cows",211.7
"101","2006","Midland","Cows",223.6
"102","2007","Midland","Cows",228.1
"103","2008","Midland","Cows",229.2
"104","2009","Midland","Cows",227.7
"105","2010","Midland","Cows",219.2
"106","2011","Midland","Cows",217.6
"107","2012","Midland","Cows",225
"108","2013","Midland","Cows",227.5
"109","2005","West","Cows",305.4
"110","2006","West","Cows",316.6
"111","2007","West","Cows",323
"112","2008","West","Cows",322.7
"113","2009","West","Cows",313.6
"114","2010","West","Cows",295.4
"115","2011","West","Cows",291.6
"116","2012","West","Cows",299.6
"117","2013","West","Cows",301
"118","2005","Mid-West","Cows",335.9
"119","2006","Mid-West","Cows",346.1
"120","2007","Mid-West","Cows",347.1
"121","2008","Mid-West","Cows",348.3
"122","2009","Mid-West","Cows",342.6
"123","2010","Mid-West","Cows",327.8
"124","2011","Mid-West","Cows",332.2
"125","2012","Mid-West","Cows",341.6
"126","2013","Mid-West","Cows",343.6
"127","2005","South-East","Cows",366.3
"128","2006","South-East","Cows",386.2
"129","2007","South-East","Cows",395.8
"130","2008","South-East","Cows",403.8
"131","2009","South-East","Cows",409.7
"132","2010","South-East","Cows",403.8
"133","2011","South-East","Cows",408.2
"134","2012","South-East","Cows",416.5
"135","2013","South-East","Cows",428.7
"136","2005","South-West","Cows",490.3
"137","2006","South-West","Cows",506.7
"138","2007","South-West","Cows",510.9
"139","2008","South-West","Cows",516.8
"140","2009","South-West","Cows",518.2
"141","2010","South-West","Cows",511.2
"142","2011","South-West","Cows",523.7
"143","2012","South-West","Cows",530.8
"144","2013","South-West","Cows",534
"145","2005","State","Dairy cows",1055.1
"146","2006","State","Dairy cows",1084.7
"147","2007","State","Dairy cows",1089.8
"148","2008","State","Dairy cows",1095.2
"149","2009","State","Dairy cows",1096.7
"150","2010","State","Dairy cows",1070.8
"151","2011","State","Dairy cows",1116.9
"152","2012","State","Dairy cows",1140.8
"153","2013","State","Dairy cows",1163.2
"154","2005","Dublin plus Mid East","Dairy cows",77.2
"155","2006","Dublin plus Mid East","Dairy cows",78.6
"156","2007","Dublin plus Mid East","Dairy cows",78.6
"157","2008","Dublin plus Mid East","Dairy cows",77.7
"158","2009","Dublin plus Mid East","Dairy cows",78
"159","2010","Dublin plus Mid East","Dairy cows",76
"160","2011","Dublin plus Mid East","Dairy cows",78
"161","2012","Dublin plus Mid East","Dairy cows",78.7
"162","2013","Dublin plus Mid East","Dairy cows",79.7
"163","2005","Border","Dairy cows",105.4
"164","2006","Border","Dairy cows",106.5
"165","2007","Border","Dairy cows",105.6
"166","2008","Border","Dairy cows",105
"167","2009","Border","Dairy cows",103.4
"168","2010","Border","Dairy cows",97.6
"169","2011","Border","Dairy cows",100.5
"170","2012","Border","Dairy cows",103.3
"171","2013","Border","Dairy cows",103.3
"172","2005","Midland","Dairy cows",73
"173","2006","Midland","Dairy cows",75.7
"174","2007","Midland","Dairy cows",76.4
"175","2008","Midland","Dairy cows",76.2
"176","2009","Midland","Dairy cows",75.8
"177","2010","Midland","Dairy cows",73.1
"178","2011","Midland","Dairy cows",75.7
"179","2012","Midland","Dairy cows",79
"180","2013","Midland","Dairy cows",81.4
"181","2005","West","Dairy cows",55.6
"182","2006","West","Dairy cows",55.2
"183","2007","West","Dairy cows",54.2
"184","2008","West","Dairy cows",52.7
"185","2009","West","Dairy cows",50.4
"186","2010","West","Dairy cows",45.1
"187","2011","West","Dairy cows",47
"188","2012","West","Dairy cows",48.6
"189","2013","West","Dairy cows",49.3
"190","2005","Mid-West","Dairy cows",173.7
"191","2006","Mid-West","Dairy cows",177.4
"192","2007","Mid-West","Dairy cows",176.6
"193","2008","Mid-West","Dairy cows",176.4
"194","2009","Mid-West","Dairy cows",174.3
"195","2010","Mid-West","Dairy cows",167.5
"196","2011","Mid-West","Dairy cows",177
"197","2012","Mid-West","Dairy cows",182.1
"198","2013","Mid-West","Dairy cows",184.4
"199","2005","South-East","Dairy cows",219.5
"200","2006","South-East","Dairy cows",229.2
"201","2007","South-East","Dairy cows",233.1
"202","2008","South-East","Dairy cows",237.8
"203","2009","South-East","Dairy cows",242.9
"204","2010","South-East","Dairy cows",243
"205","2011","South-East","Dairy cows",254.4
"206","2012","South-East","Dairy cows",259.2
"207","2013","South-East","Dairy cows",269.9
"208","2005","South-West","Dairy cows",350.7
"209","2006","South-West","Dairy cows",362.1
"210","2007","South-West","Dairy cows",365.3
"211","2008","South-West","Dairy cows",369.4
"212","2009","South-West","Dairy cows",371.8
"213","2010","South-West","Dairy cows",368.5
"214","2011","South-West","Dairy cows",384.4
