"","Region.and.County","Year","Type.of.Cattle","value"
"1","State","2010","Total cattle",6606.6
"2","Carlow","2010","Total cattle",93.8
"3","Border, Midland and Western","2010","Total cattle",2551.9
"4","Border","2010","Total cattle",875.8
"5","Kildare","2010","Total cattle",125
"6","Midland","2010","Total cattle",768.1
"7","Kilkenny","2010","Total cattle",321.2
"8","Laois","2010","Total cattle",224
"9","West","2010","Total cattle",908
"10","Longford","2010","Total cattle",114.9
"11","Southern and Eastern","2010","Total cattle",4054.7
"12","Louth","2010","Total cattle",80.9
"13","Dublin","2010","Total cattle",23.6
"14","Meath","2010","Total cattle",295.6
"15","Offaly","2010","Total cattle",222.5
"16","Mid-West","2010","Total cattle",959.2
"17","Westmeath","2010","Total cattle",206.7
"18","South-East","2010","Total cattle",1217.9
"19","South-West","2010","Total cattle",1314.6
"20","Wexford","2010","Total cattle",256.2
"21","Wicklow","2010","Total cattle",119
"22","Clare","2010","Total cattle",276.9
"23","Cork","2010","Total cattle",990.6
"24","Kerry","2010","Total cattle",324
"25","Limerick","2010","Total cattle",388.1
"26","North Tipperary","2010","Total cattle",294.1
"27","South Tipperary","2010","Total cattle",305
"28","Waterford","2010","Total cattle",241.8
"29","Galway","2010","Total cattle",420.2
"30","Leitrim","2010","Total cattle",68.8
"31","Mayo","2010","Total cattle",281.2
"32","Roscommon","2010","Total cattle",206.6
"33","Sligo","2010","Total cattle",115.8
"34","Cavan","2010","Total cattle",219.5
"35","Donegal","2010","Total cattle",191.3
"36","Monaghan","2010","Total cattle",199.5
"37","Dublin plus Mid East","2010","Total cattle",563
"38","State","2011","Total cattle",6493
"39","Carlow","2011","Total cattle",90.4
"40","Border, Midland and Western","2011","Total cattle",2489.6
"41","Border","2011","Total cattle",856.1
"42","Kildare","2011","Total cattle",121.9
"43","Midland","2011","Total cattle",747.7
"44","Kilkenny","2011","Total cattle",314.1
"45","Laois","2011","Total cattle",218.1
"46","West","2011","Total cattle",885.7
"47","Longford","2011","Total cattle",110.1
"48","Southern and Eastern","2011","Total cattle",4003.5
"49","Louth","2011","Total cattle",78.3
"50","Dublin","2011","Total cattle",23
"51","Meath","2011","Total cattle",287.2
"52","Offaly","2011","Total cattle",213.8
"53","Mid-West","2011","Total cattle",942.1
"54","Westmeath","2011","Total cattle",205.7
"55","South-East","2011","Total cattle",1207.3
"56","South-West","2011","Total cattle",1307.5
"57","Wexford","2011","Total cattle",253.8
"58","Wicklow","2011","Total cattle",114.5
"59","Clare","2011","Total cattle",270.6
"60","Cork","2011","Total cattle",984.9
"61","Kerry","2011","Total cattle",322.7
"62","Limerick","2011","Total cattle",387.1
"63","North Tipperary","2011","Total cattle",284.4
"64","South Tipperary","2011","Total cattle",308
"65","Waterford","2011","Total cattle",240.9
"66","Galway","2011","Total cattle",406.8
"67","Leitrim","2011","Total cattle",65.2
"68","Mayo","2011","Total cattle",273.2
"69","Roscommon","2011","Total cattle",205.8
"70","Sligo","2011","Total cattle",112
"71","Cavan","2011","Total cattle",212.8
"72","Donegal","2011","Total cattle",190.4
"73","Monaghan","2011","Total cattle",197.3
"74","Dublin plus Mid East","2011","Total cattle",546.6
"75","State","2012","Total cattle",6754.1
"76","Carlow","2012","Total cattle",93.2
"77","Border, Midland and Western","2012","Total cattle",2581.6
"78","Border","2012","Total cattle",883.7
"79","Kildare","2012","Total cattle",124.4
"80","Midland","2012","Total cattle",783.2
"81","Kilkenny","2012","Total cattle",333.3
"82","Laois","2012","Total cattle",228.9
"83","West","2012","Total cattle",914.6
"84","Longford","2012","Total cattle",115.6
"85","Southern and Eastern","2012","Total cattle",4172.6
"86","Louth","2012","Total cattle",81.6
"87","Dublin","2012","Total cattle",23.6
"88","Meath","2012","Total cattle",294.8
"89","Offaly","2012","Total cattle",221.7
"90","Mid-West","2012","Total cattle",989.3
"91","Westmeath","2012","Total cattle",217
"92","South-East","2012","Total cattle",1265.1
"93","South-West","2012","Total cattle",1357.6
"94","Wexford","2012","Total cattle",265.6
"95","Wicklow","2012","Total cattle",117.8
"96","Clare","2012","Total cattle",282.7
