"","Year","Type.of.Livestock","Rural.District","value"
"1","1926","Cattle","State",3947249
"2","1933","Cattle","State",4136591
"3","1955","Cattle","State",4483474
"4","1960","Cattle","State",4740548
"5","1965","Cattle","State",5359334
"6","1970","Cattle","State",5956492
"7","1975","Cattle","State",7168107
"8","1980","Cattle","State",6908938
"9","1926","Bulls","State",23469
"10","1933","Bulls","State",24297
"11","1955","Bulls","State",19253
"12","1960","Bulls","State",18294
"13","1965","Bulls","State",14996
"14","1970","Bulls","State",15015
"15","1975","Bulls","State",15889
"16","1980","Bulls","State",13477
"17","1926","Cows","State",1183802
"18","1933","Cows","State",1268488
"19","1955","Cows","State",1198078
"20","1960","Cows","State",1283687
"21","1965","Cows","State",1547442
"22","1970","Cows","State",1713103
"23","1975","Cows","State",2102126
"24","1980","Cows","State",2043177
"25","1926","Dairy cows","State",NA
"26","1933","Dairy cows","State",NA
"27","1955","Dairy cows","State",NA
"28","1960","Dairy cows","State",NA
"29","1965","Dairy cows","State",NA
"30","1970","Dairy cows","State",NA
"31","1975","Dairy cows","State",1464825
"32","1980","Dairy cows","State",1583266
"33","1926","Other cows","State",NA
"34","1933","Other cows","State",NA
"35","1955","Other cows","State",NA
"36","1960","Other cows","State",NA
"37","1965","Other cows","State",NA
"38","1970","Other cows","State",NA
"39","1975","Other cows","State",637301
"40","1980","Other cows","State",459911
"41","1926","Cows : friesian and friesian cross","State",NA
"42","1933","Cows : friesian and friesian cross","State",NA
"43","1955","Cows : friesian and friesian cross","State",NA
"44","1960","Cows : friesian and friesian cross","State",78670
"45","1965","Cows : friesian and friesian cross","State",306497
"46","1970","Cows : friesian and friesian cross","State",791877
"47","1975","Cows : friesian and friesian cross","State",1345834
"48","1980","Cows : friesian and friesian cross","State",1636159
"49","1926","Cows : shorthorn","State",NA
"50","1933","Cows : shorthorn","State",NA
"51","1955","Cows : shorthorn","State",NA
"52","1960","Cows : shorthorn","State",992585
"53","1965","Cows : shorthorn","State",992606
"54","1970","Cows : shorthorn","State",683721
"55","1975","Cows : shorthorn","State",399128
"56","1980","Cows : shorthorn","State",183530
"57","1926","Cows : other breeds","State",NA
"58","1933","Cows : other breeds","State",NA
"59","1955","Cows : other breeds","State",NA
"60","1960","Cows : other breeds","State",212432
"61","1965","Cows : other breeds","State",248339
"62","1970","Cows : other breeds","State",237505
"63","1975","Cows : other breeds","State",357164
"64","1980","Cows : other breeds","State",223488
"65","1926","Heifers in calf","State",97986
"66","1933","Heifers in calf","State",69724
"67","1955","Heifers in calf","State",86711
"68","1960","Heifers in calf","State",121554
"69","1965","Heifers in calf","State",193272
"70","1970","Heifers in calf","State",195993
"71","1975","Heifers in calf","State",233879
"72","1980","Heifers in calf","State",265129
"73","1926","Dairy heifers","State",NA
"74","1933","Dairy heifers","State",NA
"75","1955","Dairy heifers","State",NA
"76","1960","Dairy heifers","State",NA
"77","1965","Dairy heifers","State",NA
"78","1970","Dairy heifers","State",NA
"79","1975","Dairy heifers","State",NA
"80","1980","Dairy heifers","State",219916
"81","1926","Other heifers","State",NA
"82","1933","Other heifers","State",NA
"83","1955","Other heifers","State",NA
"84","1960","Other heifers","State",NA
"85","1965","Other heifers","State",NA
"86","1970","Other heifers","State",NA
"87","1975","Other heifers","State",NA
"88","1980","Other heifers","State",45213
"89","1926","Other cattle","State",2641992
"90","1933","Other cattle","State",2774082
"91","1955","Other cattle","State",3179432
"92","1960","Other cattle","State",3317013
"93","1965","Other cattle","State",3603624
"94","1970","Other cattle","State",4032381
"95","1975","Other cattle","State",4816213
"96","1980","Other cattle","State",4587155
"97","1926","Other cattle : 3 years and over","State",298288
"98","1933","Other cattle : 3 years and over","State",232780
"99","1955","Other cattle : 3 years and over","State",319940
"100","1960","Other cattle : 3 years and over","State",272897
"101","1965","Other cattle : 3 years and over","State",220517
"102","1970","Other cattle : 3 years and over","State",208050
"103","1975","Other cattle : 3 years and over","State",243302
"104","1980","Other cattle : 3 years and over","State",271423
"105","1926","Other cattle : 3 years and over male","State",NA
"106","1933","Other cattle : 3 years and over male","State",NA
"107","1955","Other cattle : 3 years and over male","State",NA
"108","1960","Other cattle : 3 years and over male","State",NA
"109","1965","Other cattle : 3 years and over male","State",NA
"110","1970","Other cattle : 3 years and over male","State",159254
"111","1975","Other cattle : 3 years and over male","State",192666
"112","1980","Other cattle : 3 years and over male","State",219549
"113","1926","Other cattle : 3 years and over female","State",NA
"114","1933","Other cattle : 3 years and over female","State",NA
"115","1955","Other cattle : 3 years and over female","State",NA
"116","1960","Other cattle : 3 years and over female","State",NA
"117","1965","Other cattle : 3 years and over female","State",NA
"118","1970","Other cattle : 3 years and over female","State",48796
"119","1975","Other cattle : 3 years and over female","State",50636
"120","1980","Other cattle : 3 years and over female","State",51874
"121","1926","Other cattle : 2 - 3 years","State",669758
"122","1933","Other cattle : 2 - 3 years","State",645001
"123","1955","Other cattle : 2 - 3 years","State",798247
"124","1960","Other cattle : 2 - 3 years","State",843160
"125","1965","Other cattle : 2 - 3 years","State",808114
"126","1970","Other cattle : 2 - 3 years","State",931942
"127","1975","Other cattle : 2 - 3 years","State",1152137
"128","1980","Other cattle : 2 - 3 years","State",1142022
"129","1926","Other cattle : 2 - 3 years male","State",NA
"130","1933","Other cattle : 2 - 3 years male","State",NA
"131","1955","Other cattle : 2 - 3 years male","State",NA
"132","1960","Other cattle : 2 - 3 years male","State",NA
"133","1965","Other cattle : 2 - 3 years male","State",NA
"134","1970","Other cattle : 2 - 3 years male","State",628816
"135","1975","Other cattle : 2 - 3 years male","State",794037
"136","1980","Other cattle : 2 - 3 years male","State",805186
"137","1926","Other cattle : 2 - 3 years female","State",NA
"138","1933","Other cattle : 2 - 3 years female","State",NA
"139","1955","Other cattle : 2 - 3 years female","State",NA
"140","1960","Other cattle : 2 - 3 years female","State",NA
"141","1965","Other cattle : 2 - 3 years female","State",NA
"142","1970","Other cattle : 2 - 3 years female","State",303126
"143","1975","Other cattle : 2 - 3 years female","State",358100
"144","1980","Other cattle : 2 - 3 years female","State",336836
"145","1926","Other cattle : 1 - 2 years","State",746614
"146","1933","Other cattle : 1 - 2 years","State",894279
"147","1955","Other cattle : 1 - 2 years","State",1013210
"148","1960","Other cattle : 1 - 2 years","State",1097738
"149","1965","Other cattle : 1 - 2 years","State",1216175
"150","1970","Other cattle : 1 - 2 years","State",1403246
"151","1975","Other cattle : 1 - 2 years","State",1715211
"152","1980","Other cattle : 1 - 2 years","State",1562538
"153","1926","Other cattle : 1 - 2 years male","State",NA
"154","1933","Other cattle : 1 - 2 years male","State",NA
"155","1955","Other cattle : 1 - 2 years male","State",NA
"156","1960","Other cattle : 1 - 2 years male","State",NA
"157","1965","Other cattle : 1 - 2 years male","State",NA
"158","1970","Other cattle : 1 - 2 years male","State",798767
"159","1975","Other cattle : 1 - 2 years male","State",981981
"160","1980","Other cattle : 1 - 2 years male","State",932213
"161","1926","Other cattle : 1 - 2 years female","State",NA
"162","1933","Other cattle : 1 - 2 years female","State",NA
"163","1955","Other cattle : 1 - 2 years female","State",NA
"164","1960","Other cattle : 1 - 2 years female","State",NA
"165","1965","Other cattle : 1 - 2 years female","State",NA
"166","1970","Other cattle : 1 - 2 years female","State",604479
"167","1975","Other cattle : 1 - 2 years female","State",733230
"168","1980","Other cattle : 1 - 2 years female","State",630325
"169","1926","Other cattle : less than 1","State",927332
"170","1933","Other cattle : less than 1","State",1002022
"171","1955","Other cattle : less than 1","State",1048035
"172","1960","Other cattle : less than 1","State",1103218
"173","1965","Other cattle : less than 1","State",1358818
"174","1970","Other cattle : less than 1","State",1489143
"175","1975","Other cattle : less than 1","State",1705563
"176","1980","Other cattle : less than 1","State",1611172
"177","1926","Other cattle : less than 1 male","State",NA
"178","1933","Other cattle : less than 1 male","State",NA
"179","1955","Other cattle : less than 1 male","State",NA
"180","1960","Other cattle : less than 1 male","State",NA
"181","1965","Other cattle : less than 1 male","State",NA
"182","1970","Other cattle : less than 1 male","State",777409
"183","1975","Other cattle : less than 1 male","State",896349
"184","1980","Other cattle : less than 1 male","State",847603
"185","1926","Other cattle : less than 1 female","State",NA
"186","1933","Other cattle : less than 1 female","State",NA
"187","1955","Other cattle : less than 1 female","State",NA
"188","1960","Other cattle : less than 1 female","State",NA
"189","1965","Other cattle : less than 1 female","State",NA
"190","1970","Other cattle : less than 1 female","State",711734
"191","1975","Other cattle : less than 1 female","State",809214
"192","1980","Other cattle : less than 1 female","State",763569
"193","1926","Sheep","State",3003080
"194","1933","Sheep","State",3404660
"195","1955","Sheep","State",3268896
"196","1960","Sheep","State",4314130
"197","1965","Sheep","State",5013706
"198","1970","Sheep","State",4082253
"199","1975","Sheep","State",3682680
"200","1980","Sheep","State",3291522
"201","1926","Sheep for breeding","State",1333083
"202","1933","Sheep for breeding","State",1511257
"203","1955","Sheep for breeding","State",1401141
"204","1960","Sheep for breeding","State",1894119
"205","1965","Sheep for breeding","State",2262457
"206","1970","Sheep for breeding","State",1894178
"207","1975","Sheep for breeding","State",1730495
"208","1980","Sheep for breeding","State",1586137
"209","1926","Rams for breeding","State",49032
"210","1933","Rams for breeding","State",52471
"211","1955","Rams for breeding","State",45512
"212","1960","Rams for breeding","State",56804
"213","1965","Rams for breeding","State",65697
"214","1970","Rams for breeding","State",50503
"215","1975","Rams for breeding","State",42792
"216","1980","Rams for breeding","State",38732
"217","1926","Ewes for breeding","State",1284051
"218","1933","Ewes for breeding","State",1458786
"219","1955","Ewes for breeding","State",1355629
"220","1960","Ewes for breeding","State",1837315
"221","1965","Ewes for breeding","State",2196760
"222","1970","Ewes for breeding","State",1843675
"223","1975","Ewes for breeding","State",1687703
"224","1980","Ewes for breeding","State",1547405
"225","1926","Ewes : cheviot type","State",NA
"226","1933","Ewes : cheviot type","State",NA
"227","1955","Ewes : cheviot type","State",NA
"228","1960","Ewes : cheviot type","State",NA
"229","1965","Ewes : cheviot type","State",368719
"230","1970","Ewes : cheviot type","State",351694
"231","1975","Ewes : cheviot type","State",325606
"232","1980","Ewes : cheviot type","State",327375
"233","1926","Ewes : blackface moutain type","State",NA
"234","1933","Ewes : blackface moutain type","State",NA
"235","1955","Ewes : blackface moutain type","State",NA
"236","1960","Ewes : blackface moutain type","State",NA
"237","1965","Ewes : blackface moutain type","State",553698
"238","1970","Ewes : blackface moutain type","State",523213
"239","1975","Ewes : blackface moutain type","State",565523
"240","1980","Ewes : blackface moutain type","State",578545
"241","1926","Ewes : long woolled galway type","State",NA
"242","1933","Ewes : long woolled galway type","State",NA
"243","1955","Ewes : long woolled galway type","State",NA
"244","1960","Ewes : long woolled galway type","State",NA
"245","1965","Ewes : long woolled galway type","State",753068
"246","1970","Ewes : long woolled galway type","State",630684
"247","1975","Ewes : long woolled galway type","State",487480
"248","1980","Ewes : long woolled galway type","State",355154
"249","1926","Ewes : other breeds","State",NA
"250","1933","Ewes : other breeds","State",NA
"251","1955","Ewes : other breeds","State",NA
"252","1960","Ewes : other breeds","State",NA
"253","1965","Ewes : other breeds","State",521275
"254","1970","Ewes : other breeds","State",338084
"255","1975","Ewes : other breeds","State",309094
"256","1980","Ewes : other breeds","State",286331
"257","1926","Other sheep","State",1669997
"258","1933","Other sheep","State",1893403
