"","Statistic","Year","Type.of.Cow","Size.of.Herd","value"
"1","Number of Farms with Cattle (Thousand)","1973","Cattle","Total",230.1
"2","Number of Cattle (Thousand)","1973","Cattle","Total",6536.3
"3","Number of Farms with Cattle (Thousand)","1975","Cattle","Total",223.7
"4","Number of Cattle (Thousand)","1975","Cattle","Total",6213.7
"5","Number of Farms with Cattle (Thousand)","1977","Cattle","Total",203
"6","Number of Cattle (Thousand)","1977","Cattle","Total",6245.5
"7","Number of Farms with Cattle (Thousand)","1979","Cattle","Total",197.3
"8","Number of Cattle (Thousand)","1979","Cattle","Total",6170.9
"9","Number of Farms with Cattle (Thousand)","1981","Cattle","Total",187
"10","Number of Cattle (Thousand)","1981","Cattle","Total",5758.2
"11","Number of Farms with Cattle (Thousand)","1983","Cattle","Total",182.3
"12","Number of Cattle (Thousand)","1983","Cattle","Total",5812.2
"13","Number of Farms with Cattle (Thousand)","1985","Cattle","Total",174.9
"14","Number of Cattle (Thousand)","1985","Cattle","Total",5779
"15","Number of Farms with Cattle (Thousand)","1987","Cattle","Total",169.4
"16","Number of Cattle (Thousand)","1987","Cattle","Total",5579.7
"17","Number of Farms with Cattle (Thousand)","1989","Cattle","Total",167
"18","Number of Cattle (Thousand)","1989","Cattle","Total",5899.1
"19","Number of Farms with Cattle (Thousand)","1991","Cattle","Total",153
"20","Number of Cattle (Thousand)","1991","Cattle","Total",6157.6
"21","Number of Farms with Cattle (Thousand)","1993","Cattle","Total",139.2
"22","Number of Cattle (Thousand)","1993","Cattle","Total",6263.9
"23","Number of Farms with Cattle (Thousand)","1995","Cattle","Total",134
"24","Number of Cattle (Thousand)","1995","Cattle","Total",6450.6
"25","Number of Farms with Cattle (Thousand)","1997","Cattle","Total",130.8
"26","Number of Cattle (Thousand)","1997","Cattle","Total",6881.6
"27","Number of Farms with Cattle (Thousand)","1999","Cattle","Total",126.4
"28","Number of Cattle (Thousand)","1999","Cattle","Total",6557.9
"29","Number of Farms with Cattle (Thousand)","2001","Cattle","Total",122.6
"30","Number of Cattle (Thousand)","2001","Cattle","Total",6408.1
"31","Number of Farms with Cattle (Thousand)","2003","Cattle","Total",116.6
"32","Number of Cattle (Thousand)","2003","Cattle","Total",6223.4
"33","Number of Farms with Cattle (Thousand)","2005","Cattle","Total",114.3
"34","Number of Cattle (Thousand)","2005","Cattle","Total",6191.7
"35","Number of Farms with Cattle (Thousand)","1973","Cows","Total",199.8
"36","Number of Cattle (Thousand)","1973","Cows","Total",2115.3
"37","Number of Farms with Cattle (Thousand)","1975","Cows","Total",189.9
"38","Number of Cattle (Thousand)","1975","Cows","Total",1942.3
"39","Number of Farms with Cattle (Thousand)","1977","Cows","Total",174
"40","Number of Cattle (Thousand)","1977","Cows","Total",1995.9
"41","Number of Farms with Cattle (Thousand)","1979","Cows","Total",162.3
"42","Number of Cattle (Thousand)","1979","Cows","Total",1955.1
"43","Number of Farms with Cattle (Thousand)","1981","Cows","Total",147.4
"44","Number of Cattle (Thousand)","1981","Cows","Total",1863.7
"45","Number of Farms with Cattle (Thousand)","1983","Cows","Total",142.8
"46","Number of Cattle (Thousand)","1983","Cows","Total",1938.1
"47","Number of Farms with Cattle (Thousand)","1985","Cows","Total",134.4
"48","Number of Cattle (Thousand)","1985","Cows","Total",1942.3
"49","Number of Farms with Cattle (Thousand)","1987","Cows","Total",127.1
"50","Number of Cattle (Thousand)","1987","Cows","Total",1864.3
"51","Number of Farms with Cattle (Thousand)","1989","Cows","Total",132.2
"52","Number of Cattle (Thousand)","1989","Cows","Total",2014.3
"53","Number of Farms with Cattle (Thousand)","1991","Cows","Total",123
"54","Number of Cattle (Thousand)","1991","Cows","Total",2075.8
"55","Number of Farms with Cattle (Thousand)","1993","Cows","Total",116.3
"56","Number of Cattle (Thousand)","1993","Cows","Total",2184.9
"57","Number of Farms with Cattle (Thousand)","1995","Cows","Total",112
"58","Number of Cattle (Thousand)","1995","Cows","Total",2225.4
"59","Number of Farms with Cattle (Thousand)","1997","Cows","Total",110.1
"60","Number of Cattle (Thousand)","1997","Cows","Total",2365.2
"61","Number of Farms with Cattle (Thousand)","1999","Cows","Total",104.1
"62","Number of Cattle (Thousand)","1999","Cows","Total",2340.6
"63","Number of Farms with Cattle (Thousand)","2001","Cows","Total",100.4
"64","Number of Cattle (Thousand)","2001","Cows","Total",2307.6
"65","Number of Farms with Cattle (Thousand)","2003","Cows","Total",94
"66","Number of Cattle (Thousand)","2003","Cows","Total",2279.9
"67","Number of Farms with Cattle (Thousand)","2005","Cows","Total",92.1
"68","Number of Cattle (Thousand)","2005","Cows","Total",2251.1
"69","Number of Farms with Cattle (Thousand)","1973","Dairy Cows","Total",144
"70","Number of Cattle (Thousand)","1973","Dairy Cows","Total",1431.4
"71","Number of Farms with Cattle (Thousand)","1975","Dairy Cows","Total",133.2
"72","Number of Cattle (Thousand)","1975","Dairy Cows","Total",1379.5
"73","Number of Farms with Cattle (Thousand)","1977","Dairy Cows","Total",119.9
"74","Number of Cattle (Thousand)","1977","Dairy Cows","Total",1483.5
"75","Number of Farms with Cattle (Thousand)","1979","Dairy Cows","Total",106.1
"76","Number of Cattle (Thousand)","1979","Dairy Cows","Total",1502.5
"77","Number of Farms with Cattle (Thousand)","1981","Dairy Cows","Total",92.1
"78","Number of Cattle (Thousand)","1981","Dairy Cows","Total",1458.3
"79","Number of Farms with Cattle (Thousand)","1983","Dairy Cows","Total",86.3
"80","Number of Cattle (Thousand)","1983","Dairy Cows","Total",1535.4
"81","Number of Farms with Cattle (Thousand)","1985","Dairy Cows","Total",76.8
"82","Number of Cattle (Thousand)","1985","Dairy Cows","Total",1527.7
"83","Number of Farms with Cattle (Thousand)","1987","Dairy Cows","Total",69.2
"84","Number of Cattle (Thousand)","1987","Dairy Cows","Total",1443.6
"85","Number of Farms with Cattle (Thousand)","1989","Dairy Cows","Total",57.2
"86","Number of Cattle (Thousand)","1989","Dairy Cows","Total",1400.1
"87","Number of Farms with Cattle (Thousand)","1991","Dairy Cows","Total",50.6
"88","Number of Cattle (Thousand)","1991","Dairy Cows","Total",1293.2
"89","Number of Farms with Cattle (Thousand)","1993","Dairy Cows","Total",45.5
"90","Number of Cattle (Thousand)","1993","Dairy Cows","Total",1248.3
"91","Number of Farms with Cattle (Thousand)","1995","Dairy Cows","Total",40.8
"92","Number of Cattle (Thousand)","1995","Dairy Cows","Total",1220.8
"93","Number of Farms with Cattle (Thousand)","1997","Dairy Cows","Total",37.2
"94","Number of Cattle (Thousand)","1997","Dairy Cows","Total",1201.4
"95","Number of Farms with Cattle (Thousand)","1999","Dairy Cows","Total",34.2
"96","Number of Cattle (Thousand)","1999","Dairy Cows","Total",1173.8
"97","Number of Farms with Cattle (Thousand)","2001","Dairy Cows","Total",30.9
"98","Number of Cattle (Thousand)","2001","Dairy Cows","Total",1148
"99","Number of Farms with Cattle (Thousand)","2003","Dairy Cows","Total",27.1
"100","Number of Cattle (Thousand)","2003","Dairy Cows","Total",1135.7
"101","Number of Farms with Cattle (Thousand)","2005","Dairy Cows","Total",26.8
"102","Number of Cattle (Thousand)","2005","Dairy Cows","Total",1101.1
"103","Number of Farms with Cattle (Thousand)","1973","Cows (Other than Dairy Cows)","Total",94.7
"104","Number of Cattle (Thousand)","1973","Cows (Other than Dairy Cows)","Total",683.9
"105","Number of Farms with Cattle (Thousand)","1975","Cows (Other than Dairy Cows)","Total",93.2
"106","Number of Cattle (Thousand)","1975","Cows (Other than Dairy Cows)","Total",562.8
"107","Number of Farms with Cattle (Thousand)","1977","Cows (Other than Dairy Cows)","Total",85.9
"108","Number of Cattle (Thousand)","1977","Cows (Other than Dairy Cows)","Total",512.4
"109","Number of Farms with Cattle (Thousand)","1979","Cows (Other than Dairy Cows)","Total",79.9
"110","Number of Cattle (Thousand)","1979","Cows (Other than Dairy Cows)","Total",452.6
"111","Number of Farms with Cattle (Thousand)","1981","Cows (Other than Dairy Cows)","Total",73
"112","Number of Cattle (Thousand)","1981","Cows (Other than Dairy Cows)","Total",405.4
"113","Number of Farms with Cattle (Thousand)","1983","Cows (Other than Dairy Cows)","Total",74.2
"114","Number of Cattle (Thousand)","1983","Cows (Other than Dairy Cows)","Total",402.7
"115","Number of Farms with Cattle (Thousand)","1985","Cows (Other than Dairy Cows)","Total",73
"116","Number of Cattle (Thousand)","1985","Cows (Other than Dairy Cows)","Total",414.6
"117","Number of Farms with Cattle (Thousand)","1987","Cows (Other than Dairy Cows)","Total",70.1
"118","Number of Cattle (Thousand)","1987","Cows (Other than Dairy Cows)","Total",420.6
"119","Number of Farms with Cattle (Thousand)","1989","Cows (Other than Dairy Cows)","Total",97.3
"120","Number of Cattle (Thousand)","1989","Cows (Other than Dairy Cows)","Total",614.2
"121","Number of Farms with Cattle (Thousand)","1991","Cows (Other than Dairy Cows)","Total",89.9
"122","Number of Cattle (Thousand)","1991","Cows (Other than Dairy Cows)","Total",782.6
"123","Number of Farms with Cattle (Thousand)","1993","Cows (Other than Dairy Cows)","Total",91.8
"124","Number of Cattle (Thousand)","1993","Cows (Other than Dairy Cows)","Total",936.6
"125","Number of Farms with Cattle (Thousand)","1995","Cows (Other than Dairy Cows)","Total",92.3
"126","Number of Cattle (Thousand)","1995","Cows (Other than Dairy Cows)","Total",1004.6
"127","Number of Farms with Cattle (Thousand)","1997","Cows (Other than Dairy Cows)","Total",92.2
"128","Number of Cattle (Thousand)","1997","Cows (Other than Dairy Cows)","Total",1163.8
"129","Number of Farms with Cattle (Thousand)","1999","Cows (Other than Dairy Cows)","Total",82
"130","Number of Cattle (Thousand)","1999","Cows (Other than Dairy Cows)","Total",1166.8
"131","Number of Farms with Cattle (Thousand)","2001","Cows (Other than Dairy Cows)","Total",80.1
"132","Number of Cattle (Thousand)","2001","Cows (Other than Dairy Cows)","Total",1159.7
"133","Number of Farms with Cattle (Thousand)","2003","Cows (Other than Dairy Cows)","Total",75.8
"134","Number of Cattle (Thousand)","2003","Cows (Other than Dairy Cows)","Total",1144.2
"135","Number of Farms with Cattle (Thousand)","2005","Cows (Other than Dairy Cows)","Total",74.8
"136","Number of Cattle (Thousand)","2005","Cows (Other than Dairy Cows)","Total",1150
"137","Number of Farms with Cattle (Thousand)","1973","Cattle","1-2",10.6
"138","Number of Cattle (Thousand)","1973","Cattle","1-2",18
"139","Number of Farms with Cattle (Thousand)","1975","Cattle","1-2",9.9
"140","Number of Cattle (Thousand)","1975","Cattle","1-2",16.8
