"","Statistic","Year","Type.of.Pig","Size.of.Herd","value"
"1","Number of Farms with Pigs (Thousand)","1973","Pigs","Total",35.7
"2","Number of Pigs (Thousand)","1973","Pigs","Total",1035.3
"3","Number of Farms with Pigs (Thousand)","1975","Pigs","Total",25
"4","Number of Pigs (Thousand)","1975","Pigs","Total",880.2
"5","Number of Farms with Pigs (Thousand)","1977","Pigs","Total",19.7
"6","Number of Pigs (Thousand)","1977","Pigs","Total",968.6
"7","Number of Farms with Pigs (Thousand)","1979","Pigs","Total",13.9
"8","Number of Pigs (Thousand)","1979","Pigs","Total",1057
"9","Number of Farms with Pigs (Thousand)","1981","Pigs","Total",10.1
"10","Number of Pigs (Thousand)","1981","Pigs","Total",1027
"11","Number of Farms with Pigs (Thousand)","1983","Pigs","Total",9.2
"12","Number of Pigs (Thousand)","1983","Pigs","Total",1053.4
"13","Number of Farms with Pigs (Thousand)","1985","Pigs","Total",7.1
"14","Number of Pigs (Thousand)","1985","Pigs","Total",994.1
"15","Number of Farms with Pigs (Thousand)","1987","Pigs","Total",4.8
"16","Number of Pigs (Thousand)","1987","Pigs","Total",960.3
"17","Number of Farms with Pigs (Thousand)","1989","Pigs","Total",2.5
"18","Number of Pigs (Thousand)","1989","Pigs","Total",994.9
"19","Number of Farms with Pigs (Thousand)","1991","Pigs","Total",2.9
"20","Number of Pigs (Thousand)","1991","Pigs","Total",1345.5
"21","Number of Farms with Pigs (Thousand)","1993","Pigs","Total",2.8
"22","Number of Pigs (Thousand)","1993","Pigs","Total",1487.2
"23","Number of Farms with Pigs (Thousand)","1995","Pigs","Total",2.4
"24","Number of Pigs (Thousand)","1995","Pigs","Total",1542.3
"25","Number of Farms with Pigs (Thousand)","1997","Pigs","Total",2
"26","Number of Pigs (Thousand)","1997","Pigs","Total",1717
"27","Number of Farms with Pigs (Thousand)","1999","Pigs","Total",1.4
"28","Number of Pigs (Thousand)","1999","Pigs","Total",1762.9
"29","Number of Farms with Pigs (Thousand)","2001","Pigs","Total",1.4
"30","Number of Pigs (Thousand)","2001","Pigs","Total",1762.9
"31","Number of Farms with Pigs (Thousand)","2003","Pigs","Total",0.7
"32","Number of Pigs (Thousand)","2003","Pigs","Total",1731
"33","Number of Farms with Pigs (Thousand)","2005","Pigs","Total",0.6
"34","Number of Pigs (Thousand)","2005","Pigs","Total",1670.8
"35","Number of Farms with Pigs (Thousand)","1973","Female Breeding Pigs","Total",26.3
"36","Number of Pigs (Thousand)","1973","Female Breeding Pigs","Total",126.4
"37","Number of Farms with Pigs (Thousand)","1975","Female Breeding Pigs","Total",16.9
"38","Number of Pigs (Thousand)","1975","Female Breeding Pigs","Total",110
"39","Number of Farms with Pigs (Thousand)","1977","Female Breeding Pigs","Total",13
"40","Number of Pigs (Thousand)","1977","Female Breeding Pigs","Total",113.7
"41","Number of Farms with Pigs (Thousand)","1979","Female Breeding Pigs","Total",9.2
