"","Statistic","Year","Type.of.Sheep","Size.of.Flock","value"
"1","Number of Farms with Sheep (Thousand)","1995","Sheep","Total",50.7
"2","Number of Sheep (Thousand)","1995","Sheep","Total",5543.4
"3","Number of Farms with Sheep (Thousand)","1997","Sheep","Total",48.1
"4","Number of Sheep (Thousand)","1997","Sheep","Total",5577.2
"5","Number of Farms with Sheep (Thousand)","1999","Sheep","Total",44.2
"6","Number of Sheep (Thousand)","1999","Sheep","Total",5318.6
"7","Number of Farms with Sheep (Thousand)","2001","Sheep","Total",40.7
"8","Number of Sheep (Thousand)","2001","Sheep","Total",4807
"9","Number of Farms with Sheep (Thousand)","2003","Sheep","Total",39.1
"10","Number of Sheep (Thousand)","2003","Sheep","Total",4850.1
"11","Number of Farms with Sheep (Thousand)","2005","Sheep","Total",41.2
"12","Number of Sheep (Thousand)","2005","Sheep","Total",4257
"13","Number of Farms with Sheep (Thousand)","1995","Ewes","Total",48.1
"14","Number of Sheep (Thousand)","1995","Ewes","Total",4329.4
"15","Number of Farms with Sheep (Thousand)","1997","Ewes","Total",45.5
"16","Number of Sheep (Thousand)","1997","Ewes","Total",4310.7
"17","Number of Farms with Sheep (Thousand)","1999","Ewes","Total",42.1
"18","Number of Sheep (Thousand)","1999","Ewes","Total",4101.8
"19","Number of Farms with Sheep (Thousand)","2001","Ewes","Total",39.2
"20","Number of Sheep (Thousand)","2001","Ewes","Total",3812
"21","Number of Farms with Sheep (Thousand)","2003","Ewes","Total",36.9
"22","Number of Sheep (Thousand)","2003","Ewes","Total",3677
"23","Number of Farms with Sheep (Thousand)","2005","Ewes","Total",39.1
"24","Number of Sheep (Thousand)","2005","Ewes","Total",3208.6
"25","Number of Farms with Sheep (Thousand)","1995","Sheep","1-9",1.7
"26","Number of Sheep (Thousand)","1995","Sheep","1-9",8.9
"27","Number of Farms with Sheep (Thousand)","1997","Sheep","1-9",1.5
"28","Number of Sheep (Thousand)","1997","Sheep","1-9",7.9
"29","Number of Farms with Sheep (Thousand)","1999","Sheep","1-9",1.6
"30","Number of Sheep (Thousand)","1999","Sheep","1-9",9.4
"31","Number of Farms with Sheep (Thousand)","2001","Sheep","1-9",1.6
"32","Number of Sheep (Thousand)","2001","Sheep","1-9",8.8
"33","Number of Farms with Sheep (Thousand)","2003","Sheep","1-9",1.5
"34","Number of Sheep (Thousand)","2003","Sheep","1-9",8.7
"35","Number of Farms with Sheep (Thousand)","2005","Sheep","1-9",1.8
"36","Number of Sheep (Thousand)","2005","Sheep","1-9",9
"37","Number of Farms with Sheep (Thousand)","1995","Ewes","1-9",2
"38","Number of Sheep (Thousand)","1995","Ewes","1-9",10.2
"39","Number of Farms with Sheep (Thousand)","1997","Ewes","1-9",1.8
"40","Number of Sheep (Thousand)","1997","Ewes","1-9",9.7
"41","Number of Farms with Sheep (Thousand)","1999","Ewes","1-9",1.9
"42","Number of Sheep (Thousand)","1999","Ewes","1-9",10.8
"43","Number of Farms with Sheep (Thousand)","2001","Ewes","1-9",1.8
"44","Number of Sheep (Thousand)","2001","Ewes","1-9",9.5
"45","Number of Farms with Sheep (Thousand)","2003","Ewes","1-9",1.9
"46","Number of Sheep (Thousand)","2003","Ewes","1-9",10.9
"47","Number of Farms with Sheep (Thousand)","2005","Ewes","1-9",2
"48","Number of Sheep (Thousand)","2005","Ewes","1-9",9.8
"49","Number of Farms with Sheep (Thousand)","1995","Sheep","10-19",5.1
"50","Number of Sheep (Thousand)","1995","Sheep","10-19",72.4
"51","Number of Farms with Sheep (Thousand)","1997","Sheep","10-19",4.4
"52","Number of Sheep (Thousand)","1997","Sheep","10-19",63.2
"53","Number of Farms with Sheep (Thousand)","1999","Sheep","10-19",3.7
"54","Number of Sheep (Thousand)","1999","Sheep","10-19",56.7
"55","Number of Farms with Sheep (Thousand)","2001","Sheep","10-19",2.8
"56","Number of Sheep (Thousand)","2001","Sheep","10-19",40.6
"57","Number of Farms with Sheep (Thousand)","2003","Sheep","10-19",3
"58","Number of Sheep (Thousand)","2003","Sheep","10-19",43.3
"59","Number of Farms with Sheep (Thousand)","2005","Sheep","10-19",3.1
"60","Number of Sheep (Thousand)","2005","Sheep","10-19",38.7
"61","Number of Farms with Sheep (Thousand)","1995","Ewes","10-19",5.5
"62","Number of Sheep (Thousand)","1995","Ewes","10-19",76.4
"63","Number of Farms with Sheep (Thousand)","1997","Ewes","10-19",4.8
"64","Number of Sheep (Thousand)","1997","Ewes","10-19",67.6
"65","Number of Farms with Sheep (Thousand)","1999","Ewes","10-19",4.3
"66","Number of Sheep (Thousand)","1999","Ewes","10-19",65.8
"67","Number of Farms with Sheep (Thousand)","2001","Ewes","10-19",3.5
"68","Number of Sheep (Thousand)","2001","Ewes","10-19",50.4
"69","Number of Farms with Sheep (Thousand)","2003","Ewes","10-19",3.6
"70","Number of Sheep (Thousand)","2003","Ewes","10-19",53.2
"71","Number of Farms with Sheep (Thousand)","2005","Ewes","10-19",3.7
"72","Number of Sheep (Thousand)","2005","Ewes","10-19",46.5
"73","Number of Farms with Sheep (Thousand)","1995","Sheep","20-49",13.4
"74","Number of Sheep (Thousand)","1995","Sheep","20-49",443.5
"75","Number of Farms with Sheep (Thousand)","1997","Sheep","20-49",11.7
"76","Number of Sheep (Thousand)","1997","Sheep","20-49",395.5
"77","Number of Farms with Sheep (Thousand)","1999","Sheep","20-49",11.6
"78","Number of Sheep (Thousand)","1999","Sheep","20-49",421.2
"79","Number of Farms with Sheep (Thousand)","2001","Sheep","20-49",10.1
"80","Number of Sheep (Thousand)","2001","Sheep","20-49",352.3
