"","Statistic","Domestic.or.Import.Source","Year","value"
"1","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Domestic","1992",5105.9
"2","Fat Content (%)","Domestic","1992",3.56
"3","Protein Content (%)","Domestic","1992",3.21
"4","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Import","1992",NA
"5","Fat Content (%)","Import","1992",NA
"6","Protein Content (%)","Import","1992",NA
"7","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Domestic","1993",5052.1
"8","Fat Content (%)","Domestic","1993",3.55
"9","Protein Content (%)","Domestic","1993",3.2
"10","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Import","1993",NA
"11","Fat Content (%)","Import","1993",NA
"12","Protein Content (%)","Import","1993",NA
"13","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Domestic","1994",5119.5
"14","Fat Content (%)","Domestic","1994",3.57
"15","Protein Content (%)","Domestic","1994",3.2
"16","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Import","1994",NA
"17","Fat Content (%)","Import","1994",NA
"18","Protein Content (%)","Import","1994",NA
"19","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Domestic","1995",5135.9
"20","Fat Content (%)","Domestic","1995",3.58
"21","Protein Content (%)","Domestic","1995",3.24
"22","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Import","1995",NA
"23","Fat Content (%)","Import","1995",NA
"24","Protein Content (%)","Import","1995",NA
"25","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Domestic","1996",5144.3
"26","Fat Content (%)","Domestic","1996",3.59
"27","Protein Content (%)","Domestic","1996",3.21
"28","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Import","1996",NA
"29","Fat Content (%)","Import","1996",NA
"30","Protein Content (%)","Import","1996",NA
"31","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Domestic","1997",5104.7
"32","Fat Content (%)","Domestic","1997",3.61
"33","Protein Content (%)","Domestic","1997",3.21
"34","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Import","1997",NA
"35","Fat Content (%)","Import","1997",NA
"36","Protein Content (%)","Import","1997",NA
"37","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Domestic","1998",4944.4
"38","Fat Content (%)","Domestic","1998",3.67
"39","Protein Content (%)","Domestic","1998",3.24
"40","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Import","1998",281.8
"41","Fat Content (%)","Import","1998",NA
"42","Protein Content (%)","Import","1998",NA
"43","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Domestic","1999",4973.3
"44","Fat Content (%)","Domestic","1999",3.7
"45","Protein Content (%)","Domestic","1999",3.25
"46","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Import","1999",360.6
"47","Fat Content (%)","Import","1999",NA
"48","Protein Content (%)","Import","1999",NA
"49","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Domestic","2000",5011.5
"50","Fat Content (%)","Domestic","2000",3.7
"51","Protein Content (%)","Domestic","2000",3.27
"52","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Import","2000",304.2
"53","Fat Content (%)","Import","2000",NA
"54","Protein Content (%)","Import","2000",NA
"55","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Domestic","2001",5178.7
"56","Fat Content (%)","Domestic","2001",3.74
"57","Protein Content (%)","Domestic","2001",3.28
"58","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Import","2001",NA
"59","Fat Content (%)","Import","2001",NA
"60","Protein Content (%)","Import","2001",NA
"61","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Domestic","2002",5032.3
"62","Fat Content (%)","Domestic","2002",3.73
"63","Protein Content (%)","Domestic","2002",3.27
"64","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Import","2002",278.5
"65","Fat Content (%)","Import","2002",NA
"66","Protein Content (%)","Import","2002",NA
"67","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Domestic","2003",5157
"68","Fat Content (%)","Domestic","2003",3.73
"69","Protein Content (%)","Domestic","2003",3.3
