"","Type.of.Milk","Year","value"
"1","All Milk","1992",525.2
"2","Whole Milk","1992",447.2
"3","Skimmed and Semi-skimmed milk","1992",77.9
"4","Skimmed Milk","1992",6.6
"5","Semi-skimmed milk","1992",71.3
"6","All Milk","1993",528.4
"7","Whole Milk","1993",446.7
"8","Skimmed and Semi-skimmed milk","1993",81.7
"9","Skimmed Milk","1993",6.7
"10","Semi-skimmed milk","1993",75.1
"11","All Milk","1994",528.4
"12","Whole Milk","1994",444.5
"13","Skimmed and Semi-skimmed milk","1994",83.9
"14","Skimmed Milk","1994",7.5
"15","Semi-skimmed milk","1994",76.4
"16","All Milk","1995",531.2
"17","Whole Milk","1995",445.1
"18","Skimmed and Semi-skimmed milk","1995",86.1
"19","Skimmed Milk","1995",8.5
"20","Semi-skimmed milk","1995",77.6
"21","All Milk","1996",536
"22","Whole Milk","1996",445.7
"23","Skimmed and Semi-skimmed milk","1996",90.3
"24","Skimmed Milk","1996",9.8
"25","Semi-skimmed milk","1996",80.5
"26","All Milk","1997",533
"27","Whole Milk","1997",440.2
"28","Skimmed and Semi-skimmed milk","1997",92.8
"29","Skimmed Milk","1997",10.9
"30","Semi-skimmed milk","1997",81.9
"31","All Milk","1998",543.2
"32","Whole Milk","1998",443.2
"33","Skimmed and Semi-skimmed milk","1998",99.9
"34","Skimmed Milk","1998",14.1
"35","Semi-skimmed milk","1998",85.9
"36","All Milk","1999",529.8
"37","Whole Milk","1999",425.9
"38","Skimmed and Semi-skimmed milk","1999",104
"39","Skimmed Milk","1999",14.1
"40","Semi-skimmed milk","1999",89.9
"41","All Milk","2000",530.1
"42","Whole Milk","2000",423
"43","Skimmed and Semi-skimmed milk","2000",107.1
"44","Skimmed Milk","2000",16.3
"45","Semi-skimmed milk","2000",90.8
"46","All Milk","2001",539.6
"47","Whole Milk","2001",425
"48","Skimmed and Semi-skimmed milk","2001",114.6
"49","Skimmed Milk","2001",18.1
"50","Semi-skimmed milk","2001",96.5
"51","All Milk","2002",536.8
"52","Whole Milk","2002",417.5
"53","Skimmed and Semi-skimmed milk","2002",119.2
"54","Skimmed Milk","2002",18.3
"55","Semi-skimmed milk","2002",101
"56","All Milk","2003",529.9
"57","Whole Milk","2003",407.7
"58","Skimmed and Semi-skimmed milk","2003",122.1
"59","Skimmed Milk","2003",17.8
"60","Semi-skimmed milk","2003",104.3
"61","All Milk","2004",524
"62","Whole Milk","2004",398.2
"63","Skimmed and Semi-skimmed milk","2004",125.8
"64","Skimmed Milk","2004",17.8
"65","Semi-skimmed milk","2004",108
"66","All Milk","2005",520.4
"67","Whole Milk","2005",387
"68","Skimmed and Semi-skimmed milk","2005",133.4
"69","Skimmed Milk","2005",17.9
"70","Semi-skimmed milk","2005",115.5
"71","All Milk","2006",524
"72","Whole Milk","2006",382.8
"73","Skimmed and Semi-skimmed milk","2006",141.2
"74","Skimmed Milk","2006",18.1
"75","Semi-skimmed milk","2006",123.1
"76","All Milk","2007",528.5
"77","Whole Milk","2007",374.3
"78","Skimmed and Semi-skimmed milk","2007",154.2
"79","Skimmed Milk","2007",21.6
"80","Semi-skimmed milk","2007",132.6
"81","All Milk","2008",520.1
"82","Whole Milk","2008",357.3
"83","Skimmed and Semi-skimmed milk","2008",162.8
"84","Skimmed Milk","2008",22.3
"85","Semi-skimmed milk","2008",140.52
"86","All Milk","2009",494.76
"87","Whole Milk","2009",331.93
"88","Skimmed and Semi-skimmed milk","2009",162.82
"89","Skimmed Milk","2009",21.43
"90","Semi-skimmed milk","2009",141.4
"91","All Milk","2010",492.22
"92","Whole Milk","2010",322.02
"93","Skimmed and Semi-skimmed milk","2010",170.2
"94","Skimmed Milk","2010",21.54
"95","Semi-skimmed milk","2010",148.66
"96","All Milk","2011",493.82
"97","Whole Milk","2011",316.38
"98","Skimmed and Semi-skimmed milk","2011",177.5
"99","Skimmed Milk","2011",22.16
"100","Semi-skimmed milk","2011",155.29
"101","All Milk","2012",487
"102","Whole Milk","2012",301.6
"103","Skimmed and Semi-skimmed milk","2012",185.4
"104","Skimmed Milk","2012",23.2
"105","Semi-skimmed milk","2012",162.2
"106","All Milk","2013",479.5
"107","Whole Milk","2013",289.8
"108","Skimmed and Semi-skimmed milk","2013",189.8
"109","Skimmed Milk","2013",20.7
"110","Semi-skimmed milk","2013",169.1
