"","Year","Product","value"
"1","1992","Cheese",93.5
"2","1993","Cheese",92.7
"3","1994","Cheese",92.7
"4","1995","Cheese",79.9
"5","1996","Cheese",97
"6","1997","Cheese",96.7
"7","1998","Cheese",94.7
"8","1999","Cheese",101.8
"9","2000","Cheese",98.5
"10","2001","Cheese",122.8
"11","2002","Cheese",115.9
"12","2003","Cheese",112
"13","2004","Cheese",118
"14","2005","Cheese",118.8
"15","2006","Cheese",136.9
"16","2007","Cheese",140.4
"17","2008","Cheese",174.5
"18","2009","Cheese",162.6
"19","2010","Cheese",171.8
"20","2011","Cheese",179.9
"21","2012","Cheese",185.1
"22","2013","Cheese",182.8
"23","1992","Butter",115.7
"24","1993","Butter",111.7
"25","1994","Butter",126.9
"26","1995","Butter",142.3
"27","1996","Butter",142
"28","1997","Butter",138.6
"29","1998","Butter",131.1
"30","1999","Butter",135.3
"31","2000","Butter",135.4
"32","2001","Butter",129.3
"33","2002","Butter",135.2
"34","2003","Butter",140.1
"35","2004","Butter",136.9
"36","2005","Butter",143
"37","2006","Butter",139.1
"38","2007","Butter",141.4
"39","2008","Butter",123.8
"40","2009","Butter",120.34
"41","2010","Butter",135.12
"42","2011","Butter",145.92
"43","2012","Butter",145
"44","2013","Butter",152.1
"45","1992","Skimmed Milk Powder",97
"46","1993","Skimmed Milk Powder",102.5
"47","1994","Skimmed Milk Powder",129.3
"48","1995","Skimmed Milk Powder",114.8
"49","1996","Skimmed Milk Powder",119
"50","1997","Skimmed Milk Powder",101.6
"51","1998","Skimmed Milk Powder",90.9
"52","1999","Skimmed Milk Powder",84.4
"53","2000","Skimmed Milk Powder",78.8
"54","2001","Skimmed Milk Powder",86.3
"55","2002","Skimmed Milk Powder",97.2
"56","2003","Skimmed Milk Powder",78.4
"57","2004","Skimmed Milk Powder",65.9
"58","2005","Skimmed Milk Powder",NA
"59","2006","Skimmed Milk Powder",68.5
"60","2007","Skimmed Milk Powder",82.6
"61","2008","Skimmed Milk Powder",55
"62","2009","Skimmed Milk Powder",74.7
"63","2010","Skimmed Milk Powder",60.3
"64","2011","Skimmed Milk Powder",66.5
"65","2012","Skimmed Milk Powder",52.3
"66","2013","Skimmed Milk Powder",48.9
"67","1992","Butter and butteroil",NA
"68","1993","Butter and butteroil",NA
"69","1994","Butter and butteroil",NA
"70","1995","Butter and butteroil",NA
"71","1996","Butter and butteroil",NA
"72","1997","Butter and butteroil",NA
"73","1998","Butter and butteroil",NA
"74","1999","Butter and butteroil",NA
"75","2000","Butter and butteroil",NA
"76","2001","Butter and butteroil",NA
"77","2002","Butter and butteroil",NA
"78","2003","Butter and butteroil",NA
"79","2004","Butter and butteroil",NA
"80","2005","Butter and butteroil",NA
"81","2006","Butter and butteroil",NA
"82","2007","Butter and butteroil",NA
"83","2008","Butter and butteroil",NA
"84","2009","Butter and butteroil",NA
"85","2010","Butter and butteroil",NA
"86","2011","Butter and butteroil",NA
"87","2012","Butter and butteroil",NA
"88","2013","Butter and butteroil",NA
